 Embryo Id, Cell ID, Size,Identity, X, Y, Z, CH1-Avg, CH1-Sum, CH2-Avg, CH2-Sum, CH3-Avg, CH3-Sum, CH4-Avg, CH4-Sum, CH5-Avg, CH5-Sum, 
042617Xim_G6_AR5,1,7962,TE,228.02,279.78,3.757,1705.6,1.36E+07,2636.4,2.10E+07,100.23,7.98E+05,959.24,7.64E+06,376.62,3.00E+06,
042617Xim_G6_AR5,2,11601,TE,296.33,254.17,5.2065,1389.4,1.61E+07,1959.9,2.27E+07,83.401,9.68E+05,989.71,1.15E+07,217.4,2.52E+06,
042617Xim_G6_AR5,3,3587,TE,234.66,199.39,7.8924,2646.8,9.49E+06,3237.1,1.16E+07,103.93,3.73E+05,945.92,3.39E+06,298.43,1.07E+06,
042617Xim_G6_AR5,4,4949,TE,176.71,246.02,7.5844,2249.5,1.11E+07,2497.2,1.24E+07,83.358,4.13E+05,931.27,4.61E+06,254.05,1.26E+06,
042617Xim_G6_AR5,5,11143,TE,325.61,321.71,7.6551,1475.7,1.64E+07,2449.5,2.73E+07,90.839,1.01E+06,1036.8,1.16E+07,212.15,2.36E+06,
042617Xim_G6_AR5,6,13996,TE,165.68,330.16,9.2748,1717.6,2.40E+07,838.86,1.17E+07,45.326,6.34E+05,965.3,1.35E+07,204.85,2.87E+06,
042617Xim_G6_AR5,7,11249,TE,308.07,165.57,13.138,1108.1,1.25E+07,2533.5,2.85E+07,95.646,1.08E+06,996.5,1.12E+07,170.66,1.92E+06,
042617Xim_G6_AR5,8,12059,TE,279.93,366.18,12.064,1805.3,2.18E+07,2024.6,2.44E+07,97.223,1.17E+06,980.53,1.18E+07,197.18,2.38E+06,
042617Xim_G6_AR5,9,7889,TE,383.72,232.2,13.491,1066,8.41E+06,2673.8,2.11E+07,155.32,1.23E+06,1023,8.07E+06,224.13,1.77E+06,
042617Xim_G6_AR5,10,8292,TE,404.5,297.5,18.022,1073.4,8.90E+06,2688.7,2.23E+07,112.59,9.34E+05,1018.5,8.45E+06,229.03,1.90E+06,
042617Xim_G6_AR5,11,17505,TE,135.45,204.46,21.294,1415.6,2.48E+07,1232,2.16E+07,66.195,1.16E+06,873.97,1.53E+07,143.08,2.50E+06,
042617Xim_G6_AR5,12,10888,TE,184.09,161.76,21.619,1431.8,1.56E+07,2030.9,2.21E+07,69.81,7.60E+05,919.75,1.00E+07,197.52,2.15E+06,
042617Xim_G6_AR5,13,20822,TE,93,284,21,2208.811,,2330.97,,80.002,,879.334,,177.396,,
042617Xim_G6_AR5,13.2,20822,ICM,84.614,279.61,26.62,1931.22,3.83E+07,542.238,2.83E+07,144.387,2.07E+06,883.635,1.87E+07,94.113,2.63E+06,
042617Xim_G6_AR5,14,3900,ICM,113.76,238.84,24.559,1319.4,5.15E+06,98.071,3.82E+05,291.66,1.14E+06,917.16,3.58E+06,69.875,2.73E+05,
042617Xim_G6_AR5,15,8389,ICM,137.03,249.75,26.961,1253.5,1.05E+07,690.5,5.79E+06,61.489,5.16E+05,850.93,7.14E+06,498.36,4.18E+06,
042617Xim_G6_AR5,16,9548,TE,218.31,425.84,26.923,1917.2,1.83E+07,1504,1.44E+07,84.82,8.10E+05,952.82,9.10E+06,295.72,2.82E+06,
042617Xim_G6_AR5,17,8806,TE,316.37,422.59,27.138,1295.9,1.14E+07,1863.7,1.64E+07,72.138,6.35E+05,1018.6,8.97E+06,245.81,2.16E+06,
042617Xim_G6_AR5,18,10329,TE,409.84,363,29.441,1525.1,1.58E+07,1231.7,1.27E+07,112.04,1.16E+06,978.4,1.01E+07,108.98,1.13E+06,
042617Xim_G6_AR5,19,10512,TE,352.25,118.28,29.922,919.14,9.66E+06,2121,2.23E+07,138.46,1.46E+06,1003.6,1.06E+07,135.65,1.43E+06,
042617Xim_G6_AR5,20,6300,ICM,85.4,231.86,30.682,1301.3,8.20E+06,83.979,5.29E+05,224.48,1.41E+06,929.11,5.85E+06,59.38,3.74E+05,
042617Xim_G6_AR5,21,6794,ICM,102.51,306.74,30.755,1704.4,1.16E+07,887.27,6.03E+06,56.626,3.85E+05,817.73,5.56E+06,608.04,4.13E+06,
042617Xim_G6_AR5,22,10309,TE,146.18,134.12,35.467,1139.4,1.17E+07,106.54,1.10E+06,28.389,2.93E+05,885.75,9.13E+06,82.484,8.50E+05,
042617Xim_G6_AR5,23,8138,TE,423.97,171.38,33.991,733.4,5.97E+06,1562.9,1.27E+07,65.768,5.35E+05,976.46,7.95E+06,156.25,1.27E+06,
042617Xim_G6_AR5,24,4869,ICM,78.883,204.29,33.93,1234.2,6.01E+06,80.292,3.91E+05,179.82,8.76E+05,882.81,4.30E+06,62.876,3.06E+05,
042617Xim_G6_AR5,25,10711,TE,79.03,347.12,36.624,1867.5,2.00E+07,691.38,7.41E+06,40.526,4.34E+05,916.68,9.82E+06,191.34,2.05E+06,
042617Xim_G6_AR5,26,5017,TE,367.23,422.61,34.485,1897.8,9.52E+06,2227.9,1.12E+07,85.827,4.31E+05,1004.4,5.04E+06,231.36,1.16E+06,
042617Xim_G6_AR5,27,3644,ICM,121.12,183.6,32.023,1122.4,4.09E+06,147,5.36E+05,114.49,4.17E+05,921.59,3.36E+06,77.299,2.82E+05,
042617Xim_G6_AR5,28,8917,ICM,50.999,268.51,37.136,1571.9,1.40E+07,175.74,1.57E+06,169.78,1.51E+06,910.21,8.12E+06,68.117,6.07E+05,
042617Xim_G6_AR5,29,11095,TE,223.65,111.02,39.912,1055.4,1.17E+07,1872.4,2.08E+07,107.09,1.19E+06,946.75,1.05E+07,199.09,2.21E+06,
042617Xim_G6_AR5,30,8409,TE,453.47,254.71,38.008,739.51,6.22E+06,1435,1.21E+07,59.649,5.02E+05,994.25,8.36E+06,106.71,8.97E+05,
042617Xim_G6_AR5,31,2453,ICM,114.39,270.28,34.907,1319.1,3.24E+06,735.15,1.80E+06,53.463,1.31E+05,821.71,2.02E+06,434.54,1.07E+06,
042617Xim_G6_AR5,32,8196,TE,116.41,396.13,42.202,1543.8,1.27E+07,670.8,5.50E+06,43.427,3.56E+05,916.28,7.51E+06,441.72,3.62E+06,
042617Xim_G6_AR5,33,571,ICM,95.613,193.91,35.814,1164.9,6.65E+05,73.669,42065,225.02,1.28E+05,878.28,5.02E+05,54.552,31149,
042617Xim_G6_AR5,33.2,571,ICM,98,176,35,964.09,6.65E+05,84.848,42065,136.359,1.28E+05,954.905,5.02E+05,54.536,31149,
042617Xim_G6_AR5,34,7638,ICM,76.665,229.41,39.564,1177.9,9.00E+06,74.642,5.70E+05,320.37,2.45E+06,896.74,6.85E+06,58.962,4.50E+05,
042617Xim_G6_AR5,35,9147,TE,65.466,166.69,42.694,1575.8,1.44E+07,82.556,7.55E+05,31.412,2.87E+05,962.9,8.81E+06,67.344,6.16E+05,
