Embryo Id,Cell ID,Identity,Cell_cycle,Size,X,Y,Z,CH1-Avg,CH1-Sum,CH2-Avg,CH2-Sum,CH3-Avg,CH3-Sum,CH4-Avg,CH4-Sum,CH5-Avg,CH5-Sum, 
053118Xim_G6_BF25,1,TE,M,7757,207.92,283.51,6.1606,2974.7,2.31E+07,99.231,7.70E+05,46.994,3.65E+05,466.91,3.62E+06,198.65,1.54E+06,
053118Xim_G6_BF25,2,TE,I,25843,259,287,4,2523.547,,131.082,,55.441,,487.329,,324.365,,
053118Xim_G6_BF25,2.2,TE,I,25843,267,313,11,2350.704,,128.253,,47.259,,508.996,,315.855,,
053118Xim_G6_BF25,2.3,TE,I,25843,246,328,11,2242.98,,120.165,,50.257,,493.78,,29.609,,
053118Xim_G6_BF25,3,TE,I,7081,279.91,250.26,5.4893,2434.1,1.72E+07,108.44,7.68E+05,88.315,6.25E+05,497.33,3.52E+06,293.62,2.08E+06,
053118Xim_G6_BF25,4,TE,I,11908,280.81,213.78,6.461,2480.5,2.95E+07,127.02,1.51E+06,345.89,4.12E+06,417.88,4.98E+06,404.26,4.81E+06,
053118Xim_G6_BF25,6,TE,I,9944,192.34,243.24,7.3271,2197.7,2.19E+07,127.26,1.27E+06,69.296,6.89E+05,449.13,4.47E+06,113.84,1.13E+06,
053118Xim_G6_BF25,7,TE,I,9771,338.03,249.63,5.8592,2813.5,2.75E+07,3235.6,3.16E+07,129.73,1.27E+06,450.55,4.40E+06,407.89,3.99E+06,
053118Xim_G6_BF25,8,TE,I,11212,208.64,205.15,8.0912,2811.9,3.15E+07,111.99,1.26E+06,212.44,2.38E+06,440.64,4.94E+06,258.8,2.90E+06,
053118Xim_G6_BF25,9,TE,I,8638,244.36,206.66,9.4719,2412,2.08E+07,128.11,1.11E+06,67.636,5.84E+05,418.57,3.62E+06,110.36,9.53E+05,
053118Xim_G6_BF25,10,TE,I,10298,145.02,247.76,11.111,1686,1.74E+07,103.14,1.06E+06,73.417,7.56E+05,496.61,5.11E+06,192.66,1.98E+06,
053118Xim_G6_BF25,11,TE,I,7285,306.55,297.15,7.2074,2635.4,1.92E+07,3143.2,2.29E+07,129.02,9.40E+05,456.79,3.33E+06,435.23,3.17E+06,
053118Xim_G6_BF25,12,TE,I,7132,154.88,297.55,9.8521,2376.4,1.69E+07,97.588,6.96E+05,58.23,4.15E+05,490.5,3.50E+06,224.62,1.60E+06,
053118Xim_G6_BF25,13,TE,I,12139,351.2,320.43,9.9811,2173.3,2.64E+07,2922.8,3.55E+07,113.58,1.38E+06,454.58,5.52E+06,470.04,5.71E+06,
053118Xim_G6_BF25,14,ICM,I,8776,189.28,321.58,11.165,2415.1,2.12E+07,123.49,1.08E+06,415.19,3.64E+06,412.89,3.62E+06,315.21,2.77E+06,
053118Xim_G6_BF25,15,TE,I,4614,231.38,181.22,12.511,3030.8,1.40E+07,102.27,4.72E+05,104.5,4.82E+05,483.23,2.23E+06,213.48,9.85E+05,
053118Xim_G6_BF25,16,TE,I,11851,329.91,198.47,14.382,2411.1,2.86E+07,3056.6,3.62E+07,120.34,1.43E+06,444.27,5.27E+06,496.43,5.88E+06,
053118Xim_G6_BF25,17,TE,I,7273,209.82,345.2,14.693,2791.7,2.03E+07,92.754,6.75E+05,406.9,2.96E+06,456.11,3.32E+06,353.69,2.57E+06,
053118Xim_G6_BF25,18,TE,I,5494,322.02,348.73,14.515,2318.4,1.27E+07,2699.4,1.48E+07,103.4,5.68E+05,424.17,2.33E+06,359.7,1.98E+06,
053118Xim_G6_BF25,19,TE,I,7244,388.06,270.16,13.697,1796.1,1.30E+07,2920.5,2.12E+07,111.86,8.10E+05,442.44,3.21E+06,477.34,3.46E+06,
053118Xim_G6_BF25,20,TE,I,7585,225.11,242.72,16.663,1173.5,8.90E+06,588.73,4.47E+06,46.888,3.56E+05,443.65,3.37E+06,369.65,2.80E+06,
053118Xim_G6_BF25,21,TE,I,6401,175.58,349.48,17.549,2357.6,1.51E+07,3154,2.02E+07,120.83,7.73E+05,498.63,3.19E+06,413.98,2.65E+06,
053118Xim_G6_BF25,22,TE,I,8921,194.59,172.91,18.43,1820.6,1.62E+07,105.41,9.40E+05,94.486,8.43E+05,497.68,4.44E+06,178.43,1.59E+06,
053118Xim_G6_BF25,23,TE,I,23879,294,186,18,1695,,118.842,,197.588,,433.084,,104.745,,
053118Xim_G6_BF25,23.2,TE,I,23879,294,172,25,1737.664,,93.079,,199.964,,463.677,,93.106,,
053118Xim_G6_BF25,24,TE,I,7554,381.43,218.57,18.22,1685,1.27E+07,2766.3,2.09E+07,105.31,7.96E+05,447.54,3.38E+06,269.7,2.04E+06,
053118Xim_G6_BF25,26,ICM,I,5935,203.16,300.85,17.575,1649.1,9.79E+06,860.91,5.11E+06,87.845,5.21E+05,427.84,2.54E+06,526.83,3.13E+06,
053118Xim_G6_BF25,27,TE,I,7202,160.25,187.5,19.163,1782.2,1.28E+07,94.477,6.80E+05,45.075,3.25E+05,454.87,3.28E+06,172.72,1.24E+06,
053118Xim_G6_BF25,27.2,ICM,I,7202,168,228,16,1056.48,,90.144,,102.373,,454.87,,74.145,,
053118Xim_G6_BF25,28,ICM,M,10546,132.41,282.62,21.224,2295.5,2.42E+07,77.487,8.17E+05,32.722,3.45E+05,527.53,5.56E+06,59.395,6.26E+05,
