Embryo Id,Cell ID,Identity,Cell_cycle,Size,X,Y,Z,CH1-Avg,CH1-Sum,CH2-Avg,CH2-Sum,CH3-Avg,CH3-Sum,CH4-Avg,CH4-Sum,CH5-Avg,CH5-Sum, 
053118Xim_G6_BF4,1,TE,I,5302,271.96,202.88,5.4053,3258.5,1.73E+07,170.23,9.03E+05,65.505,3.47E+05,523.29,2.77E+06,179.4,9.51E+05,
053118Xim_G6_BF4,2,TE,I,5084,261.4,247.14,5.5104,3573.3,1.82E+07,137.49,6.99E+05,43.137,2.19E+05,490.07,2.49E+06,168.07,8.54E+05,
053118Xim_G6_BF4,3,TE,I,5569,229.52,278.92,6.1171,3092.8,1.72E+07,168.98,9.41E+05,59.257,3.30E+05,508.56,2.83E+06,276.05,1.54E+06,
053118Xim_G6_BF4,4,TE,I,6091,191.02,282.53,6.3525,2945.7,1.79E+07,164.21,1.00E+06,54.564,3.32E+05,479.55,2.92E+06,354.76,2.16E+06,
053118Xim_G6_BF4,5,TE,I,6695,311.87,217.86,8.3692,2785.4,1.86E+07,148.83,9.96E+05,64.376,4.31E+05,489.29,3.28E+06,188.09,1.26E+06,
053118Xim_G6_BF4,6,TE,I,5764,235.3,232.54,7.5616,3116.6,1.80E+07,159.66,9.20E+05,41.338,2.38E+05,519.01,2.99E+06,165.83,9.56E+05,
053118Xim_G6_BF4,7,TE,I,5997,176.21,244.84,7.1027,2880,1.73E+07,142.58,8.55E+05,50.704,3.04E+05,442.55,2.65E+06,277.3,1.66E+06,
053118Xim_G6_BF4,8,TE,I,6198,337.5,247.31,8.4808,3288.3,2.04E+07,116.63,7.23E+05,59.708,3.70E+05,508.39,3.15E+06,186.85,1.16E+06,
053118Xim_G6_BF4,9,TE,I,5408,274.2,286.37,7.0932,3163.6,1.71E+07,153.71,8.31E+05,60.778,3.29E+05,520.4,2.81E+06,203.9,1.10E+06,
053118Xim_G6_BF4,10,TE,I,6997,261.83,320.44,9.2694,2688.4,1.88E+07,187.38,1.31E+06,60.702,4.25E+05,500.66,3.50E+06,274.81,1.92E+06,
053118Xim_G6_BF4,11,TE,I,7307,224.65,186.69,10.169,2434.2,1.78E+07,160.35,1.17E+06,59.727,4.36E+05,514.19,3.76E+06,326.62,2.39E+06,
053118Xim_G6_BF4,12,TE,I,8861,140.89,231.92,9.217,2252.7,2.00E+07,177.21,1.57E+06,44.204,3.92E+05,537.23,4.76E+06,168.23,1.49E+06,
053118Xim_G6_BF4,13,TE,I,5158,218.58,323.88,9.9075,3239.6,1.67E+07,155.38,8.01E+05,52.234,2.69E+05,474.66,2.45E+06,385.05,1.99E+06,
053118Xim_G6_BF4,14,TE,I,5390,180.72,201.14,11.153,2882.4,1.55E+07,127.02,6.85E+05,47.476,2.56E+05,497.84,2.68E+06,278.94,1.50E+06,
053118Xim_G6_BF4,15,TE,I,6322,144.25,289.37,10.251,2793.4,1.77E+07,187.57,1.19E+06,51.107,3.23E+05,528.13,3.34E+06,179.89,1.14E+06,
053118Xim_G6_BF4,16,TE,I,5544,328.92,282.91,11.044,3052.5,1.69E+07,130.02,7.21E+05,56.159,3.11E+05,486.99,2.70E+06,157.97,8.76E+05,
053118Xim_G6_BF4,17,TE,I,6877,275.21,157.05,11.79,2273.8,1.56E+07,185.62,1.28E+06,57.829,3.98E+05,478.69,3.29E+06,179.11,1.23E+06,
053118Xim_G6_BF4,18,TE,I,6389,333.49,173.43,11.241,2643.3,1.69E+07,154.82,9.89E+05,54.673,3.49E+05,479.73,3.07E+06,299.32,1.91E+06,
053118Xim_G6_BF4,19,TE,I,9399,306.03,333.58,11.989,3106,2.92E+07,138.93,1.31E+06,53.751,5.05E+05,505.04,4.75E+06,184.36,1.73E+06,
053118Xim_G6_BF4,20,TE,I,7250,161.86,332.24,16.209,2374.7,1.72E+07,133.6,9.69E+05,42.53,3.08E+05,414.52,3.01E+06,228.72,1.66E+06,
053118Xim_G6_BF4,21,TE,I,6106,360.17,196.22,15.694,2699.5,1.65E+07,156.73,9.57E+05,204.81,1.25E+06,490.02,2.99E+06,347.4,2.12E+06,
053118Xim_G6_BF4,22,TE,I,9250,114.35,274.9,15.827,2609.8,2.41E+07,183.95,1.70E+06,94.778,8.77E+05,494.97,4.58E+06,154.55,1.43E+06,
053118Xim_G6_BF4,23,TE,I,9655,364.65,292.23,16.116,3349.3,3.23E+07,113.45,1.10E+06,35.912,3.47E+05,486.91,4.70E+06,124.07,1.20E+06,
053118Xim_G6_BF4,24,TE,I,5611,249.93,347.37,16.724,2462.8,1.38E+07,125.69,7.05E+05,44.681,2.51E+05,504.73,2.83E+06,198.11,1.11E+06,
053118Xim_G6_BF4,25,TE,M,8732,113.64,200.84,18.823,2651.3,2.32E+07,106.82,9.33E+05,32.004,2.79E+05,481.32,4.20E+06,80.967,7.07E+05,
053118Xim_G6_BF4,26,TE,I,9105,152.86,169.05,19.901,2649.5,2.41E+07,146.16,1.33E+06,38.682,3.52E+05,486.42,4.43E+06,126.47,1.15E+06,
053118Xim_G6_BF4,27,TE,I,5930,243.78,148.64,19.849,2050,1.22E+07,138.65,8.22E+05,48.732,2.89E+05,523.08,3.10E+06,209.77,1.24E+06,
053118Xim_G6_BF4,28,ICM,I,8178,142.54,255.8,18.86,2320.1,1.90E+07,157.03,1.28E+06,55.53,4.54E+05,559.08,4.57E+06,896.63,7.33E+06,
053118Xim_G6_BF4,29,TE,I,10642,348.21,355.27,22.26,2899.8,3.09E+07,123.41,1.31E+06,49.777,5.30E+05,519.65,5.53E+06,179.23,1.91E+06,
053118Xim_G6_BF4,30,TE,I,5547,205.24,363.29,20.17,2728.1,1.51E+07,119.66,6.64E+05,40.356,2.24E+05,483.93,2.68E+06,233.41,1.29E+06,
053118Xim_G6_BF4,31,TE,I,6932,88.29,236.21,22.26,1984.9,1.38E+07,151.88,1.05E+06,79.314,5.50E+05,488.5,3.39E+06,132.93,9.21E+05,
053118Xim_G6_BF4,32,TE,I,6603,342.31,141.57,23.236,1955.4,1.29E+07,127.75,8.44E+05,46.734,3.09E+05,503.85,3.33E+06,165.01,1.09E+06,
053118Xim_G6_BF4,33,TE,I,5284,385.84,160.13,22.835,2720.8,1.44E+07,132.44,7.00E+05,46.03,2.43E+05,544.65,2.88E+06,175.28,9.26E+05,
053118Xim_G6_BF4,34,TE,I,10333,124.42,330.06,24.362,2150.7,2.22E+07,149.44,1.54E+06,45.099,4.66E+05,501.17,5.18E+06,148.53,1.53E+06,
053118Xim_G6_BF4,35,TE,I,7547,292.4,129.71,25.039,1486.8,1.12E+07,107.92,8.14E+05,39.63,2.99E+05,556.92,4.20E+06,188.05,1.42E+06,
053118Xim_G6_BF4,36,ICM,I,9760,149.15,294.48,25.24,1719.2,1.68E+07,126.37,1.23E+06,45.988,4.49E+05,446.32,4.36E+06,650.78,6.35E+06,
053118Xim_G6_BF4,37,TE,I,8506,201.68,148.76,27.988,2040.2,1.74E+07,116.25,9.89E+05,33.534,2.85E+05,478.35,4.07E+06,105.54,8.98E+05,
053118Xim_G6_BF4,38,TE,I,6043,385.57,229.31,26.044,2107.1,1.27E+07,101.42,6.13E+05,39.138,2.37E+05,504.8,3.05E+06,229.42,1.39E+06,
053118Xim_G6_BF4,39,TE,I,5945,260.37,378.19,26.803,2241,1.33E+07,104.98,6.24E+05,37.094,2.21E+05,501.24,2.98E+06,133.39,7.93E+05,
053118Xim_G6_BF4,40,ICM,I,5465,135.28,234.38,25.472,2023.9,1.11E+07,121.45,6.64E+05,50.862,2.78E+05,545.5,2.98E+06,918.85,5.02E+06,
053118Xim_G6_BF4,41,ICM,I,2304,107.88,259.7,23.55,1943.6,4.48E+06,142.81,3.29E+05,537.67,1.24E+06,387.36,8.92E+05,121.12,2.79E+05,
