 Embryo Id, Cell ID, Size,Identity, X, Y, Z, CH1-Avg, CH1-Sum, CH2-Avg, CH2-Sum, CH3-Avg, CH3-Sum, CH4-Avg, CH4-Sum, CH5-Avg, CH5-Sum, 
110716Xim_WT_Y10,1,7529,TE,308.11,263.97,3.3764,2077.6,1.56E+07,1585.9,1.19E+07,56.636,4.26E+05,1652.4,1.24E+07,652.61,4.91E+06,
110716Xim_WT_Y10,2,10224,TE,230.37,258.57,5.2766,1639.5,1.68E+07,250.38,2.56E+06,91.823,9.39E+05,1643.7,1.68E+07,628.71,6.43E+06,
110716Xim_WT_Y10,3,8158,TE,256.13,209.94,5.5938,2018.4,1.65E+07,313.94,2.56E+06,60.626,4.95E+05,1648,1.34E+07,578.28,4.72E+06,
110716Xim_WT_Y10,4,7662,TE,302.69,324.7,5.3093,2504.9,1.92E+07,311.59,2.39E+06,375.11,2.87E+06,1591.1,1.22E+07,477.43,3.66E+06,
110716Xim_WT_Y10,5,9956,TE,271.37,348.84,8.6299,2115.9,2.11E+07,547.02,5.45E+06,36.234,3.61E+05,1607.1,1.60E+07,469.78,4.68E+06,
110716Xim_WT_Y10,6,7824,TE,358.97,208.62,9.1338,2328.3,1.82E+07,1244.4,9.74E+06,39.134,3.06E+05,1653.8,1.29E+07,439.27,3.44E+06,
110716Xim_WT_Y10,7,9084,TE,204.73,319.11,11.216,2206.4,2.00E+07,460.18,4.18E+06,37.194,3.38E+05,1628.2,1.48E+07,395.12,3.59E+06,
110716Xim_WT_Y10,8,7121,TE,267.33,156.5,13.438,2030.2,1.45E+07,1245.4,8.87E+06,57.671,4.11E+05,1657.5,1.18E+07,476.04,3.39E+06,
110716Xim_WT_Y10,9,8466,TE,318.19,163.7,14.006,1822.4,1.54E+07,1168,9.89E+06,55.029,4.66E+05,1666.8,1.41E+07,240.93,2.04E+06,
110716Xim_WT_Y10,10,13196,ICM,177.66,226.56,12.985,981.07,1.29E+07,161.35,2.13E+06,53.688,7.08E+05,1590.8,2.10E+07,376.91,4.97E+06,
110716Xim_WT_Y10,11,7743,TE,390.55,266.34,15.605,2344.6,1.82E+07,284.24,2.20E+06,47.29,3.66E+05,1671.1,1.29E+07,488.3,3.78E+06,
110716Xim_WT_Y10,12,7652,TE,362.25,352.07,15.186,2741.5,2.10E+07,616.69,4.72E+06,32.385,2.48E+05,1651,1.26E+07,407.1,3.12E+06,
110716Xim_WT_Y10,13,15246,TE,132.91,298.35,14.65,1363.4,2.08E+07,232.03,3.54E+06,52.224,7.96E+05,1558.3,2.38E+07,294.32,4.49E+06,
