 Embryo Id, Cell ID, Size,Identity, X, Y, Z, CH1-Avg, CH1-Sum, CH2-Avg, CH2-Sum, CH3-Avg, CH3-Sum, CH4-Avg, CH4-Sum, CH5-Avg, CH5-Sum, 
020817Xim_WT_AI2,1,17557,TE,223.13,212.72,5.3221,2261.1,3.97E+07,86.061,1.51E+06,40.624,7.13E+05,312.24,5.48E+06,192.57,3.38E+06,
020817Xim_WT_AI2,1.2,17557,TE,223.13,212.72,5.3221,2385.951,3.97E+07,92.303,1.51E+06,39.087,7.13E+05,309.959,5.48E+06,203.435,3.38E+06,
020817Xim_WT_AI2,2,9538,TE,297.3,266.58,4.4552,2210.5,2.11E+07,81.897,7.81E+05,52.415,5.00E+05,318.7,3.04E+06,254.77,2.43E+06,
020817Xim_WT_AI2,3,7073,TE,256.52,327.9,5.3226,3182.1,2.25E+07,98.094,6.94E+05,38.545,2.73E+05,317.54,2.25E+06,154.03,1.09E+06,
020817Xim_WT_AI2,4,11174,TE,330.61,214.19,8.8666,2254.9,2.52E+07,96.038,1.07E+06,45.16,5.05E+05,320.6,3.58E+06,274.51,3.07E+06,
020817Xim_WT_AI2,5,7925,TE,239.28,344.11,8.4671,3019.7,2.39E+07,76.55,6.07E+05,31.671,2.51E+05,323.33,2.56E+06,115.8,9.18E+05,
020817Xim_WT_AI2,6,10324,TE,352.96,254.57,10.299,2571.4,2.65E+07,99.53,1.03E+06,45.292,4.68E+05,322.56,3.33E+06,312.69,3.23E+06,
020817Xim_WT_AI2,7,15988,TE,225.34,149.88,13.458,1961.4,3.14E+07,83.369,1.33E+06,42.917,6.86E+05,318.23,5.09E+06,238.24,3.81E+06,
020817Xim_WT_AI2,8,7468,TE,343.01,328.01,12.024,3062.9,2.29E+07,78.091,5.83E+05,37.8,2.82E+05,319.21,2.38E+06,225.35,1.68E+06,
020817Xim_WT_AI2,9,12128,TE,321.3,146.03,14.186,2143.9,2.60E+07,93.383,1.13E+06,45.526,5.52E+05,312.08,3.78E+06,184.75,2.24E+06,
020817Xim_WT_AI2,10,10751,TE,348.73,151.79,17.565,1919.8,2.06E+07,90.105,9.69E+05,42.869,4.61E+05,316.49,3.40E+06,180.37,1.94E+06,
020817Xim_WT_AI2,11,8380,TE,151.41,268.95,15.497,2162,1.81E+07,63.477,5.32E+05,41.991,3.52E+05,313.11,2.62E+06,611.47,5.12E+06,
020817Xim_WT_AI2,12,6811,TE,157.48,173.03,21.883,1936,1.32E+07,75.524,5.14E+05,42.475,2.89E+05,309.35,2.11E+06,583.52,3.97E+06,
020817Xim_WT_AI2,13,7832,TE,115.03,247.26,22.006,2068.6,1.62E+07,58.8,4.61E+05,36.279,2.84E+05,297.58,2.33E+06,432.42,3.39E+06,
020817Xim_WT_AI2,14,9971,TE,322.42,386.85,21.688,3401.9,3.39E+07,71.514,7.13E+05,28.668,2.86E+05,312.16,3.11E+06,114.38,1.14E+06,
020817Xim_WT_AI2,15,8063,TE,312.88,99.357,23.281,1365.6,1.10E+07,78.439,6.32E+05,61.043,4.92E+05,291.9,2.35E+06,542.92,4.38E+06,
