Embryo_ID,Cellcount,Cell_ID,Identity,Size,X,Y,Z,CH1.Avg,CH1.Sum,CH2.Avg,CH2.Sum,CH3.Avg,CH3.Sum,CH4.Avg,CH4.Sum,CH5.Avg,CH5.Sum,
021016Xim_F4KO_Q1,96,1,TE,11675,249.38,289.35,5.7226,2663.9,3.11E+07,65.303,7.62E+05,1009.4,1.18E+07,1116.3,1.30E+07,1833.4,2.14E+07,
021016Xim_F4KO_Q1,96,2,TE,10537,292.87,230.1,6.7879,2676.4,2.82E+07,67.758,7.14E+05,303.59,3.20E+06,1112,1.17E+07,1834.1,1.93E+07,
021016Xim_F4KO_Q1,96,3,TE,22242,189,248,5,2774.773,,91.984,,537.276,,1170.371,,1608.592,,
021016Xim_F4KO_Q1,96,3.2,EPI,22242,186,246,12,2356.781,,84.286,,2889.733,,1050.425,,572.418,,
021016Xim_F4KO_Q1,96,4,TE,11262,240.46,213.77,6.9266,1818.9,2.05E+07,50.449,5.68E+05,151.92,1.71E+06,1140.7,1.28E+07,1429.5,1.61E+07,
021016Xim_F4KO_Q1,96,5,TE,12118,327.31,282.58,8.2213,2211.1,2.68E+07,57.96,7.02E+05,380.31,4.61E+06,1087.2,1.32E+07,1128.9,1.37E+07,
021016Xim_F4KO_Q1,96,6,TE,11828,206.01,321.74,8.108,2393.7,2.83E+07,65.474,7.74E+05,199.3,2.36E+06,1048,1.24E+07,1127.2,1.33E+07,
021016Xim_F4KO_Q1,96,7,TE,12797,296.94,339.15,10.108,2439.4,3.12E+07,59.381,7.60E+05,413.13,5.29E+06,1102.6,1.41E+07,1480.3,1.89E+07,
021016Xim_F4KO_Q1,96,8,EPI,10345,160.39,267.42,14.755,2100.7,2.17E+07,154.44,1.60E+06,2458.9,2.54E+07,1120.5,1.16E+07,490.29,5.07E+06,
021016Xim_F4KO_Q1,96,11,TE,11224,354.66,232.38,15.488,2365.1,2.65E+07,52.207,5.86E+05,175.25,1.97E+06,1096.1,1.23E+07,1375.8,1.54E+07,
021016Xim_F4KO_Q1,96,12,TE,26352,119.75,298.39,18.555,2331,6.14E+07,157.49,4.15E+06,290.81,7.66E+06,1122.5,2.96E+07,1511.8,3.98E+07,
021016Xim_F4KO_Q1,96,14,TE,14922,159.45,349.37,21.795,2437.5,3.64E+07,54.716,8.16E+05,173.98,2.60E+06,1056.3,1.58E+07,1787.8,2.67E+07,
021016Xim_F4KO_Q1,96,15,TE,8280,274.79,370.26,20.552,2016.4,1.67E+07,59.628,4.94E+05,489.93,4.06E+06,1179.6,9.77E+06,853.29,7.07E+06,
021016Xim_F4KO_Q1,96,16,EPI,6352,159.5,208.77,20.799,1891.8,1.20E+07,86.478,5.49E+05,1371.3,8.71E+06,1067.6,6.78E+06,392.56,2.49E+06,
021016Xim_F4KO_Q1,96,17,TE,9033,239.02,155.63,21.708,2269.5,2.05E+07,50.961,4.60E+05,150.02,1.36E+06,1077.7,9.73E+06,1548.2,1.40E+07,
021016Xim_F4KO_Q1,96,18,ESC,9238,107.4,253.74,22.088,1755,1.62E+07,850.49,7.86E+06,1005,9.28E+06,1158.2,1.07E+07,422.03,3.90E+06,
021016Xim_F4KO_Q1,96,19,TE,10713,351.77,337.05,23.19,2469,2.65E+07,55.611,5.96E+05,727.51,7.79E+06,1080.7,1.16E+07,990.25,1.06E+07,
021016Xim_F4KO_Q1,96,20,TE,18826,159.77,175.99,28.175,2321.1,4.37E+07,52.062,9.80E+05,166.83,3.14E+06,1136.1,2.14E+07,1361.1,2.56E+07,
