Embryo_ID,Cell_ID,Identity,Cell_cycle,Size,X,Y,Z,CH1.Avg,CH1.Sum,CH2.Avg,CH2.Sum,CH3.Avg,CH3.Sum,CH4.Avg,CH4.Sum,CH5.Avg,CH5.Sum, 
081118Xim_F4_CQ6,1,TE,I,13751,255.5,215.76,4.5438,2350.4,3.23E+07,33.687,4.63E+05,353.26,4.86E+06,1102,1.52E+07,20.327,2.80E+05,
081118Xim_F4_CQ6,2,TE,I,12480,280.67,306.02,4.9219,2657.9,3.32E+07,35.65,4.45E+05,359.45,4.49E+06,1105.3,1.38E+07,20.722,2.59E+05,
081118Xim_F4_CQ6,3,TE,I,6449,210.59,265.73,4.9674,2344.3,1.51E+07,32.854,2.12E+05,445.43,2.87E+06,1085.1,7.00E+06,20.006,1.29E+05,
081118Xim_F4_CQ6,4,TE,I,8749,336.95,231.78,6.2323,1893.1,1.66E+07,142.07,1.24E+06,318.73,2.79E+06,1113.5,9.74E+06,19.41,1.70E+05,
081118Xim_F4_CQ6,5,TE,I,5082,185.48,301.72,7.9301,2777.1,1.41E+07,33.8,1.72E+05,304.65,1.55E+06,1079,5.48E+06,19.79,1.01E+05,
081118Xim_F4_CQ6,6,TE,I,8310,238.25,346.13,8.5706,2033.5,1.69E+07,44.298,3.68E+05,208.28,1.73E+06,1092.5,9.08E+06,20.022,1.66E+05,
081118Xim_F4_CQ6,7,TE,I,4529,180.54,190.39,12.299,2808.6,1.27E+07,32.992,1.49E+05,171.69,7.78E+05,1062,4.81E+06,19.694,89195,
081118Xim_F4_CQ6,8,TE,I,7226,369.66,268.65,12.531,2254.7,1.63E+07,35.045,2.53E+05,110.69,8.00E+05,1109.3,8.02E+06,20.617,1.49E+05,
081118Xim_F4_CQ6,9,TE,I,4955,155.85,271.75,12.069,2643.8,1.31E+07,30.684,1.52E+05,403.63,2.00E+06,1059.3,5.25E+06,19.604,97139,
081118Xim_F4_CQ6,10,TE,I,7202,342.87,171.8,13.989,1950.5,1.40E+07,97.488,7.02E+05,284.6,2.05E+06,1111.3,8.00E+06,18.546,1.34E+05,
