Embryo_ID,Cell_ID,Identity,Cell_cycle,Size,X,Y,Z,CH1.Avg,CH1.Sum,CH2.Avg,CH2.Sum,CH3.Avg,CH3.Sum,CH4.Avg,CH4.Sum,CH5.Avg,CH5.Sum, 
011319Xim_WT_DP14,2,TE,I,6874,261.58,287.62,3.834,2869.4,1.97E+07,70.493,4.85E+05,43.718,3.01E+05,1462.3,1.01E+07,167.07,1.15E+06,
011319Xim_WT_DP14,4,TE,I,12258,319.91,283.08,5.6993,2899.7,3.55E+07,59.239,7.26E+05,38.819,4.76E+05,1471.4,1.80E+07,113.17,1.39E+06,
011319Xim_WT_DP14,5,TE,I,11887,311.46,208.76,6.1483,2741.8,3.26E+07,58.936,7.01E+05,39.761,4.73E+05,1457.2,1.73E+07,119.29,1.42E+06,
011319Xim_WT_DP14,6,TE,M,10567,249.87,246.54,5.5311,2888.2,3.05E+07,58.83,6.22E+05,43.346,4.58E+05,1468.5,1.55E+07,206.69,2.18E+06,
011319Xim_WT_DP14,7,TE,I,7434,269.82,195.62,6.2513,2788.4,2.07E+07,77.811,5.78E+05,123.57,9.19E+05,1466.9,1.09E+07,360.21,2.68E+06,
011319Xim_WT_DP14,8,TE,I,6787,229.51,198.43,6.7119,3001.4,2.04E+07,63.677,4.32E+05,58.613,3.98E+05,1408,9.56E+06,303.99,2.06E+06,
011319Xim_WT_DP14,9,TE,I,7210,188.38,210.65,9.6239,2447.7,1.76E+07,51.261,3.70E+05,39.001,2.81E+05,1519.9,1.10E+07,296.35,2.14E+06,
011319Xim_WT_DP14,10,TE,I,12996,174.93,267.45,8.5925,2273.7,2.95E+07,48.942,6.36E+05,33.327,4.33E+05,1447.2,1.88E+07,177.86,2.31E+06,
011319Xim_WT_DP14,11,TE,I,16004,254.45,343.75,10.147,2654.7,4.25E+07,53.535,8.57E+05,43.217,6.92E+05,1413.7,2.26E+07,225.75,3.61E+06,
011319Xim_WT_DP14,12,TE,I,8930,364.91,233.36,10.841,2538.8,2.27E+07,55.821,4.98E+05,35.919,3.21E+05,1532.2,1.37E+07,116.45,1.04E+06,
011319Xim_WT_DP14,13,TE,I,8586,199.57,340.19,12.06,2510.2,2.16E+07,54.914,4.71E+05,49.779,4.27E+05,1412.3,1.21E+07,205.07,1.76E+06,
