Embryo_ID,Cell_ID,Identity,Cell_cycle,Size,X,Y,Z,CH1.Avg,CH1.Sum,CH2.Avg,CH2.Sum,CH3.Avg,CH3.Sum,CH4.Avg,CH4.Sum,CH5.Avg,CH5.Sum, 
071318Xim_WT_BW4,2,TE,I,6357,216.41,215.77,4.4831,2261.9,1.44E+07,32.778,2.08E+05,465.28,2.96E+06,667.42,4.24E+06,25.591,1.63E+05,
071318Xim_WT_BW4,3,TE,I,7859,273.9,239.01,4.4983,1843.9,1.45E+07,27.874,2.19E+05,287.85,2.26E+06,680.1,5.34E+06,21.996,1.73E+05,
071318Xim_WT_BW4,4,TE,I,6203,282.03,330.99,5.2973,2190.3,1.36E+07,32.55,2.02E+05,525.9,3.26E+06,683,4.24E+06,23.251,1.44E+05,
071318Xim_WT_BW4,5,TE,I,8966,323.48,281.02,5.6003,1904.2,1.71E+07,33.02,2.96E+05,303.38,2.72E+06,674.45,6.05E+06,22.169,1.99E+05,
071318Xim_WT_BW4,6,TE,I,7266,202.84,294.78,5.7636,2080.1,1.51E+07,29.199,2.12E+05,420.83,3.06E+06,685.13,4.98E+06,22.89,1.66E+05,
071318Xim_WT_BW4,7,TE,I,10688,146.15,279.07,9.0167,2224.1,2.38E+07,33.259,3.55E+05,275.56,2.95E+06,591.54,6.32E+06,25.573,2.73E+05,
071318Xim_WT_BW4,8,TE,I,6137,202.69,350.42,8.2496,2218.7,1.36E+07,28.658,1.76E+05,478.29,2.94E+06,698.72,4.29E+06,22.006,1.35E+05,
071318Xim_WT_BW4,9,TE,I,6209,313.98,179.29,10.895,2098.7,1.30E+07,33.198,2.06E+05,400.75,2.49E+06,669.25,4.16E+06,22.877,1.42E+05,
071318Xim_WT_BW4,10,ESC,I,9295,188.1,194.35,8.609,2157.5,2.01E+07,46.596,4.33E+05,49.61,4.61E+05,644.22,5.99E+06,554.68,5.16E+06,
071318Xim_WT_BW4,11,TE,I,8020,225.6,154.43,13.494,2622.2,2.10E+07,34.93,2.80E+05,229.83,1.84E+06,658.35,5.28E+06,22.776,1.83E+05,
071318Xim_WT_BW4,12,ESC,I,5291,117.23,232.74,12.873,3153,1.67E+07,55.182,2.92E+05,56.739,3.00E+05,699.4,3.70E+06,1307.1,6.92E+06,
071318Xim_WT_BW4,13,TE,I,8584,122.2,191.38,15.116,2545.8,2.19E+07,37.361,3.21E+05,218.04,1.87E+06,640.23,5.50E+06,82.598,7.09E+05,
071318Xim_WT_BW4,14,ESC,I,8841,166,191.93,14.634,2744.8,2.43E+07,59.717,5.28E+05,104.46,9.24E+05,578.27,5.11E+06,2487.9,2.20E+07,
071318Xim_WT_BW4,15,TE,I,9451,96.884,256.65,15.704,2778.4,2.63E+07,42.146,3.98E+05,265.69,2.51E+06,650.16,6.14E+06,106.38,1.01E+06,
071318Xim_WT_BW4,16,ICM,I,7988,197.45,214.8,15.34,2336.8,1.87E+07,29.64,2.37E+05,518.61,4.14E+06,649.22,5.19E+06,38.393,3.07E+05,
071318Xim_WT_BW4,17,TE,I,8662,361.27,334.71,16.554,2402.7,2.08E+07,33.502,2.90E+05,280.69,2.43E+06,666.75,5.78E+06,21.416,1.86E+05,
071318Xim_WT_BW4,18,TE,I,6597,378.5,239.12,16.971,1845.5,1.22E+07,29.254,1.93E+05,229.14,1.51E+06,658.93,4.35E+06,21.254,1.40E+05,
071318Xim_WT_BW4,19,ESC,I,6968,146.07,157.61,20.222,2915.1,2.03E+07,78.736,5.49E+05,40.034,2.79E+05,610.8,4.26E+06,298.84,2.08E+06,
071318Xim_WT_BW4,20,ICM,I,4476,156.03,247.22,18.608,2645.1,1.18E+07,32.656,1.46E+05,276.34,1.24E+06,650.96,2.91E+06,28.906,1.29E+05,
071318Xim_WT_BW4,21,TE,I,7305,280.5,385.79,19.799,2142.4,1.57E+07,24.162,1.77E+05,197.09,1.44E+06,680.72,4.97E+06,20.364,1.49E+05,
071318Xim_WT_BW4,22,ICM,I,5577,155.17,274.3,20.063,2698.5,1.50E+07,34.729,1.94E+05,357.16,1.99E+06,505.16,2.82E+06,25.862,1.44E+05,
071318Xim_WT_BW4,23,TE,I,7385,156.59,369.69,21.829,2656.6,1.96E+07,31.791,2.35E+05,375.55,2.77E+06,711.47,5.25E+06,21.815,1.61E+05,
071318Xim_WT_BW4,24,TE,I,8672,155.2,129.87,23.868,2704.2,2.35E+07,35.356,3.07E+05,419.41,3.64E+06,666.66,5.78E+06,59.134,5.13E+05,
071318Xim_WT_BW4,25,ESC,I,4402,108.73,207.98,21.63,2736.1,1.20E+07,45.303,1.99E+05,37.666,1.66E+05,677.3,2.98E+06,534.56,2.35E+06,
071318Xim_WT_BW4,26,TE,I,6787,368.46,157.52,23.938,2283.1,1.55E+07,28.69,1.95E+05,326.43,2.22E+06,652,4.43E+06,20.979,1.42E+05,
071318Xim_WT_BW4,27,ICM,I,3235,165.29,205.08,21.846,2545.5,8.23E+06,33.259,1.08E+05,379.05,1.23E+06,510.54,1.65E+06,314.1,1.02E+06,
071318Xim_WT_BW4,28,ESC,I,13880,115,235,22,2824.436,,44.157,,36.34,,628.606,,598.277,,
071318Xim_WT_BW4,28.2,ESC,I,13880,119,243,30,2377.132,,81.515,,68.197,,620.35,,1682.623,,
071318Xim_WT_BW4,29,TE,I,4635,96.583,318.63,25.668,2555.6,1.18E+07,30.781,1.43E+05,206.92,9.59E+05,620.55,2.88E+06,56.194,2.60E+05,
071318Xim_WT_BW4,30,TE,I,10277,280.22,105.93,27.015,2047,2.10E+07,27.783,2.86E+05,293.14,3.01E+06,654.81,6.73E+06,20.694,2.13E+05,
071318Xim_WT_BW4,31,ESC,I,5727,137.13,211.19,23.918,2509.5,1.44E+07,39.784,2.28E+05,31.401,1.80E+05,649.74,3.72E+06,302.02,1.73E+06,
071318Xim_WT_BW4,32,ESC,I,6967,100.96,272.36,25.554,2296.6,1.60E+07,61.011,4.25E+05,63.253,4.41E+05,700.23,4.88E+06,1498.1,1.04E+07,
071318Xim_WT_BW4,33,ICM,I,3663,132.08,256.91,24.65,2757.6,1.01E+07,34.155,1.25E+05,171.52,6.28E+05,664.24,2.43E+06,207.84,7.61E+05,
071318Xim_WT_BW4,35,ESC,I,5147,111.94,168.07,27.295,2376.2,1.22E+07,38.888,2.00E+05,38.789,2.00E+05,639.5,3.29E+06,673.21,3.47E+06,
071318Xim_WT_BW4,36,ICM,I,3758,168.3,170.57,26.25,2426.3,9.12E+06,31.227,1.17E+05,281.06,1.06E+06,586.67,2.20E+06,116.78,4.39E+05,
071318Xim_WT_BW4,37,ICM,I,6498,182.81,149.17,30.202,2149.8,1.40E+07,29.168,1.90E+05,623.08,4.05E+06,660.5,4.29E+06,26.663,1.73E+05,
071318Xim_WT_BW4,38,TE,I,15285,47.173,255.05,33.237,2543.9,3.89E+07,37.68,5.76E+05,147.85,2.26E+06,726.23,1.11E+07,249.19,3.81E+06,
071318Xim_WT_BW4,39,ESC,I,3748,73.999,222.42,31.214,2053.2,7.70E+06,42.281,1.58E+05,46.141,1.73E+05,644.59,2.42E+06,1240.8,4.65E+06,
071318Xim_WT_BW4,40,TE,I,9398,435.59,269.66,33.99,1986.7,1.87E+07,24.664,2.32E+05,180.01,1.69E+06,663.76,6.24E+06,22.024,2.07E+05,
071318Xim_WT_BW4,41,ESC,I,10240,68.406,297.46,33.837,2108.4,2.16E+07,65.319,6.69E+05,67.436,6.91E+05,683.33,7.00E+06,2027.1,2.08E+07,
071318Xim_WT_BW4,42,TE,I,5219,206.5,409.42,32.428,2634.2,1.37E+07,24.808,1.29E+05,191.84,1.00E+06,694.54,3.62E+06,19.914,1.04E+05,
071318Xim_WT_BW4,43,TE,I,7593,192.15,100.75,33.408,2514.4,1.91E+07,26.799,2.03E+05,197.33,1.50E+06,664.11,5.04E+06,20.052,1.52E+05,
071318Xim_WT_BW4,44,TE,I,11229,84,157.38,33.752,2609.1,2.93E+07,35.106,3.94E+05,135.91,1.53E+06,684.81,7.69E+06,288.13,3.24E+06,
071318Xim_WT_BW4,44.2,ESC,I,11229,90,183,32,2032.761,,67.614,,68.99,,664.49,,219.325,,
071318Xim_WT_BW4,46,ESC,I,3962,154.13,159.54,34.175,2164.6,8.58E+06,36.473,1.45E+05,116.46,4.61E+05,516.36,2.05E+06,449.86,1.78E+06,
071318Xim_WT_BW4,47,TE,I,6256,421.4,204.93,35.607,1444.2,9.04E+06,24.885,1.56E+05,212.77,1.33E+06,651.2,4.07E+06,19.8,1.24E+05,
071318Xim_WT_BW4,48,ICM,I,6292,127.94,291.15,36.534,1147.2,7.22E+06,26.298,1.65E+05,264.1,1.66E+06,612.98,3.86E+06,47.683,3.00E+05,
071318Xim_WT_BW4,49,ESC,I,1531,126.11,193.28,31.119,1718.2,2.63E+06,82.378,1.26E+05,57.199,87571,668.01,1.02E+06,1469.8,2.25E+06,
071318Xim_WT_BW4,50,ICM,I,1827,151.08,192.88,32.61,1393.7,2.55E+06,29.087,53142,197.14,3.60E+05,706.93,1.29E+06,51.893,94808,
071318Xim_WT_BW4,51,ESC,I,9214,98.533,287.27,37.034,1349.5,1.24E+07,124.87,1.15E+06,48.7,4.49E+05,736.22,6.78E+06,1313.5,1.21E+07,
071318Xim_WT_BW4,51.2,ESC,I,9214,118,250,38,1267.013,,42.677,,43.704,,602.499,,936.585,,
071318Xim_WT_BW4,53,TE,I,8138,342.36,413.87,38.933,2297.2,1.87E+07,26.084,2.12E+05,247.96,2.02E+06,678.76,5.52E+06,19.819,1.61E+05,
071318Xim_WT_BW4,54,ESC,I,6545,141.42,124.03,37.552,2267.7,1.48E+07,137.18,8.98E+05,82.101,5.37E+05,617.93,4.04E+06,1243.4,8.14E+06,
071318Xim_WT_BW4,56,ICM,I,7467,154.24,222.61,38.449,1093.4,8.16E+06,24.334,1.82E+05,83.49,6.23E+05,645.13,4.82E+06,40.497,3.02E+05,
071318Xim_WT_BW4,57,ICM,I,3302,142.89,256.25,38.607,1319.7,4.36E+06,28.237,93237,288.42,9.52E+05,580.83,1.92E+06,79.843,2.64E+05,
071318Xim_WT_BW4,58,TE,I,6264,429.22,350.88,41.375,1697.2,1.06E+07,19.659,1.23E+05,102.28,6.41E+05,660.9,4.14E+06,20.035,1.26E+05,
071318Xim_WT_BW4,59,ICM,I,4789,117.5,138.44,40.693,1855,8.88E+06,39.298,1.88E+05,30.341,1.45E+05,674.19,3.23E+06,168.58,8.07E+05,
071318Xim_WT_BW4,60,ESC,I,245,126.75,159.57,37.592,1762.8,4.32E+05,53.196,13033,30.886,7567,719.07,1.76E+05,379.56,92991,
