Embryo_ID,Cell_ID,Identity,Cell_cycle,Size,X,Y,Z,CH1.Avg,CH1.Sum,CH2.Avg,CH2.Sum,CH3.Avg,CH3.Sum,CH4.Avg,CH4.Sum,CH5.Avg,CH5.Sum, 
021418Xim_WT_AW1,1,TE,I,13774,198.25,254.75,6.0877,3245.4,4.47E+07,1769.3,2.44E+07,49.867,6.87E+05,511.4,7.04E+06,51.511,7.10E+05,
021418Xim_WT_AW1,2,TE,I,11511,259.77,210.13,6.6128,3158.2,3.64E+07,1689.2,1.94E+07,53.931,6.21E+05,522.87,6.02E+06,47.809,5.50E+05,
021418Xim_WT_AW1,3,TE,I,11519,287.4,323.91,6.7837,2758.3,3.18E+07,2032.5,2.34E+07,88.551,1.02E+06,500.8,5.77E+06,49.745,5.73E+05,
021418Xim_WT_AW1,4,TE,I,9700,312.61,182.18,11.499,3119.4,3.03E+07,1316.6,1.28E+07,138.1,1.34E+06,513.9,4.98E+06,48.183,4.67E+05,
021418Xim_WT_AW1,5,TE,I,12747,353.7,285.12,11.209,2686.4,3.42E+07,2158.9,2.75E+07,188.12,2.40E+06,506.6,6.46E+06,49.71,6.34E+05,
021418Xim_WT_AW1,6,TE,I,12545,212.03,335.92,16.311,2942.2,3.69E+07,1239.4,1.55E+07,38.635,4.85E+05,468.61,5.88E+06,40.449,5.07E+05,
021418Xim_WT_AW1,7,TE,I,13690,146.58,245.6,18.527,2854.9,3.91E+07,1597.9,2.19E+07,94.977,1.30E+06,490.31,6.71E+06,57.44,7.86E+05,
021418Xim_WT_AW1,8,TE,I,12192,164.52,196.04,19.653,3212.3,3.92E+07,974.29,1.19E+07,121.06,1.48E+06,557.8,6.80E+06,61.541,7.50E+05,
021418Xim_WT_AW1,9,ICM,I,11626,171.03,298.74,21.367,2440.8,2.84E+07,1926.4,2.24E+07,373.2,4.34E+06,537.82,6.25E+06,233.95,2.72E+06,
021418Xim_WT_AW1,10,TE,I,10162,310.16,380.24,25.192,2565.9,2.61E+07,1718.4,1.75E+07,198.27,2.01E+06,492.87,5.01E+06,47.777,4.86E+05,
021418Xim_WT_AW1,11,TE,I,14115,207.56,157.06,26.952,3207.3,4.53E+07,752.17,1.06E+07,36.763,5.19E+05,481.58,6.80E+06,38.747,5.47E+05,
021418Xim_WT_AW1,12,ICM,I,7185,156.48,280.59,27.953,2500,1.80E+07,1690.8,1.21E+07,311.84,2.24E+06,485.76,3.49E+06,396.08,2.85E+06,
021418Xim_WT_AW1,13,TE,I,10140,126.15,246.82,29.052,2471.5,2.51E+07,1677.5,1.70E+07,196.88,2.00E+06,513.51,5.21E+06,180.33,1.83E+06,
021418Xim_WT_AW1,14,TE,I,13429,173.43,348.91,30.794,2617.6,3.52E+07,1024.2,1.38E+07,48.383,6.50E+05,540.83,7.26E+06,43.014,5.78E+05,
021418Xim_WT_AW1,15,ICM,I,7374,171.79,192.36,30.235,2901.2,2.14E+07,1469.1,1.08E+07,228.29,1.68E+06,541.24,3.99E+06,293.89,2.17E+06,
021418Xim_WT_AW1,16,TE,I,21406,376.83,182.25,35.507,2309.3,4.94E+07,942.19,2.02E+07,155.08,3.32E+06,500.77,1.07E+07,39.521,8.46E+05,
021418Xim_WT_AW1,17,ICM,I,10194,136.48,308.66,32.627,2287.1,2.33E+07,1015.1,1.03E+07,362.84,3.70E+06,498.55,5.08E+06,211.71,2.16E+06,
021418Xim_WT_AW1,18,ICM,I,9457,141.55,212.06,33.486,2095.1,1.98E+07,1495.2,1.41E+07,375.56,3.55E+06,516.32,4.88E+06,167.6,1.59E+06,
021418Xim_WT_AW1,19,TE,I,10329,373.23,352.07,33.24,2235.9,2.31E+07,1290.6,1.33E+07,72.99,7.54E+05,480.54,4.96E+06,37.551,3.88E+05,
