Embryo_ID,Cell_ID,Identity,Cell_cycle,Size,X,Y,Z,CH1.Avg,CH1.Sum,CH2.Avg,CH2.Sum,CH3.Avg,CH3.Sum,CH4.Avg,CH4.Sum,CH5.Avg, CH5-Sum, 
111418Xim_WT_CX1,1,TE,I,8612,226.27,283.04,4.8378,2649.8,2.28E+07,75.967,6.54E+05,375.8,3.24E+06,1223.6,1.05E+07,22.732,1.96E+05,
111418Xim_WT_CX1,3,TE,I,7668,255.74,239.09,7.1278,2785.5,2.14E+07,174.42,1.34E+06,360.92,2.77E+06,1226.1,9.40E+06,22.243,1.71E+05,
111418Xim_WT_CX1,4,TE,I,11991,227.01,186.97,7.9756,3183.6,3.82E+07,55.075,6.60E+05,529.94,6.35E+06,1208.6,1.45E+07,21.89,2.62E+05,
111418Xim_WT_CX1,5,TE,I,14452,177.76,232.38,7.8155,2752.4,3.98E+07,30.934,4.47E+05,233.41,3.37E+06,1222.8,1.77E+07,20.496,2.96E+05,
111418Xim_WT_CX1,6,TE,I,10189,160.17,295.04,7.0823,2440.9,2.49E+07,31.862,3.25E+05,191.33,1.95E+06,1219.8,1.24E+07,20.827,2.12E+05,
111418Xim_WT_CX1,7,TE,I,6633,309.23,254.5,9.4058,2955.4,1.96E+07,42.07,2.79E+05,154.44,1.02E+06,1148.9,7.62E+06,22.601,1.50E+05,
111418Xim_WT_CX1,8,TE,I,8566,283.59,295.66,9.2483,2257.3,1.93E+07,125.99,1.08E+06,141.15,1.21E+06,1229.1,1.05E+07,20.99,1.80E+05,
111418Xim_WT_CX1,9,TE,I,7785,329.23,304.69,9.7482,2453.2,1.91E+07,41.763,3.25E+05,153.77,1.20E+06,1178.6,9.18E+06,20.355,1.58E+05,
111418Xim_WT_CX1,10,TE,I,7362,251.57,336.73,10.897,2673.6,1.97E+07,56.816,4.18E+05,265.11,1.95E+06,1194,8.79E+06,22.09,1.63E+05,
111418Xim_WT_CX1,11,TE,I,10734,308.82,206.24,13.291,3306.1,3.55E+07,109.63,1.18E+06,450.75,4.84E+06,1208.5,1.30E+07,21.265,2.28E+05,
111418Xim_WT_CX1,12,TE,I,6772,346.15,231.74,13.694,2789,1.89E+07,35.344,2.39E+05,122.36,8.29E+05,1161.6,7.87E+06,20.801,1.41E+05,
111418Xim_WT_CX1,13,TE,I,7929,197.23,355.39,14.102,2496.2,1.98E+07,37.259,2.95E+05,305.27,2.42E+06,1201.6,9.53E+06,20.982,1.66E+05,
111418Xim_WT_CX1,14,TE,I,7097,182.53,177.37,15.425,2779.6,1.97E+07,35.619,2.53E+05,323.63,2.30E+06,1131.4,8.03E+06,21.307,1.51E+05,
111418Xim_WT_CX1,15,TE,I,6708,310.52,344.02,15.273,2526.1,1.69E+07,78.215,5.25E+05,352.47,2.36E+06,1188,7.97E+06,21.408,1.44E+05,
111418Xim_WT_CX1,16,TE,I,5394,276.49,351.75,15.773,2946.1,1.59E+07,39.535,2.13E+05,279.15,1.51E+06,1201.2,6.48E+06,20.316,1.10E+05,
111418Xim_WT_CX1,17,TE,I,9400,270.61,171.12,16.394,3216,3.02E+07,33.254,3.13E+05,171.02,1.61E+06,1181.4,1.11E+07,20.2,1.90E+05,
111418Xim_WT_CX1,18,TE,I,10786,384.68,299.49,16.805,2979.3,3.21E+07,30.72,3.31E+05,35.496,3.83E+05,1158.4,1.25E+07,20.39,2.20E+05,
