Embryo_ID,Cell_ID,Identity,Cell_cycle,Size,X,Y,Z,CH1.Avg,CH1.Sum,CH2.Avg,CH2.Sum,CH3.Avg,CH3.Sum,CH4.Avg,CH4.Sum,CH5.Avg,CH5.Sum, 
061819Xim_F4_EP3,15,TE,I,14113,293.03,338.01,18.621,2056.2,2.90E+07,411.1,5.80E+06,52.739,7.44E+05,1185.5,1.67E+07,304.31,4.29E+06,
061819Xim_F4_EP3,42,ESC,I,4788,166.23,253.89,41.528,575.79,2.76E+06,391.27,1.87E+06,377.61,1.81E+06,1182.7,5.66E+06,51.434,2.46E+05,
061819Xim_F4_EP3,3,TE,I,14258,181.78,245.73,6.8649,2769.9,3.95E+07,332.08,4.73E+06,69.189,9.87E+05,1123.3,1.60E+07,543.75,7.75E+06,
061819Xim_F4_EP3,10,TE,I,24722,338,292,10,2666.9,6.59E+07,326.48,8.07E+06,47.594,1.18E+06,1143.9,2.83E+07,217.19,5.37E+06,
061819Xim_F4_EP3,10.2,TE,I,24722,354,312,15,2666.9,6.59E+07,326.48,8.07E+06,47.594,1.18E+06,1143.9,2.83E+07,217.19,5.37E+06,
061819Xim_F4_EP3,6,TE,I,6342,260.62,329.41,7.0604,2856.4,1.81E+07,321.27,2.04E+06,244.61,1.55E+06,1197.2,7.59E+06,600.56,3.81E+06,
061819Xim_F4_EP3,1,TE,I,13113,247.33,202.81,7.7317,2883,3.78E+07,282.6,3.71E+06,130.53,1.71E+06,1159.2,1.52E+07,500.97,6.57E+06,
061819Xim_F4_EP3,11,TE,I,6782,233.3,352.78,12.83,2538.6,1.72E+07,279.77,1.90E+06,101.09,6.86E+05,1252.1,8.49E+06,448.57,3.04E+06,
061819Xim_F4_EP3,4,TE,I,10592,263.61,277.8,7.033,3130.9,3.32E+07,275.2,2.91E+06,109.73,1.16E+06,1282.2,1.36E+07,485.9,5.15E+06,
061819Xim_F4_EP3,5,TE,I,23170,216,318,6,3062.4,7.10E+07,266.63,6.18E+06,47.884,1.11E+06,1227.6,2.84E+07,235.88,5.47E+06,
061819Xim_F4_EP3,5.2,TE,I,23170,192,311,10,3062.4,7.10E+07,266.63,6.18E+06,47.884,1.11E+06,1227.6,2.84E+07,235.88,5.47E+06,
