Embryo_ID,Cell_ID,Size,Identity,X,Y,Z,CH1.Avg,CH1.Sum,CH2.Avg,CH2.Sum,CH3.Avg,CH3.Sum,CH4.Avg,CH4.Sum,CH5.Avg,CH5.Sum, 
071816Xim_T10,1,8799,TE,239.82,279.32,4.1835,2436,2.14E+07,36.295,3.19E+05,158.89,1.40E+06,1081.9,9.52E+06,2019.5,1.78E+07,
071816Xim_T10,2,9853,TE,289.2,314.89,5.1276,2615.3,2.58E+07,32.924,3.24E+05,154.87,1.53E+06,1083.7,1.07E+07,2206.9,2.17E+07,
071816Xim_T10,4,10096,TE,300.04,252.22,5.0426,2199.8,2.22E+07,31.447,3.17E+05,131.12,1.32E+06,1071.7,1.08E+07,1656.5,1.67E+07,
071816Xim_T10,5,11744,TE,289.91,188.57,7.6815,1697.9,1.99E+07,24.79,2.91E+05,104.71,1.23E+06,1056.9,1.24E+07,1376.2,1.62E+07,
071816Xim_T10,6,11646,TE,354.39,227.69,7.9748,1491.9,1.74E+07,24.729,2.88E+05,87.49,1.02E+06,1097.4,1.28E+07,808.84,9.42E+06,
071816Xim_T10,7,20204,TE,198.28,223.09,10.753,1245,2.52E+07,22.55,4.56E+05,69.326,1.40E+06,1009.2,2.04E+07,536.82,1.08E+07,
071816Xim_T10,8,11995,TE,352.03,310.59,11.849,2114.3,2.54E+07,29.092,3.49E+05,111.36,1.34E+06,1049.5,1.26E+07,1146.5,1.38E+07,
071816Xim_T10,9,12618,TE,229.7,341.56,12.107,2220.5,2.80E+07,27.913,3.52E+05,103.78,1.31E+06,1075,1.36E+07,1133.1,1.43E+07,
071816Xim_T10,10,7164,TE,233.71,169.25,14.245,1814.8,1.30E+07,26.322,1.89E+05,87.408,6.26E+05,1048.3,7.51E+06,932.97,6.68E+06,
071816Xim_T10,11,13126,TE,162.89,282.8,15.266,1861.5,2.44E+07,28.894,3.79E+05,101.43,1.33E+06,1105.9,1.45E+07,1102.5,1.45E+07,
071816Xim_T10,12,6576,TE,335.04,162.87,14.766,1722.3,1.13E+07,29.516,1.94E+05,111.88,7.36E+05,1086.6,7.15E+06,1349.4,8.87E+06,
071816Xim_T10,13,10054,TE,313.01,359.36,17.72,2255.1,2.27E+07,27.173,2.73E+05,124.84,1.26E+06,1063.7,1.07E+07,1676.5,1.69E+07,
071816Xim_T10,14,5622,TE,258,132.4,18.636,1984.6,1.12E+07,25.593,1.44E+05,97.163,5.46E+05,1077.3,6.06E+06,1315,7.39E+06,
071816Xim_T10,15,6659,TE,400.26,222.71,18.223,1685.9,1.12E+07,25.983,1.73E+05,264.93,1.76E+06,1022.5,6.81E+06,1247.3,8.31E+06,
071816Xim_T10,16,8638,TE,395.54,283.99,18.087,2063.4,1.78E+07,27.161,2.35E+05,100.63,8.69E+05,1029.7,8.89E+06,936.78,8.09E+06,
071816Xim_T10,17,6277,TE,305.08,134.16,19.259,1660.1,1.04E+07,26.172,1.64E+05,108.68,6.82E+05,985.23,6.18E+06,1435.8,9.01E+06,
071816Xim_T10,18,8601,TE,377.35,169.81,21.053,1602,1.38E+07,26.255,2.26E+05,98.902,8.51E+05,1043.1,8.97E+06,1183.3,1.02E+07,
071816Xim_T10,20,10802,TE,144.98,195.16,21.234,1924,2.08E+07,27.553,2.98E+05,81.484,8.80E+05,1059.7,1.14E+07,662.6,7.16E+06,
071816Xim_T10,21,9443,TE,142.04,324.15,23.428,1951.9,1.84E+07,27.281,2.58E+05,93.485,8.83E+05,1109.6,1.05E+07,1018.7,9.62E+06,
071816Xim_T10,22,7167,TE,364.37,347.34,23.26,1807.6,1.30E+07,26.037,1.87E+05,96.193,6.89E+05,1089.2,7.81E+06,937.29,6.72E+06,
071816Xim_T10,24,6228,ICM,148.7,256.47,25.366,1647.7,1.03E+07,30.591,1.91E+05,99.02,6.17E+05,1049.6,6.54E+06,1478,9.21E+06,
071816Xim_T10,26,7042,TE,258.87,386.03,26.62,1448.5,1.02E+07,27.225,1.92E+05,105.42,7.42E+05,1020.1,7.18E+06,1267.9,8.93E+06,
071816Xim_T10,28,7582,TE,202.93,142.78,26.633,1607,1.22E+07,22.413,1.70E+05,72.733,5.51E+05,1004.4,7.62E+06,804.56,6.10E+06,
071816Xim_T10,29,6907,ESC,113.61,223.13,26.426,1903.1,1.31E+07,1350.8,9.33E+06,918.94,6.35E+06,1023.3,7.07E+06,221.99,1.53E+06,
071816Xim_T10,30,22751,TE,79.211,237.23,30.998,1977.2,4.50E+07,619.93,1.41E+07,458.21,1.04E+07,966.95,2.20E+07,579.65,1.32E+07,
071816Xim_T10,30.2,,ESC,81,251,31,2182.464,,1140.321,,748.86,,971.942,,286.065,,
071816Xim_T10,30.3,,ESC,75,256,37,1910.207,,1250.615,,902.046,,1030.787,,175.582,,
071816Xim_T10,31,6788,ICM,151.92,287.45,27.258,1918.7,1.30E+07,28.039,1.90E+05,85.369,5.79E+05,1056.4,7.17E+06,1209.9,8.21E+06,
071816Xim_T10,32,10408,TE,208.44,380.61,29.779,1757.5,1.83E+07,24.238,2.52E+05,93.92,9.78E+05,1044.6,1.09E+07,1095,1.14E+07,
071816Xim_T10,33,9398,TE,304.71,387.4,29.567,1592.5,1.50E+07,26.971,2.53E+05,95.954,9.02E+05,1060.6,9.97E+06,1416.6,1.33E+07,
071816Xim_T10,34,11871,ICM,171.78,212.7,31.986,1680.3,1.99E+07,22.599,2.68E+05,106.32,1.26E+06,989.12,1.17E+07,2027.5,2.41E+07,
071816Xim_T10,35,7763,ICM,170.36,319.4,32.039,1361.8,1.06E+07,18.846,1.46E+05,79.728,6.19E+05,1061.4,8.24E+06,1461.4,1.13E+07,
071816Xim_T10,36,5922,ESC,111.77,269.3,31.224,1525.3,9.03E+06,598.4,3.54E+06,614.1,3.64E+06,979.87,5.80E+06,207.56,1.23E+06,
071816Xim_T10,37,6993,ESC,84.069,285.1,32.045,1960.4,1.37E+07,619.66,4.33E+06,576.22,4.03E+06,1056.5,7.39E+06,216.9,1.52E+06,
071816Xim_T10,38,9696,TE,137.49,164.21,34.634,1768.3,1.71E+07,22.793,2.21E+05,80.358,7.79E+05,1058.3,1.03E+07,709.08,6.88E+06,
071816Xim_T10,39,7753,TE,112.53,190.19,34.232,1464,1.14E+07,30.736,2.38E+05,745.25,5.78E+06,1076.6,8.35E+06,315.35,2.44E+06,
071816Xim_T10,40,10947,TE,423.91,254.62,34.783,1438,1.57E+07,22.863,2.50E+05,73.774,8.08E+05,1059.4,1.16E+07,639.96,7.01E+06,
071816Xim_T10,41,17648,TE,403.18,338.08,38.137,1556.3,2.75E+07,21.1,3.72E+05,72.377,1.28E+06,1145.2,2.02E+07,664.48,1.17E+07,
071816Xim_T10,41.2,,TE,406,345,43,1560.905,,20.36,,68.238,,1153.311,,692.527,,
071816Xim_T10,42,5396,ESC,119.87,225.81,35.098,1428.2,7.71E+06,951.42,5.13E+06,839.83,4.53E+06,973.03,5.25E+06,192.3,1.04E+06,
071816Xim_T10,43,6612,TE,266.36,93.368,36.988,1272.9,8.42E+06,19.453,1.29E+05,65.873,4.36E+05,1078.8,7.13E+06,794.47,5.25E+06,
071816Xim_T10,44,11222,TE,376.38,126.77,37.904,1475.3,1.66E+07,22.551,2.53E+05,99.968,1.12E+06,1068.6,1.20E+07,1160.5,1.30E+07,
071816Xim_T10,45,13727,TE,418.77,184.12,38.607,1303.4,1.79E+07,21.926,3.01E+05,69.286,9.51E+05,1153,1.58E+07,599.42,8.23E+06,
071816Xim_T10,46,4091,ICM,149.08,304.53,35.564,1561,6.39E+06,25.607,1.05E+05,99.29,4.06E+05,1207.8,4.94E+06,1874,7.67E+06,
