Embryo_ID,Cell_ID,Identity,Cell_cycle,Size,X,Y,Z,CH1.Avg,CH1.Sum,CH2.Avg,CH2.Sum,CH3.Avg,CH3.Sum,CH4.Avg,CH4.Sum,CH5.Avg, CH5-Sum, 
080118Xim_WT_CF12,1,TE,I,5071,236.77,235.49,3.9326,2345.2,1.19E+07,41.109,2.08E+05,503.89,2.56E+06,1182.2,6.00E+06,21.526,1.09E+05,
080118Xim_WT_CF12,2,TE,I,6587,241.12,182.59,5.5004,2242,1.48E+07,37.737,2.49E+05,427.86,2.82E+06,1209.2,7.96E+06,20.265,1.33E+05,
080118Xim_WT_CF12,3,TE,I,3784,286.16,260.73,5.5912,2955.2,1.12E+07,48.702,1.84E+05,352.48,1.33E+06,1174.9,4.45E+06,21.275,80505,
080118Xim_WT_CF12,4,TE,I,4063,181.21,264.67,6.3928,2777.8,1.13E+07,46.805,1.90E+05,609.45,2.48E+06,1214.5,4.93E+06,20.939,85075,
080118Xim_WT_CF12,5,TE,I,3687,243.38,292.89,5.4836,3071.9,1.13E+07,57.167,2.11E+05,383.64,1.41E+06,1151.1,4.24E+06,21.584,79579,
080118Xim_WT_CF12,6,TE,I,3187,276.04,310.9,8.1475,3278.7,1.04E+07,58.152,1.85E+05,278.76,8.88E+05,1179.6,3.76E+06,21.546,68666,
080118Xim_WT_CF12,7,TE,I,7802,297.59,188.55,8.6996,1624.4,1.27E+07,42.826,3.34E+05,269.54,2.10E+06,1192.2,9.30E+06,19.512,1.52E+05,
080118Xim_WT_CF12,8,TE,I,10167,152.57,224.69,7.7933,2132.4,2.17E+07,39.504,4.02E+05,108.45,1.10E+06,1183.5,1.20E+07,24.1,2.45E+05,
080118Xim_WT_CF12,9,TE,I,5597,339.31,256.73,9.5147,2264.8,1.27E+07,43.656,2.44E+05,217.1,1.22E+06,1192.6,6.68E+06,19.428,1.09E+05,
080118Xim_WT_CF12,10,TE,I,3319,318.04,297.16,10.118,3118.1,1.03E+07,50.849,1.69E+05,242.35,8.04E+05,1168.1,3.88E+06,20.615,68421,
080118Xim_WT_CF12,11,TE,I,5806,202.08,315.38,10.613,2426.2,1.41E+07,42.454,2.46E+05,436.83,2.54E+06,1217.4,7.07E+06,19.779,1.15E+05,
080118Xim_WT_CF12,12,TE,I,7314,176.12,160.24,13.593,2044.1,1.50E+07,36.385,2.66E+05,231.9,1.70E+06,1175.1,8.59E+06,18.971,1.39E+05,
080118Xim_WT_CF12,13,TE,I,6724,364.08,202.17,14.721,3079.4,2.07E+07,46.506,3.13E+05,102.7,6.91E+05,1177.4,7.92E+06,19.344,1.30E+05,
080118Xim_WT_CF12,14,TE,I,6872,141.98,294.51,16.365,2360.9,1.62E+07,36.495,2.51E+05,71.961,4.95E+05,1160.8,7.98E+06,18.899,1.30E+05,
080118Xim_WT_CF12,15,TE,I,3293,332.1,337.65,18.381,3230.9,1.06E+07,49.875,1.64E+05,233.45,7.69E+05,1162.7,3.83E+06,20.08,66125,
080118Xim_WT_CF12,16,ICM,I,3227,142.85,195.65,18.613,2088.3,6.74E+06,36.908,1.19E+05,368.51,1.19E+06,1190.9,3.84E+06,20.769,67020,
080118Xim_WT_CF12,17,ESC,I,5748,124.01,237.31,19.577,2460.4,1.41E+07,90.917,5.23E+05,246.25,1.42E+06,1156.7,6.65E+06,1617.4,9.30E+06,
080118Xim_WT_CF12,17.2,TE,I,5748,126,246,22,2366.777,,47.283,,364.612,,1171.339,,522.239,,
080118Xim_WT_CF12,18,TE,M,4844,249.06,119.56,19.241,2925.1,1.42E+07,33.613,1.63E+05,41.236,2.00E+05,1194.4,5.79E+06,17.551,85019,
080118Xim_WT_CF12,19,TE,I,4775,120.86,174.21,19.752,1733.4,8.28E+06,37.692,1.80E+05,114.17,5.45E+05,1208.8,5.77E+06,19.305,92183,
080118Xim_WT_CF12,20,TE,I,3426,96.763,232.92,19.983,2693,9.23E+06,43.872,1.50E+05,108.2,3.71E+05,1111.4,3.81E+06,64.935,2.22E+05,
080118Xim_WT_CF12,21,TE,I,3504,285.34,353.82,19.519,3036.1,1.06E+07,40.246,1.41E+05,251.48,8.81E+05,1201.1,4.21E+06,19.165,67155,
080118Xim_WT_CF12,22,TE,I,4512,234.71,363.1,20.403,2571.3,1.16E+07,37.324,1.68E+05,266.79,1.20E+06,1207.2,5.45E+06,18.863,85109,
080118Xim_WT_CF12,23,TE,I,8071,385.59,287.73,21.24,2838,2.29E+07,46.532,3.76E+05,112.63,9.09E+05,1187,9.58E+06,19.267,1.56E+05,
080118Xim_WT_CF12,23.2,TE,I,8071,380,296,20,3387.663,,42.735,,175.726,,1166.614,,18.014,,
080118Xim_WT_CF12,24,ICM,I,2669,136.39,275.23,22.325,2533.9,6.76E+06,39.224,1.05E+05,707.11,1.89E+06,1143.8,3.05E+06,20.597,54973,
080118Xim_WT_CF12,25,TE,I,3054,342.96,136.71,24.1,2855.5,8.72E+06,41.195,1.26E+05,313.37,9.57E+05,1173.9,3.59E+06,19.026,58105,
080118Xim_WT_CF12,26,TE,I,4266,92.284,264.83,25.107,2320.5,9.90E+06,38.176,1.63E+05,104.9,4.48E+05,1067.6,4.55E+06,22.358,95380,
