Embryo_ID,Cell_ID,Identity,Cell_cycle,Size,X,Y,Z,CH1.Avg,CH1.Sum,CH2.Avg,CH2.Sum,CH3.Avg,CH3.Sum,CH4.Avg,CH4.Sum,CH5.Avg,CH5.Sum, 
052019Xim_F4_EM6,1,TE,I,9967,241.62,232.31,5.4848,1833,1.83E+07,50.015,4.99E+05,52.768,5.26E+05,1720.3,1.71E+07,582.03,5.80E+06,
052019Xim_F4_EM6,2,TE,I,9581,207.24,203,7.4752,2322.7,2.23E+07,53.986,5.17E+05,233.26,2.23E+06,1507.4,1.44E+07,481.65,4.61E+06,
052019Xim_F4_EM6,3,TE,I,20565,319.01,255.12,8.5505,2100.1,4.32E+07,43.554,8.96E+05,30.785,6.33E+05,1698.8,3.49E+07,93.572,1.92E+06,
052019Xim_F4_EM6,4,ICM,I,20929,169,219,8,2812.847,,89.064,,1709.446,,1691.135,,87.844,,
052019Xim_F4_EM6,4.2,ESC,I,20929,146,232,16,2778.797,,1555.644,,978.045,,1763.06,,80.174,,
052019Xim_F4_EM6,5,TE,I,8480,304.53,213.54,9.9192,2062.7,1.75E+07,48.614,4.12E+05,43.414,3.68E+05,1722.6,1.46E+07,151.44,1.28E+06,
052019Xim_F4_EM6,6,ICM,I,8986,190.19,249.75,11.458,2516.9,2.26E+07,54.045,4.86E+05,1216.1,1.09E+07,1620.4,1.46E+07,87.087,7.83E+05,
052019Xim_F4_EM6,7,ICM,I,8106,177.3,280.93,8.7958,2192.4,1.78E+07,49.267,3.99E+05,67.592,5.48E+05,1648.8,1.34E+07,611.67,4.96E+06,
052019Xim_F4_EM6,8,TE,I,19387,296.52,310.36,9.6736,2061.1,4.00E+07,39.046,7.57E+05,29.919,5.80E+05,1727.8,3.35E+07,99.726,1.93E+06,
052019Xim_F4_EM6,9,TE,I,14796,131.7,207.08,13.68,2567.2,3.80E+07,50.296,7.44E+05,113.49,1.68E+06,1513,2.24E+07,449.59,6.65E+06,
052019Xim_F4_EM6,10,TE,I,19038,208.06,317.73,10.872,2183.7,4.16E+07,50.668,9.65E+05,35.642,6.79E+05,1631.3,3.11E+07,121.68,2.32E+06,
052019Xim_F4_EM6,11,TE,I,7586,253.82,176.5,12.644,2026.2,1.54E+07,44.721,3.39E+05,173.35,1.32E+06,1640.8,1.24E+07,374.31,2.84E+06,
052019Xim_F4_EM6,13,TE,I,15856,189.05,158.79,18.72,1980.3,3.14E+07,53.641,8.51E+05,55.093,8.74E+05,1565.9,2.48E+07,172.41,2.73E+06,
052019Xim_F4_EM6,14,ICM,I,8540,193.67,213.17,15.7,2303.6,1.97E+07,72.785,6.22E+05,1273.6,1.09E+07,1561.7,1.33E+07,74.75,6.38E+05,
052019Xim_F4_EM6,16,ICM,I,14571,153.68,281.14,19.459,2050.4,2.99E+07,43.041,6.27E+05,764.86,1.11E+07,1729.2,2.52E+07,80.386,1.17E+06,
052019Xim_F4_EM6,16.2,ICM,I,14571,153,295,18,2332.471,,42.397,,850.638,,1722.602,,86.454,,
052019Xim_F4_EM6,17,TE,I,6397,304.66,165.64,18.193,2093.9,1.34E+07,41.854,2.68E+05,37.755,2.42E+05,1840.3,1.18E+07,148.24,9.48E+05,
052019Xim_F4_EM6,18,TE,I,7151,336.35,187.48,19.598,1906.8,1.36E+07,39.69,2.84E+05,63.302,4.53E+05,1653.3,1.18E+07,130.38,9.32E+05,
052019Xim_F4_EM6,19,TE,I,14827,136.56,314.01,23.406,2404.2,3.56E+07,42.53,6.31E+05,73.721,1.09E+06,1667.2,2.47E+07,301.72,4.47E+06,
052019Xim_F4_EM6,22,ICM,I,7027,147.94,207.26,22.501,2196.8,1.54E+07,67.452,4.74E+05,984.56,6.92E+06,1577.1,1.11E+07,77.152,5.42E+05,
052019Xim_F4_EM6,23,ICM,I,11009,118.11,256.95,23.991,1653.9,1.82E+07,40.112,4.42E+05,890.71,9.81E+06,1567.4,1.73E+07,56.588,6.23E+05,
052019Xim_F4_EM6,24,TE,I,8707,267.86,379.43,22.792,1863,1.62E+07,66.464,5.79E+05,288.7,2.51E+06,1759.1,1.53E+07,155.15,1.35E+06,
052019Xim_F4_EM6,26,TE,I,14337,372.12,267.4,25.099,2023.7,2.90E+07,43.8,6.28E+05,30.606,4.39E+05,1679.5,2.41E+07,83.757,1.20E+06,
052019Xim_F4_EM6,27,TE,I,7965,328,361.71,25.23,2114.4,1.68E+07,38.66,3.08E+05,237.13,1.89E+06,1654.6,1.32E+07,237.59,1.89E+06,
052019Xim_F4_EM6,29,ICM,I,8466,175.33,186.83,24.679,1686.5,1.43E+07,48.975,4.15E+05,828.37,7.01E+06,1473.5,1.25E+07,82.5,6.98E+05,
052019Xim_F4_EM6,31,TE,I,13216,244.85,127.31,28.022,1820,2.41E+07,41.136,5.44E+05,72.665,9.60E+05,1626.6,2.15E+07,101.15,1.34E+06,
052019Xim_F4_EM6,32,TE,I,7461,291.58,134.52,27.492,1586.7,1.18E+07,45.721,3.41E+05,53.77,4.01E+05,1623.3,1.21E+07,140.38,1.05E+06,
052019Xim_F4_EM6,33,TE,I,13233,208.54,385.83,27.922,2671.9,3.54E+07,41.359,5.47E+05,27.44,3.63E+05,1653.5,2.19E+07,81.637,1.08E+06,
052019Xim_F4_EM6,34,ESC,I,6483,174.59,216.8,26.134,1710.3,1.11E+07,967.82,6.27E+06,661.1,4.29E+06,1625.2,1.05E+07,58.095,3.77E+05,
052019Xim_F4_EM6,35,ESC,I,8331,148.2,241.32,30.481,1252,1.04E+07,728.11,6.07E+06,483.83,4.03E+06,1577.1,1.31E+07,45.698,3.81E+05,
052019Xim_F4_EM6,36,TE,I,13967,365.09,170.58,36.492,1389.9,1.94E+07,30.619,4.28E+05,27.547,3.85E+05,1605.7,2.24E+07,74.61,1.04E+06,
052019Xim_F4_EM6,37,TE,I,7270,366,349.59,35.343,1866.5,1.36E+07,29.914,2.17E+05,312.75,2.27E+06,1669.7,1.21E+07,174.63,1.27E+06,
052019Xim_F4_EM6,38,TE,I,12450,133.84,361.59,37.791,1560.6,1.94E+07,32.825,4.09E+05,25.114,3.13E+05,1811.6,2.26E+07,64.383,8.02E+05,
052019Xim_F4_EM6,39,TE,I,13255,303.41,402.17,36.971,1859.7,2.47E+07,41.399,5.49E+05,28.154,3.73E+05,1842,2.44E+07,67.623,8.96E+05,
052019Xim_F4_EM6,41,TE,M,32479,162.12,139.11,42.41,1685.4,5.47E+07,22.661,7.36E+05,23.277,7.56E+05,1627.5,5.29E+07,86.491,2.81E+06,
