Embryo_ID,Cell_ID,Identity,Cell_cycle,Size,X,Y,Z,CH1.Avg,CH1.Sum,CH2.Avg,CH2.Sum,CH3.Avg,CH3.Sum,CH4.Avg,CH4.Sum,CH5.Avg,CH5.Sum, 
022218Xim_WT_AZ4,1,TE,I,9857,291.56,222.74,6.0801,2276.4,2.24E+07,1357.1,1.34E+07,64.563,6.36E+05,547.51,5.40E+06,33.661,3.32E+05,
022218Xim_WT_AZ4,2,TE,I,13050,254.24,258.48,6.3726,2959.7,3.86E+07,755.36,9.86E+06,50.977,6.65E+05,525.05,6.85E+06,30.579,3.99E+05,
022218Xim_WT_AZ4,3,TE,I,16620,199.54,240.62,9.6316,2684.9,4.46E+07,1154.2,1.92E+07,72.222,1.20E+06,552.48,9.18E+06,29.785,4.95E+05,
022218Xim_WT_AZ4,4,TE,I,12392,257.17,177.54,11.967,2628.8,3.26E+07,920.83,1.14E+07,79.722,9.88E+05,537.49,6.66E+06,28.655,3.55E+05,
022218Xim_WT_AZ4,5,TE,I,6736,333.41,222.88,12.622,2809.5,1.89E+07,800.95,5.40E+06,36.432,2.45E+05,521.29,3.51E+06,29.866,2.01E+05,
022218Xim_WT_AZ4,6,TE,I,6191,330.19,258.06,12.731,2823.7,1.75E+07,1120.3,6.94E+06,113.04,7.00E+05,546.78,3.39E+06,30.178,1.87E+05,
022218Xim_WT_AZ4,7,TE,I,6597,227.58,295.76,12.352,2573.8,1.70E+07,1098.3,7.25E+06,43.219,2.85E+05,513.27,3.39E+06,29.017,1.91E+05,
022218Xim_WT_AZ4,8,TE,I,8054,303.52,299.94,12.733,2196.6,1.77E+07,750.93,6.05E+06,42.007,3.38E+05,535.66,4.31E+06,27.767,2.24E+05,
022218Xim_WT_AZ4,9,TE,I,6828,323.68,180.92,15.634,2928.6,2.00E+07,1045.9,7.14E+06,48.031,3.28E+05,513,3.50E+06,29.762,2.03E+05,
022218Xim_WT_AZ4,10,TE,I,11895,205.91,160.36,20.132,3168.5,3.77E+07,613.17,7.29E+06,37.953,4.51E+05,505.44,6.01E+06,27.773,3.30E+05,
022218Xim_WT_AZ4,11,TE,I,10876,133,188.76,19.592,2358.1,2.56E+07,1208.7,1.31E+07,49.655,5.40E+05,507.43,5.52E+06,29.306,3.19E+05,
022218Xim_WT_AZ4,12,TE,I,6374,347.7,296.65,18.369,2564.3,1.63E+07,1056,6.73E+06,105.77,6.74E+05,503.39,3.21E+06,29.081,1.85E+05,
022218Xim_WT_AZ4,13,ICM,I,6477,144.9,225.07,18.989,2266.7,1.47E+07,1409.8,9.13E+06,333.23,2.16E+06,542.23,3.51E+06,31.098,2.01E+05,
022218Xim_WT_AZ4,14,ICM,I,7720,159.82,286.93,19.227,2082.4,1.61E+07,1799.2,1.39E+07,173.74,1.34E+06,461.86,3.57E+06,31.948,2.47E+05,
022218Xim_WT_AZ4,15,ICM,I,15508,176.4,195.83,21.818,2662.6,4.13E+07,1348.8,2.09E+07,317.98,4.93E+06,527.04,8.17E+06,31.061,4.82E+05,
022218Xim_WT_AZ4,16,TE,I,14088,192.1,326.74,21.742,2178.5,3.07E+07,816.37,1.15E+07,57.784,8.14E+05,517.99,7.30E+06,27.019,3.81E+05,
022218Xim_WT_AZ4,17,TE,I,13987,284.54,348.88,22.311,2187.9,3.06E+07,534.51,7.48E+06,38.605,5.40E+05,529.06,7.40E+06,24.723,3.46E+05,
022218Xim_WT_AZ4,18,ICM,I,12319,201.05,229.7,21.558,2720.5,3.35E+07,1333.3,1.64E+07,395.87,4.88E+06,517.98,6.38E+06,29.344,3.61E+05,
022218Xim_WT_AZ4,20,ICM,I,7454,128.27,251.16,22.695,2223.6,1.66E+07,1244,9.27E+06,321.18,2.39E+06,564.81,4.21E+06,28.246,2.11E+05,
022218Xim_WT_AZ4,21,TE,I,6004,368.4,271.65,24.501,2469.6,1.48E+07,952.63,5.72E+06,40.101,2.41E+05,566.09,3.40E+06,27.225,1.63E+05,
022218Xim_WT_AZ4,22,ICM,I,5253,182.14,306.47,24.415,2472.2,1.30E+07,1192.1,6.26E+06,241.4,1.27E+06,623.78,3.28E+06,27.749,1.46E+05,
022218Xim_WT_AZ4,23,TE,I,10700,293.35,135.25,28.17,2454.6,2.63E+07,768.91,8.23E+06,41.14,4.40E+05,571.84,6.12E+06,26.014,2.78E+05,
022218Xim_WT_AZ4,24,TE,I,6566,375.39,214.38,26.905,2427.5,1.59E+07,509.26,3.34E+06,27.045,1.78E+05,576.65,3.79E+06,24.81,1.63E+05,
022218Xim_WT_AZ4,25,ICM,I,4760,186.35,259.44,23.638,1959.9,9.33E+06,964.57,4.59E+06,276.1,1.31E+06,478.89,2.28E+06,26.513,1.26E+05,
022218Xim_WT_AZ4,27,TE,I,9121,346.73,327.85,28.209,1594,1.45E+07,491.11,4.48E+06,32.924,3.00E+05,563.94,5.14E+06,24.354,2.22E+05,
022218Xim_WT_AZ4,28,TE,I,5465,217.22,349.52,27.881,2296.1,1.25E+07,868.88,4.75E+06,34.099,1.86E+05,529.5,2.89E+06,26.184,1.43E+05,
022218Xim_WT_AZ4,30,TE,I,12948,90.87,252.01,31.183,2097.8,2.72E+07,596.84,7.73E+06,44.712,5.79E+05,526.6,6.82E+06,24.411,3.16E+05,
022218Xim_WT_AZ4,32,ICM,I,8245,219.37,267.83,30.321,1431,1.18E+07,1033.4,8.52E+06,372.11,3.07E+06,565.57,4.66E+06,25.842,2.13E+05,
022218Xim_WT_AZ4,33,TE,I,9641,235.72,133,33.073,2183.5,2.11E+07,653.09,6.30E+06,55.2,5.32E+05,570.18,5.50E+06,24.695,2.38E+05,
022218Xim_WT_AZ4,34,TE,I,15670,347.06,152.96,33.561,2164.1,3.39E+07,692.76,1.09E+07,42.372,6.64E+05,535.6,8.39E+06,25.417,3.98E+05,
022218Xim_WT_AZ4,35,ICM,M,4832,145.77,263.44,32.44,1807.8,8.74E+06,371.26,1.79E+06,65.074,3.14E+05,529.69,2.56E+06,21.96,1.06E+05,
022218Xim_WT_AZ4,36,TE,I,7948,248.39,368.7,34.902,1477.8,1.17E+07,625.88,4.97E+06,37.26,2.96E+05,624.76,4.97E+06,24.016,1.91E+05,
022218Xim_WT_AZ4,37,ICM,I,10883,179.09,139.7,36.682,1218.1,1.33E+07,540.51,5.88E+06,171.05,1.86E+06,513.79,5.59E+06,23.797,2.59E+05,
022218Xim_WT_AZ4,38,ICM,I,9034,180.83,212.72,34.726,1581.5,1.43E+07,681.02,6.15E+06,210.87,1.91E+06,540.77,4.89E+06,24.046,2.17E+05,
022218Xim_WT_AZ4,41,ICM,I,11152,145.37,198.08,38.126,1469.8,1.64E+07,763.46,8.51E+06,305.24,3.40E+06,533.71,5.95E+06,24.814,2.77E+05,
022218Xim_WT_AZ4,42,ICM,I,12721,105.34,211.18,39.083,1531.9,1.95E+07,753.12,9.58E+06,183.97,2.34E+06,540.22,6.87E+06,23.409,2.98E+05,
022218Xim_WT_AZ4,43,ICM,I,9366,193.82,246.97,37.498,1366.8,1.28E+07,883.57,8.28E+06,148.35,1.39E+06,488.89,4.58E+06,24.516,2.30E+05,
022218Xim_WT_AZ4,44,TE,M,18653,385.23,248.06,39.752,1395.6,2.60E+07,247.6,4.62E+06,24.768,4.62E+05,553.06,1.03E+07,20.778,3.88E+05,
022218Xim_WT_AZ4,45,ICM,I,14167,187.93,313.44,35.644,1432.2,2.03E+07,883.02,1.25E+07,334.84,4.74E+06,556.1,7.88E+06,24.594,3.48E+05,
022218Xim_WT_AZ4,46,ICM,I,10420,150.22,167.02,38.002,1256.1,1.31E+07,666.17,6.94E+06,171.06,1.78E+06,505.16,5.26E+06,23.855,2.49E+05,
022218Xim_WT_AZ4,47,ICM,M,12248,150.94,334.73,41.354,1498.2,1.84E+07,191.22,2.34E+06,25.813,3.16E+05,564.21,6.91E+06,18.48,2.26E+05,
022218Xim_WT_AZ4,48,ICM,I,8198,134.95,235.55,39.044,1153.1,9.45E+06,367.85,3.02E+06,165.33,1.36E+06,548.87,4.50E+06,21.008,1.72E+05,
022218Xim_WT_AZ4,49,TE,I,7276,383.77,301.59,42.238,1251.7,9.11E+06,483.1,3.52E+06,27.019,1.97E+05,516.82,3.76E+06,22.124,1.61E+05,
022218Xim_WT_AZ4,50,TE,I,9082,339.12,357.24,42.167,1181.7,1.07E+07,444.77,4.04E+06,28.926,2.63E+05,577.9,5.25E+06,25.326,2.30E+05,
022218Xim_WT_AZ4,51,TE,I,12503,290.22,370.09,43.461,931.55,1.16E+07,418.02,5.23E+06,51.067,6.38E+05,538.6,6.73E+06,22.604,2.83E+05,
022218Xim_WT_AZ4,52,ICM,I,3949,199.83,279.77,40.668,1190.6,4.70E+06,850.84,3.36E+06,202.53,8.00E+05,574.73,2.27E+06,23.271,91896,
022218Xim_WT_AZ4,54,ICM,I,2865,134.86,300.49,44.218,1049.4,3.01E+06,569.51,1.63E+06,133.2,3.82E+05,494.03,1.42E+06,21.772,62377,
022218Xim_WT_AZ4,55,TE,I,7952,364.19,161.38,47.888,1452.4,1.16E+07,608.94,4.84E+06,70.619,5.62E+05,507.5,4.04E+06,23.708,1.89E+05,
022218Xim_WT_AZ4,56,TE,I,12065,109.66,189.13,49.22,1059.4,1.28E+07,560.44,6.76E+06,44.33,5.35E+05,546.76,6.60E+06,22.05,2.66E+05,
022218Xim_WT_AZ4,57,ICM,I,18074,214.83,257.9,51.402,661.3,1.20E+07,405.37,7.33E+06,89.207,1.61E+06,511.38,9.24E+06,19.605,3.54E+05,
