Embryo_ID,Cell_ID,Identity,Cell_cycle,Size,X,Y,Z,CH1.Avg,CH1.Sum,CH2.Avg,CH2.Sum,CH3.Avg,CH3.Sum,CH4.Avg,CH4.Sum,CH5.Avg,CH5.Sum, 
072418Xim_WT_CC5,1,TE,I,8808,198.02,219.56,5.7565,2825.8,2.49E+07,94.337,8.31E+05,74.188,6.53E+05,277.09,2.44E+06,24.818,2.19E+05,
072418Xim_WT_CC5,2,TE,I,7647,252.53,246.91,4.9315,3162.6,2.42E+07,92.617,7.08E+05,44.675,3.42E+05,313.15,2.39E+06,23.738,1.82E+05,
072418Xim_WT_CC5,3,TE,I,9672,215.17,296.54,5.7248,2606.1,2.52E+07,93.663,9.06E+05,70.906,6.86E+05,290.32,2.81E+06,24.658,2.39E+05,
072418Xim_WT_CC5,4,TE,I,7361,148.47,237.46,7.7024,2546.9,1.87E+07,93.496,6.88E+05,41.495,3.05E+05,319.75,2.35E+06,23.993,1.77E+05,
072418Xim_WT_CC5,5,TE,I,8284,282.63,263.31,6.7754,2832.6,2.35E+07,81.814,6.78E+05,41.047,3.40E+05,315.91,2.62E+06,22.921,1.90E+05,
072418Xim_WT_CC5,6,TE,I,11455,268.02,312.59,7.1017,2650.9,3.04E+07,99.911,1.14E+06,38.041,4.36E+05,316.45,3.63E+06,23.118,2.65E+05,
072418Xim_WT_CC5,7,TE,I,9321,251.06,183.47,9.0738,2451.6,2.29E+07,69.126,6.44E+05,175.83,1.64E+06,321.86,3.00E+06,23.076,2.15E+05,
072418Xim_WT_CC5,8,TE,I,7354,312.54,217.52,8.9549,2679.1,1.97E+07,63.061,4.64E+05,201.69,1.48E+06,319.28,2.35E+06,22.248,1.64E+05,
072418Xim_WT_CC5,9,TE,I,5860,170.4,321.51,10.273,3068.7,1.80E+07,86.254,5.05E+05,102.89,6.03E+05,261.94,1.54E+06,25.073,1.47E+05,
072418Xim_WT_CC5,11,TE,I,16026,192.5,156.48,11.285,2181.8,3.50E+07,76.601,1.23E+06,226.55,3.63E+06,316.68,5.08E+06,23.317,3.74E+05,
072418Xim_WT_CC5,12,TE,I,14350,143.77,287.68,11.765,2185,3.14E+07,103.75,1.49E+06,33.545,4.81E+05,275.57,3.95E+06,23.386,3.36E+05,
072418Xim_WT_CC5,13,TE,I,14807,218.08,351.25,10.602,2441,3.61E+07,104.55,1.55E+06,40.261,5.96E+05,304.3,4.51E+06,23.65,3.50E+05,
072418Xim_WT_CC5,14,ICM,I,9709,266.26,232.8,12.723,3017.5,2.93E+07,79.546,7.72E+05,219.39,2.13E+06,309.29,3.00E+06,23,2.23E+05,
072418Xim_WT_CC5,15,ICM,I,8289,232.19,253.65,12.844,2960.1,2.45E+07,77.616,6.43E+05,257.88,2.14E+06,306.79,2.54E+06,22.899,1.90E+05,
072418Xim_WT_CC5,16,ICM,I,8074,258.13,289,12.913,3057,2.47E+07,89.45,7.22E+05,457.33,3.69E+06,295.86,2.39E+06,23.269,1.88E+05,
072418Xim_WT_CC5,17,TE,I,7726,138.09,185.31,14.416,2097,1.62E+07,95.144,7.35E+05,35.785,2.76E+05,320.8,2.48E+06,22.181,1.71E+05,
072418Xim_WT_CC5,18,ICM,I,7994,225.83,216.4,13.892,2564.5,2.05E+07,75.888,6.07E+05,452.89,3.62E+06,299.55,2.39E+06,22.223,1.78E+05,
072418Xim_WT_CC5,19,ICM,I,6268,177.72,289.25,13.623,2509.1,1.57E+07,90.325,5.66E+05,39.122,2.45E+05,308.06,1.93E+06,23.538,1.48E+05,
072418Xim_WT_CC5,20,ICM,I,16509,235,322,12,3080.915,,238.085,,40.7,,310.265,,24.002,,
072418Xim_WT_CC5,20.2,ICM,I,16509,225,319,19,3137.355,,93.774,,324.032,,307.07,,22.582,,
072418Xim_WT_CC5,21,ICM,I,6668,176.51,228.09,15.662,2011.4,1.34E+07,91.915,6.13E+05,30.761,2.05E+05,278.92,1.86E+06,21.782,1.45E+05,
072418Xim_WT_CC5,22,ICM,I,5338,227.3,280.9,15.326,2864.8,1.53E+07,72.6,3.88E+05,337.88,1.80E+06,315.04,1.68E+06,22.278,1.19E+05,
072418Xim_WT_CC5,23,TE,I,10384,317.64,158.94,17.419,3182,3.30E+07,61.298,6.37E+05,303.88,3.16E+06,328.72,3.41E+06,23.186,2.41E+05,
072418Xim_WT_CC5,24,TE,I,8508,314.56,341.79,17.235,2583.8,2.20E+07,63.9,5.44E+05,143.38,1.22E+06,316.48,2.69E+06,21.751,1.85E+05,
072418Xim_WT_CC5,25,ICM,I,5627,194.26,186.86,17.225,1969.2,1.11E+07,71.238,4.01E+05,56.374,3.17E+05,304.43,1.71E+06,21.722,1.22E+05,
072418Xim_WT_CC5,26,TE,I,11012,119.2,229.47,20.125,2251.3,2.48E+07,73.187,8.06E+05,51.235,5.64E+05,328.74,3.62E+06,22.107,2.43E+05,
072418Xim_WT_CC5,27,ICM,I,6092,192.14,260.32,19.181,1858.8,1.13E+07,59.569,3.63E+05,183.57,1.12E+06,319.44,1.95E+06,21.428,1.31E+05,
072418Xim_WT_CC5,28,ICM,I,7192,291.05,277.38,16.519,2746.8,1.98E+07,65.192,4.69E+05,344.36,2.48E+06,317.09,2.28E+06,21.524,1.55E+05,
072418Xim_WT_CC5,29,TE,I,12962,363.95,245.1,20.48,2945.2,3.82E+07,58.181,7.54E+05,268.94,3.49E+06,323.24,4.19E+06,22.109,2.87E+05,
072418Xim_WT_CC5,30,ICM,I,6469,254.84,192.31,19.252,2316.3,1.50E+07,54.312,3.51E+05,483.09,3.13E+06,292.09,1.89E+06,20.592,1.33E+05,
072418Xim_WT_CC5,31,ICM,I,9877,272.29,325.99,19.446,2110.2,2.08E+07,57.552,5.68E+05,185.11,1.83E+06,311.32,3.07E+06,20.538,2.03E+05,
072418Xim_WT_CC5,32,TE,I,12512,164.36,363.23,22.237,2475.2,3.10E+07,93.358,1.17E+06,38.315,4.79E+05,318.72,3.99E+06,22.716,2.84E+05,
072418Xim_WT_CC5,32.2,ICM,I,12512,161,347,25,1949.347,,127.161,,36.127,,309.825,,23.062,,
072418Xim_WT_CC5,33,ICM,I,7302,191.26,309.4,19.616,2249.4,1.64E+07,65.816,4.81E+05,75.648,5.52E+05,298.51,2.18E+06,21.436,1.57E+05,
072418Xim_WT_CC5,34,TE,I,11623,248.65,114.74,24.42,2563.4,2.98E+07,59.971,6.97E+05,283.79,3.30E+06,314.76,3.66E+06,21.23,2.47E+05,
072418Xim_WT_CC5,35,ICM,I,3770,149.75,223.19,21.527,1944.6,7.33E+06,71.954,2.71E+05,58.015,2.19E+05,323.57,1.22E+06,21.673,81707,
072418Xim_WT_CC5,36,ICM,I,8960,148.67,291.47,22.825,2088.2,1.87E+07,68.356,6.12E+05,34.405,3.08E+05,258.13,2.31E+06,22.235,1.99E+05,
072418Xim_WT_CC5,37,TE,I,8720,217.33,391.83,23.823,2595.6,2.26E+07,84.759,7.39E+05,27.089,2.36E+05,306.17,2.67E+06,21.281,1.86E+05,
072418Xim_WT_CC5,39,TE,I,10176,365.93,313.15,26.677,3032.6,3.09E+07,54.805,5.58E+05,226.13,2.30E+06,293.51,2.99E+06,21.884,2.23E+05,
072418Xim_WT_CC5,41,ICM,I,5510,201.11,194.46,26.01,1793.3,9.88E+06,55.112,3.04E+05,335.82,1.85E+06,273.62,1.51E+06,20.526,1.13E+05,
072418Xim_WT_CC5,42,ICM,I,2417,110.84,242.01,27.324,1938.8,4.69E+06,72.158,1.74E+05,28.867,69772,340.2,8.22E+05,21.538,52058,
072418Xim_WT_CC5,44,TE,I,7923,304.5,384.87,28.496,2313.6,1.83E+07,52.07,4.13E+05,142.5,1.13E+06,322.34,2.55E+06,20.284,1.61E+05,
072418Xim_WT_CC5,46,ICM,I,7226,155.69,195.52,28.789,1668.9,1.21E+07,64.99,4.70E+05,27.816,2.01E+05,296.46,2.14E+06,20.005,1.45E+05,
072418Xim_WT_CC5,47,ICM,I,10313,155.65,237.07,31.721,1403.6,1.45E+07,52.231,5.39E+05,293.53,3.03E+06,257.41,2.65E+06,19.587,2.02E+05,
072418Xim_WT_CC5,49,TE,I,14646,89.001,288.69,31.728,1819.8,2.67E+07,82.916,1.21E+06,33.818,4.95E+05,306.84,4.49E+06,276.15,4.04E+06,
072418Xim_WT_CC5,50,ICM,I,7241,173.34,290.61,28.921,1513.9,1.10E+07,49.052,3.55E+05,293.66,2.13E+06,291.91,2.11E+06,20.053,1.45E+05,
072418Xim_WT_CC5,51,ICM,I,6211,199.73,362.45,28.65,1391,8.64E+06,47.32,2.94E+05,197.19,1.22E+06,307.55,1.91E+06,21.848,1.36E+05,
072418Xim_WT_CC5,52,TE,I,12166,150.48,132.72,32.22,1824.3,2.22E+07,64.725,7.87E+05,32.099,3.91E+05,272.21,3.31E+06,30.735,3.74E+05,
072418Xim_WT_CC5,54,ICM,I,7329,174.25,212.16,32.347,1458.6,1.07E+07,49.239,3.61E+05,160.09,1.17E+06,287.48,2.11E+06,20.089,1.47E+05,
072418Xim_WT_CC5,55,ICM,I,14018,136,332,32,1756.815,,67.486,,28.456,,308.615,,23.16,,
072418Xim_WT_CC5,55.2,ICM,I,14018,160,334,32,1667.445,,55.187,,61.882,,289.73,,21.276,,
072418Xim_WT_CC5,56,TE,I,5540,101.86,345.37,33.996,1563.7,8.66E+06,49.485,2.74E+05,61.852,3.43E+05,292.08,1.62E+06,67.6,3.75E+05,
072418Xim_WT_CC5,57,ICM,M,4329,156.81,161.53,33.555,2021,8.75E+06,53.226,2.30E+05,32.535,1.41E+05,360.45,1.56E+06,24.249,1.05E+05,
072418Xim_WT_CC5,57.2,ESC,I,4329,177,140,35,1435.41,,90.079,,51.51,,339.347,,928.508,,
072418Xim_WT_CC5,58,TE,I,5647,114.88,172.67,33.371,1631,9.21E+06,48.104,2.72E+05,57.654,3.26E+05,302.32,1.71E+06,18.871,1.07E+05,
072418Xim_WT_CC5,59,ICM,I,2220,211.25,147.13,33.285,1224.9,2.72E+06,33.826,75093,298.18,6.62E+05,315.8,7.01E+05,19.487,43262,
072418Xim_WT_CC5,60,TE,I,9242,386.6,171.27,36.488,2944.2,2.72E+07,36.984,3.42E+05,149.73,1.38E+06,292.2,2.70E+06,21.493,1.99E+05,
072418Xim_WT_CC5,62,ICM,I,6049,190.78,176.72,33.986,1186.5,7.18E+06,39.124,2.37E+05,264.85,1.60E+06,282.7,1.71E+06,18.998,1.15E+05,
072418Xim_WT_CC5,63,TE,I,7506,238.92,417.82,38.043,2007.2,1.51E+07,55.448,4.16E+05,115.23,8.65E+05,331.45,2.49E+06,20.311,1.52E+05,
072418Xim_WT_CC5,64,TE,I,5901,322.93,105.58,38.038,2708.2,1.60E+07,47.45,2.80E+05,131.83,7.78E+05,313.68,1.85E+06,20.968,1.24E+05,
072418Xim_WT_CC5,65,ICM,I,8329,110.06,202.79,38.724,1245.7,1.04E+07,57.269,4.77E+05,20.597,1.72E+05,291.85,2.43E+06,18.442,1.54E+05,
072418Xim_WT_CC5,66,TE,I,8732,179.26,405.13,39.029,1739.5,1.52E+07,52.233,4.56E+05,28.237,2.47E+05,346.87,3.03E+06,19.391,1.69E+05,
072418Xim_WT_CC5,67,TE,I,7326,139.36,386.39,39.662,1383.7,1.01E+07,40.325,2.95E+05,104.14,7.63E+05,330.55,2.42E+06,21.199,1.55E+05,
072418Xim_WT_CC5,68,ICM,I,6072,107.71,237.39,35.85,1375,8.35E+06,49.017,2.98E+05,22.894,1.39E+05,320.85,1.95E+06,19.306,1.17E+05,
072418Xim_WT_CC5,68.2,ICM,I,6072,108,243,36,1509.332,,60.105,,24.358,,309.657,,26.164,,
072418Xim_WT_CC5,69,ICM,I,7512,140.68,304.87,39.961,1148.6,8.63E+06,44.051,3.31E+05,244.13,1.83E+06,277.58,2.09E+06,70.171,5.27E+05,
072418Xim_WT_CC5,69.2,ESC,I,7512,109,305,35,1471.924,,178.213,,70.303,,307.279,,1662.924,,
072418Xim_WT_CC5,70,TE,I,9544,409.8,221.84,44.3,2752.9,2.63E+07,39.851,3.80E+05,194.19,1.85E+06,331.96,3.17E+06,20.265,1.93E+05,
072418Xim_WT_CC5,71,ICM,I,8176,158,357.31,39.464,1275,1.04E+07,49.014,4.01E+05,114,9.32E+05,262.09,2.14E+06,28.49,2.33E+05,
072418Xim_WT_CC5,72,ICM,I,8928,208.86,130.32,41.95,872.4,7.79E+06,33.457,2.99E+05,134.17,1.20E+06,307.67,2.75E+06,38.014,3.39E+05,
072418Xim_WT_CC5,73,ICM,I,3746,132.77,254.73,42.446,893.04,3.35E+06,35.265,1.32E+05,194.86,7.30E+05,284.46,1.07E+06,18.014,67481,
072418Xim_WT_CC5,74,ICM,I,5766,166.27,163.83,43.228,1128.1,6.50E+06,39.218,2.26E+05,138.92,8.01E+05,333.3,1.92E+06,56.199,3.24E+05,
072418Xim_WT_CC5,76,ICM,I,4564,118.2,284.99,42.621,1006.8,4.60E+06,39.43,1.80E+05,188.2,8.59E+05,319,1.46E+06,75.377,3.44E+05,
072418Xim_WT_CC5,77,TE,I,18401,192.12,94.228,49.905,1500.5,2.76E+07,37.019,6.81E+05,76.9,1.42E+06,311.42,5.73E+06,20.579,3.79E+05,
072418Xim_WT_CC5,78,TE,I,8170,402.9,300.76,48.053,1705.1,1.39E+07,35.682,2.92E+05,77.371,6.32E+05,294.23,2.40E+06,19.312,1.58E+05,
072418Xim_WT_CC5,80,TE,I,8045,268.94,81.256,51.547,1321.2,1.06E+07,33.369,2.68E+05,69.841,5.62E+05,354.62,2.85E+06,18.177,1.46E+05,
072418Xim_WT_CC5,81,ICM,I,12388,92.752,257.82,48.589,1207.4,1.50E+07,65.741,8.14E+05,21.644,2.68E+05,289.84,3.59E+06,20.487,2.54E+05,
072418Xim_WT_CC5,82,TE,I,14756,378.87,373.51,54.037,1859,2.74E+07,40.288,5.95E+05,88.702,1.31E+06,293.76,4.33E+06,20.227,2.98E+05,
072418Xim_WT_CC5,84,ESC,I,6575,173.22,129.64,47.816,1154,7.59E+06,96.714,6.36E+05,46.125,3.03E+05,282.65,1.86E+06,653.74,4.30E+06,
072418Xim_WT_CC5,85,TE,I,9199,82.047,216.45,51.103,1136.3,1.05E+07,45.752,4.21E+05,19.358,1.78E+05,270.18,2.49E+06,17.962,1.65E+05,
072418Xim_WT_CC5,86,ICM,I,3138,129.07,344.95,46.55,796.81,2.50E+06,46.961,1.47E+05,23.438,73549,288.69,9.06E+05,22.516,70655,
072418Xim_WT_CC5,87,ICM,I,9824,158.18,211.16,50.346,646.01,6.35E+06,32.407,3.18E+05,141.15,1.39E+06,268.15,2.63E+06,19.65,1.93E+05,
072418Xim_WT_CC5,88,TE,I,9405,116.52,208.76,50.129,838.32,7.88E+06,40.369,3.80E+05,20.629,1.94E+05,272.42,2.56E+06,17.781,1.67E+05,
072418Xim_WT_CC5,89,TE,I,7477,139.37,240.43,53.147,640.34,4.79E+06,28.787,2.15E+05,145.58,1.09E+06,257.48,1.93E+06,17.672,1.32E+05,
072418Xim_WT_CC5,90,TE,I,11640,292.52,416,56.849,1152,1.34E+07,30.081,3.50E+05,79.94,9.31E+05,296.61,3.45E+06,17.786,2.07E+05,
072418Xim_WT_CC5,91,TE,I,7866,110.37,173.98,55.735,751.15,5.91E+06,45.39,3.57E+05,20.114,1.58E+05,250.77,1.97E+06,17.845,1.40E+05,
072418Xim_WT_CC5,92,ICM,I,6959,147.38,175.08,55.411,736.96,5.13E+06,31.947,2.22E+05,112.81,7.85E+05,293.69,2.04E+06,19.505,1.36E+05,
072418Xim_WT_CC5,93,ICM,I,20900,98,324,55,747.746,,32.49,,20.04,,314.088,,24.357,,
072418Xim_WT_CC5,93.2,ICM,I,20900,103,313,65,680.779,,28.828,,20.658,,287.799,,18.932,,
072418Xim_WT_CC5,95,TE,I,8288,76.454,274.91,58.483,984.57,8.16E+06,36.399,3.02E+05,19.726,1.63E+05,256.37,2.12E+06,19.743,1.64E+05,
072418Xim_WT_CC5,96,TE,I,11863,185.38,413.69,55.803,894.72,1.06E+07,33.712,4.00E+05,53.963,6.40E+05,251.49,2.98E+06,17.943,2.13E+05,
072418Xim_WT_CC5,97,TE,I,8211,368.6,119.62,57.975,1033.5,8.49E+06,28.546,2.34E+05,44.002,3.61E+05,341.82,2.81E+06,18.581,1.53E+05,
072418Xim_WT_CC5,98,ICM,I,5701,165.7,142.05,56.927,868.55,4.95E+06,37.471,2.14E+05,102.58,5.85E+05,293.12,1.67E+06,74.044,4.22E+05,
072418Xim_WT_CC5,99,TE,I,8074,130.46,150.27,60.853,715.27,5.78E+06,35.587,2.87E+05,20.842,1.68E+05,290.05,2.34E+06,18.783,1.52E+05,
072418Xim_WT_CC5,100,ICM,I,9280,126.48,307.25,55.491,516.53,4.79E+06,29.756,2.76E+05,53.965,5.01E+05,277.07,2.57E+06,37.672,3.50E+05,
072418Xim_WT_CC5,101,TE,I,7263,413.25,199.66,61.651,982.26,7.13E+06,26.877,1.95E+05,42.073,3.06E+05,289.94,2.11E+06,17.757,1.29E+05,
072418Xim_WT_CC5,103,ICM,I,2903,100.44,269.11,59.715,892.19,2.59E+06,45.039,1.31E+05,20.341,59051,262.1,7.61E+05,18.694,54270,
072418Xim_WT_CC5,104,TE,I,6103,334.08,90.48,61.379,1104.6,6.74E+06,26.567,1.62E+05,63.547,3.88E+05,251.08,1.53E+06,18.433,1.12E+05,
072418Xim_WT_CC5,105,TE,I,4525,392.3,157.83,62.144,816.15,3.69E+06,23.679,1.07E+05,44.951,2.03E+05,257.48,1.17E+06,19.707,89173,
072418Xim_WT_CC5,107,TE,I,11266,129.9,385.37,64.523,661.89,7.46E+06,24.104,2.72E+05,76.629,8.63E+05,268.03,3.02E+06,17.714,2.00E+05,
072418Xim_WT_CC5,108,ICM,I,7549,115.74,229.26,65.164,650.51,4.91E+06,34.051,2.57E+05,40.194,3.03E+05,272.34,2.06E+06,17.389,1.31E+05,
072418Xim_WT_CC5,108.2,ICM,I,7549,130,198,63,547.846,,34.521,,24.267,,24.982,,17.652,,
072418Xim_WT_CC5,109,ICM,I,2241,134.21,239.96,64.361,469.82,1.05E+06,26.733,59908,142.74,3.20E+05,230.73,5.17E+05,17.537,39300,
072418Xim_WT_CC5,110,TE,I,14401,408.94,270.11,71.323,691.98,9.97E+06,21.281,3.06E+05,28.372,4.09E+05,271.31,3.91E+06,17.1,2.46E+05,
072418Xim_WT_CC5,112,ICM,I,12437,162.5,171.98,70.514,416.25,5.18E+06,23.761,2.96E+05,27.028,3.36E+05,271.69,3.38E+06,17.702,2.20E+05,
072418Xim_WT_CC5,113,TE,I,7110,273.73,80.225,69.761,691.62,4.92E+06,24.507,1.74E+05,56.284,4.00E+05,240.4,1.71E+06,17.166,1.22E+05,
072418Xim_WT_CC5,114,ICM,I,13893,95.543,239.52,74.266,585.94,8.14E+06,28.071,3.90E+05,18.14,2.52E+05,273.98,3.81E+06,16.851,2.34E+05,
072418Xim_WT_CC5,115,ICM,I,8050,131.36,268.1,72.886,395.06,3.18E+06,25.155,2.02E+05,61.004,4.91E+05,223.09,1.80E+06,16.697,1.34E+05,
072418Xim_WT_CC5,116,TE,I,14791,233.37,412.21,75.907,469.13,6.94E+06,23.273,3.44E+05,36.344,5.38E+05,258.09,3.82E+06,16.358,2.42E+05,
072418Xim_WT_CC5,117,TE,I,15391,160.61,135.19,77.755,348.67,5.37E+06,23.022,3.54E+05,21.67,3.34E+05,263.97,4.06E+06,16.95,2.61E+05,
072418Xim_WT_CC5,118,TE,I,15832,306.74,399.83,76.682,424.03,6.71E+06,21.683,3.43E+05,37.819,5.99E+05,240.84,3.81E+06,16.184,2.56E+05,
072418Xim_WT_CC5,119,ICM,I,15075,122.96,207.32,76.812,423.96,6.39E+06,26.282,3.96E+05,22.124,3.34E+05,244.12,3.68E+06,16.68,2.51E+05,
072418Xim_WT_CC5,120,TE,I,11481,413.87,216.93,77.817,576.73,6.62E+06,21.081,2.42E+05,38.935,4.47E+05,207.72,2.38E+06,16.416,1.88E+05,
072418Xim_WT_CC5,121,TE,I,12830,311.75,98.035,79.686,445.54,5.72E+06,20.795,2.67E+05,39.65,5.09E+05,277.88,3.57E+06,16.639,2.13E+05,
072418Xim_WT_CC5,122,TE,I,14439,218.81,101.75,78.41,231.4,3.34E+06,18.339,2.65E+05,28.843,4.16E+05,281.96,4.07E+06,16.421,2.37E+05,
072418Xim_WT_CC5,123,TE,I,11974,365.67,139.1,79.726,293.17,3.51E+06,18.805,2.25E+05,29.269,3.50E+05,291.87,3.49E+06,19.26,2.31E+05,
072418Xim_WT_CC5,125,TE,I,18429,188.11,383.3,83.864,299.92,5.53E+06,18.289,3.37E+05,43.623,8.04E+05,281.97,5.20E+06,15.868,2.92E+05,
072418Xim_WT_CC5,127,TE,I,15863,137.91,328.6,81.361,184.76,2.93E+06,17.687,2.81E+05,27.58,4.37E+05,242.32,3.84E+06,15.887,2.52E+05,
072418Xim_WT_CC5,128,TE,I,8336,404.13,170.92,83.07,238.11,1.98E+06,17.169,1.43E+05,25.532,2.13E+05,258.77,2.16E+06,18.816,1.57E+05,
072418Xim_WT_CC5,129,TE,I,11555,154.55,182.96,85.202,263.27,3.04E+06,21.261,2.46E+05,20.958,2.42E+05,233.17,2.69E+06,16.062,1.86E+05,
072418Xim_WT_CC5,130,TE,I,9124,120.55,268.3,86.886,324.43,2.96E+06,21.947,2.00E+05,22.386,2.04E+05,208.66,1.90E+06,16.024,1.46E+05,
