Embryo_ID,Cell_ID,Identity,Cell_cycle,Size,X,Y,Z,CH1.Avg,CH1.Sum,CH2.Avg,CH2.Sum,CH3.Avg,CH3.Sum,CH4.Avg,CH4.Sum,CH5.Avg,CH5.Sum, 
102418Xim_F4_CR2,1,TE,I,9559,218.37,218.73,5.3002,2338.8,2.24E+07,306.58,2.93E+06,488.39,4.67E+06,1193.5,1.14E+07,18.941,1.81E+05,
102418Xim_F4_CR2,2,TE,I,6932,173.47,240.75,4.7187,3036.3,2.10E+07,52.026,3.61E+05,322.7,2.24E+06,1174.3,8.14E+06,21.343,1.48E+05,
102418Xim_F4_CR2,3,TE,I,14848,256.87,323.35,7.4102,2977.9,4.42E+07,52.73,7.83E+05,152.86,2.27E+06,1214.5,1.80E+07,18.893,2.81E+05,
102418Xim_F4_CR2,4,TE,I,12602,298.41,215.21,7.0453,2897.8,3.65E+07,39.997,5.04E+05,192.35,2.42E+06,1227.7,1.55E+07,18.97,2.39E+05,
102418Xim_F4_CR2,5,TE,M,10865,178.95,321.11,10.795,2942.6,3.20E+07,33.742,3.67E+05,48.829,5.31E+05,1205.6,1.31E+07,17.466,1.90E+05,
102418Xim_F4_CR2,6,TE,I,6956,116.55,236.54,10.967,2928.1,2.04E+07,45.859,3.19E+05,259.66,1.81E+06,1165.9,8.11E+06,20.213,1.41E+05,
102418Xim_F4_CR2,7,TE,M,8718,171.37,145.23,14.286,2992.3,2.61E+07,28.414,2.48E+05,39.054,3.40E+05,1174.9,1.02E+07,16.64,1.45E+05,
102418Xim_F4_CR2,8,TE,I,10367,250.03,144.12,14.865,1995.7,2.07E+07,197.46,2.05E+06,347.12,3.60E+06,1196.7,1.24E+07,17.523,1.82E+05,
102418Xim_F4_CR2,9,TE,I,11466,392.28,217.69,14.174,2841.7,3.26E+07,29.186,3.35E+05,45.619,5.23E+05,1193.4,1.37E+07,17.699,2.03E+05,
102418Xim_F4_CR2,10,TE,I,13605,345.7,156.42,15.622,2365.7,3.22E+07,30.748,4.18E+05,43.719,5.95E+05,1190.3,1.62E+07,17.986,2.45E+05,
102418Xim_F4_CR2,11,TE,I,11544,127.66,205.95,16.616,2701.8,3.12E+07,40.303,4.65E+05,53.994,6.23E+05,1179.3,1.36E+07,18.788,2.17E+05,
102418Xim_F4_CR2,12,TE,I,10473,105.58,293.34,17.008,2970.6,3.11E+07,38.87,4.07E+05,206.03,2.16E+06,1216.7,1.27E+07,18.572,1.95E+05,
102418Xim_F4_CR2,13,TE,I,21733,384.07,323.81,18.829,2269.7,4.93E+07,34.632,7.53E+05,25.108,5.46E+05,1248,2.71E+07,18.189,3.95E+05,
102418Xim_F4_CR2,14,TE,I,8244,306.22,373.27,19.514,2613.1,2.15E+07,34.359,2.83E+05,24.85,2.05E+05,1204,9.93E+06,17.929,1.48E+05,
102418Xim_F4_CR2,15,TE,I,7405,133.33,119.47,23.033,2272.8,1.68E+07,30.103,2.23E+05,213.37,1.58E+06,1170.7,8.67E+06,17.224,1.28E+05,
102418Xim_F4_CR2,16,ICM,I,10734,76.769,238.87,26.707,2942.8,3.16E+07,848.36,9.11E+06,45.689,4.90E+05,1055.7,1.13E+07,18.365,1.97E+05,
102418Xim_F4_CR2,17,ICM,M,7975,100.89,275.92,25.079,3146.4,2.51E+07,33.999,2.71E+05,113.86,9.08E+05,1195.5,9.53E+06,17.02,1.36E+05,
102418Xim_F4_CR2,18,TE,I,7120,440.64,241.12,27.408,2181,1.55E+07,32.896,2.34E+05,36.546,2.60E+05,1208.5,8.60E+06,17.601,1.25E+05,
102418Xim_F4_CR2,19,ICM,I,11494,92.367,189.58,29.432,2738.8,3.15E+07,96.316,1.11E+06,313.9,3.61E+06,1106.2,1.27E+07,17.819,2.05E+05,
102418Xim_F4_CR2,19.2,ICM,I,11494,67,197,30,2379.439,,747.578,,40.447,,1092.512,,17.687,,
102418Xim_F4_CR2,20,TE,I,9916,426.07,184.2,29.317,1511.4,1.50E+07,30.157,2.99E+05,30.154,2.99E+05,1223.8,1.21E+07,17.767,1.76E+05,
102418Xim_F4_CR2,21,TE,I,6758,133.29,363.84,28.567,2684.4,1.81E+07,26.219,1.77E+05,218.85,1.48E+06,1187.3,8.02E+06,16.805,1.14E+05,
102418Xim_F4_CR2,22,TE,I,11200,45.003,187.96,31.914,2906.5,3.26E+07,113.3,1.27E+06,180.13,2.02E+06,1266.1,1.42E+07,17.472,1.96E+05,
