Embryo_ID,Cell_ID,Identity,Cell_cycle,Size,X,Y,Z,CH1.Avg,CH1.Sum,CH2.Avg,CH2.Sum,CH3.Avg,CH3.Sum,CH4.Avg,CH4.Sum,CH5.Avg,CH5.Sum, 
102418Xim_F4_CR8,2,TE,I,13942,315.07,214.56,6.5422,3159.9,4.41E+07,54.742,7.63E+05,330.32,4.61E+06,1137.5,1.59E+07,22.168,3.09E+05,
102418Xim_F4_CR8,3,TE,M,14162,186.87,267.95,7.9545,2776.8,3.93E+07,42.414,6.01E+05,84.43,1.20E+06,1103.9,1.56E+07,22.236,3.15E+05,
102418Xim_F4_CR8,4,TE,I,14898,307.34,294.56,6.3701,2945.9,4.39E+07,48.287,7.19E+05,516.68,7.70E+06,1091.6,1.63E+07,21.112,3.15E+05,
102418Xim_F4_CR8,5,TE,I,16887,237.79,178.96,7.7985,2875.5,4.86E+07,40.71,6.87E+05,445.11,7.52E+06,1149.1,1.94E+07,19.844,3.35E+05,
102418Xim_F4_CR8,6,TE,I,16449,197.18,336.53,10.817,2451.6,4.03E+07,35.962,5.92E+05,342.49,5.63E+06,1132.8,1.86E+07,20.096,3.31E+05,
102418Xim_F4_CR8,7,TE,I,6276,304.01,360.66,13.329,2822.8,1.77E+07,34.651,2.17E+05,369.7,2.32E+06,1122.6,7.05E+06,19.436,1.22E+05,
102418Xim_F4_CR8,8,TE,I,12087,313.96,134.55,16.457,3315.3,4.01E+07,44.915,5.43E+05,252.05,3.05E+06,1143,1.38E+07,19.838,2.40E+05,
102418Xim_F4_CR8,9,TE,I,20303,108,264,18,3381.817,,41.714,,449.828,,1108.145,,60.804,,
102418Xim_F4_CR8,9.2,ICM,I,20303,126,272,25,2975.832,,41.458,,471.839,,1105.768,,215.83,,
102418Xim_F4_CR8,10,ESC,I,11027,140.68,308.6,18.801,2474.6,2.73E+07,275.61,3.04E+06,119.44,1.32E+06,1085.3,1.20E+07,3024.4,3.34E+07,
102418Xim_F4_CR8,11,TE,I,5147,223.83,375.64,17.35,2958.9,1.52E+07,38.437,1.98E+05,338.98,1.74E+06,1157.1,5.96E+06,19.321,99447,
102418Xim_F4_CR8,12,ICM,I,9985,170.06,296.87,20.827,2515.6,2.51E+07,49.165,4.91E+05,473.24,4.73E+06,1113.1,1.11E+07,204.05,2.04E+06,
102418Xim_F4_CR8,13,TE,I,11188,381.83,328.82,19.933,3116.4,3.49E+07,55.41,6.20E+05,208.96,2.34E+06,1095.8,1.23E+07,19.21,2.15E+05,
102418Xim_F4_CR8,14,TE,I,11254,409.65,237.22,22.068,3323.4,3.74E+07,37.577,4.23E+05,218.27,2.46E+06,1139.7,1.28E+07,19.437,2.19E+05,
102418Xim_F4_CR8,15,TE,I,12704,144.08,352.31,21.642,2722.3,3.46E+07,42.974,5.46E+05,249.52,3.17E+06,1104.3,1.40E+07,27.721,3.52E+05,
102418Xim_F4_CR8,16,TE,I,11625,145,175.91,22.872,3359.4,3.91E+07,34.467,4.01E+05,439.41,5.11E+06,1112.1,1.29E+07,18.879,2.19E+05,
