Embryo_ID,Cell_ID,Identity,Cell_cycle,Size,X,Y,Z,CH1.Avg,CH1.Sum,CH2.Avg,CH2.Sum,CH3.Avg,CH3.Sum,CH4.Avg,CH4.Sum,CH5.Avg,CH5.Sum, 
022519Xim_F4_EE10,1,TE,I,8472,273.71,223.4,4.7957,2655.9,2.25E+07,274.68,2.33E+06,583.99,4.95E+06,1228.8,1.04E+07,22.717,1.92E+05,
022519Xim_F4_EE10,2,TE,I,10521,265,297.84,4.61,2463.7,2.59E+07,109.2,1.15E+06,420.36,4.42E+06,1256.2,1.32E+07,22.361,2.35E+05,
022519Xim_F4_EE10,3,TE,I,8225,217.33,243.34,5.7488,2515.1,2.07E+07,246.64,2.03E+06,411.45,3.38E+06,1269.4,1.04E+07,24.691,2.03E+05,
022519Xim_F4_EE10,4,TE,I,25876,164,226,5,3088.199,,84.513,,640.631,,1278.131,,22.409,,
022519Xim_F4_EE10,4.2,ICM,I,25876,168,216,12,3361.139,,627.661,,790.877,,1288.052,,21.803,,
022519Xim_F4_EE10,5,TE,I,12275,196.79,314.72,7.0518,2738.4,3.36E+07,67.663,8.31E+05,872.09,1.07E+07,1247.6,1.53E+07,22.116,2.71E+05,
022519Xim_F4_EE10,6,TE,I,10501,252,365,12,2720.398,,143.917,,608.905,,1254.266,,21.327,,
022519Xim_F4_EE10,6.2,TE,I,10501,226,379,16,3100.734,,140.666,,684.262,,1157.013,,20.284,,
022519Xim_F4_EE10,7,TE,I,14267,326.46,239.74,8.2589,2734,3.90E+07,263.4,3.76E+06,584.4,8.34E+06,1232,1.76E+07,21.843,3.12E+05,
022519Xim_F4_EE10,8,TE,I,8989,107.04,254.36,8.5933,2482.8,2.23E+07,332.99,2.99E+06,357.15,3.21E+06,1146,1.03E+07,128.05,1.15E+06,
022519Xim_F4_EE10,9,ICM,I,6563,190.61,286.71,8.6357,2621.3,1.72E+07,539.63,3.54E+06,634,4.16E+06,1271.7,8.35E+06,22.051,1.45E+05,
022519Xim_F4_EE10,10,ICM,I,7884,148.78,258.89,9.0781,2011.2,1.59E+07,497.34,3.92E+06,888.16,7.00E+06,1221.8,9.63E+06,21.654,1.71E+05,
022519Xim_F4_EE10,11,TE,I,10425,334.47,298.6,8.7884,2534.7,2.64E+07,156.34,1.63E+06,331.94,3.46E+06,1248.9,1.30E+07,21.365,2.23E+05,
022519Xim_F4_EE10,12,TE,I,7707,137.36,328.21,11.334,2477.7,1.91E+07,106.88,8.24E+05,505.08,3.89E+06,1158.3,8.93E+06,22.115,1.70E+05,
022519Xim_F4_EE10,13,TE,I,7762,193.47,176.04,11.209,2758.8,2.14E+07,161.01,1.25E+06,385.26,2.99E+06,1227.8,9.53E+06,23.535,1.83E+05,
022519Xim_F4_EE10,14,ICM,I,6004,128.58,289.54,10.472,2076.6,1.25E+07,1192.2,7.16E+06,186.68,1.12E+06,1169.6,7.02E+06,22.519,1.35E+05,
022519Xim_F4_EE10,15,TE,I,7630,179.64,353.56,10.246,2205.4,1.68E+07,126.83,9.68E+05,480.84,3.67E+06,1235.6,9.43E+06,23.034,1.76E+05,
022519Xim_F4_EE10,16,TE,I,21163,241.56,370.41,13.552,2106,4.46E+07,102.22,2.16E+06,424.75,8.99E+06,1217.7,2.58E+07,19.824,4.20E+05,
022519Xim_F4_EE10,17,ESC,I,10067,87.687,263.73,15.193,2841.2,2.86E+07,509.06,5.12E+06,128.88,1.30E+06,1153.1,1.16E+07,1888.3,1.90E+07,
022519Xim_F4_EE10,18,ICM,I,6668,103.34,295.75,15.165,2471.9,1.65E+07,518.42,3.46E+06,424.35,2.83E+06,1179.1,7.86E+06,53.86,3.59E+05,
022519Xim_F4_EE10,19,TE,I,15145,329.84,352.45,13.03,2175.1,3.29E+07,165.09,2.50E+06,374.73,5.68E+06,1189.1,1.80E+07,20.205,3.06E+05,
022519Xim_F4_EE10,20,TE,I,12572,134.33,181.16,17.499,2878.9,3.62E+07,292.17,3.67E+06,773.17,9.72E+06,1146.4,1.44E+07,24,3.02E+05,
022519Xim_F4_EE10,21,TE,I,6922,111.3,201.94,12.936,2342.3,1.62E+07,252.47,1.75E+06,624.94,4.33E+06,1123.3,7.78E+06,25.93,1.79E+05,
022519Xim_F4_EE10,22,TE,I,16335,54,246,15,2424.738,,102.037,,762.694,,1403.573,,27.93,,
022519Xim_F4_EE10,22.2,ICM,I,16335,63,252,22,2676.879,,75.193,,574.671,,1366.592,,95.271,,
022519Xim_F4_EE10,23,TE,I,8494,287.58,166,17.272,3155.4,2.68E+07,402.98,3.42E+06,569.75,4.84E+06,1233,1.05E+07,21.034,1.79E+05,
