Embryo_ID,Cell_ID,Identity,Cell_cycle,Size,X,Y,Z,CH1.Avg,CH1.Sum,CH2.Avg,CH2.Sum,CH3.Avg,CH3.Sum,CH4.Avg,CH4.Sum,CH5.Avg,CH5.Sum, 
022619Xim_F4_EF1,1,TE,I,8150,222.98,220.87,6.6294,3020.3,2.46E+07,71.753,5.85E+05,103.1,8.40E+05,1212.8,9.88E+06,22.004,1.79E+05,
022619Xim_F4_EF1,2,TE,I,8311,283.67,253.88,6.9243,2839.2,2.36E+07,67.303,5.59E+05,126.37,1.05E+06,1197.1,9.95E+06,22.669,1.88E+05,
022619Xim_F4_EF1,3,TE,I,8220,226.79,321.33,6.637,2586.5,2.13E+07,60.358,4.96E+05,44.98,3.70E+05,1184.6,9.74E+06,21.087,1.73E+05,
022619Xim_F4_EF1,4,TE,I,14734,272.87,189.03,9.5821,2681.9,3.95E+07,58.908,8.68E+05,190,2.80E+06,1218.1,1.79E+07,21.497,3.17E+05,
022619Xim_F4_EF1,5,TE,I,11458,318.02,319.98,9.0001,2805,3.21E+07,58.699,6.73E+05,170.47,1.95E+06,1219,1.40E+07,20.886,2.39E+05,
022619Xim_F4_EF1,6,TE,I,16306,360.68,255.34,10.191,2386.7,3.89E+07,45.047,7.35E+05,90.709,1.48E+06,1174.9,1.92E+07,20.572,3.35E+05,
022619Xim_F4_EF1,7,TE,I,8408,151.27,275.2,12.285,2626.7,2.21E+07,58.74,4.94E+05,54.876,4.61E+05,1120,9.42E+06,21.203,1.78E+05,
022619Xim_F4_EF1,8,TE,I,6369,274.73,367.94,14.136,2619.8,1.67E+07,61.69,3.93E+05,181.26,1.15E+06,1188.2,7.57E+06,21.301,1.36E+05,
022619Xim_F4_EF1,9,TE,I,7255,164.54,201.32,16.631,2997.8,2.17E+07,59.221,4.30E+05,117.64,8.53E+05,1184.6,8.59E+06,20.978,1.52E+05,
022619Xim_F4_EF1,10,TE,I,15125,328.3,156.83,19.15,2953.1,4.47E+07,57.933,8.76E+05,120.81,1.83E+06,1129.8,1.71E+07,21.672,3.28E+05,
022619Xim_F4_EF1,10.2,TE,I,15125,333,154,20,3452.917,,52.841,,164.511,,1106.112,,20.605,,
022619Xim_F4_EF1,11,TE,I,6612,163.74,326.81,20.029,2883.1,1.91E+07,62.454,4.13E+05,96.651,6.39E+05,1214.1,8.03E+06,20.59,1.36E+05,
022619Xim_F4_EF1,12,TE,I,6547,229.37,139.71,20.929,3109.5,2.04E+07,57.224,3.75E+05,120.19,7.87E+05,1149.1,7.52E+06,21.329,1.40E+05,
022619Xim_F4_EF1,13,TE,I,7790,362.73,352.93,23.714,2132.1,1.66E+07,54.398,4.24E+05,63.227,4.93E+05,1144.6,8.92E+06,19.732,1.54E+05,
022619Xim_F4_EF1,14,TE,I,8270,307.73,396.5,24.37,1913.4,1.58E+07,59.668,4.93E+05,135.29,1.12E+06,1199.2,9.92E+06,19.801,1.64E+05,
022619Xim_F4_EF1,15,TE,I,6298,221.91,399.18,25.178,2426.9,1.53E+07,51.18,3.22E+05,158.3,9.97E+05,1145.4,7.21E+06,19.69,1.24E+05,
022619Xim_F4_EF1,16,TE,I,6645,162.08,367.2,27.075,2417.4,1.61E+07,56.076,3.73E+05,129.92,8.63E+05,1214,8.07E+06,20.652,1.37E+05,
022619Xim_F4_EF1,18,TE,I,15630,430.7,310.47,32.517,2195.4,3.43E+07,56.023,8.76E+05,33.719,5.27E+05,1152.4,1.80E+07,20.25,3.17E+05,
022619Xim_F4_EF1,18.2,TE,I,15630,434,320,34,2320.613,,50.554,,39.623,,1185.727,,19.387,,
022619Xim_F4_EF1,19,TE,I,6959,415.7,217.45,30.866,2793.5,1.94E+07,46.255,3.22E+05,38.387,2.67E+05,1109.8,7.72E+06,19.971,1.39E+05,
022619Xim_F4_EF1,20,TE,I,6556,172.53,135.1,32.052,3035.6,1.99E+07,47.369,3.11E+05,35.079,2.30E+05,1178.1,7.72E+06,19.961,1.31E+05,
022619Xim_F4_EF1,21,TE,I,8771,113.36,193.11,33.685,2460.7,2.16E+07,44.095,3.87E+05,25.61,2.25E+05,1148.1,1.01E+07,19.388,1.70E+05,
022619Xim_F4_EF1,22,TE,I,5118,266.77,424.19,32.95,2357.2,1.21E+07,53.424,2.73E+05,184.85,9.46E+05,1139.6,5.83E+06,20.692,1.06E+05,
022619Xim_F4_EF1,23,TE,I,6893,341.95,118.04,35.341,2786.8,1.92E+07,48.409,3.34E+05,87.049,6.00E+05,1089,7.51E+06,19.555,1.35E+05,
022619Xim_F4_EF1,24,TE,I,7185,432.76,221.77,37.847,2505.3,1.80E+07,46.585,3.35E+05,40.54,2.91E+05,1147,8.24E+06,20.092,1.44E+05,
022619Xim_F4_EF1,25,TE,I,7263,103.26,319.13,36.625,2233.2,1.62E+07,52.963,3.85E+05,116.55,8.47E+05,1264.3,9.18E+06,19.368,1.41E+05,
022619Xim_F4_EF1,26,TE,I,8728,403.08,143.96,38.39,3440.8,3.00E+07,43.363,3.78E+05,48.919,4.27E+05,1133.4,9.89E+06,19.751,1.72E+05,
022619Xim_F4_EF1,27,TE,I,7569,77.699,271.24,37.777,2465.9,1.87E+07,56.437,4.27E+05,112.11,8.49E+05,1412.3,1.07E+07,18.506,1.40E+05,
022619Xim_F4_EF1,28,TE,I,7957,269.21,91.484,41.689,2704,2.15E+07,50.424,4.01E+05,94.213,7.50E+05,1299.4,1.03E+07,19.6,1.56E+05,
022619Xim_F4_EF1,30,TE,I,8291,364.03,407.36,42.383,1450.6,1.20E+07,41.271,3.42E+05,47.888,3.97E+05,1134,9.40E+06,18.748,1.55E+05,
022619Xim_F4_EF1,31,TE,I,9612,401.52,131.99,46.905,3053.3,2.93E+07,41.169,3.96E+05,44.681,4.29E+05,1089.4,1.05E+07,19.082,1.83E+05,
022619Xim_F4_EF1,32,TE,I,7958,214.05,99.983,46.716,2258.5,1.80E+07,39.865,3.17E+05,41.687,3.32E+05,1179.7,9.39E+06,18.488,1.47E+05,
022619Xim_F4_EF1,33,TE,I,7911,117.86,379.57,45.942,1731.7,1.37E+07,53.774,4.25E+05,40.669,3.22E+05,1186.7,9.39E+06,19.285,1.53E+05,
022619Xim_F4_EF1,34,TE,I,7968,419.82,367.88,49.14,1434,1.14E+07,42.667,3.40E+05,99.564,7.93E+05,1156.7,9.22E+06,18.46,1.47E+05,
022619Xim_F4_EF1,35,TE,I,10763,301.46,441.31,50.488,1235.6,1.33E+07,33.529,3.61E+05,42.222,4.54E+05,1271.9,1.37E+07,18.132,1.95E+05,
022619Xim_F4_EF1,36,TE,I,8442,129.77,137.98,50.857,1345.5,1.14E+07,38.823,3.28E+05,42.742,3.61E+05,1090.4,9.21E+06,18.3,1.54E+05,
022619Xim_F4_EF1,37,TE,I,6358,79.169,353.64,51.344,2049,1.30E+07,45.561,2.90E+05,48.21,3.07E+05,1096.7,6.97E+06,18.944,1.20E+05,
022619Xim_F4_EF1,38,TE,I,7317,155.97,410.47,51.763,1451,1.06E+07,35.965,2.63E+05,98.904,7.24E+05,1200,8.78E+06,18.367,1.34E+05,
022619Xim_F4_EF1,39,TE,I,8572,214.4,444.65,52.463,1264.8,1.08E+07,36.43,3.12E+05,25.818,2.21E+05,1146.8,9.83E+06,18.624,1.60E+05,
022619Xim_F4_EF1,40,ICM,I,11383,90.312,283.31,49.441,1309.5,1.49E+07,335.37,3.82E+06,24.531,2.79E+05,1339,1.52E+07,17.658,2.01E+05,
022619Xim_F4_EF1,41,TE,I,8911,47.508,286.31,53.38,2184.3,1.95E+07,62.023,5.53E+05,85.347,7.61E+05,1228.6,1.09E+07,18.594,1.66E+05,
