Embryo_ID,Cell_ID,Identity,Cell_cycle,Size,X,Y,Z,CH1.Avg,CH1.Sum,CH2.Avg,CH2.Sum,CH3.Avg,CH3.Sum,CH4.Avg,CH4.Sum,CH5.Avg, CH5-Sum, 
112718Xim_WT_DB6,1,TE,I,9201,289.83,202.16,5.355,3193.7,2.94E+07,26.003,2.39E+05,61.43,5.65E+05,1259.4,1.16E+07,1436.8,1.32E+07,
112718Xim_WT_DB6,2,TE,I,5844,244.15,253.56,5.4541,3204.4,1.87E+07,23.623,1.38E+05,60.2,3.52E+05,1256,7.34E+06,1609.5,9.41E+06,
112718Xim_WT_DB6,3,TE,I,5705,227.14,293.69,5.0335,3308.7,1.89E+07,26.562,1.52E+05,72.452,4.13E+05,1270.5,7.25E+06,2184.5,1.25E+07,
112718Xim_WT_DB6,4,TE,I,9498,237.53,192,6.7238,2708.5,2.57E+07,24.32,2.31E+05,63.574,6.04E+05,1286.1,1.22E+07,1645.5,1.56E+07,
112718Xim_WT_DB6,5,TE,I,14348,351.71,195.14,8.751,2483.9,3.56E+07,22.115,3.17E+05,51.813,7.43E+05,1264.7,1.81E+07,1065.4,1.53E+07,
112718Xim_WT_DB6,7,TE,I,9842,315.24,271.71,7.2044,2420.8,2.38E+07,21.382,2.10E+05,46.912,4.62E+05,1274.7,1.25E+07,851.21,8.38E+06,
112718Xim_WT_DB6,8,TE,M,5324,180.67,280.69,8.4773,2676.7,1.43E+07,22.907,1.22E+05,43.149,2.30E+05,1267,6.75E+06,534.25,2.84E+06,
112718Xim_WT_DB6,9,TE,I,7377,282.71,309.58,8.2647,2732.4,2.02E+07,24.111,1.78E+05,69.279,5.11E+05,1232.3,9.09E+06,1280.9,9.45E+06,
112718Xim_WT_DB6,10,TE,I,9230,232.91,356.68,7.761,2328.5,2.15E+07,21.777,2.01E+05,53.394,4.93E+05,1301.8,1.20E+07,1313,1.21E+07,
112718Xim_WT_DB6,11,TE,I,7549,180.24,327.76,9.2643,2796.4,2.11E+07,23.813,1.80E+05,69.232,5.23E+05,1273.7,9.62E+06,1507.4,1.14E+07,
112718Xim_WT_DB6,12,TE,I,6460,196.49,162.95,11.916,3113.6,2.01E+07,21.815,1.41E+05,49.78,3.22E+05,1241.9,8.02E+06,1008.7,6.52E+06,
112718Xim_WT_DB6,13,TE,I,6210,156.65,210.83,14.145,3095.6,1.92E+07,21.218,1.32E+05,49.613,3.08E+05,1100.4,6.83E+06,1082.5,6.72E+06,
112718Xim_WT_DB6,14,TE,I,8963,244.4,130.72,16.255,2717.2,2.44E+07,21.552,1.93E+05,52.567,4.71E+05,1222.3,1.10E+07,1300.2,1.17E+07,
112718Xim_WT_DB6,15,TE,I,12702,370.84,272.33,17.126,2410.1,3.06E+07,18.613,2.36E+05,32.013,4.07E+05,1271.8,1.62E+07,219.41,2.79E+06,
112718Xim_WT_DB6,15.2,TE,I,12702,371,285,17,2735.852,,17.306,,373.34,,1277.828,,282.472,,
112718Xim_WT_DB6,16,TE,I,6168,110.33,273.81,17.708,3189.6,1.97E+07,19.798,1.22E+05,46.44,2.86E+05,1207,7.44E+06,1096.6,6.76E+06,
112718Xim_WT_DB6,17,TE,I,11202,138.58,304.47,18.287,3260.4,3.65E+07,20.506,2.30E+05,49.117,5.50E+05,1163.2,1.30E+07,1134,1.27E+07,
