Embryo_ID,Cell_ID,Identity,Cell_cycle,Size,X,Y,Z,CH1.Avg,CH1.Sum,CH2.Avg,CH2.Sum,CH3.Avg,CH3.Sum,CH4.Avg,CH4.Sum,CH5.Avg,CH5.Sum, 
102918Xim_F4_CU12,1,TE,I,6864,253.73,343.18,5.9209,3011.7,2.07E+07,40.294,2.77E+05,381.29,2.62E+06,1330.6,9.13E+06,26.51,1.82E+05,
102918Xim_F4_CU12,2,TE,I,10713,173.52,230.34,7.269,3192,3.42E+07,35.879,3.84E+05,300.29,3.22E+06,1298.3,1.39E+07,24.96,2.67E+05,
102918Xim_F4_CU12,3,TE,I,9659,256.41,262.69,7.7008,2941.4,2.84E+07,41.815,4.04E+05,99.105,9.57E+05,1307.1,1.26E+07,26.368,2.55E+05,
102918Xim_F4_CU12,4,TE,I,11689,345.02,280.49,9.5088,3056.7,3.57E+07,37.037,4.33E+05,214.64,2.51E+06,1329.1,1.55E+07,24.688,2.89E+05,
102918Xim_F4_CU12,5,TE,I,7347,304.91,348.43,8.6634,2764.9,2.03E+07,40.304,2.96E+05,166.31,1.22E+06,1314,9.65E+06,26.336,1.93E+05,
102918Xim_F4_CU12,6,TE,I,7462,215.14,180.13,9.7863,2513.5,1.88E+07,31.759,2.37E+05,297.39,2.22E+06,1298.4,9.69E+06,23.632,1.76E+05,
102918Xim_F4_CU12,7,TE,I,7055,284.87,200.99,9.9811,2791.8,1.97E+07,35.758,2.52E+05,278.64,1.97E+06,1319.2,9.31E+06,24.427,1.72E+05,
102918Xim_F4_CU12,8,TE,I,11760,207.36,371.24,11.074,3200.7,3.76E+07,32.905,3.87E+05,380.9,4.48E+06,1303.1,1.53E+07,23.952,2.82E+05,
102918Xim_F4_CU12,9,TE,I,16711,145.54,313.14,11.003,2340,3.91E+07,26.577,4.44E+05,160.27,2.68E+06,1094,1.83E+07,22.404,3.74E+05,
102918Xim_F4_CU12,10,TE,I,12545,356.58,191.18,15.785,2647.5,3.32E+07,31.509,3.95E+05,308.75,3.87E+06,1309.1,1.64E+07,22.43,2.81E+05,
102918Xim_F4_CU12,11,TE,I,6938,268.98,139.06,17.805,2767,1.92E+07,35.135,2.44E+05,138.05,9.58E+05,1256.5,8.72E+06,27.068,1.88E+05,
102918Xim_F4_CU12,12,TE,I,6858,350.14,363.15,17.163,2845.1,1.95E+07,29.97,2.06E+05,134.86,9.25E+05,1335.9,9.16E+06,23.502,1.61E+05,
102918Xim_F4_CU12,13,TE,I,5817,83.854,277.13,20.069,3347.8,1.95E+07,41.403,2.41E+05,45.015,2.62E+05,1291.7,7.51E+06,40.469,2.35E+05,
102918Xim_F4_CU12,14,TE,I,9121,155.94,153.78,22.305,2843.3,2.59E+07,27.787,2.53E+05,127.56,1.16E+06,1239.4,1.13E+07,21.97,2.00E+05,
102918Xim_F4_CU12,15,ICM,I,9810,107.68,272.58,22.669,3148.9,3.09E+07,98.237,9.64E+05,85.514,8.39E+05,1276.5,1.25E+07,29.286,2.87E+05,
102918Xim_F4_CU12,16,TE,I,6061,102.82,218.28,22.032,2995.2,1.82E+07,34.934,2.12E+05,58.171,3.53E+05,1345.5,8.16E+06,24.21,1.47E+05,
102918Xim_F4_CU12,17,TE,I,5019,410.16,280.06,21.007,3127.6,1.57E+07,30.681,1.54E+05,54.676,2.74E+05,1368.6,6.87E+06,23.033,1.16E+05,
102918Xim_F4_CU12,18,TE,I,10771,414.09,328.77,25.511,3158.5,3.40E+07,29.606,3.19E+05,68.365,7.36E+05,1274.6,1.37E+07,22.636,2.44E+05,
102918Xim_F4_CU12,19,ICM,I,15381,108.17,345.47,27.303,3094,4.76E+07,36.2,5.57E+05,81.623,1.26E+06,1141,1.75E+07,506.29,7.79E+06,
102918Xim_F4_CU12,19.2,ESC,I,15381,108,340,28,3285.324,,37.438,,62.743,,1171.881,,842.469,,
102918Xim_F4_CU12,20,ICM,I,5923,118.06,296.86,26.907,3165.8,1.88E+07,338.18,2.00E+06,686.8,4.07E+06,1185.7,7.02E+06,27.198,1.61E+05,
