Embryo_ID,Cell_ID,Identity,Cell_cycle,Size,X,Y,Z,CH1.Avg,CH1.Sum,CH2.Avg,CH2.Sum,CH3.Avg,CH3.Sum,CH4.Avg,CH4.Sum,CH5.Avg,CH5.Sum, 
033117Xim_F4KO_AC5,1,TE,I,11287,269.95,237.59,4.385,2958.1,3.34E+07,56.198,6.34E+05,59.103,6.67E+05,775.42,8.75E+06,368.51,4.16E+06,
033117Xim_F4KO_AC5,2,TE,M,15852,189.77,200.38,6.9767,2699.5,4.28E+07,52.388,8.30E+05,48.816,7.74E+05,752.65,1.19E+07,147.19,2.33E+06,
033117Xim_F4KO_AC5,3,TE,I,9307,234.79,173.51,8.921,2188.2,2.04E+07,71.002,6.61E+05,59.559,5.54E+05,738.57,6.87E+06,256.23,2.38E+06,
033117Xim_F4KO_AC5,4,TE,I,11881,335.74,238.38,13.283,1724,2.05E+07,51.001,6.06E+05,51.594,6.13E+05,809.15,9.61E+06,290.01,3.45E+06,
033117Xim_F4KO_AC5,6,TE,I,8109,208.95,256.68,8.7654,2711.2,2.20E+07,72.26,5.86E+05,74.534,6.04E+05,774.41,6.28E+06,454.2,3.68E+06,
033117Xim_F4KO_AC5,7,TE,I,12860,324.8,307.79,8.7367,1743.3,2.24E+07,42.026,5.40E+05,69.527,8.94E+05,818.23,1.05E+07,220.84,2.84E+06,
033117Xim_F4KO_AC5,8,TE,I,7012,295.08,195.94,11.824,2558.6,1.79E+07,52.146,3.66E+05,49.73,3.49E+05,800.61,5.61E+06,246.49,1.73E+06,
033117Xim_F4KO_AC5,9,TE,I,10744,233.47,293.08,11.883,3116.3,3.35E+07,57.419,6.17E+05,48.256,5.18E+05,819.52,8.81E+06,339.92,3.65E+06,
033117Xim_F4KO_AC5,11,TE,I,17443,128.17,225.98,14.484,2618.3,4.57E+07,127.84,2.23E+06,66.322,1.16E+06,721.13,1.26E+07,156.45,2.73E+06,
033117Xim_F4KO_AC5,12,TE,I,6506,372.31,274.47,14.651,2616.3,1.70E+07,49.657,3.23E+05,47.847,3.11E+05,765.9,4.98E+06,254.25,1.65E+06,
033117Xim_F4KO_AC5,14,ICM,I,6529,230.04,216.94,14.928,1819.2,1.19E+07,47.752,3.12E+05,55.27,3.61E+05,816.53,5.33E+06,618.89,4.04E+06,
033117Xim_F4KO_AC5,15,TE,I,6490,233.28,145.76,16.741,2313.8,1.50E+07,47.557,3.09E+05,46.935,3.05E+05,831.36,5.40E+06,187.48,1.22E+06,
033117Xim_F4KO_AC5,16,TE,I,7634,157.02,290.86,17.232,3024.1,2.31E+07,77.292,5.90E+05,147.8,1.13E+06,687.14,5.25E+06,297.36,2.27E+06,
033117Xim_F4KO_AC5,17,ICM,M,6577,182.37,201.95,17.49,2790,1.84E+07,54.802,3.60E+05,48.336,3.18E+05,742.64,4.88E+06,318.66,2.10E+06,
033117Xim_F4KO_AC5,18,TE,I,6519,234.29,328.6,19.748,2880.3,1.88E+07,53.387,3.48E+05,46.21,3.01E+05,807.85,5.27E+06,321.15,2.09E+06,
033117Xim_F4KO_AC5,19,TE,I,5111,170.96,311.04,20.427,2905.9,1.49E+07,79.327,4.05E+05,49.241,2.52E+05,719.69,3.68E+06,199.98,1.02E+06,
033117Xim_F4KO_AC5,20,ICM,I,7541,168.63,241.77,22.71,1570.6,1.18E+07,78.393,5.91E+05,67.35,5.08E+05,796.77,6.01E+06,468.31,3.53E+06,
033117Xim_F4KO_AC5,21,ICM,I,12027,209.05,263.12,21.213,2058.4,2.48E+07,45.747,5.50E+05,65.757,7.91E+05,758.5,9.12E+06,641.56,7.72E+06,
033117Xim_F4KO_AC5,22,ESC,I,11974,136.94,254.63,22.602,2522,3.02E+07,719.31,8.61E+06,242.26,2.90E+06,781.53,9.36E+06,78.647,9.42E+05,
033117Xim_F4KO_AC5,23,TE,I,10075,151.8,163.37,21.981,2243.5,2.26E+07,55.666,5.61E+05,55.523,5.59E+05,719.88,7.25E+06,135.23,1.36E+06,
033117Xim_F4KO_AC5,24,TE,I,10584,318.69,359.67,23.068,3136.4,3.32E+07,47.278,5.00E+05,50.887,5.39E+05,782.18,8.28E+06,252.54,2.67E+06,
033117Xim_F4KO_AC5,26,TE,I,7896,206.92,125.11,24.783,2024.7,1.60E+07,39.001,3.08E+05,36.749,2.90E+05,679.91,5.37E+06,122.54,9.68E+05,
033117Xim_F4KO_AC5,27,TE,I,6211,282.94,179.38,25.583,1843.4,1.14E+07,35.246,2.19E+05,34.302,2.13E+05,710.2,4.41E+06,122.45,7.61E+05,
033117Xim_F4KO_AC5,29,TE,I,11691,404.79,329.64,27.542,2300.7,2.69E+07,45.452,5.31E+05,44.891,5.25E+05,785.37,9.18E+06,250.24,2.93E+06,
033117Xim_F4KO_AC5,31,TE,I,9242,141.56,309.43,28.362,2054.1,1.90E+07,57.31,5.30E+05,41.974,3.88E+05,776.25,7.17E+06,90.707,8.38E+05,
033117Xim_F4KO_AC5,32,TE,I,13864,117.96,158.66,35.217,2282.5,3.16E+07,41.67,5.78E+05,89.101,1.24E+06,795.81,1.10E+07,172.17,2.39E+06,
033117Xim_F4KO_AC5,32.2,ICM,I,13864,120,179,43,1298.297,,35.205,,295.53,,737.661,,52.468,,
033117Xim_F4KO_AC5,33,ICM,I,5925,129.83,184.72,28.598,2016.9,1.20E+07,49.157,2.91E+05,536.01,3.18E+06,699.38,4.14E+06,64.251,3.81E+05,
033117Xim_F4KO_AC5,34,TE,I,13379,326.63,232.88,30.665,1899.7,2.54E+07,30.724,4.11E+05,28.604,3.83E+05,673.41,9.01E+06,98.56,1.32E+06,
033117Xim_F4KO_AC5,35,ICM,I,7395,200.51,219.62,31.061,1121.4,8.29E+06,37.391,2.77E+05,41.016,3.03E+05,712.91,5.27E+06,394.01,2.91E+06,
033117Xim_F4KO_AC5,37,TE,I,4997,214.72,354.18,31.302,2808.8,1.40E+07,40.491,2.02E+05,30.866,1.54E+05,786.31,3.93E+06,168.92,8.44E+05,
033117Xim_F4KO_AC5,38,ICM,M,5452,178.35,177.05,31.21,1196.8,6.53E+06,40.178,2.19E+05,42.765,2.33E+05,716.48,3.91E+06,439.89,2.40E+06,
033117Xim_F4KO_AC5,39,TE,I,7651,373.06,260.12,31.037,1663,1.27E+07,33.156,2.54E+05,37.886,2.90E+05,783.44,5.99E+06,181.37,1.39E+06,
033117Xim_F4KO_AC5,40,ICM,I,9867,106.53,222.56,35.743,1407.1,1.39E+07,42.836,4.23E+05,474.91,4.69E+06,665.29,6.56E+06,68.655,6.77E+05,
033117Xim_F4KO_AC5,42,TE,I,7551,355.29,374.85,33.632,2165.6,1.64E+07,41.499,3.13E+05,77.553,5.86E+05,831.76,6.28E+06,166.55,1.26E+06,
033117Xim_F4KO_AC5,43,ESC,I,9120,126.69,261.75,33.969,1921.1,1.75E+07,566.88,5.17E+06,202.94,1.85E+06,794.48,7.25E+06,61.567,5.62E+05,
033117Xim_F4KO_AC5,44,TE,I,9415,231.37,127.69,34.696,1258.8,1.19E+07,35.211,3.32E+05,41.077,3.87E+05,742.31,6.99E+06,215.63,2.03E+06,
033117Xim_F4KO_AC5,45,ESC,I,8502,153.34,202.41,33.955,1308,1.11E+07,468.2,3.98E+06,216.6,1.84E+06,690.33,5.87E+06,57.596,4.90E+05,
033117Xim_F4KO_AC5,46,ESC,I,9209,153.16,235.59,34.936,1167,1.07E+07,410.53,3.78E+06,186.49,1.72E+06,732.78,6.75E+06,62.481,5.75E+05,
033117Xim_F4KO_AC5,47,TE,I,8294,251.11,176.51,38.78,1054.1,8.74E+06,32.893,2.73E+05,33.825,2.81E+05,823.86,6.83E+06,113.67,9.43E+05,
033117Xim_F4KO_AC5,49,TE,I,6838,255.4,378.58,39.254,1996.7,1.37E+07,79.833,5.46E+05,36.025,2.46E+05,810.83,5.54E+06,178.75,1.22E+06,
033117Xim_F4KO_AC5,50,TE,M,13517,169.1,116.49,40.151,1447.7,1.96E+07,25.405,3.43E+05,28.37,3.83E+05,758.56,1.03E+07,65.795,8.89E+05,
033117Xim_F4KO_AC5,51,TE,I,14634,412.22,278.9,40.03,1602.1,2.34E+07,36.587,5.35E+05,35.401,5.18E+05,782.42,1.15E+07,170.29,2.49E+06,
033117Xim_F4KO_AC5,52,TE,I,6826,181.79,343.01,40.66,1163.4,7.94E+06,28.065,1.92E+05,28.149,1.92E+05,851.95,5.82E+06,136.27,9.30E+05,
033117Xim_F4KO_AC5,54,ICM,I,8744,171.72,292.68,39.918,541.41,4.73E+06,30.87,2.70E+05,50.135,4.38E+05,647.47,5.66E+06,171.3,1.50E+06,
033117Xim_F4KO_AC5,55,TE,I,11753,92.701,269.38,45.492,1360.8,1.60E+07,43.089,5.06E+05,35.736,4.20E+05,678.54,7.97E+06,118.49,1.39E+06,
033117Xim_F4KO_AC5,56,ICM,M,5763,161.47,178.05,45.748,803.88,4.63E+06,39.351,2.27E+05,41.653,2.40E+05,681.72,3.93E+06,246.47,1.42E+06,
