Embryo_ID,Cell_ID,Size,Identity,X,Y,Z,CH1.Avg,CH1.Sum,CH2.Avg,CH2.Sum,CH3.Avg,CH3.Sum,CH4.Avg,CH4.Sum,CH5.Avg,CH5.Sum, 
020316Xim_MN2,1,4428,TE,278.38,206.18,3.2114,2206.7,9.77E+06,26.624,1.18E+05,121.58,5.38E+05,951.41,4.21E+06,1200.5,5.32E+06,
020316Xim_MN2,2,6459,TE,225.72,214.45,3.3454,2197.2,1.42E+07,25.767,1.66E+05,123.67,7.99E+05,986,6.37E+06,1463.7,9.45E+06,
020316Xim_MN2,3,4391,TE,287.56,263.65,3.1173,2203.2,9.67E+06,33.129,1.45E+05,135.72,5.96E+05,953.73,4.19E+06,1180.3,5.18E+06,
020316Xim_MN2,4,6089,TE,246.12,290.5,4.684,1898.3,1.16E+07,28.15,1.71E+05,95.672,5.83E+05,970.37,5.91E+06,982,5.98E+06,
020316Xim_MN2,5,9235,TE,257.99,155.68,7.1909,1775,1.64E+07,22.409,2.07E+05,84.963,7.85E+05,978,9.03E+06,942.09,8.70E+06,
020316Xim_MN2,6,9119,TE,178.34,201.06,7.154,1282.6,1.17E+07,19.926,1.82E+05,102.5,9.35E+05,999.87,9.12E+06,1656,1.51E+07,
020316Xim_MN2,7,7454,TE,183.4,283.26,7.1252,1491.6,1.11E+07,20.567,1.53E+05,112.8,8.41E+05,997.06,7.43E+06,1891.1,1.41E+07,
020316Xim_MN2,8,14855,TE,331.95,304.72,8.4983,1526.9,2.27E+07,19.723,2.93E+05,76.523,1.14E+06,952.49,1.41E+07,738.3,1.10E+07,
020316Xim_MN2,9,14311,TE,322.67,171.62,10.442,1521.4,2.18E+07,19.386,2.77E+05,68.854,9.85E+05,953.19,1.36E+07,564.16,8.07E+06,
020316Xim_MN2,10,6513,TE,202.93,139.31,14.86,1573.1,1.02E+07,25.401,1.65E+05,93.836,6.11E+05,938.15,6.11E+06,1091.4,7.11E+06,
020316Xim_MN2,11,9467,TE,122.99,263.93,16.999,1370.6,1.30E+07,18.419,1.74E+05,71.812,6.80E+05,978.68,9.27E+06,881.27,8.34E+06,
020316Xim_MN2,12,11279,TE,384.19,239.69,17.924,1694.4,1.91E+07,19.67,2.22E+05,71.936,8.11E+05,960.84,1.08E+07,651.71,7.35E+06,
020316Xim_MN2,13,8027,TE,192.21,344.36,18.945,1471.3,1.18E+07,22.306,1.79E+05,67.954,5.45E+05,992.4,7.97E+06,680.44,5.46E+06,
020316Xim_MN2,14,5665,TE,260.04,358.58,17.749,1734.3,9.82E+06,24.888,1.41E+05,90.396,5.12E+05,956.23,5.42E+06,1144.6,6.48E+06,
020316Xim_MN2,15,6271,TE,245.08,99.107,21.906,1569.6,9.84E+06,20.721,1.30E+05,84.481,5.30E+05,928.05,5.82E+06,1043.2,6.54E+06,
020316Xim_MN2,16,5336,TE,375.33,174.52,20.836,1803.8,9.63E+06,23.206,1.24E+05,65.587,3.50E+05,952.54,5.08E+06,503.59,2.69E+06,
020316Xim_MN2,17,8800,TE,322.85,384.32,26.981,1569.2,1.38E+07,21.36,1.88E+05,81.01,7.13E+05,948.8,8.35E+06,938.48,8.26E+06,
020316Xim_MN2,18,8474,TE,113.02,162.31,28.1,1710.4,1.45E+07,17.932,1.52E+05,73.344,6.22E+05,952.56,8.07E+06,993.01,8.41E+06,
020316Xim_MN2,19,11406,TE,392.28,351,29.71,1612.2,1.84E+07,19.924,2.27E+05,72.113,8.23E+05,946.68,1.08E+07,950.38,1.08E+07,
020316Xim_MN2,20,5331,TE,312.74,100.83,29.234,1763.7,9.40E+06,22.288,1.19E+05,54.353,2.90E+05,949.76,5.06E+06,365.01,1.95E+06,
020316Xim_MN2,21,4724,TE,267.76,406.54,28.351,1788.2,8.45E+06,23.356,1.10E+05,77.356,3.65E+05,958.76,4.53E+06,935.24,4.42E+06,
020316Xim_MN2,22,6542,TE,401.1,148.36,31.024,1264.6,8.27E+06,17.409,1.14E+05,61.137,4.00E+05,930.84,6.09E+06,514.38,3.37E+06,
020316Xim_MN2,23,5825,TE,438.38,223.19,32.337,1411.5,8.22E+06,19.397,1.13E+05,58.782,3.42E+05,908.68,5.29E+06,533.97,3.11E+06,
020316Xim_MN2,24,6239,TE,217.94,413.4,35.357,1254.3,7.83E+06,17.749,1.11E+05,68.336,4.26E+05,982.03,6.13E+06,638.3,3.98E+06,
020316Xim_MN2,25,7208,TE,158.03,382.29,35.787,1411.2,1.02E+07,18.238,1.31E+05,65.096,4.69E+05,971.62,7.00E+06,911.55,6.57E+06,
020316Xim_MN2,26,11900,TE,441.68,291.29,39.652,1392.7,1.66E+07,19.506,2.32E+05,52.474,6.24E+05,914.43,1.09E+07,244.99,2.92E+06,
020316Xim_MN2,27,7991,TE,160.2,95.852,38.572,1596.6,1.28E+07,18.925,1.51E+05,59.372,4.74E+05,917.06,7.33E+06,719.59,5.75E+06,
020316Xim_MN2,28,6846,TE,61.928,254.15,38.934,1305,8.93E+06,17.404,1.19E+05,56.52,3.87E+05,970.44,6.64E+06,683.59,4.68E+06,
020316Xim_MN2,29,5736,TE,437.45,181.44,39.184,1426.8,8.18E+06,20.047,1.15E+05,147.54,8.46E+05,908.99,5.21E+06,527.76,3.03E+06,
020316Xim_MN2,30,9625,TE,90.197,334.69,40.342,1126,1.08E+07,16.821,1.62E+05,61.835,5.95E+05,928.48,8.94E+06,811.96,7.82E+06,
020316Xim_MN2,31,9481,TE,240.28,55.577,42.852,1094.3,1.04E+07,16.622,1.58E+05,49.71,4.71E+05,918.6,8.71E+06,544.13,5.16E+06,
020316Xim_MN2,32,17425,TE,73.325,209.56,42.303,1441.3,2.51E+07,18.753,3.27E+05,64.069,1.12E+06,886.48,1.54E+07,881.86,1.54E+07,
020316Xim_MN2,32.2,,TE,82,212,38,1621.145,,19.549,,77.292,,827.54,,1379.668,,
020316Xim_MN2,33,12477,TE,379.71,100.26,46.784,1380.4,1.72E+07,19.429,2.42E+05,56.814,7.09E+05,905.19,1.13E+07,485.91,6.06E+06,
020316Xim_MN2,34,6313,TE,417.82,364.05,45.84,1106.8,6.99E+06,16.875,1.07E+05,49.608,3.13E+05,915.77,5.78E+06,432.39,2.73E+06,
020316Xim_MN2,35,5786,TE,69.845,269.19,46.552,1153.9,6.68E+06,17.712,1.02E+05,86.334,5.00E+05,940.93,5.44E+06,1655.2,9.58E+06,
020316Xim_MN2,36,6205,TE,362.22,418.27,48.64,928.85,5.76E+06,15.66,97173,35.641,2.21E+05,936.38,5.81E+06,262.4,1.63E+06,
020316Xim_MN2,37,5243,TE,300.07,448.48,47.06,973.19,5.10E+06,16.729,87709,49.815,2.61E+05,945.64,4.96E+06,553.51,2.90E+06,
020316Xim_MN2,38,6372,TE,462.9,236.62,48.383,1091.9,6.96E+06,16.938,1.08E+05,68.955,4.39E+05,988.88,6.30E+06,420.34,2.68E+06,
020316Xim_MN2,39,6953,TE,130.5,393.58,50.681,1019,7.09E+06,18.788,1.31E+05,56.254,3.91E+05,917.67,6.38E+06,646.59,4.50E+06,
020316Xim_MN2,40,7241,TE,331.29,63.539,51.716,1047.4,7.58E+06,16.871,1.22E+05,39.392,2.85E+05,907.59,6.57E+06,350.69,2.54E+06,
020316Xim_MN2,41,18343,TE,65.09,160.7,56.184,1338.2,2.45E+07,16.573,3.04E+05,58.903,1.08E+06,961.88,1.76E+07,857.22,1.57E+07,
020316Xim_MN2,41.2,,TE,70,169,52,1290.271,,16.952,,64.147,,1078.99,,926.282,,
020316Xim_MN2,42,608,TE,198.28,62.854,48.576,263.49,1.60E+05,35.469,21565,73.173,44489,904.82,5.50E+05,143.71,87374,
020316Xim_MN2,43,5479,TE,436.32,125.49,54.878,1324.6,7.26E+06,17.91,98128,47.544,2.60E+05,954.39,5.23E+06,458.69,2.51E+06,
020316Xim_MN2,44,6597,TE,446.91,350.79,59.038,954.38,6.30E+06,16.936,1.12E+05,52.434,3.46E+05,894.68,5.90E+06,411.82,2.72E+06,
020316Xim_MN2,45,7927,TE,110.05,91.787,60.431,1153.5,9.14E+06,17.585,1.39E+05,51.524,4.08E+05,918.97,7.28E+06,530.8,4.21E+06,
020316Xim_MN2,46,6843,TE,97.319,120.12,58.576,1003.7,6.87E+06,16.117,1.10E+05,61.536,4.21E+05,838.85,5.74E+06,943.39,6.46E+06,
020316Xim_MN2,47,8198,TE,458.41,173.52,60.391,846.6,6.94E+06,16.173,1.33E+05,44.965,3.69E+05,1005.8,8.25E+06,375.43,3.08E+06,
020316Xim_MN2,48,8906,TE,38.049,293.47,61.951,939.7,8.37E+06,19.147,1.71E+05,51.342,4.57E+05,984.44,8.77E+06,498.66,4.44E+06,
020316Xim_MN2,49,7501,TE,286.78,465.11,62.959,572.66,4.30E+06,17.3,1.30E+05,39.846,2.99E+05,996.37,7.47E+06,305.28,2.29E+06,
020316Xim_MN2,50,4793,TE,46.196,256.78,62.441,814.41,3.90E+06,18.251,87477,72.407,3.47E+05,930.03,4.46E+06,1266,6.07E+06,
020316Xim_MN2,51,9052,TE,174.4,437.41,64.64,743.03,6.73E+06,15.904,1.44E+05,44.976,4.07E+05,995.64,9.01E+06,469.33,4.25E+06,
020316Xim_MN2,53,8298,TE,98.907,395.13,69.047,731.59,6.07E+06,14.715,1.22E+05,38.382,3.19E+05,1060.2,8.80E+06,424.51,3.52E+06,
020316Xim_MN2,54,7786,TE,214.62,41.113,70.188,1058.4,8.24E+06,14.614,1.14E+05,38.862,3.03E+05,963.02,7.50E+06,405.16,3.15E+06,
020316Xim_MN2,55,10985,TE,46.393,218.73,68.119,819.3,9.00E+06,16.109,1.77E+05,80.722,8.87E+05,942.33,1.04E+07,1067.2,1.17E+07,
020316Xim_MN2,56,6977,TE,482.58,230.43,69.394,811.08,5.66E+06,16.387,1.14E+05,38.97,2.72E+05,930.36,6.49E+06,230.14,1.61E+06,
020316Xim_MN2,57,7908,TE,165.35,49.729,72.652,1112.1,8.79E+06,15.376,1.22E+05,35.034,2.77E+05,821.47,6.50E+06,234.6,1.86E+06,
020316Xim_MN2,58,10866,TE,330.04,463.93,73.147,642.98,6.99E+06,14.704,1.60E+05,41.539,4.51E+05,835.24,9.08E+06,394.73,4.29E+06,
020316Xim_MN2,59,5584,TE,481.41,296.15,72.25,980.91,5.48E+06,16.437,91785,42.482,2.37E+05,1002.8,5.60E+06,346.25,1.93E+06,
020316Xim_MN2,60,7723,TE,57.088,354.55,72.126,826.51,6.38E+06,16.115,1.24E+05,47.396,3.66E+05,1041.9,8.05E+06,590.32,4.56E+06,
020316Xim_MN2,61,6233,TE,429.83,112.45,74.557,802.83,5.00E+06,15.158,94479,36.959,2.30E+05,818.34,5.10E+06,257.57,1.61E+06,
020316Xim_MN2,62,9310,TE,28.39,202.21,77.613,760.92,7.08E+06,15.042,1.40E+05,57.089,5.32E+05,951.51,8.86E+06,269.6,2.51E+06,
020316Xim_MN2,63,7543,TE,255,35.135,77.118,710.93,5.36E+06,15.102,1.14E+05,43.214,3.26E+05,909.18,6.86E+06,497.75,3.75E+06,
020316Xim_MN2,64,6432,ICM,63.354,178.24,72.99,768.92,4.95E+06,15.353,98750,54.393,3.50E+05,1036.1,6.66E+06,843.34,5.42E+06,
020316Xim_MN2,65,7452,ICM,68.604,239.25,76.138,585.04,4.36E+06,16.216,1.21E+05,62.711,4.67E+05,742.96,5.54E+06,861.9,6.42E+06,
020316Xim_MN2,66,5426,ESC,27.734,255.01,76.264,767.83,4.17E+06,297.49,1.61E+06,298.55,1.62E+06,983.83,5.34E+06,131.76,7.15E+05,
020316Xim_MN2,67,9811,TE,321.1,46.361,80.385,889.44,8.73E+06,14.114,1.38E+05,37.88,3.72E+05,823.53,8.08E+06,430.67,4.23E+06,
020316Xim_MN2,68,12043,TE,384.41,83.132,80.963,714.05,8.60E+06,15.931,1.92E+05,36.135,4.35E+05,936.55,1.13E+07,174.55,2.10E+06,
020316Xim_MN2,69,12659,ICM,45.536,286.2,79.111,684.11,8.66E+06,18.74,2.37E+05,65.883,8.34E+05,913.39,1.16E+07,1050.6,1.33E+07,
020316Xim_MN2,70,15177,TE,411.28,404.77,81.565,659.19,1.00E+07,14.657,2.22E+05,43.556,6.61E+05,883.95,1.34E+07,503.37,7.64E+06,
020316Xim_MN2,71,7062,ICM,55.125,326.21,82.822,642.72,4.54E+06,14.999,1.06E+05,55.951,3.95E+05,882.19,6.23E+06,914.45,6.46E+06,
020316Xim_MN2,72,5462,ICM,69.993,152.13,83.03,661.52,3.61E+06,13.985,76388,37.331,2.04E+05,740.24,4.04E+06,478.27,2.61E+06,
020316Xim_MN2,73,6111,ICM,73.699,216.55,84.208,580.6,3.55E+06,14.089,86099,57.316,3.50E+05,761.9,4.66E+06,776.92,4.75E+06,
020316Xim_MN2,74,7931,TE,460.57,173.84,85.447,567.34,4.50E+06,15.491,1.23E+05,33.386,2.65E+05,663.1,5.26E+06,218.8,1.74E+06,
020316Xim_MN2,75,9089,ICM,48.807,229.53,85.504,598.23,5.44E+06,18.143,1.65E+05,298.03,2.71E+06,905.46,8.23E+06,217.15,1.97E+06,
020316Xim_MN2,76,8319,TE,283.5,473.19,83.744,374.78,3.12E+06,14.916,1.24E+05,30.518,2.54E+05,812.7,6.76E+06,244.22,2.03E+06,
020316Xim_MN2,77,10606,TE,118.76,78.91,87.956,442.51,4.69E+06,15.727,1.67E+05,30.431,3.23E+05,872.31,9.25E+06,299.01,3.17E+06,
020316Xim_MN2,78,4188,ICM,54.466,189.09,85.265,519.94,2.18E+06,14.367,60169,52.005,2.18E+05,1131.9,4.74E+06,886.45,3.71E+06,
020316Xim_MN2,79,9662,TE,156.48,438.25,89.371,487.85,4.71E+06,14.099,1.36E+05,34.459,3.33E+05,824.7,7.97E+06,315.71,3.05E+06,
020316Xim_MN2,80,11762,TE,70.118,123.75,92.561,489.85,5.76E+06,13.525,1.59E+05,31.657,3.72E+05,900.2,1.06E+07,346.05,4.07E+06,
020316Xim_MN2,81,5704,TE,38.241,174.8,90.137,505.61,2.88E+06,13.804,78740,31.624,1.80E+05,743.89,4.24E+06,228.26,1.30E+06,
020316Xim_MN2,82,5767,ICM,81.198,140.74,91.927,521.58,3.01E+06,13.282,76600,38.967,2.25E+05,804.12,4.64E+06,593.16,3.42E+06,
020316Xim_MN2,83,11069,TE,238.28,468.84,89.696,343.21,3.80E+06,13.284,1.47E+05,27.866,3.08E+05,779.65,8.63E+06,229.73,2.54E+06,
020316Xim_MN2,84,12439,TE,430.84,131.77,92.905,506.28,6.30E+06,14.738,1.83E+05,31.961,3.98E+05,878.32,1.09E+07,141.97,1.77E+06,
020316Xim_MN2,85,9653,TE,111.31,408.74,91.939,489.12,4.72E+06,14.501,1.40E+05,34.627,3.34E+05,771.86,7.45E+06,327.18,3.16E+06,
020316Xim_MN2,86,7720,ICM,80.256,260.67,93.173,426.56,3.29E+06,13.52,1.04E+05,39.041,3.01E+05,954.29,7.37E+06,599.05,4.62E+06,
020316Xim_MN2,87,8225,ICM,62.37,305.88,94.434,489.84,4.03E+06,14.751,1.21E+05,48.291,3.97E+05,1090.7,8.97E+06,698.44,5.74E+06,
020316Xim_MN2,88,5635,ICM,69.281,186.42,94.446,500.85,2.82E+06,13.848,78036,35.754,2.01E+05,777.94,4.38E+06,460.71,2.60E+06,
020316Xim_MN2,89,4934,ESC,47.647,256.28,92.986,538.02,2.65E+06,215.62,1.06E+06,283.49,1.40E+06,703.01,3.47E+06,130.66,6.45E+05,
020316Xim_MN2,90,8556,TE,474.94,311.66,94.62,432.12,3.70E+06,13.739,1.18E+05,29.028,2.48E+05,819.59,7.01E+06,139.84,1.20E+06,
020316Xim_MN2,91,13347,TE,420.43,388.4,96.864,481.54,6.43E+06,13.96,1.86E+05,39.016,5.21E+05,729.32,9.73E+06,423.62,5.65E+06,
020316Xim_MN2,92,5295,TE,29.533,218.31,94.595,482.23,2.55E+06,16.51,87419,466.31,2.47E+06,930.39,4.93E+06,115.33,6.11E+05,
020316Xim_MN2,93,9951,TE,57.111,349.57,97.665,424.53,4.22E+06,13.667,1.36E+05,29.537,2.94E+05,750.06,7.46E+06,276.45,2.75E+06,
020316Xim_MN2,94,3093,TE,35.323,187.59,97.496,646.33,2.00E+06,17.524,54202,40.041,1.24E+05,811.66,2.51E+06,167.01,5.17E+05,
020316Xim_MN2,95,9909,ESC,26.236,275.78,102.9,563.91,5.59E+06,172.06,1.70E+06,121.09,1.20E+06,899.51,8.91E+06,143.95,1.43E+06,
020316Xim_MN2,96,9721,TE,317.31,460.47,99.6,307.12,2.99E+06,13.537,1.32E+05,32.622,3.17E+05,751.06,7.30E+06,239.61,2.33E+06,
020316Xim_MN2,97,10500,TE,471.79,244.9,103.49,353.75,3.71E+06,12.407,1.30E+05,30.225,3.17E+05,932.07,9.79E+06,286.23,3.01E+06,
020316Xim_MN2,98,9056,TE,339.87,67.409,103.55,369.12,3.34E+06,13.399,1.21E+05,31.938,2.89E+05,883.43,8.00E+06,309.65,2.80E+06,
020316Xim_MN2,99,4428,ICM,46.507,241.17,101.6,438.18,1.94E+06,50.559,2.24E+05,274.46,1.22E+06,828.38,3.67E+06,115.4,5.11E+05,
