Embryo_ID,Cell_ID,Identity,Cell_cycle,Size,X,Y,Z,CH1.Avg,CH1.Sum,CH2.Avg,CH2.Sum,CH3.Avg,CH3.Sum,CH4.Avg,CH4.Sum,CH5.Avg, CH5-Sum, 
040518Xim_WT_BF5,1,TE,I,8562,190.22,213.14,6.8157,2717.9,2.33E+07,57.464,4.92E+05,277.56,2.38E+06,616.39,5.28E+06,54.629,4.68E+05,
040518Xim_WT_BF5,2,TE,I,5262,273.23,229.96,6.7066,3081.2,1.62E+07,61.819,3.25E+05,334.32,1.76E+06,581.88,3.06E+06,43.574,2.29E+05,
040518Xim_WT_BF5,3,TE,I,8539,165.32,273.88,7.8165,2921.8,2.49E+07,68.757,5.87E+05,313.41,2.68E+06,665.08,5.68E+06,60.762,5.19E+05,
040518Xim_WT_BF5,4,TE,I,7249,217.91,284.85,7.5423,2902,2.10E+07,65.354,4.74E+05,355.19,2.57E+06,573.09,4.15E+06,47.318,3.43E+05,
040518Xim_WT_BF5,5,TE,I,11976,281.71,295.96,7.0922,2882.4,3.45E+07,70.67,8.46E+05,265.26,3.18E+06,576.41,6.90E+06,43.221,5.18E+05,
040518Xim_WT_BF5,6,TE,I,15230,111.85,250.46,9.6588,2922.4,4.45E+07,86.983,1.32E+06,157.14,2.39E+06,583.84,8.89E+06,49.647,7.56E+05,
040518Xim_WT_BF5,9,TE,I,6953,292.25,193.73,11.121,2560.5,1.78E+07,45.992,3.20E+05,328.52,2.28E+06,610.82,4.25E+06,40.676,2.83E+05,
040518Xim_WT_BF5,12,TE,I,14777,276.23,362.41,12.672,2431.6,3.59E+07,49.14,7.26E+05,237.67,3.51E+06,597.24,8.83E+06,42.521,6.28E+05,
040518Xim_WT_BF5,13,ICM,I,8069,215.08,250.8,14.013,2658.3,2.14E+07,47.937,3.87E+05,227.53,1.84E+06,554.4,4.47E+06,275.55,2.22E+06,
040518Xim_WT_BF5,14,TE,I,6939,216.77,184.22,14.562,2941.6,2.04E+07,66.261,4.60E+05,420.93,2.92E+06,553.74,3.84E+06,45.482,3.16E+05,
040518Xim_WT_BF5,15,TE,I,5678,172.8,334.15,15.275,3441.4,1.95E+07,66.812,3.79E+05,420.42,2.39E+06,613.03,3.48E+06,48.649,2.76E+05,
040518Xim_WT_BF5,16,TE,I,4718,354.05,240.97,15.474,2960.3,1.40E+07,69.702,3.29E+05,380.75,1.80E+06,593.48,2.80E+06,44.535,2.10E+05,
040518Xim_WT_BF5,17,TE,I,11615,201.29,348.4,18.827,3000.5,3.49E+07,63.524,7.38E+05,328.33,3.81E+06,597.4,6.94E+06,46.683,5.42E+05,
040518Xim_WT_BF5,18,TE,I,10004,309.14,370.47,16.608,2881.9,2.88E+07,55.568,5.56E+05,274.39,2.75E+06,585.14,5.85E+06,44.398,4.44E+05,
040518Xim_WT_BF5,19,ICM,I,12060,82.398,240.31,19.277,2972,3.58E+07,405.91,4.90E+06,32.763,3.95E+05,597.83,7.21E+06,45.815,5.53E+05,
040518Xim_WT_BF5,20,ICM,I,10657,131.1,238.05,19.157,3025.2,3.22E+07,208.78,2.23E+06,32.239,3.44E+05,603.61,6.43E+06,44.531,4.75E+05,
040518Xim_WT_BF5,21,TE,I,6046,132.23,324.23,19.059,3286.2,1.99E+07,50.676,3.06E+05,308.79,1.87E+06,607.18,3.67E+06,47.657,2.88E+05,
040518Xim_WT_BF5,22,ICM,I,2411,189.04,230.23,17.236,3135,7.56E+06,47.971,1.16E+05,126.5,3.05E+05,594.53,1.43E+06,306.51,7.39E+05,
040518Xim_WT_BF5,23,ICM,I,10152,166.35,252.83,21.1,3130.9,3.18E+07,50.176,5.09E+05,114.27,1.16E+06,599.27,6.08E+06,280.38,2.85E+06,
040518Xim_WT_BF5,23.2,ICM,I,10152,169,247,26,2982.313,,42.129,,145.555,,579.67,,180.314,,
040518Xim_WT_BF5,24,ICM,I,6262,152.71,307.45,19.64,3211.7,2.01E+07,55.448,3.47E+05,234.76,1.47E+06,545.16,3.41E+06,261.65,1.64E+06,
040518Xim_WT_BF5,25,ICM,I,5872,190.15,206.33,19.475,3203.9,1.88E+07,53.9,3.17E+05,214.1,1.26E+06,575.97,3.38E+06,292.82,1.72E+06,
040518Xim_WT_BF5,26,TE,I,6169,269.65,140.91,21.311,2789.6,1.72E+07,43.601,2.69E+05,265.51,1.64E+06,583.99,3.60E+06,41.512,2.56E+05,
040518Xim_WT_BF5,27,ICM,I,6746,144.1,195.93,22.697,2275.6,1.54E+07,378.98,2.56E+06,41.216,2.78E+05,588.31,3.97E+06,51.353,3.46E+05,
040518Xim_WT_BF5,29,ICM,I,6862,140.73,281.68,24.038,2346.1,1.61E+07,42.895,2.94E+05,38.362,2.63E+05,618.42,4.24E+06,401.58,2.76E+06,
040518Xim_WT_BF5,30,ICM,I,7899,102.57,183.96,24.341,2515.2,1.99E+07,123.6,9.76E+05,29.653,2.34E+05,539.58,4.26E+06,41.363,3.27E+05,
040518Xim_WT_BF5,31,TE,I,6189,132.82,167.88,25.775,2921.1,1.81E+07,43.986,2.72E+05,127.36,7.88E+05,621.74,3.85E+06,40.14,2.48E+05,
040518Xim_WT_BF5,32,TE,I,10143,75.809,305.07,25.58,3050.5,3.09E+07,52.028,5.28E+05,149.99,1.52E+06,587.05,5.95E+06,41.139,4.17E+05,
040518Xim_WT_BF5,33,TE,I,11768,375.83,328.37,25.27,2275.8,2.68E+07,61.019,7.18E+05,147.29,1.73E+06,612.58,7.21E+06,38.217,4.50E+05,
040518Xim_WT_BF5,34,TE,I,6813,373.4,204.03,25.31,2104.8,1.43E+07,58.066,3.96E+05,196.67,1.34E+06,594.67,4.05E+06,38.88,2.65E+05,
040518Xim_WT_BF5,35,ICM,I,8924,113.23,224.38,27.519,2398,2.14E+07,161.8,1.44E+06,26.547,2.37E+05,636.46,5.68E+06,39.087,3.49E+05,
040518Xim_WT_BF5,36,TE,I,6477,196.37,138.18,27.241,2775.1,1.80E+07,45.07,2.92E+05,228.02,1.48E+06,576.56,3.73E+06,40.627,2.63E+05,
040518Xim_WT_BF5,37,TE,I,6401,54.277,228.69,28.678,2799.2,1.79E+07,63.774,4.08E+05,168.97,1.08E+06,573.47,3.67E+06,40.839,2.61E+05,
040518Xim_WT_BF5,38,TE,I,6164,204.33,384.34,27.248,2773.7,1.71E+07,59.378,3.66E+05,176.01,1.08E+06,566.4,3.49E+06,38.546,2.38E+05,
040518Xim_WT_BF5,39,TE,I,7231,338.49,149.46,28.936,2279.7,1.65E+07,46.626,3.37E+05,188,1.36E+06,571.03,4.13E+06,41.535,3.00E+05,
