Embryo_ID,Cell_ID,Identity,Cell_cycle,Size,X,Y,Z,CH1.Avg,CH1.Sum,CH2.Avg,CH2.Sum,CH3.Avg,CH3.Sum,CH4.Avg,CH4.Sum,CH5.Avg, CH5-Sum, 
040518Xim_WT_BG6,2,ESC,I,6622,208.8,207.96,3.8864,3528.9,2.34E+07,286.27,1.90E+06,180.72,1.20E+06,696.59,4.61E+06,2633.9,1.74E+07,
040518Xim_WT_BG6,3,TE,I,5064,283.52,277.67,4.0199,3758.5,1.90E+07,1820.1,9.22E+06,528.87,2.68E+06,652.27,3.30E+06,41.786,2.12E+05,
040518Xim_WT_BG6,4,TE,I,4343,257.91,240.34,5.0069,3696.2,1.61E+07,1943.8,8.44E+06,702.14,3.05E+06,651.1,2.83E+06,40.482,1.76E+05,
040518Xim_WT_BG6,5,TE,I,6049,227.18,239.51,5.1823,3431.4,2.08E+07,1385,8.38E+06,490.15,2.96E+06,570.65,3.45E+06,60.405,3.65E+05,
040518Xim_WT_BG6,6,TE,I,12165,336.67,287.34,5.2551,3478.8,4.23E+07,1534.6,1.87E+07,275.51,3.35E+06,651.54,7.93E+06,38.183,4.64E+05,
040518Xim_WT_BG6,7,TE,I,7340,239.54,286.88,5.4497,3232.4,2.37E+07,1236.8,9.08E+06,446.98,3.28E+06,631.89,4.64E+06,51.636,3.79E+05,
040518Xim_WT_BG6,8,TE,I,10663,304.54,229.76,6.5202,3360.3,3.58E+07,1296.6,1.38E+07,324.19,3.46E+06,649.23,6.92E+06,39.281,4.19E+05,
040518Xim_WT_BG6,9,TE,I,10626,171.15,282.49,5.7484,3469.3,3.69E+07,1282.3,1.36E+07,527.05,5.60E+06,619.44,6.58E+06,51.178,5.44E+05,
040518Xim_WT_BG6,10,ESC,I,4309,211.66,172.96,7.9058,3527.3,1.52E+07,156.66,6.75E+05,111.2,4.79E+05,673.96,2.90E+06,2388.3,1.03E+07,
040518Xim_WT_BG6,11,TE,I,10034,163.26,227.97,7.4105,3117.9,3.13E+07,786.23,7.89E+06,329.52,3.31E+06,649.53,6.52E+06,217.38,2.18E+06,
040518Xim_WT_BG6,12,TE,I,14243,377.93,244.84,8.8571,2971.8,4.23E+07,1137.5,1.62E+07,100.76,1.44E+06,638.72,9.10E+06,36.79,5.24E+05,
040518Xim_WT_BG6,13,TE,I,5962,204.69,300.78,9.6456,3436.5,2.05E+07,1275.7,7.61E+06,473.13,2.82E+06,535.01,3.19E+06,56.635,3.38E+05,
040518Xim_WT_BG6,14,TE,I,7706,142.41,258,11.477,3321,2.56E+07,1185.5,9.14E+06,54.317,4.19E+05,559.76,4.31E+06,176.48,1.36E+06,
040518Xim_WT_BG6,15,TE,I,8865,118.93,279.02,12.055,3162.2,2.80E+07,997.02,8.84E+06,304.88,2.70E+06,595.31,5.28E+06,329.6,2.92E+06,
040518Xim_WT_BG6,16,TE,I,8991,340.72,183.85,13.795,3522.4,3.17E+07,1090.2,9.80E+06,281.16,2.53E+06,619.21,5.57E+06,34.583,3.11E+05,
040518Xim_WT_BG6,17,TE,I,3074,199.6,199.4,11.01,3246.9,9.98E+06,1302.3,4.00E+06,352.33,1.08E+06,684.45,2.10E+06,246.23,7.57E+05,
040518Xim_WT_BG6,20,TE,I,8565,106.37,227.93,14.287,3153.5,2.70E+07,806.69,6.91E+06,233.49,2.00E+06,613.71,5.26E+06,72.622,6.22E+05,
040518Xim_WT_BG6,21,TE,I,6997,393.51,314.92,13.563,3227.7,2.26E+07,1087.9,7.61E+06,283.27,1.98E+06,639.3,4.47E+06,45.614,3.19E+05,
040518Xim_WT_BG6,22,TE,I,8079,151.52,322.25,14.544,3193,2.58E+07,963.9,7.79E+06,372.5,3.01E+06,639.65,5.17E+06,42.241,3.41E+05,
040518Xim_WT_BG6,23,TE,I,12143,274.08,340.92,15.276,3493.3,4.24E+07,1083.2,1.32E+07,279.04,3.39E+06,631.63,7.67E+06,36.164,4.39E+05,
