Embryo_ID,Cell_ID,Identity,Cell_cycle,Size,X,Y,Z,CH1.Avg,CH1.Sum,CH2.Avg,CH2.Sum,CH3.Avg,CH3.Sum,CH4.Avg,CH4.Sum,CH5.Avg,CH5.Sum, 
080718Xim_WT_CLCM13,1,TE,I,4572,260.06,235.07,4.6912,3101.9,1.42E+07,3605.5,1.65E+07,460.15,2.10E+06,1004.3,4.59E+06,21.15,96700,
080718Xim_WT_CLCM13,2,TE,I,4869,295.5,242.13,4.5751,2780.8,1.35E+07,3607.5,1.76E+07,562.52,2.74E+06,1044.4,5.09E+06,21.666,1.05E+05,
080718Xim_WT_CLCM13,3,TE,I,5325,211.31,244.95,4.8794,2726.2,1.45E+07,3094.1,1.65E+07,589.76,3.14E+06,1135.2,6.04E+06,21.797,1.16E+05,
080718Xim_WT_CLCM13,4,TE,I,5383,169.65,243.06,5.4206,2781.9,1.50E+07,3576.8,1.93E+07,495.12,2.67E+06,1001.6,5.39E+06,21.294,1.15E+05,
080718Xim_WT_CLCM13,5,TE,I,8104,229.36,277.82,6.2019,2725.6,2.21E+07,3315.6,2.69E+07,427.84,3.47E+06,1039.4,8.42E+06,20.615,1.67E+05,
080718Xim_WT_CLCM13,6,TE,I,8236,175.03,285.26,5.4222,2886.6,2.38E+07,3630.5,2.99E+07,589.2,4.85E+06,1063.9,8.76E+06,20.913,1.72E+05,
080718Xim_WT_CLCM13,7,TE,I,5522,276.65,286.4,6.1043,2452.9,1.35E+07,2935.2,1.62E+07,364.63,2.01E+06,1030.8,5.69E+06,20.653,1.14E+05,
080718Xim_WT_CLCM13,8,TE,I,4265,292.06,329.38,5.4828,3263.3,1.39E+07,3389.9,1.45E+07,104.14,4.44E+05,972.43,4.15E+06,16.672,71107,
080718Xim_WT_CLCM13,9,TE,I,9190,315.41,283.11,9.9094,2779.3,2.55E+07,3212.6,2.95E+07,356.89,3.28E+06,957.63,8.80E+06,20.7,1.90E+05,
080718Xim_WT_CLCM13,10,TE,I,7063,142.9,306.65,7.7971,2618,1.85E+07,3568,2.52E+07,348.21,2.46E+06,1078.2,7.62E+06,20.112,1.42E+05,
