Embryo_ID,Cellcount,Cell_ID,Identity,Size,X,Y,Z,CH1.Avg,CH1.Sum,CH2.Avg,CH2.Sum,CH3.Avg,CH3.Sum,CH4.Avg,CH4.Sum,CH5.Avg,CH5.Sum,
020916Xim_F4KO_P5,115,1,TE,12842,195.81,250.47,5.7271,1603.9,2.06E+07,31.783,4.08E+05,128.71,1.65E+06,1101.4,1.41E+07,2145.2,2.75E+07,
020916Xim_F4KO_P5,115,2,TE,8262,239.14,303.67,4.3843,2322.5,1.92E+07,40.133,3.32E+05,121.86,1.01E+06,1096.3,9.06E+06,1758.8,1.45E+07,
020916Xim_F4KO_P5,115,3,TE,10836,312.17,337.98,5.6317,1745.9,1.89E+07,46.197,5.01E+05,131.29,1.42E+06,1091,1.18E+07,1312.3,1.42E+07,
020916Xim_F4KO_P5,115,5,TE,14316,300.87,249.47,5.4049,1448,2.07E+07,31.783,4.55E+05,147.24,2.11E+06,1098.2,1.57E+07,1863.9,2.67E+07,
020916Xim_F4KO_P5,115,6,TE,13446,164.55,190.32,7.5194,1775.6,2.39E+07,31.606,4.25E+05,97.506,1.31E+06,1090.1,1.47E+07,1257.2,1.69E+07,
020916Xim_F4KO_P5,115,7,TE,4999,356.67,315.97,7.6599,2145.7,1.07E+07,34.38,1.72E+05,107.51,5.37E+05,1106.8,5.53E+06,1474.6,7.37E+06,
020916Xim_F4KO_P5,115,9,TE,13424,146.69,346.06,9.0402,1758.6,2.36E+07,31.412,4.22E+05,93.676,1.26E+06,1092.7,1.47E+07,1361.9,1.83E+07,
020916Xim_F4KO_P5,115,10,TE,15408,259.57,386.02,12.15,1326.6,2.04E+07,33.536,5.17E+05,564.65,8.70E+06,1097.7,1.69E+07,1888.1,2.91E+07,
020916Xim_F4KO_P5,115,13,TE,7570,308.38,175.68,12.779,1409.8,1.07E+07,27.961,2.12E+05,88.902,6.73E+05,1100.9,8.33E+06,601.74,4.56E+06,
020916Xim_F4KO_P5,115,14,EPI,11940,101,226.19,12.272,1234,1.47E+07,39.985,4.77E+05,1432.4,1.71E+07,1055,1.26E+07,451.63,5.39E+06,
020916Xim_F4KO_P5,115,15,TE,12289,371.45,208.87,15.811,1313,1.61E+07,33.458,4.11E+05,117.54,1.44E+06,1090.4,1.34E+07,754.46,9.27E+06,
020916Xim_F4KO_P5,115,17,TE,10700,199.95,134.48,16.802,1456.9,1.56E+07,29.841,3.19E+05,101.27,1.08E+06,1109.1,1.19E+07,1400.1,1.50E+07,
020916Xim_F4KO_P5,115,18,TE,10282,75.932,278.33,16.904,1831,1.88E+07,54.644,5.62E+05,159.04,1.64E+06,1089.5,1.12E+07,1727.3,1.78E+07,
020916Xim_F4KO_P5,115,19,PRE,10196,102.36,266.43,19.451,1780.6,1.82E+07,52.181,5.32E+05,186.24,1.90E+06,1000.6,1.02E+07,2315.5,2.36E+07,
020916Xim_F4KO_P5,115,20,TE,13209,63.381,205.94,20.981,1680.4,2.22E+07,42.324,5.59E+05,353.63,4.67E+06,1053.2,1.39E+07,1435.7,1.90E+07,
020916Xim_F4KO_P5,115,21,TE,4184,337.5,383.66,18.648,2161.8,9.04E+06,33.979,1.42E+05,100.47,4.20E+05,1090.3,4.56E+06,1380.2,5.77E+06,
020916Xim_F4KO_P5,115,22,ESC,6551,78.877,250.91,23.38,2129.4,1.40E+07,944.57,6.19E+06,1031.2,6.76E+06,1067.1,6.99E+06,443.15,2.90E+06,
020916Xim_F4KO_P5,115,23,TE,9382,413.85,215.76,24.464,1140.1,1.07E+07,27.747,2.60E+05,274.75,2.58E+06,1096.9,1.03E+07,1036.5,9.72E+06,
020916Xim_F4KO_P5,115,24,PRE,8487,97.434,224.15,24.537,1660.9,1.41E+07,44.893,3.81E+05,306.59,2.60E+06,998.37,8.47E+06,2353.3,2.00E+07,
020916Xim_F4KO_P5,115,25,TE,9664,93.275,160.34,27.32,1697.7,1.64E+07,36.049,3.48E+05,154.88,1.50E+06,1091.2,1.05E+07,1797.7,1.74E+07,
020916Xim_F4KO_P5,115,26,TE,10282,427.54,270.04,26.137,1316.4,1.35E+07,34.245,3.52E+05,173.96,1.79E+06,1077.8,1.11E+07,465.03,4.78E+06,
020916Xim_F4KO_P5,115,27,TE,14906,264.69,112.78,28.507,789.04,1.18E+07,23.187,3.46E+05,90.731,1.35E+06,1112.3,1.66E+07,1409.7,2.10E+07,
020916Xim_F4KO_P5,115,28,TE,11776,421.67,334.61,29.141,1412.8,1.66E+07,32.357,3.81E+05,142.58,1.68E+06,1083.5,1.28E+07,805.71,9.49E+06,
020916Xim_F4KO_P5,115,29,TE,8385,388.42,378.14,30.098,1037.5,8.70E+06,29.902,2.51E+05,82.302,6.90E+05,1100.9,9.23E+06,711.69,5.97E+06,
020916Xim_F4KO_P5,115,30,PRE,10743,51.215,245.75,33.091,1305.8,1.40E+07,45.964,4.94E+05,684.58,7.35E+06,1106.5,1.19E+07,1399.2,1.50E+07,
020916Xim_F4KO_P5,115,30.2,DP,10743,66,230,37,1193.268,,43.279,,969.089,,1061.222,,567.732,,
020916Xim_F4KO_P5,115,31,TE,14505,350.78,125.73,32.871,986.68,1.43E+07,25.21,3.66E+05,82.748,1.20E+06,1085.6,1.57E+07,1245.8,1.81E+07,
020916Xim_F4KO_P5,115,32,EPI,762,80.458,192.52,25,1511.277,,42.761,,1862.974,,987.98,,386.589,,
020916Xim_F4KO_P5,115,35,PRE,19416,60,298,34,970.002,,45.771,,227.917,,1142.975,,2020.78,,
020916Xim_F4KO_P5,115,35.2,PRE,19416,86,303,34,865.572,,40.177,,475.532,,1038.704,,1535.265,,
020916Xim_F4KO_P5,115,36,TE,6433,291.31,430.33,30.704,1332.3,8.57E+06,31.852,2.05E+05,172.6,1.11E+06,1039.6,6.69E+06,1292.7,8.32E+06,
020916Xim_F4KO_P5,115,37,TE,9215,114.61,383.05,33.553,1198.9,1.10E+07,27.937,2.57E+05,142.36,1.31E+06,1066.6,9.83E+06,1126.1,1.04E+07,
020916Xim_F4KO_P5,115,38,DP,7016,79.652,207.93,32.869,1443.8,1.01E+07,38.151,2.68E+05,1398.2,9.81E+06,1000.6,7.02E+06,824.76,5.79E+06,
020916Xim_F4KO_P5,115,39,EPI,4977,52.997,210.56,32.482,1444.8,7.19E+06,38.367,1.91E+05,1259.4,6.27E+06,1040.4,5.18E+06,479.4,2.39E+06,
020916Xim_F4KO_P5,115,41,TE,13756,163,97.621,39.096,1157.4,1.59E+07,25.655,3.53E+05,108.54,1.49E+06,1083.7,1.49E+07,1934.3,2.66E+07,
020916Xim_F4KO_P5,115,42,TE,8104,64.174,335.14,37.367,947.34,7.68E+06,28.831,2.34E+05,78.9,6.39E+05,907.33,7.35E+06,748.97,6.07E+06,
020916Xim_F4KO_P5,115,43,TE,9026,60.369,179.26,36.554,1245,1.12E+07,37.149,3.35E+05,611.26,5.52E+06,1037.8,9.37E+06,1993.7,1.80E+07,
020916Xim_F4KO_P5,115,44,TE,11118,362.08,415.39,38.092,1242.4,1.38E+07,26.991,3.00E+05,213.23,2.37E+06,1061.6,1.18E+07,621.63,6.91E+06,
020916Xim_F4KO_P5,115,45,TE,8403,450.36,222.87,39.664,845.99,7.11E+06,28.908,2.43E+05,98.168,8.25E+05,1029.2,8.65E+06,876.94,7.37E+06,
020916Xim_F4KO_P5,115,46,PRE,3629,101.44,244.58,37.012,780.69,2.83E+06,44.042,1.60E+05,356.34,1.29E+06,924.48,3.35E+06,1704.9,6.19E+06,
020916Xim_F4KO_P5,115,47,PRE,6531,93.195,171.5,41.923,1104.9,7.22E+06,32.265,2.11E+05,183.08,1.20E+06,980.49,6.40E+06,1984.2,1.30E+07,
020916Xim_F4KO_P5,115,50,TE,11495,26.902,294.73,48.663,821.05,9.44E+06,31.55,3.63E+05,126.34,1.45E+06,1084.7,1.25E+07,754.09,8.67E+06,
020916Xim_F4KO_P5,115,51,TE,15892,243.89,455.21,50.622,1005.2,1.60E+07,25.248,4.01E+05,88.501,1.41E+06,1161.4,1.85E+07,1453.7,2.31E+07,
020916Xim_F4KO_P5,115,52,PRE,7494,88.608,223.02,47.334,708.21,5.31E+06,28.515,2.14E+05,306.4,2.30E+06,989.59,7.42E+06,1714.1,1.28E+07,
020916Xim_F4KO_P5,115,53,ESC,7414,71.835,298.08,46.757,987.52,7.32E+06,429.74,3.19E+06,549.19,4.07E+06,1049.7,7.78E+06,475.03,3.52E+06,
020916Xim_F4KO_P5,115,54,EPI,8387,65.846,172.13,48.199,964.457,,29.106,,1166.132,,1034.119,,410.023,,
020916Xim_F4KO_P5,115,55,TE,8200,456.29,333.5,50.61,761.43,6.24E+06,24.236,1.99E+05,103.35,8.47E+05,1090.7,8.94E+06,631.53,5.18E+06,
020916Xim_F4KO_P5,115,56,ESC,1629,46.387,281.67,48.53,862.88,1.41E+06,440.66,7.18E+05,627.43,1.02E+06,990.29,1.61E+06,259.38,4.23E+05,
020916Xim_F4KO_P5,115,59,PRE,3331,48.385,193.65,46.656,928.19,3.09E+06,31.119,1.04E+05,661.45,2.20E+06,923.36,3.08E+06,1826.6,6.08E+06,
020916Xim_F4KO_P5,115,60,TE,8514,237.77,68.885,54.975,744.53,6.34E+06,26.005,2.21E+05,79.876,6.80E+05,1039.4,8.85E+06,1163.2,9.90E+06,
020916Xim_F4KO_P5,115,61,ESC,5139,55.42,313.63,53.564,764.76,3.93E+06,393,2.02E+06,518.78,2.67E+06,1007.9,5.18E+06,245.42,1.26E+06,
020916Xim_F4KO_P5,115,62,TE,8571,91.324,377.21,56.396,720.23,6.17E+06,22.885,1.96E+05,62.739,5.38E+05,1050.2,9.00E+06,842.82,7.22E+06,
