Embryo_ID,Cell_ID,Identity,Cell_cycle,Size,X,Y,Z,CH1.Avg,CH1.Sum,CH2.Avg,CH2.Sum,CH3.Avg,CH3.Sum,CH4.Avg,CH4.Sum,CH5.Avg,CH5.Sum, 
010919Xim_WT_DJ6,1,TE,I,11211,208.08,173.16,3.8326,2463.8,2.76E+07,36.813,4.13E+05,40.972,4.59E+05,1467.9,1.65E+07,522.11,5.85E+06,
010919Xim_WT_DJ6,2,TE,I,7674,179.85,236.58,3.2528,1722.6,1.32E+07,37.771,2.90E+05,32.609,2.50E+05,1501.3,1.15E+07,215.68,1.66E+06,
010919Xim_WT_DJ6,3,TE,I,7397,379.33,233.18,4.424,2152.8,1.59E+07,40.047,2.96E+05,53.716,3.97E+05,1473.6,1.09E+07,460.48,3.41E+06,
010919Xim_WT_DJ6,4,TE,I,7315,272.13,248.04,3.4938,1986.6,1.45E+07,39.428,2.88E+05,37.467,2.74E+05,1480.8,1.08E+07,280.08,2.05E+06,
010919Xim_WT_DJ6,5,TE,I,9615,330.86,252.89,4.4725,2456.8,2.36E+07,39.868,3.83E+05,39.765,3.82E+05,1483,1.43E+07,364.16,3.50E+06,
010919Xim_WT_DJ6,6,TE,I,11423,212.98,344.92,4.1238,2279.7,2.60E+07,38.927,4.45E+05,38.901,4.44E+05,1497.8,1.71E+07,410.74,4.69E+06,
010919Xim_WT_DJ6,7,TE,I,8516,391.72,299.11,5.5041,2011.8,1.71E+07,42.042,3.58E+05,106.81,9.10E+05,1498.6,1.28E+07,318.05,2.71E+06,
010919Xim_WT_DJ6,8,TE,I,12847,333.58,319.84,6.3474,2130.7,2.74E+07,33.087,4.25E+05,32.427,4.17E+05,1479.4,1.90E+07,274.68,3.53E+06,
010919Xim_WT_DJ6,9,TE,I,14564,128.61,283.14,7.696,2553.7,3.72E+07,30.48,4.44E+05,30.914,4.50E+05,1315.1,1.92E+07,241.48,3.52E+06,
010919Xim_WT_DJ6,12,TE,I,11558,317.37,160.85,6.8171,1390.9,1.61E+07,27.486,3.18E+05,30.867,3.57E+05,1471.5,1.70E+07,287.37,3.32E+06,
010919Xim_WT_DJ6,13,TE,I,10811,380.39,156.88,7.7359,1693,1.83E+07,30.843,3.33E+05,66.244,7.16E+05,1476.2,1.60E+07,204.9,2.22E+06,
010919Xim_WT_DJ6,14,TE,I,9348,140.31,177.67,8.0905,2289.2,2.14E+07,36.393,3.40E+05,34.332,3.21E+05,1413.4,1.32E+07,212.52,1.99E+06,
010919Xim_WT_DJ6,15,TE,I,11301,306.3,131.59,8.7686,1752.2,1.98E+07,26.969,3.05E+05,28.268,3.19E+05,1455.2,1.64E+07,262.61,2.97E+06,
010919Xim_WT_DJ6,16,TE,I,8066,167.45,142.82,8.773,2306.2,1.86E+07,32.924,2.66E+05,29.205,2.36E+05,1514.4,1.22E+07,155.43,1.25E+06,
010919Xim_WT_DJ6,17,TE,I,10063,434.28,220.22,11.046,1526.8,1.54E+07,29.53,2.97E+05,24.963,2.51E+05,1464.2,1.47E+07,106.99,1.08E+06,
010919Xim_WT_DJ6,18,TE,I,14488,287.38,362.41,11.296,2326.7,3.37E+07,29.078,4.21E+05,32.509,4.71E+05,1517.3,2.20E+07,491.68,7.12E+06,
010919Xim_WT_DJ6,19,TE,I,7378,102.52,210.31,13.165,2800.8,2.07E+07,33.514,2.47E+05,32.662,2.41E+05,1371.9,1.01E+07,223.37,1.65E+06,
010919Xim_WT_DJ6,20,TE,I,6261,94.404,277.79,13.557,2856.2,1.79E+07,34.771,2.18E+05,31.695,1.98E+05,1300.9,8.15E+06,235.79,1.48E+06,
010919Xim_WT_DJ6,22,TE,I,8352,449.73,244.42,16.858,1599.1,1.34E+07,33.591,2.81E+05,28.404,2.37E+05,1433.3,1.20E+07,130.34,1.09E+06,
