Embryo_ID,Cell_ID,Identity,Cell_cycle,Size,X,Y,Z,CH1.Avg,CH1.Sum,CH2.Avg,CH2.Sum,CH3.Avg,CH3.Sum,CH4.Avg,CH4.Sum,CH5.Avg,CH5.Sum, 
010919Xim_WT_DK6,1,TE,I,7339,289.51,238.44,4.1465,2444.2,1.79E+07,58.488,4.29E+05,659.57,4.84E+06,1495.3,1.10E+07,322.46,2.37E+06,
010919Xim_WT_DK6,2,TE,I,9268,319.08,285.08,4.7793,3308.6,3.07E+07,69.166,6.41E+05,95.018,8.81E+05,1531.2,1.42E+07,454.64,4.21E+06,
010919Xim_WT_DK6,3,TE,I,12235,256.5,306.12,6.1601,2168,2.65E+07,47.368,5.80E+05,126.73,1.55E+06,1551.8,1.90E+07,306.06,3.74E+06,
010919Xim_WT_DK6,4,TE,I,6533,361.18,249.11,7.5786,2388.4,1.56E+07,50.795,3.32E+05,248.47,1.62E+06,1572.2,1.03E+07,319.03,2.08E+06,
010919Xim_WT_DK6,5,TE,I,9630,209.46,258.57,7.6658,2205.3,2.12E+07,44.835,4.32E+05,466.91,4.50E+06,1573.7,1.52E+07,302.64,2.91E+06,
010919Xim_WT_DK6,6,TE,I,14656,307.45,169.3,10.136,2265.3,3.32E+07,44.653,6.54E+05,45.439,6.66E+05,1501.5,2.20E+07,251.39,3.68E+06,
010919Xim_WT_DK6,7,TE,I,12083,238.52,182.71,11.035,2983.6,3.61E+07,52.107,6.30E+05,255.87,3.09E+06,1547.8,1.87E+07,483.67,5.84E+06,
010919Xim_WT_DK6,8,TE,M,14715,366.53,316.65,10.493,2018.6,2.97E+07,39.913,5.87E+05,88.297,1.30E+06,1520.5,2.24E+07,143.2,2.11E+06,
010919Xim_WT_DK6,9,TE,I,6385,363.97,199.87,12.705,2453.8,1.57E+07,50.784,3.24E+05,294.41,1.88E+06,1460,9.32E+06,247.49,1.58E+06,
010919Xim_WT_DK6,10,TE,I,9577,310.06,367.04,13.405,2635.6,2.52E+07,50.704,4.86E+05,52.682,5.05E+05,1539.2,1.47E+07,147.84,1.42E+06,
010919Xim_WT_DK6,10.2,TE,I,9577,308,370,15,3082.544,,58.452,,61.178,,1479.472,,190.83,,
010919Xim_WT_DK6,11,TE,I,6382,201.36,335.65,14.413,2764.3,1.76E+07,47.931,3.06E+05,118.89,7.59E+05,1579.2,1.01E+07,319.73,2.04E+06,
010919Xim_WT_DK6,12,TE,I,10695,257.76,380.47,16.836,2409.5,2.58E+07,38.914,4.16E+05,127.03,1.36E+06,1597.6,1.71E+07,304.65,3.26E+06,
010919Xim_WT_DK6,14,TE,I,13835,169.78,214.88,17.747,2884,3.99E+07,51.705,7.15E+05,214.3,2.96E+06,1507.7,2.09E+07,457.87,6.33E+06,
010919Xim_WT_DK6,15,TE,I,7223,266.97,137.2,19.451,2410.8,1.74E+07,42.943,3.10E+05,167.93,1.21E+06,1504,1.09E+07,323.14,2.33E+06,
010919Xim_WT_DK6,16,TE,I,6991,154.05,259.46,19.311,2438.6,1.70E+07,42.903,3.00E+05,165.92,1.16E+06,1347.1,9.42E+06,406.57,2.84E+06,
010919Xim_WT_DK6,17,TE,I,9502,411.45,258.59,20.766,2505.3,2.38E+07,49.061,4.66E+05,240.27,2.28E+06,1432.9,1.36E+07,251.03,2.39E+06,
010919Xim_WT_DK6,18,TE,I,5763,216.68,392.75,22.059,2499.2,1.44E+07,39.12,2.25E+05,324,1.87E+06,1463.6,8.43E+06,186.5,1.07E+06,
010919Xim_WT_DK6,19,TE,I,9573,380.84,159.53,24.405,2651.5,2.54E+07,42.343,4.05E+05,197.02,1.89E+06,1436.6,1.38E+07,224.78,2.15E+06,
010919Xim_WT_DK6,20,TE,I,9360,410.88,326.71,24.735,2259.8,2.12E+07,34.377,3.22E+05,91.475,8.56E+05,1522.5,1.43E+07,164.16,1.54E+06,
010919Xim_WT_DK6,21,TE,I,4560,329.43,392.93,24.872,1944.7,8.87E+06,35.191,1.60E+05,54.669,2.49E+05,1485,6.77E+06,249.49,1.14E+06,
010919Xim_WT_DK6,22,TE,I,6375,422.99,203.09,26.422,1901.9,1.21E+07,42.346,2.70E+05,35.184,2.24E+05,1362.3,8.68E+06,110.03,7.01E+05,
010919Xim_WT_DK6,23,TE,I,5405,142.8,318.35,25.972,3093.8,1.67E+07,39.649,2.14E+05,214.69,1.16E+06,1383.8,7.48E+06,469.95,2.54E+06,
010919Xim_WT_DK6,24,TE,I,13650,322.83,121.82,28.18,514.39,7.02E+06,31.04,4.24E+05,34.87,4.76E+05,1088.1,1.49E+07,65.726,8.97E+05,
010919Xim_WT_DK6,25,TE,I,7574,125.41,273.59,28.274,2553.6,1.93E+07,43.492,3.29E+05,85.57,6.48E+05,1531.7,1.16E+07,335.59,2.54E+06,
010919Xim_WT_DK6,26,TE,I,5279,384.43,365.36,28.561,1582.4,8.35E+06,31.685,1.67E+05,56.244,2.97E+05,1428.2,7.54E+06,222.32,1.17E+06,
010919Xim_WT_DK6,27,TE,I,6110,152.32,176.79,29.694,2745.9,1.68E+07,36.662,2.24E+05,35.358,2.16E+05,1358.7,8.30E+06,312.85,1.91E+06,
010919Xim_WT_DK6,28,TE,I,6193,154.24,347.63,30.906,2341.1,1.45E+07,36.885,2.28E+05,68.729,4.26E+05,1563.1,9.68E+06,282.69,1.75E+06,
010919Xim_WT_DK6,29,TE,I,6561,183.94,386.92,31.171,2055.8,1.35E+07,33.874,2.22E+05,55.12,3.62E+05,1499.5,9.84E+06,233.19,1.53E+06,
010919Xim_WT_DK6,30,TE,I,7579,261.2,414.17,31.895,1092.7,8.28E+06,29.037,2.20E+05,49.354,3.74E+05,1291.3,9.79E+06,134.89,1.02E+06,
010919Xim_WT_DK6,31,TE,I,7025,195.97,130.12,32.356,2441.9,1.72E+07,35.492,2.49E+05,160.38,1.13E+06,1453.1,1.02E+07,259.8,1.83E+06,
010919Xim_WT_DK6,32,TE,I,7747,114.66,222.23,35.025,2276.6,1.76E+07,38.185,2.96E+05,47.436,3.67E+05,1462.2,1.13E+07,327.4,2.54E+06,
010919Xim_WT_DK6,33,TE,I,7766,314.2,417.59,35.729,1106.4,8.59E+06,29.068,2.26E+05,44.897,3.49E+05,1469.2,1.14E+07,132.72,1.03E+06,
010919Xim_WT_DK6,34,ICM,I,11705,134.86,286.09,40.321,1662.7,1.95E+07,28.072,3.29E+05,665.92,7.79E+06,1420.5,1.66E+07,172.28,2.02E+06,
010919Xim_WT_DK6,35,TE,I,5510,107.21,304.57,38.58,2192.2,1.21E+07,32.526,1.79E+05,52.315,2.88E+05,1426.1,7.86E+06,327.89,1.81E+06,
010919Xim_WT_DK6,36,TE,I,10274,423.48,359.35,40.249,1489.7,1.53E+07,30.862,3.17E+05,88.092,9.05E+05,1571.9,1.61E+07,227.74,2.34E+06,
010919Xim_WT_DK6,37,TE,I,7706,419.16,156.4,41.052,1264.6,9.74E+06,31.756,2.45E+05,27.26,2.10E+05,1572.8,1.21E+07,74.887,5.77E+05,
010919Xim_WT_DK6,38,TE,I,9288,213.02,415.27,40.493,963.69,8.95E+06,25.311,2.35E+05,61.821,5.74E+05,1553.7,1.44E+07,170.2,1.58E+06,
010919Xim_WT_DK6,40,TE,I,7698,154.89,138.56,43.393,1683.4,1.30E+07,27.62,2.13E+05,35.276,2.72E+05,1598.3,1.23E+07,214.22,1.65E+06,
010919Xim_WT_DK6,41,ICM,I,2557,137.05,239.52,39.648,1182.9,3.02E+06,24.931,63749,95.953,2.45E+05,1399.8,3.58E+06,321.96,8.23E+05,
010919Xim_WT_DK6,42,TE,I,13793,457.43,276.08,45.42,1095.5,1.51E+07,31.566,4.35E+05,26.421,3.64E+05,1572,2.17E+07,59.472,8.20E+05,
010919Xim_WT_DK6,43,TE,I,7302,141.76,349.62,42.854,1579.2,1.15E+07,28.867,2.11E+05,44.608,3.26E+05,1457.4,1.06E+07,286.65,2.09E+06,
010919Xim_WT_DK6,44,TE,I,11670,377.87,404.69,44.598,1279.7,1.49E+07,27.237,3.18E+05,130.88,1.53E+06,1544.5,1.80E+07,203.92,2.38E+06,
010919Xim_WT_DK6,45,TE,I,10052,257.58,90.067,44.395,1907.7,1.92E+07,27.855,2.80E+05,34.939,3.51E+05,1511.9,1.52E+07,102.84,1.03E+06,
010919Xim_WT_DK6,46,TE,I,11248,122.43,175.89,44.857,2270.5,2.55E+07,31.02,3.49E+05,36.087,4.06E+05,1525.7,1.72E+07,238.92,2.69E+06,
010919Xim_WT_DK6,47,TE,I,13383,386.56,113.34,47.893,763.64,1.02E+07,25.482,3.41E+05,22.713,3.04E+05,1564.2,2.09E+07,50.93,6.82E+05,
010919Xim_WT_DK6,49,TE,I,16779,325.41,83.906,48.757,996.13,1.67E+07,23.885,4.01E+05,24.805,4.16E+05,1157.3,1.94E+07,43.438,7.29E+05,
010919Xim_WT_DK6,49.2,TE,I,16779,320,86,50,1104.265,,24.19,,24.513,,1211.101,,45.262,,
010919Xim_WT_DK6,50,TE,M,10935,168.6,388.96,44.635,1395.5,1.53E+07,21.653,2.37E+05,35.406,3.87E+05,1473.8,1.61E+07,78.519,8.59E+05,
010919Xim_WT_DK6,51,TE,I,8243,444.46,186.5,47.204,941.06,7.76E+06,26.249,2.16E+05,23.594,1.94E+05,1386,1.14E+07,59.271,4.89E+05,
010919Xim_WT_DK6,52,ICM,I,5205,96.032,249.81,45.163,1481.7,7.71E+06,27.215,1.42E+05,453.31,2.36E+06,1577.5,8.21E+06,71.791,3.74E+05,
010919Xim_WT_DK6,52.2,ICM,I,5205,107,271,43,1175.724,,25.194,,598.777,,1319.017,,98.93,,
010919Xim_WT_DK6,53,TE,I,7948,87.513,299.9,47.341,1662.6,1.32E+07,31.798,2.53E+05,34.781,2.76E+05,1415.1,1.12E+07,237.4,1.89E+06,
010919Xim_WT_DK6,54,TE,I,6366,202.54,103.81,47.638,2013,1.28E+07,27.858,1.77E+05,50.868,3.24E+05,1511,9.62E+06,204.76,1.30E+06,
010919Xim_WT_DK6,56,ICM,I,4978,131.87,215.93,48.184,1598.8,7.96E+06,25.71,1.28E+05,54.581,2.72E+05,1206.6,6.01E+06,167.65,8.35E+05,
010919Xim_WT_DK6,57,TE,I,14803,301.23,439.03,52.964,789.86,1.17E+07,23.396,3.46E+05,97.661,1.45E+06,1596.1,2.36E+07,153.86,2.28E+06,
010919Xim_WT_DK6,58,ICM,I,7188,259.7,439.33,48.301,804.34,5.78E+06,24.073,1.73E+05,79.701,5.73E+05,1463.1,1.05E+07,118.03,8.48E+05,
010919Xim_WT_DK6,60,ICM,I,1508,124.56,261.47,50.271,970.08,1.46E+06,22.282,33601,132.5,2.00E+05,1411.6,2.13E+06,276.52,4.17E+05,
010919Xim_WT_DK6,60.2,ICM,I,1508,105,264,52,983.884,,23.905,,352.489,,1437.643,,67.819,,
010919Xim_WT_DK6,61,TE,I,10532,83.865,211.16,55.261,1738.6,1.83E+07,27.433,2.89E+05,32.051,3.38E+05,1618,1.70E+07,172.89,1.82E+06,
010919Xim_WT_DK6,61.2,ICM,I,10532,107,227,62,518.814,,19.974,,171.639,,1305.444,,80.893,,
010919Xim_WT_DK6,62,TE,I,11798,159.37,127.21,56.569,1386.3,1.64E+07,21.995,2.60E+05,22.747,2.68E+05,1444.9,1.70E+07,101.05,1.19E+06,
010919Xim_WT_DK6,63,TE,I,11185,74.027,263.51,57.95,1328.7,1.49E+07,28.723,3.21E+05,55.558,6.21E+05,1446.6,1.62E+07,116.74,1.31E+06,
010919Xim_WT_DK6,63.2,ICM,I,11185,98,256,62,533.731,,23.052,,209.96,,1556.667,,61.562,,
