Embryo_ID,Cell_ID,Identity,Cell_cycle,Size,X,Y,Z,CH1.Avg,CH1.Sum,CH2.Avg,CH2.Sum,CH3.Avg,CH3.Sum,CH4.Avg,CH4.Sum,CH5.Avg,CH5.Sum, 
010919Xim_WT_DL5,1,TE,I,7938,291.56,258.28,4.6655,2684.9,2.13E+07,48.224,3.83E+05,167.55,1.33E+06,1384,1.10E+07,989.82,7.86E+06,
010919Xim_WT_DL5,2,TE,I,12840,278.13,187.44,6.3501,3201.4,4.11E+07,46.28,5.94E+05,65.484,8.41E+05,1360.1,1.75E+07,718.56,9.23E+06,
010919Xim_WT_DL5,3,TE,I,16783,190.15,257.56,6.8034,2787,4.68E+07,41.232,6.92E+05,49.554,8.32E+05,1412.1,2.37E+07,449.6,7.55E+06,
010919Xim_WT_DL5,5,TE,I,9100,304.02,176.31,8.9178,3201,2.91E+07,41.249,3.75E+05,58.63,5.34E+05,1336.8,1.22E+07,722.69,6.58E+06,
010919Xim_WT_DL5,6,TE,I,9874,265.29,325.27,7.2639,2099.7,2.07E+07,38.853,3.84E+05,59.132,5.84E+05,1396.4,1.38E+07,770.31,7.61E+06,
010919Xim_WT_DL5,7,TE,I,7594,322.69,304.07,9.8748,2411.1,1.83E+07,41.157,3.13E+05,113.89,8.65E+05,1393.7,1.06E+07,950.8,7.22E+06,
010919Xim_WT_DL5,8,TE,I,8764,359.72,216.09,11.458,2451.1,2.15E+07,39.296,3.44E+05,58.484,5.13E+05,1372.7,1.20E+07,743.09,6.51E+06,
010919Xim_WT_DL5,9,TE,I,9477,209.62,347.15,12.519,2120.4,2.01E+07,35.452,3.36E+05,49.199,4.66E+05,1435,1.36E+07,650.57,6.17E+06,
010919Xim_WT_DL5,10,TE,I,14934,192.78,160.3,15.464,3047.1,4.55E+07,42.993,6.42E+05,46.455,6.94E+05,1390.7,2.08E+07,629.99,9.41E+06,
010919Xim_WT_DL5,11,TE,I,7997,370.62,291.41,16.761,2072.6,1.66E+07,40.688,3.25E+05,63.201,5.05E+05,1346.7,1.08E+07,391.45,3.13E+06,
010919Xim_WT_DL5,12,TE,I,7319,266.99,118.06,18.243,3019.7,2.21E+07,40.686,2.98E+05,236.22,1.73E+06,1306.1,9.56E+06,820.36,6.00E+06,
010919Xim_WT_DL5,13,TE,I,17039,135.58,190.63,21.92,2892.7,4.93E+07,37.851,6.45E+05,41.551,7.08E+05,1321.6,2.25E+07,406.62,6.93E+06,
010919Xim_WT_DL5,14,TE,I,7135,354.73,343.66,21.144,2005.4,1.43E+07,38.015,2.71E+05,46.84,3.34E+05,1356.6,9.68E+06,345.72,2.47E+06,
010919Xim_WT_DL5,15,TE,I,6288,284.46,379.38,21.418,2395.8,1.51E+07,36.608,2.30E+05,43.872,2.76E+05,1416.2,8.91E+06,623.1,3.92E+06,
010919Xim_WT_DL5,16,ICM,I,9985,135.64,254.24,25.591,1952.9,1.95E+07,30.047,3.00E+05,218.67,2.18E+06,1339.6,1.34E+07,296.68,2.96E+06,
010919Xim_WT_DL5,17,TE,I,7732,404.79,206.49,25.597,2103.4,1.63E+07,32.628,2.52E+05,43.877,3.39E+05,1339.4,1.04E+07,557.3,4.31E+06,
010919Xim_WT_DL5,18,TE,I,13562,144.96,349.98,27.049,2647,3.59E+07,32.677,4.43E+05,39.147,5.31E+05,1377.1,1.87E+07,319.81,4.34E+06,
010919Xim_WT_DL5,19,TE,I,6410,274.07,95.202,27.147,3037.9,1.95E+07,35.927,2.30E+05,294.19,1.89E+06,1319.7,8.46E+06,662.41,4.25E+06,
010919Xim_WT_DL5,20,TE,I,12220,93.931,307.12,30.367,3016.6,3.69E+07,32.026,3.91E+05,39.552,4.83E+05,1404.2,1.72E+07,336.71,4.11E+06,
010919Xim_WT_DL5,21,TE,I,11830,428.56,259.14,32.527,2136.2,2.53E+07,34.117,4.04E+05,42.79,5.06E+05,1319.7,1.56E+07,220.21,2.61E+06,
010919Xim_WT_DL5,22,ICM,I,7205,132.74,299.15,32.451,1480.1,1.07E+07,27.771,2.00E+05,387.15,2.79E+06,1411.3,1.02E+07,490.9,3.54E+06,
010919Xim_WT_DL5,23,TE,I,14472,376.07,126.55,33.732,2288.1,3.31E+07,31.17,4.51E+05,224,3.24E+06,1268.5,1.84E+07,377.92,5.47E+06,
010919Xim_WT_DL5,24,TE,I,10311,405.72,338.02,34.854,1868.1,1.93E+07,32.122,3.31E+05,42.442,4.38E+05,1354.2,1.40E+07,335.63,3.46E+06,
010919Xim_WT_DL5,25,TE,I,7547,182.31,397.31,33.944,2063.3,1.56E+07,28.849,2.18E+05,35.01,2.64E+05,1318.9,9.95E+06,415.53,3.14E+06,
010919Xim_WT_DL5,26,TE,I,6830,242.12,408.31,32.882,2032.6,1.39E+07,30.986,2.12E+05,38.154,2.61E+05,1372.5,9.37E+06,503.24,3.44E+06,
010919Xim_WT_DL5,28,TE,I,6854,290.89,75.793,37.301,2584.6,1.77E+07,30.789,2.11E+05,165.69,1.14E+06,1296,8.88E+06,472.9,3.24E+06,
010919Xim_WT_DL5,29,TE,I,7958,206.5,87.434,37.26,2585.8,2.06E+07,31.152,2.48E+05,140.91,1.12E+06,1350.3,1.07E+07,567.86,4.52E+06,
010919Xim_WT_DL5,30,ICM,I,14000,138.37,194.48,35.098,1662.9,2.33E+07,25.386,3.55E+05,41.706,5.84E+05,1260.5,1.76E+07,723.91,1.01E+07,
