Embryo_ID,Cellcount,Cell_ID,Identity,Size,X,Y,Z,CH1.Avg,CH1.Sum,CH2.Avg,CH2.Sum,CH3.Avg,CH3.Sum,CH4.Avg,CH4.Sum,CH5.Avg,CH5.Sum
021016Xim_F4KO_Q4,87,51,EPI,13067,77.347,306.92,58.45,962.1,1.26E+07,105.31,1.38E+06,1332.9,1.74E+07,806.47,1.05E+07,306.44,4.00E+06
021016Xim_F4KO_Q4,87,25,DP,19658,122.98,294.62,37.505,1061.9,2.09E+07,60.77,1.19E+06,1067.2,2.10E+07,844.66,1.66E+07,1537.3,3.02E+07
021016Xim_F4KO_Q4,87,65,EPI,10307,75.068,301.58,70.891,681.17,7.02E+06,43.907,4.53E+05,1020.1,1.05E+07,799.99,8.25E+06,248.62,2.56E+06
021016Xim_F4KO_Q4,87,54,EPI,7539,83.898,249.65,60.027,702.98,5.30E+06,53.486,4.03E+05,926.25,6.98E+06,805.57,6.07E+06,536.37,4.04E+06
021016Xim_F4KO_Q4,87,44,DP,7539,110,215,57,595.028,,73.358,,826.729,,755.049,,1080.866,
021016Xim_F4KO_Q4,87,2,TE,16040,221.74,282.72,8.1313,1891.8,3.03E+07,1030.7,1.65E+07,808.08,1.30E+07,818.16,1.31E+07,2086.5,3.35E+07
021016Xim_F4KO_Q4,87,71,EPI,7910,104,226,82,283.626,,43.79,,570.064,,679.924,,208.612,
021016Xim_F4KO_Q4,87,73.2,EPI,16766,112,286,81,319.923,,34.219,,569.853,,585.862,,248.017,
021016Xim_F4KO_Q4,87,12,TE,15233,252.05,376.71,20.104,1877.6,2.86E+07,2113,3.22E+07,527.76,8.04E+06,781.75,1.19E+07,1317.7,2.01E+07
021016Xim_F4KO_Q4,87,48,TE,8202,440.04,329.17,56.125,1327.8,1.09E+07,1162.2,9.53E+06,505.92,4.15E+06,849.89,6.97E+06,966.56,7.93E+06
021016Xim_F4KO_Q4,87,82,EPI,7628,115.26,254.61,90.422,222.75,1.70E+06,24.975,1.91E+05,458.64,3.50E+06,658.17,5.02E+06,270.64,2.06E+06
021016Xim_F4KO_Q4,87,73,EPI,16766,116.17,328.27,82.564,373.04,6.25E+06,42.648,7.15E+05,450.61,7.56E+06,630.5,1.06E+07,205.03,3.44E+06
021016Xim_F4KO_Q4,87,30,DP,9918,118.46,205.14,42.657,958.98,9.51E+06,406.32,4.03E+06,430.44,4.27E+06,802.85,7.96E+06,1596.1,1.58E+07
021016Xim_F4KO_Q4,87,64,TE,9709,291.6,76.537,72.657,549.62,5.34E+06,376.13,3.65E+06,415.71,4.04E+06,670.96,6.51E+06,575.16,5.58E+06
021016Xim_F4KO_Q4,87,46.2,DP,19654,114,288,60,511.959,,38.817,,347.742,,703.901,,590.81,
021016Xim_F4KO_Q4,87,65.2,PRE,10307,82,264,69,442.82,,41.323,,345.208,,789.55,,762.884,
021016Xim_F4KO_Q4,87,27,TE,10533,147.17,159.5,37.489,768.33,8.09E+06,382.74,4.03E+06,340,3.58E+06,774.83,8.16E+06,1315.2,1.39E+07
021016Xim_F4KO_Q4,87,6,TE,18525,175.98,198.61,16.374,1507.4,2.79E+07,982.01,1.82E+07,332.13,6.15E+06,795.19,1.47E+07,1373,2.54E+07
021016Xim_F4KO_Q4,87,72,TE,10415,433.98,327.24,78.577,620.8,6.47E+06,485.14,5.05E+06,299.77,3.12E+06,653.95,6.81E+06,465.87,4.85E+06
021016Xim_F4KO_Q4,87,86,TE,12804,288.17,108.64,95.365,402.73,5.16E+06,255.15,3.27E+06,268.97,3.44E+06,878.83,1.13E+07,493.23,6.32E+06
021016Xim_F4KO_Q4,87,7,TE,16449,206.47,340.93,16.399,1808.8,2.98E+07,1189.1,1.96E+07,239,3.93E+06,795.88,1.31E+07,2136.9,3.52E+07
021016Xim_F4KO_Q4,87,32,TE,12914,92.369,330.61,46.097,1874.7,2.42E+07,1403.8,1.81E+07,224.87,2.90E+06,850.47,1.10E+07,1157.6,1.49E+07
021016Xim_F4KO_Q4,87,24,TE,15669,345.94,371.54,35.92,1543.1,2.42E+07,1169.1,1.83E+07,218,3.42E+06,794.68,1.25E+07,1087.5,1.70E+07
021016Xim_F4KO_Q4,87,1,TE,14365,219.93,219.48,5.9204,1703.7,2.45E+07,2349.5,3.38E+07,201.02,2.89E+06,823.27,1.18E+07,2246.1,3.23E+07
021016Xim_F4KO_Q4,87,46,PRE,19654,137,291,52,591.548,,40.243,,188.474,,726.304,,1448.846,
021016Xim_F4KO_Q4,87,34,PRE,16332,100.77,255.83,45.833,1065.5,1.74E+07,87.723,1.43E+06,183,2.99E+06,782.74,1.28E+07,2409.4,3.94E+07
021016Xim_F4KO_Q4,87,52,TE,7254,421.58,143.02,60.097,967.29,7.02E+06,773.46,5.61E+06,178.59,1.30E+06,820.55,5.95E+06,621.41,4.51E+06
021016Xim_F4KO_Q4,87,18,TE,15413,114.54,255.74,29.901,1795.2,2.77E+07,1682.6,2.59E+07,178.08,2.74E+06,802.47,1.24E+07,1577.5,2.43E+07
021016Xim_F4KO_Q4,87,36,TE,7856,78.317,219.31,47.372,1223.7,9.61E+06,1104,8.67E+06,172.15,1.35E+06,782.54,6.15E+06,1348.2,1.06E+07
021016Xim_F4KO_Q4,87,76,TE,31559,75.039,279.93,85.529,426.767,,339.932,,161.584,,777.092,,527.728,
021016Xim_F4KO_Q4,87,41,TE,13689,396.89,375.08,52.858,1386,1.90E+07,1073.5,1.47E+07,157.23,2.15E+06,827.32,1.13E+07,962.12,1.32E+07
021016Xim_F4KO_Q4,87,4,TE,17139,249.11,147.15,13.026,1697.9,2.91E+07,2281.3,3.91E+07,151.62,2.60E+06,796.1,1.36E+07,1919.2,3.29E+07
021016Xim_F4KO_Q4,87,21,TE,13714,387.74,300.84,33.294,1371.1,1.88E+07,1547.9,2.12E+07,149.55,2.05E+06,807.64,1.11E+07,1601.1,2.20E+07
021016Xim_F4KO_Q4,87,66,TE,7068,393.98,99.666,75.497,852.49,6.03E+06,605.05,4.28E+06,149.48,1.06E+06,729.75,5.16E+06,591.12,4.18E+06
021016Xim_F4KO_Q4,87,49,PRE,11440,119.68,339.82,55.539,709.3,8.11E+06,71.54,8.18E+05,148.95,1.70E+06,748.42,8.56E+06,1441.9,1.65E+07
021016Xim_F4KO_Q4,87,13,TE,6059,299.65,110.1,21.9,2005,1.21E+07,1829.4,1.11E+07,146.39,8.87E+05,758.14,4.59E+06,1365.6,8.27E+06
021016Xim_F4KO_Q4,87,10,TE,13974,296.56,339.93,21.765,1528.7,2.14E+07,1612.5,2.25E+07,136.29,1.90E+06,793,1.11E+07,1324.7,1.85E+07
021016Xim_F4KO_Q4,87,16,TE,6246,361.39,134.74,24.791,1875,1.17E+07,1608.6,1.00E+07,130.87,8.17E+05,778.42,4.86E+06,1718.3,1.07E+07
021016Xim_F4KO_Q4,87,29,TE,11674,318.15,421.79,41.869,1431.2,1.67E+07,1391.7,1.62E+07,126.06,1.47E+06,797.6,9.31E+06,1422.4,1.66E+07
021016Xim_F4KO_Q4,87,20,TE,7274,248.89,95.368,32.352,1438.7,1.05E+07,1230.9,8.95E+06,120.07,8.73E+05,786.34,5.72E+06,923.17,6.72E+06
021016Xim_F4KO_Q4,87,67,TE,8322,439.46,183.73,75.01,787.57,6.55E+06,683.43,5.69E+06,118.54,9.87E+05,701.86,5.84E+06,651.05,5.42E+06
