Embryo_ID,Cell_ID,Identity,Cell_cycle,Size,X,Y,Z,CH1.Avg,CH1.Sum,CH2.Avg,CH2.Sum,CH3.Avg,CH3.Sum,CH4.Avg,CH4.Sum,CH5.Avg, CH5-Sum, 
041218Xim_WT_BI7,1,TE,I,7354,218.97,235.73,3.7017,3044.2,2.24E+07,78.016,5.74E+05,409.49,3.01E+06,614.21,4.52E+06,65.77,4.84E+05,
041218Xim_WT_BI7,2,TE,I,9830,290.09,255.94,5.462,3477.9,3.42E+07,59.373,5.84E+05,490.11,4.82E+06,639.22,6.28E+06,54.741,5.38E+05,
041218Xim_WT_BI7,3,TE,I,10113,167.92,281.47,5.6797,3328.1,3.37E+07,57.245,5.79E+05,91.886,9.29E+05,564.58,5.71E+06,61.528,6.22E+05,
041218Xim_WT_BI7,4,TE,I,7301,130.93,285.71,6.8718,2488.2,1.82E+07,98.046,7.16E+05,524.63,3.83E+06,622.07,4.54E+06,55.849,4.08E+05,
041218Xim_WT_BI7,5,TE,I,7250,265.84,190,9.4383,2676.9,1.94E+07,79.229,5.74E+05,331.49,2.40E+06,638.44,4.63E+06,50.473,3.66E+05,
041218Xim_WT_BI7,6,TE,I,22957,245.97,349.64,10.611,2029.4,4.66E+07,62.085,1.43E+06,216.88,4.98E+06,614.64,1.41E+07,50.535,1.16E+06,
041218Xim_WT_BI7,6.2,TE,I,22957,258,359,14,2710.553,,61.052,,305.258,,626.7,,56.945,,
041218Xim_WT_BI7,7,TE,I,10838,339.02,230.5,10.544,3245.7,3.52E+07,56.27,6.10E+05,587.18,6.36E+06,659.1,7.14E+06,48.391,5.24E+05,
041218Xim_WT_BI7,8,TE,I,15565,88.01,268.4,13.629,1865.5,2.90E+07,254.73,3.96E+06,187.74,2.92E+06,589.62,9.18E+06,53.112,8.27E+05,
041218Xim_WT_BI7,8.2,ICM,I,15565,84,270,18,1904.774,,494.174,,67.297,,584.488,,54.782,,
041218Xim_WT_BI7,9,TE,I,9809,311.53,334.67,11.247,2048.5,2.01E+07,45.091,4.42E+05,177.48,1.74E+06,614.5,6.03E+06,43.565,4.27E+05,
041218Xim_WT_BI7,10,TE,I,9351,158.24,179.95,15.812,2831.6,2.65E+07,50.952,4.76E+05,106.6,9.97E+05,630.94,5.90E+06,48.399,4.53E+05,
041218Xim_WT_BI7,11,TE,I,17672,115.74,202.75,18.981,2349.2,4.15E+07,126.64,2.24E+06,228.65,4.04E+06,615.15,1.09E+07,60.67,1.07E+06,
041218Xim_WT_BI7,11.2,ICM,I,17672,113,210,21,2052.419,,155.967,,78.683,,618.522,,52.908,,
041218Xim_WT_BI7,12,TE,I,8359,211.39,154.1,15.746,2186,1.83E+07,52.134,4.36E+05,260.15,2.17E+06,622.39,5.20E+06,45.249,3.78E+05,
041218Xim_WT_BI7,13,ICM,I,10334,143.36,237.4,17.911,2331.1,2.41E+07,55.091,5.69E+05,620.5,6.41E+06,619.52,6.40E+06,356.02,3.68E+06,
041218Xim_WT_BI7,14,TE,I,9564,390.59,273.16,17.255,2600.2,2.49E+07,60.154,5.75E+05,233.99,2.24E+06,622.25,5.95E+06,51.316,4.91E+05,
041218Xim_WT_BI7,15,ICM,I,11078,142.79,278.8,17.771,2233.1,2.47E+07,263.38,2.92E+06,53.567,5.93E+05,610.02,6.76E+06,57.598,6.38E+05,
041218Xim_WT_BI7,15.2,ICM,I,11078,114,272,15,1675.873,,418.366,,50.687,,530.695,,53.733,,
041218Xim_WT_BI7,16,ICM,I,6346,119.97,308.83,17.434,1812.8,1.15E+07,526.5,3.34E+06,47.149,2.99E+05,583.75,3.70E+06,47.92,3.04E+05,
041218Xim_WT_BI7,17,TE,I,7053,305.24,364.21,19.577,2270.7,1.60E+07,43.764,3.09E+05,176.38,1.24E+06,598.11,4.22E+06,43.73,3.08E+05,
041218Xim_WT_BI7,18,TE,I,10033,307.4,162.66,20.233,3372,3.38E+07,46.946,4.71E+05,324.33,3.25E+06,623.07,6.25E+06,47.328,4.75E+05,
041218Xim_WT_BI7,19,TE,I,10763,152.91,357.9,21.499,2703.6,2.91E+07,36.866,3.97E+05,231.28,2.49E+06,594.71,6.40E+06,38.311,4.12E+05,
041218Xim_WT_BI7,21,TE,I,5377,265.71,141.41,22.277,2997.9,1.61E+07,55.578,2.99E+05,360.96,1.94E+06,682.44,3.67E+06,45.643,2.45E+05,
041218Xim_WT_BI7,22,TE,I,7320,381.53,200.73,23.42,2618,1.92E+07,60.871,4.46E+05,223.07,1.63E+06,651.86,4.77E+06,41.373,3.03E+05,
041218Xim_WT_BI7,23,ICM,I,8559,71.766,263.69,26.334,1440.2,1.23E+07,261.03,2.23E+06,35.23,3.02E+05,638.49,5.46E+06,43.381,3.71E+05,
041218Xim_WT_BI7,24,TE,I,8513,227.79,408.06,29.984,1810.9,1.54E+07,45.233,3.85E+05,226.19,1.93E+06,583.75,4.97E+06,42.065,3.58E+05,
041218Xim_WT_BI7,25,ICM,I,5242,136.07,204.77,29.685,1412.5,7.40E+06,45.003,2.36E+05,437.19,2.29E+06,611.92,3.21E+06,244.05,1.28E+06,
041218Xim_WT_BI7,26,ICM,I,8714,119.11,251.31,30.26,1220.8,1.06E+07,43.509,3.79E+05,439.41,3.83E+06,562.41,4.90E+06,152.34,1.33E+06,
041218Xim_WT_BI7,27,ICM,I,7004,144.02,270.06,28.522,1654.4,1.16E+07,55.469,3.89E+05,137.9,9.66E+05,564.38,3.95E+06,189.06,1.32E+06,
041218Xim_WT_BI7,28,TE,I,16511,413.31,322.06,33.405,2252.9,3.72E+07,38.571,6.37E+05,133.38,2.20E+06,624.03,1.03E+07,35.196,5.81E+05,
041218Xim_WT_BI7,29,ICM,I,6034,94.24,318.42,30.384,1393.3,8.41E+06,145.23,8.76E+05,32.541,1.96E+05,610.29,3.68E+06,41.959,2.53E+05,
041218Xim_WT_BI7,30,TE,I,6272,238.86,115.94,33.955,2368.6,1.49E+07,43.472,2.73E+05,233.85,1.47E+06,581.74,3.65E+06,42.258,2.65E+05,
041218Xim_WT_BI7,31,TE,I,10834,353.87,146.65,33.292,1809.5,1.96E+07,49.295,5.34E+05,106.28,1.15E+06,591.29,6.41E+06,37.683,4.08E+05,
041218Xim_WT_BI7,32,TE,I,11079,104.92,347.99,34.802,1505.8,1.67E+07,43.561,4.83E+05,60.972,6.76E+05,651.35,7.22E+06,35.923,3.98E+05,
041218Xim_WT_BI7,33,ICM,I,7145,71.193,210.05,34.56,1403.7,1.00E+07,169.73,1.21E+06,66.709,4.77E+05,582.91,4.16E+06,49.902,3.57E+05,
041218Xim_WT_BI7,34,ICM,I,5980,97.431,211.15,31.282,1655.1,9.90E+06,189.27,1.13E+06,35.491,2.12E+05,625.49,3.74E+06,40.104,2.40E+05,
041218Xim_WT_BI7,36,ICM,I,7723,119.48,289.7,34.397,1338.1,1.03E+07,39.916,3.08E+05,201.15,1.55E+06,562.98,4.35E+06,137.15,1.06E+06,
041218Xim_WT_BI7,37,TE,I,6226,108.6,167.14,35.057,1450.2,9.03E+06,38.891,2.42E+05,153.99,9.59E+05,649.74,4.05E+06,37.177,2.31E+05,
041218Xim_WT_BI7,38,TE,I,9261,48.518,272.87,36.798,1130.4,1.05E+07,46.35,4.29E+05,114.54,1.06E+06,563.94,5.22E+06,41.731,3.86E+05,
041218Xim_WT_BI7,39,TE,I,10732,167.79,131.98,37.035,1861.9,2.00E+07,36.498,3.92E+05,189,2.03E+06,640.64,6.88E+06,35.431,3.80E+05,
041218Xim_WT_BI7,40,TE,I,13421,423.46,217.46,38.035,2101.2,2.82E+07,34.279,4.60E+05,59.092,7.93E+05,635.52,8.53E+06,31.238,4.19E+05,
041218Xim_WT_BI7,41,ICM,I,5614,65.225,261.68,35.816,1361.1,7.64E+06,167.33,9.39E+05,32.843,1.84E+05,658.52,3.70E+06,39.173,2.20E+05,
041218Xim_WT_BI7,42,ICM,I,8059,86.306,303.46,39.682,1187.9,9.57E+06,44.106,3.55E+05,133.81,1.08E+06,567.92,4.58E+06,154.38,1.24E+06,
041218Xim_WT_BI7,43,TE,I,10895,379.54,364.41,39.921,2529.8,2.76E+07,39.702,4.33E+05,283.75,3.09E+06,648.74,7.07E+06,37.636,4.10E+05,
041218Xim_WT_BI7,44,ICM,I,20074,97.402,231.93,44.966,854.87,1.72E+07,32.751,6.57E+05,215.2,4.32E+06,578.83,1.16E+07,124.92,2.51E+06,
041218Xim_WT_BI7,44.2,ICM,I,20074,101,226,49,671.242,,26.41,,261.729,,582.802,,111.524,,
041218Xim_WT_BI7,45,TE,I,8303,281.94,409.31,39.922,1603.1,1.33E+07,37.501,3.11E+05,168.2,1.40E+06,612.9,5.09E+06,34.735,2.88E+05,
041218Xim_WT_BI7,47,ICM,I,6590,123.39,215.43,38.462,920.16,6.06E+06,35.902,2.37E+05,258.53,1.70E+06,579.43,3.82E+06,146.95,9.68E+05,
041218Xim_WT_BI7,48,TE,I,7850,63.343,194.18,43.234,1106.7,8.69E+06,49.574,3.89E+05,249.37,1.96E+06,657.01,5.16E+06,36.329,2.85E+05,
041218Xim_WT_BI7,49,TE,I,11097,224.9,103.58,46.073,1767.5,1.96E+07,33.034,3.67E+05,148.72,1.65E+06,724.49,8.04E+06,33.108,3.67E+05,
041218Xim_WT_BI7,50,TE,I,6248,122.52,137.78,44.76,1390.7,8.69E+06,33.107,2.07E+05,214.67,1.34E+06,665.86,4.16E+06,33.42,2.09E+05,
