Embryo_ID,Cell_ID,Identity,Cell_cycle,Size,X,Y,Z,CH1.Avg,CH1.Sum,CH2.Avg,CH2.Sum,CH3.Avg,CH3.Sum,CH4.Avg,CH4.Sum,CH5.Avg,CH5.Sum, 
011319Xim_F4_DR6,1,TE,I,12105,206.35,232.78,6.3503,2047.4,2.48E+07,27.74,3.36E+05,71.599,8.67E+05,1979,2.40E+07,610.91,7.40E+06,
011319Xim_F4_DR6,2,TE,I,12060,317.68,269.01,6.2173,1478.3,1.78E+07,24.625,2.97E+05,73.113,8.82E+05,1965,2.37E+07,216.95,2.62E+06,
011319Xim_F4_DR6,3,TE,I,7297,207.04,290.54,6.2091,1730.6,1.26E+07,27.333,1.99E+05,197.34,1.44E+06,1979.1,1.44E+07,809.39,5.91E+06,
011319Xim_F4_DR6,4,TE,I,10571,247.08,301.11,5.8825,2324.3,2.46E+07,28.964,3.06E+05,134.67,1.42E+06,1977.1,2.09E+07,839.66,8.88E+06,
011319Xim_F4_DR6,5,TE,M,4988,261.56,212.6,6.7009,2352.6,1.17E+07,25.924,1.29E+05,42.68,2.13E+05,1987.5,9.91E+06,334.62,1.67E+06,
011319Xim_F4_DR6,6,TE,I,11743,296.28,335.62,7.8419,1305.1,1.53E+07,24.208,2.84E+05,110.72,1.30E+06,1961.2,2.30E+07,317.96,3.73E+06,
011319Xim_F4_DR6,7,TE,I,11588,156.03,270.86,8.9203,1754.5,2.03E+07,27.176,3.15E+05,42.256,4.90E+05,1828.5,2.12E+07,551.5,6.39E+06,
011319Xim_F4_DR6,8,TE,I,12719,115.81,281.32,9.2885,1758,2.24E+07,29.062,3.70E+05,47.016,5.98E+05,1831.5,2.33E+07,563.54,7.17E+06,
011319Xim_F4_DR6,10,TE,I,11565,340.29,214,9.7421,1117.9,1.29E+07,22.588,2.61E+05,112.51,1.30E+06,1966.8,2.27E+07,392.22,4.54E+06,
011319Xim_F4_DR6,12,TE,I,9524,180.29,191.45,12.605,1509.8,1.44E+07,24.246,2.31E+05,35.636,3.39E+05,1979.3,1.89E+07,460.42,4.39E+06,
