Embryo_ID,Cell_ID,Identity,Cell_cycle,Size,X,Y,Z,CH1.Avg,CH1.Sum,CH2.Avg,CH2.Sum,CH3.Avg,CH3.Sum,CH4.Avg,CH4.Sum,CH5.Avg, CH5-Sum, 
011319Xim_WT_DQ7,1,TE,I,14887,220.75,202.11,4.7246,2304,3.43E+07,39.702,5.91E+05,41.641,6.20E+05,1453.2,2.16E+07,402.98,6.00E+06,
011319Xim_WT_DQ7,2,TE,I,6944,182.82,265.98,5.3059,2911.3,2.02E+07,44.984,3.12E+05,44.615,3.10E+05,1446.8,1.00E+07,456.68,3.17E+06,
011319Xim_WT_DQ7,3,TE,I,20066,320.06,232.72,6.9887,1739.5,3.49E+07,34.986,7.02E+05,49.604,9.95E+05,1472.6,2.95E+07,456.38,9.16E+06,
011319Xim_WT_DQ7,4,TE,I,14613,233.97,308.02,5.9256,1548.3,2.26E+07,32.429,4.74E+05,34.912,5.10E+05,1471.6,2.15E+07,425.68,6.22E+06,
011319Xim_WT_DQ7,5,TE,I,6529,268.19,132.96,13.819,2570.9,1.68E+07,36.505,2.38E+05,34.804,2.27E+05,1430.5,9.34E+06,435.96,2.85E+06,
011319Xim_WT_DQ7,6,TE,I,11880,329.14,162.4,14.514,2017.5,2.40E+07,37.929,4.51E+05,34.589,4.11E+05,1440.7,1.71E+07,296.73,3.53E+06,
011319Xim_WT_DQ7,7,TE,I,11937,135.86,221.54,14.205,2207.3,2.63E+07,42.565,5.08E+05,36.207,4.32E+05,1398.9,1.67E+07,379.23,4.53E+06,
011319Xim_WT_DQ7,8,TE,I,14240,166.76,332.75,11.482,1299.4,1.85E+07,93.069,1.33E+06,51.641,7.35E+05,1371.1,1.95E+07,178.42,2.54E+06,
011319Xim_WT_DQ7,9,ESC,I,7693,391.67,421.36,16.258,2412.7,1.86E+07,1822.6,1.40E+07,378.25,2.91E+06,1441.8,1.11E+07,76.638,5.90E+05,
011319Xim_WT_DQ7,10,TE,I,11532,347.78,310.8,17.423,1652.4,1.91E+07,59.144,6.82E+05,38.277,4.41E+05,1467.4,1.69E+07,446.77,5.15E+06,
011319Xim_WT_DQ7,12,ESC,I,6687,369.01,446.67,16.595,2376.6,1.59E+07,1809.1,1.21E+07,432.29,2.89E+06,1458.8,9.76E+06,73.515,4.92E+05,
011319Xim_WT_DQ7,13,TE,I,9200,188.87,128.44,19.646,2400,2.21E+07,44.636,4.11E+05,38.213,3.52E+05,1428.5,1.31E+07,441.45,4.06E+06,
011319Xim_WT_DQ7,14,TE,I,13907,291.35,366.76,19.241,1734.2,2.41E+07,30.128,4.19E+05,36.189,5.03E+05,1433.1,1.99E+07,288.86,4.02E+06,
011319Xim_WT_DQ7,15,ESC,I,7253,338.63,444,19.381,2391.5,1.73E+07,1559.7,1.13E+07,325.44,2.36E+06,1414.2,1.03E+07,70.06,5.08E+05,
011319Xim_WT_DQ7,16,ESC,I,7878,231.03,364.99,19.163,1422.1,1.12E+07,793.55,6.25E+06,293.27,2.31E+06,1477.9,1.16E+07,44.557,3.51E+05,
011319Xim_WT_DQ7,17,TE,I,8284,107.3,292.72,21.85,2367.1,1.96E+07,34.675,2.87E+05,38.195,3.16E+05,1448.5,1.20E+07,482.45,4.00E+06,
011319Xim_WT_DQ7,18,ICM,I,6669,133.56,288.97,22.112,2299.5,1.53E+07,34.027,2.27E+05,37.162,2.48E+05,1494.5,9.97E+06,590.57,3.94E+06,
011319Xim_WT_DQ7,19,ESC,I,6044,330.75,378.33,20.614,2269.3,1.37E+07,1540.3,9.31E+06,439.39,2.66E+06,1424.2,8.61E+06,67.544,4.08E+05,
011319Xim_WT_DQ7,20,ESC,I,8606,380.34,407.47,23.905,2724.9,2.35E+07,1574.4,1.35E+07,249.03,2.14E+06,1446,1.24E+07,75.237,6.47E+05,
011319Xim_WT_DQ7,21,TE,I,9977,376.69,169.74,24.606,1517,1.51E+07,38.265,3.82E+05,39.44,3.94E+05,1438.4,1.44E+07,463.27,4.62E+06,
011319Xim_WT_DQ7,22,ESC,I,7299,180.27,350.03,22.574,1982,1.45E+07,951.61,6.95E+06,330.54,2.41E+06,1548.9,1.13E+07,61.567,4.49E+05,
011319Xim_WT_DQ7,23,ESC,I,5369,359.27,364.06,24.071,2470,1.33E+07,1770.8,9.51E+06,405.54,2.18E+06,1461,7.84E+06,68.084,3.66E+05,
011319Xim_WT_DQ7,24,ESC,I,7728,144.11,328.62,24.361,1442.8,1.12E+07,716.66,5.54E+06,349.2,2.70E+06,1381.4,1.07E+07,59.663,4.61E+05,
011319Xim_WT_DQ7,25,ESC,I,5552,393.63,385.58,24.195,2248.9,1.25E+07,1534,8.52E+06,648.03,3.60E+06,1361.6,7.56E+06,64.251,3.57E+05,
011319Xim_WT_DQ7,26,TE,I,20878,236.94,408.36,31.367,2116.8,4.42E+07,535.54,1.12E+07,252.01,5.26E+06,1492.2,3.12E+07,231.78,4.84E+06,
