Embryo_ID,Cell_ID,Identity,Cell_cycle,Size,X,Y,Z,CH1.Avg,CH1.Sum,CH2.Avg,CH2.Sum,CH3.Avg,CH3.Sum,CH4.Avg,CH4.Sum,CH5.Avg,CH5.Sum, 
071318Xim_WT_BW5,1,TE,I,8655,294.06,244.42,3.2155,2619.2,2.27E+07,36.405,3.15E+05,146.18,1.27E+06,674.22,5.84E+06,26.668,2.31E+05,
071318Xim_WT_BW5,4,TE,I,5742,236.09,312.64,4.9955,2598.2,1.49E+07,34.052,1.96E+05,282.6,1.62E+06,700.54,4.02E+06,24.187,1.39E+05,
071318Xim_WT_BW5,5,TE,I,13117,318.57,328.49,6.2931,2121.5,2.78E+07,37.777,4.96E+05,164.86,2.16E+06,678.85,8.90E+06,22.899,3.00E+05,
071318Xim_WT_BW5,6,TE,I,7032,210.97,249.52,5.3057,2324.4,1.63E+07,45.935,3.23E+05,113.59,7.99E+05,692.39,4.87E+06,23.325,1.64E+05,
071318Xim_WT_BW5,7,TE,I,7083,271.33,181.77,7.6643,2187.8,1.55E+07,47.357,3.35E+05,84.448,5.98E+05,683.21,4.84E+06,22.68,1.61E+05,
071318Xim_WT_BW5,8,TE,I,5288,184.38,309.66,9.7674,2962.5,1.57E+07,37.446,1.98E+05,325.93,1.72E+06,677.98,3.59E+06,25.362,1.34E+05,
071318Xim_WT_BW5,9,TE,I,8756,373.15,230.45,10.907,1582.4,1.39E+07,29.707,2.60E+05,85.032,7.45E+05,667.15,5.84E+06,21.859,1.91E+05,
071318Xim_WT_BW5,10,TE,I,9687,186.6,191.32,12.071,1967.6,1.91E+07,28.69,2.78E+05,88.852,8.61E+05,681.22,6.60E+06,21.924,2.12E+05,
071318Xim_WT_BW5,11,TE,I,6625,254.81,377.33,14.807,2168.2,1.44E+07,46.98,3.11E+05,64.444,4.27E+05,694.77,4.60E+06,21.631,1.43E+05,
071318Xim_WT_BW5,12,TE,I,9269,147.17,252.01,15.986,2645.4,2.45E+07,31.604,2.93E+05,177.67,1.65E+06,682.1,6.32E+06,22.283,2.07E+05,
071318Xim_WT_BW5,13,TE,I,5296,395.78,294.33,17.359,2066,1.09E+07,29.908,1.58E+05,36.865,1.95E+05,668.98,3.54E+06,21.559,1.14E+05,
071318Xim_WT_BW5,14,TE,I,5404,257.09,134.81,18.482,2553.9,1.38E+07,29.55,1.60E+05,83.856,4.53E+05,658.63,3.56E+06,21.724,1.17E+05,
071318Xim_WT_BW5,15,TE,I,7943,341.04,145.03,18.839,1910.8,1.52E+07,29.58,2.35E+05,39.927,3.17E+05,695.67,5.53E+06,33.837,2.69E+05,
071318Xim_WT_BW5,16,TE,I,4781,183.66,359.07,17.787,2919.1,1.40E+07,31.127,1.49E+05,162.47,7.77E+05,686.22,3.28E+06,22.27,1.06E+05,
071318Xim_WT_BW5,17,TE,I,4475,149.38,320.35,18.511,3077.4,1.38E+07,30.754,1.38E+05,183.92,8.23E+05,677.31,3.03E+06,22.444,1.00E+05,
071318Xim_WT_BW5,18,TE,I,7395,382.29,351.06,21.423,1455.6,1.08E+07,24.552,1.82E+05,37.414,2.77E+05,670.05,4.96E+06,20.564,1.52E+05,
071318Xim_WT_BW5,19,TE,I,7629,198.95,124.31,25.918,2691,2.05E+07,29.977,2.29E+05,48.491,3.70E+05,668.08,5.10E+06,21.559,1.64E+05,
071318Xim_WT_BW5,20,TE,I,7081,411.22,184.93,25.077,2392.5,1.69E+07,33.589,2.38E+05,31.755,2.25E+05,675,4.78E+06,24.268,1.72E+05,
071318Xim_WT_BW5,21,TE,I,7198,132.5,168.69,29.228,2443.4,1.76E+07,27.697,1.99E+05,126.02,9.07E+05,699.19,5.03E+06,20.966,1.51E+05,
071318Xim_WT_BW5,22,TE,I,5160,438.3,225.2,28.883,1801.7,9.30E+06,28.683,1.48E+05,33.122,1.71E+05,673.44,3.48E+06,20.6,1.06E+05,
071318Xim_WT_BW5,23,TE,I,7516,317.36,422.9,29.622,1984.3,1.49E+07,20.592,1.55E+05,24.129,1.81E+05,673.88,5.06E+06,19.539,1.47E+05,
