Embryo_ID,Cell_ID,Identity,Cell_cycle,Size,X,Y,Z,CH1.Avg,CH1.Sum,CH2.Avg,CH2.Sum,CH3.Avg,CH3.Sum,CH4.Avg,CH4.Sum,CH5.Avg,CH5.Sum, 
021418Xim_WT_AU3,1,TE,M,10947,232.97,293.07,5.9256,3114.2,3.41E+07,58.029,6.35E+05,32.244,3.53E+05,638.16,6.99E+06,391.35,4.28E+06,
021418Xim_WT_AU3,2,TE,I,9359,236.03,190.46,5.4481,2122.6,1.99E+07,58.408,5.47E+05,55.482,5.19E+05,628.46,5.88E+06,1262.9,1.18E+07,
021418Xim_WT_AU3,3,TE,I,8297,297.12,223.08,5.6647,2240.7,1.86E+07,39.769,3.30E+05,38.094,3.16E+05,626.9,5.20E+06,989.09,8.21E+06,
021418Xim_WT_AU3,6,TE,I,22659,163.28,216.12,12.517,2563.1,5.81E+07,713.82,1.62E+07,220.73,5.00E+06,616.6,1.40E+07,1022.5,2.32E+07,
021418Xim_WT_AU3,6.2,ICM,I,22659,154,218,17,2583.162,,1348.676,,371.817,,626.051,,1064.425,,
021418Xim_WT_AU3,8,ICM,I,9096,170.84,266.22,8.427,2440.1,2.22E+07,1391.1,1.27E+07,619.49,5.63E+06,610.82,5.56E+06,1659.9,1.51E+07,
021418Xim_WT_AU3,9,TE,I,19358,288.94,306.76,9.1139,2100.3,4.07E+07,38.864,7.52E+05,37.376,7.24E+05,692.65,1.34E+07,909.4,1.76E+07,
021418Xim_WT_AU3,11,TE,I,7744,313.79,204.29,10.007,2366.4,1.83E+07,49.132,3.80E+05,52.427,4.06E+05,620.35,4.80E+06,1171.7,9.07E+06,
021418Xim_WT_AU3,12,TE,I,8078,269.73,146,13.483,2036.9,1.65E+07,51.241,4.14E+05,55.106,4.45E+05,604.38,4.88E+06,1100.6,8.89E+06,
021418Xim_WT_AU3,13,TE,I,8745,349.39,275.8,12.519,2263.1,1.98E+07,39.86,3.49E+05,47.726,4.17E+05,632.67,5.53E+06,1061.6,9.28E+06,
021418Xim_WT_AU3,14,TE,I,15121,191.65,345.08,15.369,2416.6,3.65E+07,38.01,5.75E+05,46.989,7.11E+05,637.91,9.65E+06,1263.6,1.91E+07,
021418Xim_WT_AU3,16,TE,I,13902,238.18,374.48,16.563,2645.9,3.68E+07,42.785,5.95E+05,76.935,1.07E+06,645.11,8.97E+06,985.86,1.37E+07,
021418Xim_WT_AU3,19,TE,I,7646,313.29,370.4,17.046,2644.1,2.02E+07,47.104,3.60E+05,38.387,2.94E+05,655.45,5.01E+06,1150.2,8.79E+06,
021418Xim_WT_AU3,20,ICM,I,5192,167.17,254.61,18.495,2737.2,1.42E+07,892.47,4.63E+06,133.03,6.91E+05,626.38,3.25E+06,1394.9,7.24E+06,
021418Xim_WT_AU3,21,ICM,I,3261,168.82,297.89,19.432,1559.3,5.09E+06,889.03,2.90E+06,323.93,1.06E+06,691.92,2.26E+06,1420.1,4.63E+06,
021418Xim_WT_AU3,22,TE,I,6799,269.73,404.98,20.291,2934.7,2.00E+07,43.082,2.93E+05,35.832,2.44E+05,641.13,4.36E+06,1096.2,7.45E+06,
021418Xim_WT_AU3,23,ICM,I,32999,152.65,186.92,28.452,1539.4,5.08E+07,269.45,8.89E+06,139.77,4.61E+06,618.24,2.04E+07,1012.8,3.34E+07,
021418Xim_WT_AU3,23.2,ICM,I,32999,149,206,31,1681.221,,588.861,,286.955,,623.59,,1140.685,,
021418Xim_WT_AU3,24,TE,M,10407,135.92,334.98,25.122,2664.7,2.77E+07,38.851,4.04E+05,23.71,2.47E+05,651.5,6.78E+06,342.49,3.56E+06,
021418Xim_WT_AU3,25,TE,I,9355,384.99,329.04,23.757,2061.7,1.93E+07,35.596,3.33E+05,44.16,4.13E+05,631.1,5.90E+06,1195.9,1.12E+07,
021418Xim_WT_AU3,26,TE,I,6483,205.85,136.21,25.903,437.6,2.84E+06,71.068,4.61E+05,61.292,3.97E+05,541.02,3.51E+06,256.63,1.66E+06,
021418Xim_WT_AU3,27,ICM,I,4727,113.79,232.31,24.534,2910,1.38E+07,629.68,2.98E+06,64.136,3.03E+05,695.9,3.29E+06,907.38,4.29E+06,
021418Xim_WT_AU3,28,ICM,M,8900,120.42,269.71,26.436,2266.3,2.02E+07,253.49,2.26E+06,73.932,6.58E+05,673.46,5.99E+06,383.35,3.41E+06,
021418Xim_WT_AU3,29,TE,I,71816,268.89,213.31,37.938,1344.9,9.66E+07,25.394,1.82E+06,30.927,2.22E+06,663.5,4.77E+07,719.21,5.17E+07,
021418Xim_WT_AU3,31,ICM,I,14183,173.43,255.39,29.231,1120,1.59E+07,376.19,5.34E+06,42.684,6.05E+05,630.02,8.94E+06,736.43,1.04E+07,
021418Xim_WT_AU3,32,TE,I,17325,350.79,404,32.152,1905.4,3.30E+07,39.347,6.82E+05,42.068,7.29E+05,659.15,1.14E+07,1165.8,2.02E+07,
021418Xim_WT_AU3,33,TE,I,19038,243.58,389.98,32.725,1796.3,3.42E+07,33.814,6.44E+05,32.687,6.22E+05,614.75,1.17E+07,693.47,1.32E+07,
021418Xim_WT_AU3,35,TE,I,9579,213.21,109.99,34.133,1242.1,1.19E+07,33.719,3.23E+05,37.912,3.63E+05,627.13,6.01E+06,649.61,6.22E+06,
021418Xim_WT_AU3,36,TE,I,72480,311.01,317.85,44.108,1464.8,1.06E+08,21.844,1.58E+06,30.06,2.18E+06,661.02,4.79E+07,671.49,4.87E+07,
021418Xim_WT_AU3,38,ICM,I,7014,136.62,296.85,36.276,800.51,5.61E+06,316.32,2.22E+06,53.39,3.74E+05,674.25,4.73E+06,636.35,4.46E+06,
021418Xim_WT_AU3,39,ICM,I,2748,124.84,241.28,36.514,1248.6,3.43E+06,353.36,9.71E+05,84.36,2.32E+05,623.15,1.71E+06,737.68,2.03E+06,
