Embryo_ID,Cell_ID,Identity,Cell_cycle,Size,X,Y,Z,CH1.Avg,CH1.Sum,CH2.Avg,CH2.Sum,CH3.Avg,CH3.Sum,CH4.Avg,CH4.Sum,CH5.Avg,CH5.Sum, 
021418Xim_WT_AV4,83,TE,I,4828,327.99,220.83,88.471,1293.1,6.24E+06,27.593,1.33E+05,15.83,76428,442.55,2.14E+06,302.96,1.46E+06,
021418Xim_WT_AV4,69,TE,I,8439,240.26,130.09,76.629,550.16,4.64E+06,31.45,2.65E+05,15.943,1.35E+05,416.26,3.51E+06,168.27,1.42E+06,
021418Xim_WT_AV4,90,TE,I,5009,315.91,273.98,90.831,1207.8,6.05E+06,31.215,1.56E+05,16.617,83236,435.55,2.18E+06,321.42,1.61E+06,
021418Xim_WT_AV4,98,TE,I,8084,249.65,230.09,97.003,596.33,4.82E+06,37.412,3.02E+05,16.92,1.37E+05,441.76,3.57E+06,325.19,2.63E+06,
021418Xim_WT_AV4,87,TE,I,7242,265.09,181.27,90.432,769.39,5.57E+06,34.81,2.52E+05,17.577,1.27E+05,433.99,3.14E+06,373.28,2.70E+06,
021418Xim_WT_AV4,81,TE,I,5268,293.55,368.86,84.595,930.3,4.90E+06,32.164,1.69E+05,19.803,1.04E+05,409.74,2.16E+06,138.33,7.29E+05,
021418Xim_WT_AV4,82,TE,I,16480,212.33,187.01,88.564,500.95,8.26E+06,56.782,9.36E+05,20.762,3.42E+05,464.11,7.65E+06,285.19,4.70E+06,
021418Xim_WT_AV4,40,TE,I,6345,257.02,100.99,52.375,1541.9,9.78E+06,57.467,3.65E+05,21.612,1.37E+05,425.68,2.70E+06,408.63,2.59E+06,
021418Xim_WT_AV4,85,TE,I,3876,320.67,321.79,89.574,1384.8,5.37E+06,31.37,1.22E+05,21.822,84582,435.74,1.69E+06,147.87,5.73E+05,
021418Xim_WT_AV4,52,ICM,M,11171,192.04,225.03,67.956,1027.4,1.15E+07,66.945,7.48E+05,21.898,2.45E+05,443.81,4.96E+06,443.1,4.95E+06,
021418Xim_WT_AV4,42,TE,I,11692,331.45,115.54,56.453,1430.8,1.67E+07,47.378,5.54E+05,22.307,2.61E+05,419.13,4.90E+06,274.35,3.21E+06,
021418Xim_WT_AV4,77,ICM,I,14174,164.45,341.67,83.551,525.21,7.44E+06,50.145,7.11E+05,23.356,3.31E+05,411.62,5.83E+06,395.96,5.61E+06,
021418Xim_WT_AV4,45,TE,I,5349,422.11,217.67,56.116,1986,1.06E+07,37.279,1.99E+05,23.36,1.25E+05,452.44,2.42E+06,242.86,1.30E+06,
021418Xim_WT_AV4,65,TE,I,7253,384.11,227.28,74.213,1008.3,7.31E+06,36.974,2.68E+05,24.532,1.78E+05,436.14,3.16E+06,261.67,1.90E+06,
021418Xim_WT_AV4,71,TE,I,9376,373.19,269.84,78.165,651.02,6.10E+06,33.782,3.17E+05,25.092,2.35E+05,454.57,4.26E+06,237.86,2.23E+06,
021418Xim_WT_AV4,37,TE,I,13323,208.54,139.94,49.192,911.45,1.21E+07,67.241,8.96E+05,26.718,3.56E+05,426.82,5.69E+06,619.75,8.26E+06,
021418Xim_WT_AV4,39,TE,I,15005,153.21,179.12,51.16,1068.9,1.60E+07,91.796,1.38E+06,26.983,4.05E+05,415.6,6.24E+06,943.66,1.42E+07,
021418Xim_WT_AV4,61,TE,I,6227,383.66,308.94,68.246,1173.4,7.31E+06,36.364,2.26E+05,27.448,1.71E+05,438.83,2.73E+06,167.42,1.04E+06,
021418Xim_WT_AV4,59,ICM,I,15271,170.11,301.04,70.898,826.38,1.26E+07,70.623,1.08E+06,27.782,4.24E+05,435.79,6.66E+06,1141.6,1.74E+07,
021418Xim_WT_AV4,57,TE,I,7434,384.5,162.46,65.522,965.15,7.17E+06,33.497,2.49E+05,28.595,2.13E+05,392.8,2.92E+06,198.25,1.47E+06,
021418Xim_WT_AV4,70,TE,I,12797,292.4,148.64,79.039,1076.1,1.38E+07,39.9,5.11E+05,28.858,3.69E+05,426.08,5.45E+06,294.59,3.77E+06,
021418Xim_WT_AV4,13,TE,I,6247,347.7,183.14,22.134,3000.4,1.87E+07,107.6,6.72E+05,28.88,1.80E+05,424.37,2.65E+06,787.08,4.92E+06,
021418Xim_WT_AV4,16,TE,I,7302,315.14,149.65,24.472,2332.4,1.70E+07,105.61,7.71E+05,29.749,2.17E+05,435.45,3.18E+06,785.96,5.74E+06,
021418Xim_WT_AV4,26,TE,I,10752,168.01,185.25,38.321,1274.4,1.37E+07,86.642,9.32E+05,30.25,3.25E+05,437.47,4.70E+06,905.5,9.74E+06,
021418Xim_WT_AV4,10,TE,I,18019,228.03,186.1,19.702,2005.1,3.61E+07,110.66,1.99E+06,30.442,5.49E+05,415.87,7.49E+06,557.95,1.01E+07,
021418Xim_WT_AV4,94,TE,I,20150,212.43,273.23,96.547,465.93,9.39E+06,39.777,8.02E+05,31.202,6.29E+05,492.03,9.91E+06,287.32,5.79E+06,
021418Xim_WT_AV4,34,ICM,I,12225,159.6,227.63,43.685,1109.6,1.36E+07,86.629,1.06E+06,31.978,3.91E+05,402.27,4.92E+06,1130.6,1.38E+07,
021418Xim_WT_AV4,62,TE,I,20245,311.68,386.3,72.206,657.2,1.33E+07,41.346,8.37E+05,32.566,6.59E+05,387.51,7.85E+06,268.17,5.43E+06,
021418Xim_WT_AV4,51,ICM,I,8508,123.13,290.01,61.995,894.17,7.61E+06,101.18,8.61E+05,34.074,2.90E+05,418.99,3.56E+06,739.22,6.29E+06,
021418Xim_WT_AV4,79,TE,I,7415,362.49,220.45,83.801,903.09,6.70E+06,37.74,2.80E+05,34.443,2.55E+05,441.59,3.27E+06,339.82,2.52E+06,
021418Xim_WT_AV4,1,TE,I,10233,153.61,271.36,5.4085,3534.8,3.62E+07,130.35,1.33E+06,34.751,3.56E+05,430.44,4.40E+06,820.43,8.40E+06,
021418Xim_WT_AV4,47,TE,I,21642,351.58,379.02,57.513,950.19,2.06E+07,47.115,1.02E+06,34.927,7.56E+05,409.76,8.87E+06,446.16,9.66E+06,
021418Xim_WT_AV4,48,TE,I,10050,400.61,266.72,58.633,1007.3,1.01E+07,53.884,5.42E+05,34.985,3.52E+05,402.76,4.05E+06,393.92,3.96E+06,
021418Xim_WT_AV4,55,TE,I,14525,247.61,395.58,69.191,538.19,7.82E+06,44.126,6.41E+05,36.259,5.27E+05,395.48,5.74E+06,279.36,4.06E+06,
021418Xim_WT_AV4,38,TE,I,4708,398.49,326.83,50.467,2444.5,1.15E+07,45.049,2.12E+05,36.273,1.71E+05,432.15,2.03E+06,242.61,1.14E+06,
021418Xim_WT_AV4,25,TE,I,7858,397.71,251.65,36.136,2231.7,1.75E+07,80.547,6.33E+05,37.074,2.91E+05,445.19,3.50E+06,669.58,5.26E+06,
021418Xim_WT_AV4,94.2,TE,I,20150,196,272,91,472.941,,43.077,,38.72,,493.944,,316.886,,
021418Xim_WT_AV4,78,ICM,I,10946,189.21,224.93,81.393,760.4,8.32E+06,126.65,1.39E+06,39.419,4.31E+05,416.79,4.56E+06,805.39,8.82E+06,
021418Xim_WT_AV4,88,TE,I,6282,303.98,197.53,90.457,1047.8,6.58E+06,38.336,2.41E+05,40.189,2.52E+05,435.62,2.74E+06,204.22,1.28E+06,
021418Xim_WT_AV4,91,TE,I,8259,274.47,343.59,92.404,680.19,5.62E+06,35.915,2.97E+05,40.502,3.35E+05,443.75,3.67E+06,293.14,2.42E+06,
021418Xim_WT_AV4,99,TE,I,6797,286.71,297.88,96.825,794.23,5.40E+06,35.316,2.40E+05,40.666,2.76E+05,449.3,3.05E+06,271.54,1.85E+06,
021418Xim_WT_AV4,86,TE,I,15654,226.74,381.81,89.534,485.27,7.60E+06,26.449,4.14E+05,42.91,6.72E+05,385.13,6.03E+06,125.84,1.97E+06,
021418Xim_WT_AV4,73,TE,I,8954,344.26,158.52,80.5,723.84,6.48E+06,47.022,4.21E+05,42.915,3.84E+05,422.05,3.78E+06,219.03,1.96E+06,
021418Xim_WT_AV4,6,TE,M,14069,276.51,278.16,7.4832,2813,3.96E+07,114.52,1.61E+06,45.256,6.37E+05,439.36,6.18E+06,428.04,6.02E+06,
021418Xim_WT_AV4,66,ICM,I,6139,109.44,288.18,73.079,793.98,4.87E+06,96.192,5.91E+05,45.434,2.79E+05,390.01,2.39E+06,847.78,5.20E+06,
021418Xim_WT_AV4,54,TE,I,17605,117.21,329.04,65.431,672.07,1.18E+07,83.84,1.48E+06,45.775,8.06E+05,383.1,6.74E+06,477.75,8.41E+06,
021418Xim_WT_AV4,95,TE,I,7322,243.02,306.39,95.217,750.47,5.49E+06,36.499,2.67E+05,47.05,3.45E+05,450.58,3.30E+06,282.07,2.07E+06,
021418Xim_WT_AV4,96,TE,I,6152,287.51,249.11,96.443,959.7,5.90E+06,37.564,2.31E+05,48.333,2.97E+05,434.86,2.68E+06,298.67,1.84E+06,
021418Xim_WT_AV4,53,TE,I,12197,199.72,382.21,66.545,666.3,8.13E+06,49.258,6.01E+05,48.86,5.96E+05,384.02,4.68E+06,322.26,3.93E+06,
021418Xim_WT_AV4,72,TE,I,17901,347.73,314.19,80.438,761.91,1.36E+07,37.844,6.77E+05,51.471,9.21E+05,448.24,8.02E+06,218.79,3.92E+06,
021418Xim_WT_AV4,46,TE,I,11902,90.178,243.87,59.393,1139.1,1.36E+07,88.84,1.06E+06,51.799,6.17E+05,407.61,4.85E+06,797.86,9.50E+06,
021418Xim_WT_AV4,15,TE,I,15728,160.25,227.37,26.142,1742.1,2.74E+07,93.108,1.46E+06,51.825,8.15E+05,438.59,6.90E+06,771.58,1.21E+07,
021418Xim_WT_AV4,56,TE,I,15028,200.87,147.33,65.814,558.36,8.39E+06,48.525,7.29E+05,54.877,8.25E+05,397.01,5.97E+06,353.57,5.31E+06,
021418Xim_WT_AV4,19,TE,I,7341,375.63,214.43,28.528,2323.6,1.71E+07,87.363,6.41E+05,54.893,4.03E+05,456.09,3.35E+06,674.52,4.95E+06,
021418Xim_WT_AV4,97,TE,I,14159,113.32,273.94,95.522,560.44,7.94E+06,111.6,1.58E+06,57.806,8.18E+05,357.75,5.07E+06,207.92,2.94E+06,
021418Xim_WT_AV4,11,TE,I,5690,356.45,265.07,17.008,3493.1,1.99E+07,105.84,6.02E+05,62.298,3.54E+05,411.74,2.34E+06,861.58,4.90E+06,
021418Xim_WT_AV4,43,TE,I,14834,155.78,368.95,55.95,925.31,1.37E+07,58.119,8.62E+05,62.67,9.30E+05,397.68,5.90E+06,456.92,6.78E+06,
021418Xim_WT_AV4,60.2,TE,I,15751,164,173,78,620.192,,263.469,,62.769,,380.504,,434.454,,
021418Xim_WT_AV4,27,TE,I,8135,394.06,294.23,37.811,2196.2,1.79E+07,89.082,7.25E+05,63.553,5.17E+05,417.7,3.40E+06,649,5.28E+06,
021418Xim_WT_AV4,93,TE,I,8043,220.85,333.46,93.028,598.52,4.81E+06,31.367,2.52E+05,66.059,5.31E+05,463.88,3.73E+06,343.25,2.76E+06,
