Embryo_ID,Cell_ID,Identity,Cell_cycle,Size,X,Y,Z,CH1.Avg,CH1.Sum,CH2.Avg,CH2.Sum,CH3.Avg,CH3.Sum,CH4.Avg,CH4.Sum,CH5.Avg,CH5.Sum, 
021418Xim_WT_AX5,1,TE,I,10901,233.56,244.96,4.6385,2883.5,3.14E+07,1991.2,2.17E+07,54.07,5.89E+05,485.21,5.29E+06,62.664,6.83E+05,
021418Xim_WT_AX5,2,TE,I,9732,175.71,233.03,6.2861,2779.8,2.71E+07,2428.6,2.36E+07,48.603,4.73E+05,508.88,4.95E+06,130.42,1.27E+06,
021418Xim_WT_AX5,3,TE,I,21194,208.37,299.65,9.0516,3030.2,6.42E+07,1230.8,2.61E+07,112.41,2.38E+06,479.89,1.02E+07,1321.5,2.80E+07,
021418Xim_WT_AX5,4,TE,I,16517,340.68,289.36,9.6435,1734.5,2.86E+07,1892.2,3.13E+07,268.95,4.44E+06,510.17,8.43E+06,47.576,7.86E+05,
021418Xim_WT_AX5,5,ICM,I,13805,170.2,166.98,10.388,2700.3,3.73E+07,1672.4,2.31E+07,72.768,1.00E+06,563.72,7.78E+06,321.66,4.44E+06,
021418Xim_WT_AX5,6,ESC,I,10346,153.89,204.08,11.914,3259.2,3.37E+07,187.67,1.94E+06,152.79,1.58E+06,514.69,5.32E+06,3746.4,3.88E+07,
021418Xim_WT_AX5,7,TE,I,10041,348.74,234.02,12.284,2358.7,2.37E+07,1043.6,1.05E+07,34.321,3.45E+05,530.77,5.33E+06,36.801,3.70E+05,
021418Xim_WT_AX5,8,ESC,I,14616,178.61,255,13.903,2831.5,4.14E+07,1259.8,1.84E+07,153.07,2.24E+06,493.61,7.21E+06,2351.3,3.44E+07,
021418Xim_WT_AX5,8.2,ICM,I,14616,179,234,17,2546.81,,3483.11,,61.821,,507.642,,204.361,,
021418Xim_WT_AX5,9,TE,I,13587,278.45,178.08,13.234,2168.2,2.95E+07,1215.8,1.65E+07,62.6,8.51E+05,526.64,7.16E+06,38.299,5.20E+05,
021418Xim_WT_AX5,10,ESC,I,363,213.14,268.5,9.9394,2067.9,7.51E+05,184.12,66835,120.39,43700,454.49,1.65E+05,1908.5,6.93E+05,
021418Xim_WT_AX5,11,ICM,I,23081,265.79,341.89,13.475,1800.5,4.16E+07,739.96,1.71E+07,296.71,6.85E+06,518.17,1.20E+07,39.838,9.20E+05,
021418Xim_WT_AX5,13,ICM,I,8964,208.01,211.76,16.126,2636.8,2.36E+07,2766.8,2.48E+07,41.785,3.75E+05,474.21,4.25E+06,65.211,5.85E+05,
021418Xim_WT_AX5,14,ICM,I,10478,133.71,310.24,16.487,2659.5,2.79E+07,1569.7,1.64E+07,38.282,4.01E+05,510.89,5.35E+06,237.7,2.49E+06,
021418Xim_WT_AX5,15,TE,I,8971,340.59,337.57,15.312,2007.9,1.80E+07,1225.2,1.10E+07,134.03,1.20E+06,510.88,4.58E+06,43.207,3.88E+05,
021418Xim_WT_AX5,16,ICM,I,10326,212.83,353.57,17.177,2596.1,2.68E+07,1956.6,2.02E+07,55.81,5.76E+05,502.84,5.19E+06,57.648,5.95E+05,
021418Xim_WT_AX5,18,ESC,M,7247,149.08,169.34,19.182,2656.4,1.93E+07,211.76,1.53E+06,80.06,5.80E+05,527.4,3.82E+06,3455.3,2.50E+07,
