Embryo_ID,Cell_ID,Identity,Cell_cycle,Size,X,Y,Z,CH1.Avg,CH1.Sum,CH2.Avg,CH2.Sum,CH3.Avg,CH3.Sum,CH4.Avg,CH4.Sum,CH5.Avg, CH5-Sum, 
071618Xim_WT_CA2,1,TE,I,19220,259.14,200.54,7.3697,3179.5,6.11E+07,58.399,1.12E+06,103.83,2.00E+06,556.04,1.07E+07,249.55,4.80E+06,
071618Xim_WT_CA2,1.2,ICM,I,19220,250,202,11,3451.71,,63.654,,89.064,,544.472,,397.816,,
071618Xim_WT_CA2,2,TE,I,8140,162.26,229.34,5.373,3250.8,2.65E+07,91.256,7.43E+05,155.61,1.27E+06,520.27,4.24E+06,314.84,2.56E+06,
071618Xim_WT_CA2,3,TE,I,11301,234.39,241.25,7.0366,2871.8,3.25E+07,63.437,7.17E+05,123.42,1.39E+06,554.1,6.26E+06,187.55,2.12E+06,
071618Xim_WT_CA2,4,TE,I,11897,349.93,217.1,8.179,1982.8,2.36E+07,59.506,7.08E+05,68.868,8.19E+05,539.61,6.42E+06,219.21,2.61E+06,
071618Xim_WT_CA2,5,TE,I,9679,111.89,229.73,9.2928,2632.7,2.55E+07,65.656,6.35E+05,170.05,1.65E+06,531.32,5.14E+06,220.65,2.14E+06,
071618Xim_WT_CA2,6,TE,I,9900,247.51,169.62,11.32,3162.8,3.13E+07,51.893,5.14E+05,98.575,9.76E+05,536.58,5.31E+06,311.6,3.08E+06,
071618Xim_WT_CA2,7,ICM,I,8701,193.59,240.69,13.034,2254.5,1.96E+07,450.62,3.92E+06,100.51,8.75E+05,557.87,4.85E+06,93.256,8.11E+05,
071618Xim_WT_CA2,8,TE,I,4884,339.63,285.33,8.9832,320.4,1.56E+06,45.295,2.21E+05,184.85,9.03E+05,542.94,2.65E+06,48.095,2.35E+05,
071618Xim_WT_CA2,9,TE,I,11535,186.43,290,12.645,2832.8,3.27E+07,57.975,6.69E+05,150.73,1.74E+06,541.18,6.24E+06,241.43,2.78E+06,
071618Xim_WT_CA2,10,TE,I,11656,289.18,312.74,11.646,2299.1,2.68E+07,44.653,5.20E+05,71.393,8.32E+05,541.57,6.31E+06,175.94,2.05E+06,
071618Xim_WT_CA2,11,TE,I,14567,150.55,167.32,16.59,2968,4.32E+07,72.416,1.05E+06,91.898,1.34E+06,548.83,7.99E+06,226.45,3.30E+06,
071618Xim_WT_CA2,11.2,ICM,I,14567,147,182,24,1875.584,,376.324,,104.851,,518.447,,173.817,,
071618Xim_WT_CA2,12,TE,I,11308,138.85,288.14,14.879,2833.5,3.20E+07,72.019,8.14E+05,154.15,1.74E+06,532.45,6.02E+06,208.89,2.36E+06,
071618Xim_WT_CA2,13,TE,I,9192,226.71,291.67,13.537,2249.6,2.07E+07,52.541,4.83E+05,88.483,8.13E+05,551.17,5.07E+06,239.95,2.21E+06,
071618Xim_WT_CA2,14,ICM,I,8149,162.69,207.23,12.134,2777.5,2.26E+07,171.96,1.40E+06,253.47,2.07E+06,498,4.06E+06,743.63,6.06E+06,
071618Xim_WT_CA2,15,ICM,I,9020,187.64,185.12,16.444,2576.4,2.32E+07,538.24,4.85E+06,129.68,1.17E+06,565.21,5.10E+06,124.4,1.12E+06,
071618Xim_WT_CA2,16,ICM,I,5166,217.03,208.36,15.542,2288.8,1.18E+07,44.583,2.30E+05,85.819,4.43E+05,546.28,2.82E+06,304.78,1.57E+06,
071618Xim_WT_CA2,17,ICM,I,7810,154.62,248.46,15.202,2731.1,2.13E+07,740.28,5.78E+06,121.62,9.50E+05,513.85,4.01E+06,169.04,1.32E+06,
