Embryo_ID,Cell_ID,Size,Identity,X,Y,Z,CH1.Avg,CH1.Sum,CH2.Avg,CH2.Sum,CH3.Avg,CH3.Sum,CH4.Avg,CH4.Sum,CH5.Avg,CH5.Sum, 
071816Xim_T11,1,5859,TE,287.46,169.31,3.37,1656.6,9.71E+06,29.36,1.72E+05,122.36,7.17E+05,1075.4,6.30E+06,1316.6,7.71E+06,
071816Xim_T11,2,6444,TE,343.81,203.66,3.2259,1465.8,9.45E+06,30.063,1.94E+05,106.26,6.85E+05,1075,6.93E+06,681.21,4.39E+06,
071816Xim_T11,3,5413,TE,242.02,221.11,2.4726,1718.1,9.30E+06,28.562,1.55E+05,108.34,5.86E+05,1088.7,5.89E+06,1159.4,6.28E+06,
071816Xim_T11,4,3427,TE,322.05,285.22,2.8095,1021.7,3.50E+06,24.489,83923,104.3,3.57E+05,1058.7,3.63E+06,1039.7,3.56E+06,
071816Xim_T11,5,7620,TE,194.24,298.71,4.7486,1579.6,1.20E+07,29.436,2.24E+05,110.23,8.40E+05,1082.5,8.25E+06,1007.6,7.68E+06,
071816Xim_T11,6,8094,TE,259.98,327.82,3.3173,2128.1,1.72E+07,28.281,2.29E+05,140.46,1.14E+06,1087.7,8.80E+06,1907.5,1.54E+07,
071816Xim_T11,7,12359,TE,169.88,228.42,7.1922,965.03,1.19E+07,19.359,2.39E+05,73.429,9.08E+05,1053.4,1.30E+07,649.27,8.02E+06,
071816Xim_T11,8,13695,TE,391.91,309.94,7.8622,871.36,1.19E+07,17.5,2.40E+05,63.475,8.69E+05,1074.7,1.47E+07,679.78,9.31E+06,
071816Xim_T11,9,11686,TE,326.24,366.66,7.5189,964.21,1.13E+07,20.128,2.35E+05,74.715,8.73E+05,1087,1.27E+07,786.95,9.20E+06,
071816Xim_T11,10,13218,TE,251.63,132.46,10.981,1219.3,1.61E+07,19.409,2.57E+05,65.524,8.66E+05,1076.1,1.42E+07,656.6,8.68E+06,
071816Xim_T11,11,9648,TE,387.63,156.28,11.336,1014.1,9.78E+06,21.11,2.04E+05,76.392,7.37E+05,1062.7,1.03E+07,839.24,8.10E+06,
071816Xim_T11,12,6547,TE,425.11,231.64,11.638,1384.5,9.06E+06,21.416,1.40E+05,82.367,5.39E+05,1054.1,6.90E+06,947.2,6.20E+06,
071816Xim_T11,13,10690,TE,225.34,387.28,14.703,1413.4,1.51E+07,23.538,2.52E+05,81.15,8.68E+05,1106.9,1.18E+07,581.48,6.22E+06,
071816Xim_T11,14,8796,TE,177.1,148.67,17.221,1024.4,9.01E+06,19.554,1.72E+05,177.78,1.56E+06,1107.6,9.74E+06,834.8,7.34E+06,
071816Xim_T11,15,9400,TE,163.43,338.07,20.551,1522.2,1.43E+07,21.01,1.97E+05,77.525,7.29E+05,1116.2,1.05E+07,806.3,7.58E+06,
071816Xim_T11,16,7939,TE,350.45,99.394,20.799,1106,8.78E+06,20.339,1.61E+05,87.055,6.91E+05,1045.8,8.30E+06,999.64,7.94E+06,
071816Xim_T11,17,7375,TE,448.5,296.21,21.797,1108.8,8.18E+06,20.905,1.54E+05,72.573,5.35E+05,1069.7,7.89E+06,736.54,5.43E+06,
071816Xim_T11,18,4351,TE,113.59,215.09,22.466,1876,8.16E+06,19.915,86649,80.673,3.51E+05,1081.5,4.71E+06,1026.2,4.47E+06,
071816Xim_T11,19,12311,TE,113.37,279.29,25.654,957.36,1.18E+07,16.684,2.05E+05,55.961,6.89E+05,1039,1.28E+07,579.09,7.13E+06,
071816Xim_T11,20,11509,TE,392,394.29,25.789,1490.4,1.72E+07,20.722,2.38E+05,85.704,9.86E+05,1094.9,1.26E+07,964.85,1.11E+07,
071816Xim_T11,21,8017,TE,280.72,432.46,28.237,1236.5,9.91E+06,20.439,1.64E+05,77.843,6.24E+05,1074.6,8.61E+06,955.78,7.66E+06,
071816Xim_T11,22,4453,TE,141.57,146.41,26.647,1981.8,8.82E+06,22.141,98592,92.638,4.13E+05,1061,4.72E+06,1104.7,4.92E+06,
071816Xim_T11,23,5985,TE,461.68,190.46,28.142,1219.7,7.30E+06,21.221,1.27E+05,97.69,5.85E+05,1043.8,6.25E+06,923.54,5.53E+06,
071816Xim_T11,24,7485,TE,409.25,101.7,32.184,1018.4,7.62E+06,20.214,1.51E+05,75.034,5.62E+05,1017.7,7.62E+06,918.84,6.88E+06,
071816Xim_T11,25,10195,TE,304.02,59.172,36.951,1370,1.40E+07,18.337,1.87E+05,78.039,7.96E+05,1023.8,1.04E+07,669.74,6.83E+06,
071816Xim_T11,26,13705,TE,187.71,77.399,37.793,1274.1,1.75E+07,18.157,2.49E+05,98.746,1.35E+06,1021.2,1.40E+07,669.24,9.17E+06,
071816Xim_T11,27,9959,TE,457.39,355.51,37.352,1371.3,1.37E+07,19.832,1.98E+05,76.557,7.62E+05,1065.1,1.06E+07,827.31,8.24E+06,
071816Xim_T11,28,10544,TE,351.36,439.08,38.052,1280,1.35E+07,19.282,2.03E+05,64.936,6.85E+05,1109.9,1.17E+07,625.49,6.60E+06,
071816Xim_T11,29,8202,TE,79.766,206.24,39.383,926.64,7.60E+06,16.788,1.38E+05,54.983,4.51E+05,1058.1,8.68E+06,667.24,5.47E+06,
071816Xim_T11,30,6362,TE,90.727,161.3,39.98,1248.2,7.94E+06,16.807,1.07E+05,58.998,3.75E+05,1000.6,6.37E+06,733.39,4.67E+06,
071816Xim_T11,31,6002,TE,497.07,249.46,41.658,1037.3,6.23E+06,18.947,1.14E+05,58.458,3.51E+05,990.83,5.95E+06,591.79,3.55E+06,
071816Xim_T11,32,6434,TE,160.84,388.04,41.371,848.35,5.46E+06,15.339,98691,63.425,4.08E+05,1084,6.97E+06,591.93,3.81E+06,
071816Xim_T11,33,6677,TE,249.73,49.646,43.487,1124.4,7.51E+06,19.44,1.30E+05,57.773,3.86E+05,1003.9,6.70E+06,635.01,4.24E+06,
071816Xim_T11,34,6656,TE,459.23,130.15,42.722,950.99,6.33E+06,17.727,1.18E+05,65.988,4.39E+05,1061.3,7.06E+06,780.03,5.19E+06,
