Embryo_ID,Cell_ID,Identity,Cell_cycle,Size,X,Y,Z,CH1.Avg,CH1.Sum,CH2.Avg,CH2.Sum,CH3.Avg,CH3.Sum,CH4.Avg,CH4.Sum,CH5.Avg,CH5.Sum, 
080118Xim_F4_CJ6,2,TE,I,6670,307.09,176.1,4.7181,3192.3,2.13E+07,57.157,3.81E+05,49.296,3.29E+05,1146.4,7.65E+06,23.925,1.60E+05,
080118Xim_F4_CJ6,3,TE,I,10021,254.4,197.57,5.1303,2897.9,2.90E+07,60.4,6.05E+05,50.557,5.07E+05,1159,1.16E+07,22.604,2.27E+05,
080118Xim_F4_CJ6,4,TE,I,7628,337.47,236.23,4.8658,2799.6,2.14E+07,44.041,3.36E+05,56.268,4.29E+05,1144.7,8.73E+06,20.807,1.59E+05,
080118Xim_F4_CJ6,5,TE,I,9559,304.73,280.64,5.7155,2087.7,2.00E+07,49.849,4.77E+05,32.431,3.10E+05,1142,1.09E+07,20.161,1.93E+05,
080118Xim_F4_CJ6,6,TE,I,9011,258.74,280.94,5.8206,2272,2.05E+07,58.16,5.24E+05,33.825,3.05E+05,1145.9,1.03E+07,20.885,1.88E+05,
080118Xim_F4_CJ6,7,TE,I,11193,179.12,206,8.1773,3015.9,3.38E+07,50.468,5.65E+05,30.953,3.46E+05,1036.4,1.16E+07,21.387,2.39E+05,
080118Xim_F4_CJ6,8,TE,I,8325,201.09,245.24,6.9193,2525.6,2.10E+07,62.083,5.17E+05,36.717,3.06E+05,1077.7,8.97E+06,23.664,1.97E+05,
080118Xim_F4_CJ6,9,TE,I,7933,359.53,153.7,10.157,2843.1,2.26E+07,51.68,4.10E+05,37.959,3.01E+05,1054.4,8.36E+06,22.383,1.78E+05,
080118Xim_F4_CJ6,10,TE,I,9523,281.28,336.93,9.2981,2025.9,1.93E+07,33.822,3.22E+05,286.85,2.73E+06,1113.2,1.06E+07,18.385,1.75E+05,
080118Xim_F4_CJ6,11,TE,I,6414,279.69,129.21,11.925,3216.7,2.06E+07,50.958,3.27E+05,37.49,2.40E+05,1149.3,7.37E+06,21.835,1.40E+05,
080118Xim_F4_CJ6,12,TE,I,11519,228.74,158.67,10.376,2769.6,3.19E+07,40.884,4.71E+05,39.01,4.49E+05,1132.7,1.30E+07,21.113,2.43E+05,
080118Xim_F4_CJ6,13,TE,I,8762,389.81,198.44,13.057,2631.4,2.31E+07,41.121,3.60E+05,44.063,3.86E+05,1090.2,9.55E+06,21.265,1.86E+05,
080118Xim_F4_CJ6,14,TE,I,16413,199.17,320.02,12.719,2112.2,3.47E+07,40.995,6.73E+05,255.26,4.19E+06,1105,1.81E+07,20.04,3.29E+05,
080118Xim_F4_CJ6,15,TE,I,9929,402.86,256.91,17.211,2474.7,2.46E+07,40.154,3.99E+05,168.56,1.67E+06,1136.1,1.13E+07,20.304,2.02E+05,
080118Xim_F4_CJ6,16,TE,I,6705,365.99,332.99,18.134,2739.3,1.84E+07,37.088,2.49E+05,26.042,1.75E+05,1104.9,7.41E+06,18.807,1.26E+05,
080118Xim_F4_CJ6,17,TE,I,6499,346.86,354.81,19.371,2565.8,1.67E+07,33.836,2.20E+05,25.39,1.65E+05,1116.7,7.26E+06,19.117,1.24E+05,
080118Xim_F4_CJ6,18,TE,I,10920,180.39,162.42,20.291,2672.8,2.92E+07,41.005,4.48E+05,33.968,3.71E+05,1093.7,1.19E+07,22.133,2.42E+05,
080118Xim_F4_CJ6,19,TE,I,6617,225.65,360.73,19.536,2409.7,1.59E+07,38.06,2.52E+05,253.56,1.68E+06,1107.7,7.33E+06,19.452,1.29E+05,
080118Xim_F4_CJ6,20,TE,I,9663,218.87,114.83,20.602,3154.5,3.05E+07,41.695,4.03E+05,33.729,3.26E+05,1095.6,1.06E+07,20.973,2.03E+05,
080118Xim_F4_CJ6,21,TE,I,13494,160.02,263.06,22.188,2084.8,2.81E+07,41.966,5.66E+05,29.075,3.92E+05,1162.9,1.57E+07,22.205,3.00E+05,
080118Xim_F4_CJ6,22,TE,I,7024,363.56,137.28,21.451,2354.9,1.65E+07,32.931,2.31E+05,39.337,2.76E+05,1095.4,7.69E+06,18.995,1.33E+05,
080118Xim_F4_CJ6,24,TE,I,8648,278.38,390.05,22.881,1943,1.68E+07,33.287,2.88E+05,220.19,1.90E+06,1093.1,9.45E+06,18.422,1.59E+05,
080118Xim_F4_CJ6,25,TE,I,6237,282.88,96.555,23.436,2726.9,1.70E+07,35.796,2.23E+05,34.701,2.16E+05,1142.7,7.13E+06,20.087,1.25E+05,
080118Xim_F4_CJ6,26,TE,I,20580,109,222,22,2964.099,,60.396,,27.035,,1117.657,,24.686,,
080118Xim_F4_CJ6,26.2,ICM,I,20580,104,234,29,2603.741,,1086.553,,31.734,,1082.759,,21.868,,
080118Xim_F4_CJ6,27,TE,I,19967,107,187,25,2703.365,,55.413,,25.251,,1154.38,,43.807,,
080118Xim_F4_CJ6,27.2,ICM,I,19967,113,203,29,2248.474,,337.497,,29.34,,1091.407,,122.781,,
080118Xim_F4_CJ6,29,TE,I,7252,439.5,298.18,27.086,2497.5,1.81E+07,33.912,2.46E+05,183.85,1.33E+06,1100.4,7.98E+06,19.548,1.42E+05,
080118Xim_F4_CJ6,30,TE,I,6054,343.9,102.73,27.776,2831.4,1.71E+07,32.251,1.95E+05,217.22,1.32E+06,1061.3,6.42E+06,19.112,1.16E+05,
080118Xim_F4_CJ6,31,TE,I,7242,413.36,176.11,27.729,2308.5,1.67E+07,30.672,2.22E+05,24.371,1.77E+05,1055,7.64E+06,27.211,1.97E+05,
080118Xim_F4_CJ6,33,TE,I,13858,444,234,28,2783.031,,43.313,,81.095,,1063.551,,60.153,,
080118Xim_F4_CJ6,34,TE,I,6930,177.96,107.03,32.806,2367.8,1.64E+07,35.537,2.46E+05,125.18,8.67E+05,1326.8,9.19E+06,19.579,1.36E+05,
080118Xim_F4_CJ6,35,ICM,I,12194,68,206,31,2094.91,,1128.185,,31.575,,1168.94,,20.046,,
080118Xim_F4_CJ6,35.2,ICM,I,12194,58,208,38,2101.486,,568.145,,27.371,,1146.61,,20.018,,
080118Xim_F4_CJ6,36,TE,I,8876,164.97,344,33.688,1264.9,1.12E+07,32.131,2.85E+05,98.196,8.72E+05,1118,9.92E+06,18.812,1.67E+05,
080118Xim_F4_CJ6,38,ICM,I,4928,127.13,250.61,33.153,1934.1,9.53E+06,695.79,3.43E+06,30.359,1.50E+05,1179.9,5.81E+06,25.102,1.24E+05,
080118Xim_F4_CJ6,39,TE,I,3934,199.35,390.78,34.669,329.47,1.30E+06,31.796,1.25E+05,25.019,98424,985.48,3.88E+06,18.619,73248,
080118Xim_F4_CJ6,41,TE,I,9690,276.01,421,36.21,1514,1.47E+07,29.197,2.83E+05,217.28,2.11E+06,1040.6,1.01E+07,18.405,1.78E+05,
080118Xim_F4_CJ6,42,TE,I,10542,231.33,66.448,39.238,2509.4,2.65E+07,28.343,2.99E+05,77.098,8.13E+05,1194.6,1.26E+07,19.128,2.02E+05,
080118Xim_F4_CJ6,43,ICM,I,8680,39.648,238.39,37.052,1479.7,1.28E+07,128.03,1.11E+06,22.959,1.99E+05,1100.8,9.56E+06,18.448,1.60E+05,
080118Xim_F4_CJ6,44,ICM,I,15588,92,278,35,2096.937,,786.265,,27.878,,1215.643,,20.26,,
080118Xim_F4_CJ6,44.2,ICM,M,15588,112,275,42,2662.576,,127.604,,21.829,,1207.434,,20.297,,
080118Xim_F4_CJ6,44.3,ICM,I,15588,80,241,35,1618.169,,523.292,,27.909,,1021.105,,20.742,,
080118Xim_F4_CJ6,45,TE,I,12662,158.35,148.9,36.251,1173.9,1.49E+07,30.842,3.91E+05,24.568,3.11E+05,1022.8,1.30E+07,22.423,2.84E+05,
080118Xim_F4_CJ6,46,ESC,I,5401,123,187,35,2179.118,,390.663,,75.76,,1101.56,,1490.819,,
080118Xim_F4_CJ6,46.2,ESC,I,5401,113,181,42,2001.02,,327.349,,53.065,,1034.799,,869.696,,
080118Xim_F4_CJ6,48,TE,I,12884,95.327,314.83,43.291,1753.8,2.26E+07,41.955,5.41E+05,108.7,1.40E+06,1095.8,1.41E+07,19.797,2.55E+05,
080118Xim_F4_CJ6,49,TE,I,4756,396.2,124.41,41.56,2330.9,1.11E+07,23.583,1.12E+05,121.69,5.79E+05,1113,5.29E+06,17.342,82479,
080118Xim_F4_CJ6,50,TE,I,8780,352.6,419.03,43.981,1619.1,1.42E+07,28.429,2.50E+05,54.007,4.74E+05,1175.9,1.03E+07,18.1,1.59E+05,
080118Xim_F4_CJ6,51,TE,I,19668,448.13,172.89,43,2424.948,,51.337,,28.135,,1450.948,,93.858,,
080118Xim_F4_CJ6,52,ICM,I,4960,122.89,231.05,40.116,1642.7,8.15E+06,466.2,2.31E+06,24.981,1.24E+05,1194.1,5.92E+06,32.237,1.60E+05,
080118Xim_F4_CJ6,52.2,ICM,I,4960,137,223,41,1019.448,,173.58,,23.821,,1094.514,,74.318,,
080118Xim_F4_CJ6,53,TE,I,11366,36.843,275.29,44.321,1365,1.55E+07,51.491,5.85E+05,30.968,3.52E+05,1081.4,1.23E+07,18.021,2.05E+05,
080118Xim_F4_CJ6,54,TE,I,11949,40.699,184.76,46.098,2028.9,2.42E+07,62.303,7.44E+05,30.96,3.70E+05,1110.9,1.33E+07,18.368,2.19E+05,
080118Xim_F4_CJ6,56,ICM,I,10403,158,250,42,1049.075,,341.197,,21.893,,1048.557,,56.797,,
080118Xim_F4_CJ6,56.2,ICM,I,10403,142,265,44,964.334,,376.039,,21.851,,1052.757,,31.848,,
080118Xim_F4_CJ6,57,ICM,I,2657,91.257,195.82,41.144,2184.2,5.80E+06,224.43,5.96E+05,25.809,68574,1145.3,3.04E+06,32.271,85743,
080118Xim_F4_CJ6,58,TE,I,12136,315.77,61.111,48.832,1938.5,2.35E+07,24.81,3.01E+05,122.19,1.48E+06,1234.2,1.50E+07,17.288,2.10E+05,
080118Xim_F4_CJ6,59,ICM,I,14595,107,171,53,1573.393,,160.357,,26.279,,1052.731,,174.879,,
080118Xim_F4_CJ6,59,TE,I,14595,103,155,47,1549.54,,51.181,,24.169,,1141.872,,58.03,,
080118Xim_F4_CJ6,61,ICM,I,776,86.847,206.36,44.307,1718.5,1.33E+06,252.64,1.96E+05,22.352,17345,1244,9.65E+05,22.05,17111,
080118Xim_F4_CJ6,62,ICM,I,8158,87.103,250.25,46.765,1280.5,1.04E+07,239.67,1.96E+06,23.379,1.91E+05,1103.7,9.00E+06,18.908,1.54E+05,
080118Xim_F4_CJ6,62.2,ICM,I,8158,106,212,47,1404.221,,521.878,,23.251,,1154.123,,37.122,,
080118Xim_F4_CJ6,63,TE,I,11574,472.64,276.52,50.754,1311.1,1.52E+07,24.526,2.84E+05,42.537,4.92E+05,1082.5,1.25E+07,17.887,2.07E+05,
080118Xim_F4_CJ6,64,ICM,I,5152,52.615,200.35,46.175,2019.7,1.04E+07,228.37,1.18E+06,23.192,1.19E+05,1140.8,5.88E+06,18.695,96316,
080118Xim_F4_CJ6,64.2,ICM,I,5152,67,208,51,1358.293,,285.743,,21.2,,1167.417,,18.916,,
080118Xim_F4_CJ6,65,ICM,I,3893,52.288,257.98,46.852,1330.2,5.18E+06,355.6,1.38E+06,24.321,94681,1102.7,4.29E+06,18.307,71271,
080118Xim_F4_CJ6,66,TE,I,7400,178.92,106.51,46.997,1289.1,9.54E+06,25.67,1.90E+05,30.965,2.29E+05,1001.9,7.41E+06,17.715,1.31E+05,
080118Xim_F4_CJ6,67,ESC,I,6189,134,167,43,1307.18,,281.971,,53.436,,1252.844,,1086.358,,
080118Xim_F4_CJ6,68,ICM,I,6189,135.44,175.53,50.727,1275.997,,174.642,,29.033,,1127.48,,274.136,,
080118Xim_F4_CJ6,69,TE,I,15114,420.15,369.92,52.545,1531.4,2.31E+07,23.439,3.54E+05,19.519,2.95E+05,1147.4,1.73E+07,17.119,2.59E+05,
080118Xim_F4_CJ6,70,TE,I,12770,145.79,368.97,54.291,1544.7,1.97E+07,23.475,3.00E+05,38.306,4.89E+05,1219.4,1.56E+07,17.718,2.26E+05,
080118Xim_F4_CJ6,71,TE,I,12444,206.84,414.98,54.957,1203.5,1.50E+07,22.896,2.85E+05,34.564,4.30E+05,1248.5,1.55E+07,17.118,2.13E+05,
080118Xim_F4_CJ6,72,TE,I,7821,397.45,101.91,52.613,1746.1,1.37E+07,24.233,1.90E+05,56.732,4.44E+05,1394.4,1.09E+07,17.3,1.35E+05,
080118Xim_F4_CJ6,73,TE,I,5974,426.2,140.73,53.24,1674.9,1.00E+07,24.134,1.44E+05,26.907,1.61E+05,1385.1,8.27E+06,21.751,1.30E+05,
080118Xim_F4_CJ6,74,ICM,I,4832,22.405,225.92,51.905,990.57,4.79E+06,265.23,1.28E+06,22.589,1.09E+05,1013.3,4.90E+06,17.82,86104,
080118Xim_F4_CJ6,75,ESC,I,9079,167.33,260.08,53.671,732.52,6.65E+06,267.98,2.43E+06,54.969,4.99E+05,1048.4,9.52E+06,1203.5,1.09E+07,
080118Xim_F4_CJ6,76,TE,I,3284,186.91,397.59,51.741,988.89,3.25E+06,26.159,85907,36.411,1.20E+05,961.1,3.16E+06,17.382,57083,
080118Xim_F4_CJ6,78,TE,I,10550,287.15,442.35,54.846,975.44,1.03E+07,23.094,2.44E+05,66.207,6.98E+05,1072.7,1.13E+07,17.337,1.83E+05,
080118Xim_F4_CJ6,79,ICM,I,4231,43.058,251.99,54.72,1041.1,4.40E+06,386.44,1.64E+06,23.038,97475,1178.2,4.98E+06,17.438,73780,
080118Xim_F4_CJ6,80,TE,I,8765,368.28,60.732,56.715,2062.3,1.81E+07,26.208,2.30E+05,49.29,4.32E+05,1074.3,9.42E+06,17.828,1.56E+05,
080118Xim_F4_CJ6,81,TE,I,6427,474.66,229.68,56.839,1344.5,8.64E+06,26.585,1.71E+05,104.29,6.70E+05,1037,6.67E+06,26.643,1.71E+05,
080118Xim_F4_CJ6,82,ICM,I,3307,77.904,289.26,53.292,1007.2,3.33E+06,103.91,3.44E+05,21.181,70047,1124.3,3.72E+06,18.329,60615,
080118Xim_F4_CJ6,82.2,ICM,I,3307,98,273,56,732.783,,138.043,,18.347,,1278.535,,18.165,,
080118Xim_F4_CJ6,83,ICM,I,7219,137.28,298.56,53.267,877.98,6.34E+06,128.8,9.30E+05,20.184,1.46E+05,985.17,7.11E+06,81.691,5.90E+05,
080118Xim_F4_CJ6,84,ESC,I,10185,134.13,224.86,52.988,841.62,8.57E+06,148.27,1.51E+06,27.047,2.75E+05,1086.5,1.11E+07,311.15,3.17E+06,
080118Xim_F4_CJ6,85,ICM,I,4415,132.9,265.92,54.68,879.6,3.88E+06,315.55,1.39E+06,20.791,91792,1122.6,4.96E+06,29.406,1.30E+05,
080118Xim_F4_CJ6,85.2,ICM,I,4415,113,223,59,629.454,,160.152,,19.203,,1133.669,,37.978,,
080118Xim_F4_CJ6,86,TE,I,10632,458.64,160.65,58.556,1546.4,1.64E+07,30.72,3.27E+05,22.572,2.40E+05,1041.5,1.11E+07,38.388,4.08E+05,
080118Xim_F4_CJ6,87,TE,I,11070,85.739,328.21,58.391,1366,1.51E+07,25.45,2.82E+05,21.93,2.43E+05,1151.6,1.27E+07,19.272,2.13E+05,
080118Xim_F4_CJ6,87.2,ICM,I,11070,97,298,60,619.751,,75.827,,18.806,,964.375,,17.957,,
080118Xim_F4_CJ6,88,ESC,I,879,154.05,224.97,57.373,601.03,5.28E+05,83.857,73710,31.91,28049,974.67,8.57E+05,470.03,4.13E+05,
080118Xim_F4_CJ6,88.2,ESC,I,10185,143,197,56,655.596,,86.206,,32.068,,982.496,,458.675,,
080118Xim_F4_CJ6,89,ICM,I,5164,67.113,269.63,59.875,859.04,4.44E+06,140.22,7.24E+05,19.717,1.02E+05,1021.6,5.28E+06,16.775,86624,
080118Xim_F4_CJ6,90,TE,I,9657,158.81,121.66,63.899,569.53,5.50E+06,18.867,1.82E+05,16.943,1.64E+05,903.06,8.72E+06,18.96,1.83E+05,
080118Xim_F4_CJ6,91,ICM,I,9315,55.963,188.35,58.503,1184.7,1.10E+07,235.78,2.20E+06,20.348,1.90E+05,1061.3,9.89E+06,17.986,1.68E+05,
080118Xim_F4_CJ6,92,TE,I,14058,233.09,72.365,60.985,465.38,6.54E+06,18.247,2.57E+05,51.568,7.25E+05,1086.6,1.53E+07,17.703,2.49E+05,
080118Xim_F4_CJ6,93,ICM,I,6590,45.597,273.79,62.709,671.15,4.42E+06,192.81,1.27E+06,20.167,1.33E+05,1064.1,7.01E+06,17.045,1.12E+05,
