Embryo_ID,Cell_ID,Identity,Cell_cycle,Size,X,Y,Z,CH1.Avg,CH1.Sum,CH2.Avg,CH2.Sum,CH3.Avg,CH3.Sum,CH4.Avg,CH4.Sum,CH5.Avg, CH5-Sum, 
080118Xim_WT_CF4,1,TE,I,9914,199.63,269.72,5.8609,2631.9,2.61E+07,54.575,5.41E+05,461.58,4.58E+06,1201.8,1.19E+07,23.149,2.30E+05,
080118Xim_WT_CF4,2,TE,I,9652,200,195.82,6.2936,2634.5,2.54E+07,55.105,5.32E+05,546.25,5.27E+06,1218,1.18E+07,50.076,4.83E+05,
080118Xim_WT_CF4,3,TE,I,9131,274.31,221.11,5.6317,2811.7,2.57E+07,59.704,5.45E+05,497.01,4.54E+06,1274.4,1.16E+07,19.6,1.79E+05,
080118Xim_WT_CF4,4,TE,I,9708,103.59,230.29,7.902,2568.5,2.49E+07,63.741,6.19E+05,739.4,7.18E+06,1240,1.20E+07,206.61,2.01E+06,
080118Xim_WT_CF4,5,TE,I,10603,308.27,250.73,8.059,2530,2.68E+07,83.679,8.87E+05,540.58,5.73E+06,1274,1.35E+07,18.837,2.00E+05,
080118Xim_WT_CF4,6,TE,I,10274,143,292.85,8.2148,2493.9,2.56E+07,47.663,4.90E+05,413.48,4.25E+06,1182.9,1.22E+07,27.4,2.82E+05,
080118Xim_WT_CF4,7,TE,I,8841,273.26,306.37,8.2439,2935.6,2.60E+07,64.598,5.71E+05,631,5.58E+06,1249.4,1.10E+07,20.626,1.82E+05,
080118Xim_WT_CF4,8,TE,I,10281,259.59,162.08,8.5978,2400,2.47E+07,55.843,5.74E+05,800.17,8.23E+06,1262,1.30E+07,18.687,1.92E+05,
080118Xim_WT_CF4,9,TE,I,8815,215.62,309.16,10.025,2833,2.50E+07,55.087,4.86E+05,506.63,4.47E+06,1293.4,1.14E+07,18.426,1.62E+05,
080118Xim_WT_CF4,10,ESC,I,13838,170.27,206.39,11.56,2413.9,3.34E+07,430.13,5.95E+06,135.97,1.88E+06,1224.8,1.69E+07,2290.8,3.17E+07,
080118Xim_WT_CF4,11,ESC,I,10083,134.9,251.27,13.403,2942.1,2.97E+07,479.7,4.84E+06,123.54,1.25E+06,1204.6,1.21E+07,2418.2,2.44E+07,
080118Xim_WT_CF4,12,TE,I,8817,313.18,318.32,13.063,2817.3,2.48E+07,61.951,5.46E+05,317,2.80E+06,1303.2,1.15E+07,19.212,1.69E+05,
080118Xim_WT_CF4,13,TE,I,8515,312.7,160.88,13.893,2727.1,2.32E+07,90.66,7.72E+05,461.94,3.93E+06,1245,1.06E+07,17.388,1.48E+05,
080118Xim_WT_CF4,14,ESC,I,11049,136.72,190.27,13.293,2559,2.83E+07,408.9,4.52E+06,134.8,1.49E+06,1240.7,1.37E+07,2575.9,2.85E+07,
080118Xim_WT_CF4,15,ICM,I,11064,193.7,237.58,14.865,3004.9,3.32E+07,50.437,5.58E+05,619.64,6.86E+06,1251.2,1.38E+07,31.877,3.53E+05,
080118Xim_WT_CF4,16,TE,I,8471,106.52,171.11,17.641,2463,2.09E+07,71.031,6.02E+05,743.38,6.30E+06,1320.3,1.12E+07,312.13,2.64E+06,
080118Xim_WT_CF4,17,ESC,I,5480,160.29,254.04,15.944,3020.8,1.66E+07,448.79,2.46E+06,116.85,6.40E+05,1209.3,6.63E+06,2178.8,1.19E+07,
080118Xim_WT_CF4,18,TE,I,10473,359.71,282.77,16.758,2587.7,2.71E+07,58.746,6.15E+05,260.73,2.73E+06,1278.6,1.34E+07,18.183,1.90E+05,
080118Xim_WT_CF4,19,ESC,I,6618,104.06,248.55,16.85,2494.5,1.65E+07,95.787,6.34E+05,136.11,9.01E+05,1175.4,7.78E+06,2145.9,1.42E+07,
080118Xim_WT_CF4,20,TE,I,7935,285.27,356.56,18.526,2943.1,2.34E+07,67.27,5.34E+05,475.23,3.77E+06,1246.5,9.89E+06,19.064,1.51E+05,
080118Xim_WT_CF4,21,TE,I,7071,157.44,139.33,19.721,2437.1,1.72E+07,41.272,2.92E+05,669.13,4.73E+06,1193.1,8.44E+06,25.186,1.78E+05,
080118Xim_WT_CF4,22,ESC,I,7220,88.976,215.92,19.461,2453.9,1.77E+07,198.31,1.43E+06,141.97,1.03E+06,1196.3,8.64E+06,2458.9,1.78E+07,
080118Xim_WT_CF4,23,ICM,I,10693,183.9,268.73,20.93,2272.3,2.43E+07,44.317,4.74E+05,493.6,5.28E+06,1194.1,1.28E+07,48.672,5.20E+05,
080118Xim_WT_CF4,24,TE,I,9597,216.25,366.97,19.389,2499.3,2.40E+07,45.443,4.36E+05,247.66,2.38E+06,1181.3,1.13E+07,17.812,1.71E+05,
080118Xim_WT_CF4,25,TE,I,11952,371.67,198.4,21.861,2941.9,3.52E+07,46.453,5.55E+05,360.24,4.31E+06,1276.2,1.53E+07,17.453,2.09E+05,
080118Xim_WT_CF4,26,ICM,I,11104,159.56,307.4,20.752,2317.9,2.57E+07,42.589,4.73E+05,541.2,6.01E+06,1177.1,1.31E+07,20.168,2.24E+05,
080118Xim_WT_CF4,27,ESC,I,4254,127.56,216.66,18.865,2669.4,1.14E+07,379.84,1.62E+06,125.19,5.33E+05,1344.6,5.72E+06,2377.8,1.01E+07,
080118Xim_WT_CF4,28,TE,I,6664,318.29,122.21,22.908,3034.2,2.02E+07,40.361,2.69E+05,209.62,1.40E+06,1282,8.54E+06,16.367,1.09E+05,
