Embryo_ID,Cell_ID,Identity,Cell_cycle,Size,X,Y,Z,CH1.Avg,CH1.Sum,CH2.Avg,CH2.Sum,CH3.Avg,CH3.Sum,CH4.Avg,CH4.Sum,CH5.Avg, CH5-Sum, 
080118Xim_WT_CG1,1,TE,I,8664,352.18,312.86,5.2543,2438.1,2.11E+07,45.929,3.98E+05,574.57,4.98E+06,1047.9,9.08E+06,20.396,1.77E+05,
080118Xim_WT_CG1,2,TE,I,12048,100.5,152.01,5.6168,2778.9,3.35E+07,42.542,5.13E+05,162.32,1.96E+06,1105,1.33E+07,19.757,2.38E+05,
080118Xim_WT_CG1,3,ICM,I,6407,129.3,241.92,5.1736,2456.5,1.57E+07,804.76,5.16E+06,37.239,2.39E+05,1058.8,6.78E+06,20.51,1.31E+05,
080118Xim_WT_CG1,4,TE,I,13047,322.38,68.665,8.1142,3070.9,4.01E+07,67.332,8.78E+05,177.61,2.32E+06,1084,1.41E+07,21.671,2.83E+05,
080118Xim_WT_CG1,5,TE,I,7926,157.71,143.55,8.2998,2214.4,1.76E+07,36.107,2.86E+05,190.88,1.51E+06,1133.8,8.99E+06,18.749,1.49E+05,
080118Xim_WT_CG1,6,TE,I,10506,375.38,241.77,8.5812,2418.3,2.54E+07,37.105,3.90E+05,66.239,6.96E+05,1109.6,1.17E+07,18.611,1.96E+05,
080118Xim_WT_CG1,7,TE,I,7254,261.59,246.15,8.6824,2034.4,1.48E+07,43.756,3.17E+05,230.39,1.67E+06,1071.1,7.77E+06,18.677,1.35E+05,
080118Xim_WT_CG1,8,TE,I,9046,287.42,279.87,7.5297,2242.2,2.03E+07,38.816,3.51E+05,369.69,3.34E+06,1074.4,9.72E+06,19.341,1.75E+05,
080118Xim_WT_CG1,9,ICM,I,10268,133.44,290.48,8.7714,1851.3,1.90E+07,477.37,4.90E+06,38.183,3.92E+05,1049.7,1.08E+07,19.561,2.01E+05,
080118Xim_WT_CG1,10,TE,I,12312,168.88,318.52,7.9627,2065.7,2.54E+07,42.171,5.19E+05,99.262,1.22E+06,1069.3,1.32E+07,19.09,2.35E+05,
080118Xim_WT_CG1,11,ICM,I,27166,125,199.54,17.764,2214.6,6.02E+07,38.732,1.05E+06,416.25,1.13E+07,1162.5,3.16E+07,18.511,5.03E+05,
080118Xim_WT_CG1,11.2,ICM,I,27166,121,204,13,2560.592,,43.789,,339.739,,1226.276,,18.836,,
080118Xim_WT_CG1,11.3,ICM,I,27166,131,201,21,2138.742,,37.179,,571.586,,1147.123,,18.301,,
080118Xim_WT_CG1,12,TE,I,10681,276.36,189.9,10.631,2525.8,2.70E+07,36.721,3.92E+05,155.27,1.66E+06,1093.9,1.17E+07,19.158,2.05E+05,
080118Xim_WT_CG1,13,TE,I,11190,220.28,190.19,11.132,2810.9,3.15E+07,37.475,4.19E+05,125.38,1.40E+06,1061.8,1.19E+07,18.997,2.13E+05,
080118Xim_WT_CG1,14,TE,I,8715,364.95,207.42,10.775,2380.1,2.07E+07,43.174,3.76E+05,139.51,1.22E+06,1120.1,9.76E+06,19.175,1.67E+05,
080118Xim_WT_CG1,15,ICM,I,5729,86.608,214.49,11.471,2178.3,1.25E+07,376.72,2.16E+06,54.72,3.13E+05,1148.5,6.58E+06,19.206,1.10E+05,
080118Xim_WT_CG1,16,ICM,I,10059,100.94,247.17,10.772,2256.2,2.27E+07,754.15,7.59E+06,34.483,3.47E+05,1008.8,1.01E+07,19.345,1.95E+05,
