Embryo_ID,Cell_ID,Identity,Cell_cycle,Size,X,Y,Z,CH1.Avg,CH1.Sum,CH2.Avg,CH2.Sum,CH3.Avg,CH3.Sum,CH4.Avg,CH4.Sum,CH5.Avg,CH5.Sum, 
022218Xim_WT_AZ5,1,TE,I,10007,288.72,235.9,4.0307,2358.5,2.36E+07,1342.8,1.34E+07,66.827,6.69E+05,545.01,5.45E+06,33.059,3.31E+05,
022218Xim_WT_AZ5,2,TE,I,12188,212.77,257.27,4.8331,2528.6,3.08E+07,2480.7,3.02E+07,92.099,1.12E+06,548.25,6.68E+06,37.268,4.54E+05,
022218Xim_WT_AZ5,4,TE,I,15386,367.07,253.13,9.2698,2645.3,4.07E+07,1338.1,2.06E+07,176.82,2.72E+06,552.96,8.51E+06,30.61,4.71E+05,
022218Xim_WT_AZ5,5,TE,I,15161,360.44,298.11,9.6374,2861.6,4.34E+07,1526.7,2.31E+07,189.75,2.88E+06,553.25,8.39E+06,30.421,4.61E+05,
022218Xim_WT_AZ5,7,TE,M,5499,242.57,185.1,8.5325,3084.5,1.70E+07,1136.9,6.25E+06,66.295,3.65E+05,554.65,3.05E+06,27.912,1.53E+05,
022218Xim_WT_AZ5,8,TE,I,18812,155.97,260.62,11.612,2036.4,3.83E+07,1551.8,2.92E+07,84.431,1.59E+06,520.16,9.79E+06,31.244,5.88E+05,
022218Xim_WT_AZ5,9,TE,I,9177,210.75,340.6,13.483,2166.5,1.99E+07,1411.5,1.30E+07,74.729,6.86E+05,550.63,5.05E+06,30.283,2.78E+05,
022218Xim_WT_AZ5,10,TE,I,13866,293.19,367.39,13.327,2440.9,3.38E+07,1185.6,1.64E+07,120.85,1.68E+06,543.66,7.54E+06,29.2,4.05E+05,
022218Xim_WT_AZ5,11,TE,I,13371,203.01,160.94,19.262,2095.7,2.80E+07,620.67,8.30E+06,49.412,6.61E+05,520.59,6.96E+06,26.732,3.57E+05,
022218Xim_WT_AZ5,12,TE,M,6364,333.26,152.46,18.893,3001.8,1.91E+07,534.68,3.40E+06,48.982,3.12E+05,547.16,3.48E+06,25.607,1.63E+05,
022218Xim_WT_AZ5,13,TE,I,17519,138.69,200.19,22.026,2386.2,4.18E+07,1057.9,1.85E+07,63.344,1.11E+06,495.25,8.68E+06,31.924,5.59E+05,
022218Xim_WT_AZ5,14,TE,I,15302,148.32,330.68,25.241,2203.6,3.37E+07,1413.5,2.16E+07,78.786,1.21E+06,502.79,7.69E+06,30.166,4.62E+05,
022218Xim_WT_AZ5,15,TE,I,8083,235.58,399.8,23.723,2254.7,1.82E+07,1433.6,1.16E+07,86.419,6.99E+05,520.49,4.21E+06,28.564,2.31E+05,
022218Xim_WT_AZ5,19,TE,M,5599,345.47,138.36,27.694,2967.2,1.66E+07,456.01,2.55E+06,42.607,2.39E+05,558.98,3.13E+06,23.643,1.32E+05,
022218Xim_WT_AZ5,20,TE,I,8124,430.24,250.44,29.121,2399.8,1.95E+07,1188.8,9.66E+06,53.578,4.35E+05,545.42,4.43E+06,28.635,2.33E+05,
022218Xim_WT_AZ5,21,ICM,I,15144,110.9,252.89,31.278,1643.4,2.49E+07,925.51,1.40E+07,420.2,6.36E+06,546.74,8.28E+06,38.348,5.81E+05,
022218Xim_WT_AZ5,22,TE,I,7281,369.82,388.87,29.189,2466.2,1.80E+07,908.93,6.62E+06,75.82,5.52E+05,525.77,3.83E+06,61.991,4.51E+05,
022218Xim_WT_AZ5,23,TE,I,5909,295.88,416.17,28.609,2911.4,1.72E+07,585.13,3.46E+06,48.226,2.85E+05,517.03,3.06E+06,25.229,1.49E+05,
022218Xim_WT_AZ5,24,ICM,I,6462,143.48,270.45,30.436,1258.6,8.13E+06,916.83,5.92E+06,230.05,1.49E+06,519.32,3.36E+06,28.933,1.87E+05,
022218Xim_WT_AZ5,25,TE,I,19975,103.35,296.1,38.579,1620.5,3.24E+07,995.69,1.99E+07,280.38,5.60E+06,557.33,1.11E+07,32.049,6.40E+05,
022218Xim_WT_AZ5,25.2,ICM,I,19975,106,302,46,1532.404,,778.066,,384.104,,556.457,,31.779,,
022218Xim_WT_AZ5,26,TE,I,16385,424.05,316.37,33.128,2327.3,3.81E+07,773.81,1.27E+07,57.995,9.50E+05,536.23,8.79E+06,24.732,4.05E+05,
022218Xim_WT_AZ5,27,TE,I,10907,409.46,171.34,34.039,1871.7,2.04E+07,809.86,8.83E+06,41.392,4.51E+05,526.33,5.74E+06,25.888,2.82E+05,
022218Xim_WT_AZ5,28,TE,I,6963,305.59,104.82,34.18,2282.8,1.59E+07,773.41,5.39E+06,54.515,3.80E+05,536.21,3.73E+06,25.456,1.77E+05,
022218Xim_WT_AZ5,29,ICM,I,12028,136.22,308.3,34.657,2011.2,2.42E+07,915.51,1.10E+07,288.77,3.47E+06,541.58,6.51E+06,27.657,3.33E+05,
022218Xim_WT_AZ5,30,TE,I,9143,195.35,126.15,36.963,1461.7,1.34E+07,728.09,6.66E+06,119.5,1.09E+06,538.77,4.93E+06,24.099,2.20E+05,
022218Xim_WT_AZ5,31,TE,I,9951,120.59,179.53,39.771,1136.5,1.13E+07,978.04,9.73E+06,57.065,5.68E+05,535.13,5.33E+06,27.448,2.73E+05,
022218Xim_WT_AZ5,32,TE,I,7992,245.94,99.929,39.937,1858.3,1.49E+07,697.53,5.57E+06,61.014,4.88E+05,515.82,4.12E+06,23.928,1.91E+05,
022218Xim_WT_AZ5,33,TE,I,8783,185.99,410.53,40.418,1739.2,1.53E+07,1158.1,1.02E+07,62.809,5.52E+05,533.91,4.69E+06,26.522,2.33E+05,
022218Xim_WT_AZ5,34,TE,I,15469,333.09,430.6,44.554,1752.7,2.71E+07,672.21,1.04E+07,34.253,5.30E+05,551.68,8.53E+06,25.248,3.91E+05,
022218Xim_WT_AZ5,35,ICM,I,4889,131.76,209.24,38.931,1011.6,4.95E+06,825.81,4.04E+06,115.03,5.62E+05,422.08,2.06E+06,28.816,1.41E+05,
022218Xim_WT_AZ5,36,TE,I,7929,418.44,373.66,43.179,2126.5,1.69E+07,683.87,5.42E+06,59.041,4.68E+05,583.31,4.63E+06,25.277,2.00E+05,
022218Xim_WT_AZ5,37,TE,I,10802,253.67,439.39,43.649,1527.9,1.65E+07,563.83,6.09E+06,41.52,4.49E+05,505.08,5.46E+06,23.657,2.56E+05,
022218Xim_WT_AZ5,39,ICM,I,6884,124.33,259.51,42.462,1163.3,8.01E+06,839.53,5.78E+06,259.49,1.79E+06,500.77,3.45E+06,36.057,2.48E+05,
022218Xim_WT_AZ5,40,TE,I,10563,141.02,154.04,47.366,1028.1,1.09E+07,661.29,6.99E+06,39.699,4.19E+05,539.77,5.70E+06,23.247,2.46E+05,
022218Xim_WT_AZ5,41,ICM,I,10278,84.869,266.3,46.52,1105.8,1.14E+07,1042.4,1.07E+07,113.37,1.17E+06,499.81,5.14E+06,61.35,6.31E+05,
022218Xim_WT_AZ5,42,TE,I,10492,126.26,352.9,47.143,1154.7,1.21E+07,552.18,5.79E+06,28.955,3.04E+05,545.91,5.73E+06,22.633,2.37E+05,
022218Xim_WT_AZ5,43,ICM,I,12842,136.61,312,48.283,1278.7,1.64E+07,763.6,9.81E+06,332.29,4.27E+06,493.66,6.34E+06,24.564,3.15E+05,
022218Xim_WT_AZ5,44,TE,I,8693,337.84,94,51.589,1452.5,1.26E+07,586.9,5.10E+06,29.762,2.59E+05,562.63,4.89E+06,22.588,1.96E+05,
022218Xim_WT_AZ5,45,TE,I,8476,457.27,248.85,51.519,1707.4,1.45E+07,553.53,4.69E+06,44.466,3.77E+05,539.82,4.58E+06,23.198,1.97E+05,
022218Xim_WT_AZ5,46,ICM,I,9432,146.5,261.28,52.105,735.24,6.93E+06,463.7,4.37E+06,89.513,8.44E+05,398.25,3.76E+06,22.168,2.09E+05,
022218Xim_WT_AZ5,48,TE,I,17063,446.85,328.78,56.047,1605.1,2.74E+07,482.29,8.23E+06,66.329,1.13E+06,529.67,9.04E+06,22.658,3.87E+05,
022218Xim_WT_AZ5,49,ESC,I,5054,105.47,237.68,54.636,824.05,4.16E+06,120.86,6.11E+05,113.85,5.75E+05,558.9,2.82E+06,733.2,3.71E+06,
022218Xim_WT_AZ5,51,ICM,I,8984,129.03,218.68,52.123,618.75,5.56E+06,456.66,4.10E+06,68.168,6.12E+05,421.58,3.79E+06,28.519,2.56E+05,
022218Xim_WT_AZ5,52,TE,I,10896,217.95,93.012,57.148,989.07,1.08E+07,453.37,4.94E+06,78.815,8.59E+05,555.74,6.06E+06,22.252,2.42E+05,
022218Xim_WT_AZ5,53,TE,I,16554,72.05,280.63,61.221,836.34,1.38E+07,566.26,9.37E+06,40.147,6.65E+05,483.44,8.00E+06,34.888,5.78E+05,
022218Xim_WT_AZ5,54,ESC,I,5058,103.4,271.86,56.675,1048.1,5.30E+06,230.3,1.16E+06,90.69,4.59E+05,488.11,2.47E+06,860.42,4.35E+06,
022218Xim_WT_AZ5,55,ESC,I,7597,92.184,208.54,61.51,685.24,5.21E+06,69.413,5.27E+05,90.682,6.89E+05,461.98,3.51E+06,738.63,5.61E+06,
022218Xim_WT_AZ5,57,TE,I,11094,372.12,417.44,61.924,990.88,1.10E+07,536.27,5.95E+06,38.153,4.23E+05,475.56,5.28E+06,22.944,2.55E+05,
022218Xim_WT_AZ5,58,TE,I,9430,383.45,116.38,61.546,1081.6,1.02E+07,339.44,3.20E+06,46.982,4.43E+05,522.31,4.93E+06,21.254,2.00E+05,
022218Xim_WT_AZ5,60,TE,I,17936,425.43,170.02,66.06,1048.9,1.88E+07,572.02,1.03E+07,29.199,5.24E+05,499.68,8.96E+06,22.308,4.00E+05,
022218Xim_WT_AZ5,61,ICM,I,15303,117.67,301.94,63.776,693.41,1.06E+07,307.55,4.71E+06,157.37,2.41E+06,522.62,8.00E+06,30.589,4.68E+05,
022218Xim_WT_AZ5,62,TE,I,9561,113.22,338,63.086,733.54,7.01E+06,437.21,4.18E+06,46.022,4.40E+05,518.31,4.96E+06,21.503,2.06E+05,
022218Xim_WT_AZ5,63,TE,I,11125,414.72,386.45,61.73,917.33,1.02E+07,383.32,4.26E+06,74.335,8.27E+05,464.52,5.17E+06,22.75,2.53E+05,
022218Xim_WT_AZ5,64,TE,I,14379,205.39,423.53,63.825,856.49,1.23E+07,350.57,5.04E+06,23.883,3.43E+05,480.92,6.92E+06,21.3,3.06E+05,
022218Xim_WT_AZ5,65,TE,I,15006,116.32,169.68,63.423,612.67,9.19E+06,325.88,4.89E+06,24.51,3.68E+05,510.83,7.67E+06,21.085,3.16E+05,
022218Xim_WT_AZ5,66,TE,I,11256,277.32,444.19,65.63,749.12,8.43E+06,380.58,4.28E+06,29.743,3.35E+05,486.84,5.48E+06,21.326,2.40E+05,
022218Xim_WT_AZ5,67,TE,I,12389,258.84,88.016,65.964,792.91,9.82E+06,429.65,5.32E+06,32.037,3.97E+05,497.24,6.16E+06,22.048,2.73E+05,
022218Xim_WT_AZ5,68,TE,I,12346,170.18,124.21,67.031,668.88,8.26E+06,315.34,3.89E+06,38.8,4.79E+05,501.57,6.19E+06,20.442,2.52E+05,
022218Xim_WT_AZ5,69,ICM,M,10464,129.8,249.44,68.38,564.43,5.91E+06,256.23,2.68E+06,30.957,3.24E+05,443.12,4.64E+06,40.569,4.25E+05,
022218Xim_WT_AZ5,71,TE,I,9432,460.99,277.33,69.067,861.28,8.12E+06,324.28,3.06E+06,24.956,2.35E+05,464.99,4.39E+06,24.089,2.27E+05,
022218Xim_WT_AZ5,72,TE,I,7755,315.07,90.804,73.289,1208.2,9.37E+06,363.13,2.82E+06,64.506,5.00E+05,482.54,3.74E+06,20.862,1.62E+05,
022218Xim_WT_AZ5,73,ESC,I,5825,93.286,258.33,72.397,626.05,3.65E+06,102.72,5.98E+05,54.908,3.20E+05,462.6,2.69E+06,692.62,4.03E+06,
022218Xim_WT_AZ5,74,TE,I,9940,148.21,376.48,74.416,667.83,6.64E+06,314.43,3.13E+06,43.741,4.35E+05,522.91,5.20E+06,19.62,1.95E+05,
022218Xim_WT_AZ5,75,TE,I,11783,107.85,298.3,79.002,458.24,5.40E+06,314.53,3.71E+06,50.253,5.92E+05,486.51,5.73E+06,29.367,3.46E+05,
022218Xim_WT_AZ5,76,TE,I,11272,344.15,426.28,79.175,710.08,8.00E+06,363.96,4.10E+06,38.738,4.37E+05,486.93,5.49E+06,20.299,2.29E+05,
022218Xim_WT_AZ5,77,TE,I,11583,138.85,176.63,83.632,369.3,4.28E+06,197.04,2.28E+06,32.88,3.81E+05,561.07,6.50E+06,20.072,2.32E+05,
022218Xim_WT_AZ5,78,TE,I,19145,354.01,142.13,84.897,787.18,1.51E+07,286.95,5.49E+06,21.655,4.15E+05,571.06,1.09E+07,18.35,3.51E+05,
022218Xim_WT_AZ5,79,TE,I,14419,209.33,117.69,87.158,646.38,9.32E+06,145.59,2.10E+06,19.542,2.82E+05,547.12,7.89E+06,18.117,2.61E+05,
022218Xim_WT_AZ5,80,TE,I,12104,421,345.19,86.811,609.38,7.38E+06,289.76,3.51E+06,55.472,6.71E+05,539.6,6.53E+06,19.994,2.42E+05,
022218Xim_WT_AZ5,81,TE,I,20486,214.67,399.15,88.081,673.54,1.38E+07,298.19,6.11E+06,26.346,5.40E+05,581.74,1.19E+07,18.655,3.82E+05,
022218Xim_WT_AZ5,82,TE,I,9495,284.67,111.8,88.488,727.05,6.90E+06,263.21,2.50E+06,20.379,1.94E+05,591.24,5.61E+06,18.406,1.75E+05,
022218Xim_WT_AZ5,83,TE,I,13521,422.1,214.85,89.854,579.86,7.84E+06,286.57,3.87E+06,22.663,3.06E+05,555.21,7.51E+06,19.183,2.59E+05,
022218Xim_WT_AZ5,84,TE,I,16706,122.12,249.64,88.459,318.54,5.32E+06,174.48,2.91E+06,19.461,3.25E+05,392.34,6.55E+06,32.515,5.43E+05,
022218Xim_WT_AZ5,85,TE,I,13714,439.81,284.26,88.478,525.21,7.20E+06,242.38,3.32E+06,29.793,4.09E+05,526.49,7.22E+06,19.109,2.62E+05,
022218Xim_WT_AZ5,86,TE,I,11089,301.38,416.81,91.419,604.53,6.70E+06,252.65,2.80E+06,22.277,2.47E+05,553.74,6.14E+06,19.12,2.12E+05,
022218Xim_WT_AZ5,87,TE,I,11231,376.45,381.29,92.499,603.46,6.78E+06,307.79,3.46E+06,28.048,3.15E+05,569.47,6.40E+06,18.784,2.11E+05,
022218Xim_WT_AZ5,88,TE,I,23472,258.62,167.14,105.35,620.86,1.46E+07,259.87,6.10E+06,28.634,6.72E+05,576.93,1.35E+07,18.026,4.23E+05,
022218Xim_WT_AZ5,89,TE,I,25623,185.7,317.66,105.52,394.64,1.01E+07,128.79,3.30E+06,15.611,4.00E+05,586.6,1.50E+07,16.984,4.35E+05,
022218Xim_WT_AZ5,90,TE,I,18012,349.03,216.91,105.87,821.73,1.48E+07,271.61,4.89E+06,21.851,3.94E+05,578.35,1.04E+07,18.516,3.34E+05,
022218Xim_WT_AZ5,91,TE,I,23528,171.83,224.58,105.2,259.01,6.09E+06,100.2,2.36E+06,15.612,3.67E+05,574.35,1.35E+07,17.282,4.07E+05,
022218Xim_WT_AZ5,92,TE,I,12978,386.88,278.67,107.3,654.07,8.49E+06,322.71,4.19E+06,54.27,7.04E+05,555.57,7.21E+06,18.648,2.42E+05,
022218Xim_WT_AZ5,93,TE,I,12512,250.91,356.7,107.59,561.5,7.03E+06,204.69,2.56E+06,24.392,3.05E+05,542.54,6.79E+06,17.646,2.21E+05,
022218Xim_WT_AZ5,94,TE,I,14083,356.25,335.14,108.25,563.11,7.93E+06,196.44,2.77E+06,27.514,3.87E+05,568.04,8.00E+06,17.56,2.47E+05,
022218Xim_WT_AZ5,95,TE,I,9092,307.35,353.5,109.32,789.58,7.18E+06,209.7,1.91E+06,21.255,1.93E+05,550.85,5.01E+06,18.01,1.64E+05,
022218Xim_WT_AZ5,96,TE,I,7208,242.97,248.61,112.3,437.56,3.15E+06,155.02,1.12E+06,20.47,1.48E+05,587.55,4.24E+06,17.123,1.23E+05,
022218Xim_WT_AZ5,97,TE,I,4698,307.16,278.93,113.02,672.56,3.16E+06,226.72,1.07E+06,48.315,2.27E+05,574.98,2.70E+06,18.052,84807,
