Embryo_ID,Cell_ID,Identity,Cell_cycle,Size,X,Y,Z,CH1.Avg,CH1.Sum,CH2.Avg,CH2.Sum,CH3.Avg,CH3.Sum,CH4.Avg,CH4.Sum,CH5.Avg,CH5.Sum, 
102418Xim_F4_CR3,1,TE,I,14375,217.56,206.26,5.98,3029.3,4.35E+07,50.315,7.23E+05,110.1,1.58E+06,1102.4,1.58E+07,21.862,3.14E+05,
102418Xim_F4_CR3,2,TE,I,11063,251.2,293.45,5.6816,2359.6,2.61E+07,45.281,5.01E+05,168.89,1.87E+06,1143.4,1.27E+07,21.099,2.33E+05,
102418Xim_F4_CR3,3,TE,I,15142,306.72,224.52,6.6131,2607.7,3.95E+07,56.304,8.53E+05,53.575,8.11E+05,1118.8,1.69E+07,21.551,3.26E+05,
102418Xim_F4_CR3,5,TE,I,11330,333.93,321.78,9.5072,2452.2,2.78E+07,46.72,5.29E+05,189.79,2.15E+06,1157.7,1.31E+07,20.472,2.32E+05,
102418Xim_F4_CR3,6,TE,I,19512,161.08,283.23,9.6199,2297.4,4.48E+07,35.921,7.01E+05,98.178,1.92E+06,1142.5,2.23E+07,18.915,3.69E+05,
102418Xim_F4_CR3,7,TE,I,13442,121.2,219.58,12.822,3172.9,4.27E+07,77.224,1.04E+06,236.88,3.18E+06,1028,1.38E+07,19.978,2.69E+05,
102418Xim_F4_CR3,8,TE,I,12209,376.55,173.71,14.552,2388.3,2.92E+07,39.759,4.85E+05,189.78,2.32E+06,1098.3,1.34E+07,19.489,2.38E+05,
102418Xim_F4_CR3,9,TE,I,12849,270.43,136.92,17.262,2748,3.53E+07,38.526,4.95E+05,75.285,9.67E+05,1102.3,1.42E+07,18.903,2.43E+05,
102418Xim_F4_CR3,10,TE,I,14439,155.67,141.01,17.875,2474.5,3.57E+07,35.143,5.07E+05,113.13,1.63E+06,1092.3,1.58E+07,18.224,2.63E+05,
102418Xim_F4_CR3,11,TE,I,11506,420.6,346.88,19.779,2753.2,3.17E+07,36.531,4.20E+05,223.62,2.57E+06,1067.3,1.23E+07,19.193,2.21E+05,
102418Xim_F4_CR3,12,TE,I,11360,391.87,372.79,22.164,2933.8,3.33E+07,37.599,4.27E+05,220.42,2.50E+06,1093.8,1.24E+07,19.585,2.22E+05,
102418Xim_F4_CR3,13,TE,I,14459,191.5,371.21,24.708,2725.3,3.94E+07,35.645,5.15E+05,67.422,9.75E+05,1137,1.64E+07,18.607,2.69E+05,
102418Xim_F4_CR3,14,TE,I,10771,113.51,167.28,25.512,2735.5,2.95E+07,31.07,3.35E+05,101.59,1.09E+06,1061.2,1.14E+07,17.784,1.92E+05,
102418Xim_F4_CR3,15,TE,I,15447,66,265,33,2498.6,3.86E+07,29.903,4.62E+05,70.75,1.09E+06,1228.8,1.90E+07,17.873,2.76E+05,
102418Xim_F4_CR3,15.2,TE,I,15447,62,278,43,2498.6,3.86E+07,29.903,4.62E+05,70.75,1.09E+06,1228.8,1.90E+07,17.873,2.76E+05,
102418Xim_F4_CR3,16,TE,I,10578,255.12,76.685,34.679,2472.4,2.62E+07,29.13,3.08E+05,136.42,1.44E+06,1079.9,1.14E+07,17.449,1.85E+05,
102418Xim_F4_CR3,17,TE,I,11451,336.64,411.35,35.272,2728.6,3.12E+07,31.553,3.61E+05,69.411,7.95E+05,1151.2,1.32E+07,18.58,2.13E+05,
102418Xim_F4_CR3,18,TE,I,13609,393.21,132.27,37.039,1737,2.36E+07,26.659,3.63E+05,42.833,5.83E+05,1090.1,1.48E+07,17.196,2.34E+05,
102418Xim_F4_CR3,19,TE,I,13047,256.14,423.62,39.697,2721.3,3.55E+07,30.133,3.93E+05,40.206,5.25E+05,1094.1,1.43E+07,18.072,2.36E+05,
102418Xim_F4_CR3,20,TE,I,13034,452.87,241.04,44.326,2074.4,2.70E+07,28.395,3.70E+05,82.159,1.07E+06,1054.7,1.37E+07,17.942,2.34E+05,
102418Xim_F4_CR3,21,TE,I,8698,92.268,343.08,53.043,1663.3,1.45E+07,25.946,2.26E+05,33.522,2.92E+05,1090.3,9.48E+06,16.825,1.46E+05,
102418Xim_F4_CR3,22,TE,I,14982,335.02,70.441,57.076,1285.6,1.93E+07,24.122,3.61E+05,86.631,1.30E+06,1084.1,1.62E+07,16.608,2.49E+05,
102418Xim_F4_CR3,23,TE,I,15722,177.93,83.273,58.567,1566.7,2.46E+07,19.334,3.04E+05,23.13,3.64E+05,1152.1,1.81E+07,15.628,2.46E+05,
102418Xim_F4_CR3,24,TE,I,9681,88.697,165.28,57.488,1103.8,1.07E+07,22.608,2.19E+05,117.28,1.14E+06,1081.3,1.05E+07,16.051,1.55E+05,
102418Xim_F4_CR3,25,TE,I,19317,437.09,154.53,63.259,873.81,1.69E+07,20.543,3.97E+05,27.457,5.30E+05,1099.4,2.12E+07,15.761,3.04E+05,
102418Xim_F4_CR3,26,TE,I,14739,446.33,363.68,63.838,1113.1,1.64E+07,21.315,3.14E+05,22.191,3.27E+05,1012.4,1.49E+07,15.786,2.33E+05,
102418Xim_F4_CR3,27,TE,I,15295,203.87,443.09,65.864,1461.6,2.24E+07,21.953,3.36E+05,20.478,3.13E+05,1232.5,1.89E+07,16.282,2.49E+05,
102418Xim_F4_CR3,28,ICM,I,10470,72.788,294.43,61.731,874.37,9.15E+06,355.06,3.72E+06,67.176,7.03E+05,1064.5,1.11E+07,15.84,1.66E+05,
102418Xim_F4_CR3,29,TE,I,9421,102.22,358.06,64.811,1321.1,1.24E+07,22.753,2.14E+05,28.562,2.69E+05,1151.3,1.08E+07,16.343,1.54E+05,
102418Xim_F4_CR3,30,TE,I,14633,51.69,243.82,65.722,912.93,1.34E+07,51.734,7.57E+05,53.431,7.82E+05,888.09,1.30E+07,15.662,2.29E+05,
102418Xim_F4_CR3,31,TE,I,7746,349.79,454.34,71.566,1093.5,8.47E+06,21.888,1.70E+05,42.555,3.30E+05,1040.1,8.06E+06,16.022,1.24E+05,
102418Xim_F4_CR3,32,ICM,I,10215,85.447,320.57,72.519,925.4,9.45E+06,369.78,3.78E+06,22.31,2.28E+05,944.8,9.65E+06,15.869,1.62E+05,
102418Xim_F4_CR3,33,TE,I,8538,377.69,441.26,74.278,785.26,6.70E+06,18.895,1.61E+05,36.224,3.09E+05,1005.6,8.59E+06,15.392,1.31E+05,
102418Xim_F4_CR3,34,ICM,I,11884,75.364,281.77,73.699,844.45,1.00E+07,342.38,4.07E+06,24.09,2.86E+05,1035,1.23E+07,15.628,1.86E+05,
102418Xim_F4_CR3,35,ICM,I,5857,81.839,232.66,74.578,723.87,4.24E+06,306.59,1.80E+06,51.217,3.00E+05,1064.3,6.23E+06,15.576,91227,
102418Xim_F4_CR3,36,ICM,I,14991,84.395,196.95,77.647,630.65,9.45E+06,220.67,3.31E+06,58.9,8.83E+05,1045.9,1.57E+07,15.505,2.32E+05,
102418Xim_F4_CR3,37,TE,I,12485,302.46,63.958,77.672,462.19,5.77E+06,22.248,2.78E+05,36.373,4.54E+05,894.13,1.12E+07,15.064,1.88E+05,
102418Xim_F4_CR3,38,ICM,I,27190,50,253,78,1041.237,,304.54,,87.129,,860.489,,16.668,,
102418Xim_F4_CR3,38.2,ICM,I,27190,72,259,86,736.31,,263.186,,23.881,,939.568,,15.419,,
102418Xim_F4_CR3,39,TE,I,16039,469.63,252.8,81.473,651.65,1.05E+07,25.022,4.01E+05,41.251,6.62E+05,924.44,1.48E+07,15.624,2.51E+05,
102418Xim_F4_CR3,40,TE,I,7732,375.39,92.096,81.544,716.02,5.54E+06,25.102,1.94E+05,70.251,5.43E+05,968.49,7.49E+06,15.276,1.18E+05,
102418Xim_F4_CR3,41,TE,I,10019,92.026,156.89,79.049,683.93,6.85E+06,19.935,2.00E+05,63.09,6.32E+05,818.77,8.20E+06,15.44,1.55E+05,
102418Xim_F4_CR3,42,TE,I,17076,147.99,89.677,87.724,909.04,1.55E+07,15.027,2.57E+05,30.821,5.26E+05,928.68,1.59E+07,14.783,2.52E+05,
102418Xim_F4_CR3,43,ICM,I,9667,90.115,289.75,87.052,530.99,5.13E+06,218.93,2.12E+06,25.627,2.48E+05,979,9.46E+06,15.22,1.47E+05,
102418Xim_F4_CR3,44,TE,I,21133,113.97,368.07,89.244,534.78,1.13E+07,17.078,3.61E+05,22.123,4.68E+05,1035.2,2.19E+07,14.971,3.16E+05,
102418Xim_F4_CR3,45,TE,I,12334,441.59,180.33,85.995,375.34,4.63E+06,18.154,2.24E+05,24.728,3.05E+05,848.39,1.05E+07,15.006,1.85E+05,
102418Xim_F4_CR3,46,TE,I,15711,65.152,293.24,94.671,423.62,6.66E+06,78.025,1.23E+06,28.269,4.44E+05,830.97,1.31E+07,14.849,2.33E+05,
102418Xim_F4_CR3,47,TE,I,8732,200.75,438.37,90.378,684.89,5.98E+06,18.735,1.64E+05,34.745,3.03E+05,939.45,8.20E+06,15.262,1.33E+05,
102418Xim_F4_CR3,48,TE,I,15241,327.61,436.19,93.691,399.08,6.08E+06,16.336,2.49E+05,25.374,3.87E+05,973.56,1.48E+07,14.993,2.29E+05,
102418Xim_F4_CR3,49,TE,I,11008,80.398,203.8,93.31,450.33,4.96E+06,73.633,8.11E+05,30.199,3.32E+05,927.96,1.02E+07,15.064,1.66E+05,
102418Xim_F4_CR3,50,TE,I,8504,391.01,118.06,95.847,471.58,4.01E+06,16.06,1.37E+05,30.757,2.62E+05,913.82,7.77E+06,14.967,1.27E+05,
102418Xim_F4_CR3,51,TE,I,41251,439,330,97,412.32,1.70E+07,14.912,6.15E+05,21.632,8.92E+05,1045.8,4.31E+07,14.639,6.04E+05,
102418Xim_F4_CR3,51.2,TE,I,41251,415,335,110,412.32,1.70E+07,14.912,6.15E+05,21.632,8.92E+05,1045.8,4.31E+07,14.639,6.04E+05,
102418Xim_F4_CR3,54,TE,I,9504,235.87,438.26,99.624,380.47,3.62E+06,16.089,1.53E+05,25.635,2.44E+05,799.55,7.60E+06,14.621,1.39E+05,
102418Xim_F4_CR3,55,TE,I,12234,114,158.61,100.68,385.4,4.72E+06,16.644,2.04E+05,17.728,2.17E+05,1099.2,1.34E+07,14.632,1.79E+05,
