Embryo_ID,Cell_ID,Identity,Cell_cycle,Size,X,Y,Z,CH1.Avg,CH1.Sum,CH2.Avg,CH2.Sum,CH3.Avg,CH3.Sum,CH4.Avg,CH4.Sum,CH5.Avg,CH5.Sum, 
102418Xim_F4_CR5,1,TE,I,13015,278.41,251.15,4.3722,2193.1,2.85E+07,40.41,5.26E+05,554.48,7.22E+06,1123,1.46E+07,18.922,2.46E+05,
102418Xim_F4_CR5,2,TE,I,10542,203.85,273.74,5.2043,2475.5,2.61E+07,43.465,4.58E+05,455.75,4.80E+06,1117,1.18E+07,20.061,2.11E+05,
102418Xim_F4_CR5,3,TE,I,12956,239.26,177.58,7.6331,2175.2,2.82E+07,44.206,5.73E+05,434.54,5.63E+06,1128.5,1.46E+07,18.529,2.40E+05,
102418Xim_F4_CR5,4,TE,I,12292,342.73,228.37,8.2762,2336.7,2.87E+07,38.685,4.76E+05,416.04,5.11E+06,1092.6,1.34E+07,18.295,2.25E+05,
102418Xim_F4_CR5,5,TE,I,12881,167.87,192.28,9.3209,2208.1,2.84E+07,45.612,5.88E+05,264.62,3.41E+06,1049.6,1.35E+07,21.711,2.80E+05,
102418Xim_F4_CR5,6,TE,I,19436,359.44,298.77,10.452,2119.7,4.12E+07,31.308,6.09E+05,346.32,6.73E+06,1091.3,2.12E+07,16.647,3.24E+05,
102418Xim_F4_CR5,7,TE,I,23390,219.06,343.32,10.472,2038.6,4.77E+07,35.992,8.42E+05,488.49,1.14E+07,1115.7,2.61E+07,17.918,4.19E+05,
102418Xim_F4_CR5,8,TE,I,11499,289.75,347.07,10.708,2175.9,2.50E+07,37.556,4.32E+05,341.86,3.93E+06,1123.5,1.29E+07,17.684,2.03E+05,
102418Xim_F4_CR5,9,TE,I,13037,134.26,269.87,11.552,2082.6,2.72E+07,53.447,6.97E+05,201.77,2.63E+06,1139.5,1.49E+07,231.55,3.02E+06,
102418Xim_F4_CR5,10,TE,I,15706,351.96,163,15.482,2660.8,4.18E+07,33.049,5.19E+05,294.09,4.62E+06,1103.1,1.73E+07,16.753,2.63E+05,
102418Xim_F4_CR5,12,TE,I,9532,270.01,118.84,17.905,2648.5,2.52E+07,36.761,3.50E+05,449.14,4.28E+06,1135.4,1.08E+07,17.27,1.65E+05,
102418Xim_F4_CR5,13,TE,I,8410,95.165,228.99,21.345,2425.9,2.04E+07,51.858,4.36E+05,459.12,3.86E+06,1076.5,9.05E+06,138.75,1.17E+06,
102418Xim_F4_CR5,14,ESC,I,9811,130.2,222.59,23.436,2278.7,2.24E+07,152.6,1.50E+06,56.592,5.55E+05,1123.4,1.10E+07,956.39,9.38E+06,
102418Xim_F4_CR5,15,ESC,I,10607,140.19,289.12,22.673,2406.5,2.55E+07,228.12,2.42E+06,119.3,1.27E+06,1075.7,1.14E+07,2942.1,3.12E+07,
102418Xim_F4_CR5,16,TE,I,16841,134.41,340.89,26.159,2136.7,3.60E+07,37.537,6.32E+05,254.03,4.28E+06,1067.6,1.80E+07,29.795,5.02E+05,
102418Xim_F4_CR5,17,TE,I,9850,254.49,399.56,24.129,1988.5,1.96E+07,34.393,3.39E+05,353.47,3.48E+06,1110.9,1.09E+07,17.177,1.69E+05,
102418Xim_F4_CR5,18,TE,I,10975,332.87,389.85,25.432,2340.4,2.57E+07,31.466,3.45E+05,184.97,2.03E+06,1097.7,1.20E+07,16.572,1.82E+05,
