Embryo_ID,Cell_ID,Identity,Cell_cycle,Size,X,Y,Z,CH1.Avg,CH1.Sum,CH2.Avg,CH2.Sum,CH3.Avg,CH3.Sum,CH4.Avg,CH4.Sum,CH5.Avg,CH5.Sum, 
022619Xim_F4_EG1,1,TE,I,10036,195.28,290.9,6.736,2342.2,2.35E+07,74.592,7.49E+05,298.02,2.99E+06,1311,1.32E+07,22.891,2.30E+05,
022619Xim_F4_EG1,2,TE,I,16974,261.42,301.92,6.9897,2711.3,4.60E+07,55.574,9.43E+05,349.08,5.93E+06,1314.7,2.23E+07,21.458,3.64E+05,
022619Xim_F4_EG1,3,TE,I,12782,213.61,170.51,8.7003,3104.2,3.97E+07,67.565,8.64E+05,327.17,4.18E+06,1303.9,1.67E+07,21.691,2.77E+05,
022619Xim_F4_EG1,4,TE,I,18428,313.99,229.1,7.39,2557.8,4.71E+07,65.569,1.21E+06,75.864,1.40E+06,1347.5,2.48E+07,21.111,3.89E+05,
022619Xim_F4_EG1,5,TE,I,10484,141.54,250.57,9.2337,2052.3,2.15E+07,88.268,9.25E+05,214.77,2.25E+06,1326.8,1.39E+07,20.066,2.10E+05,
022619Xim_F4_EG1,7,TE,I,8604,101.64,288.7,17.849,2318.5,1.99E+07,130.59,1.12E+06,176.68,1.52E+06,1274.4,1.10E+07,20.582,1.77E+05,
022619Xim_F4_EG1,8,ICM,I,12814,135.46,318.84,19.082,2372.3,3.04E+07,495.59,6.35E+06,25.913,3.32E+05,1235.4,1.58E+07,19.951,2.56E+05,
022619Xim_F4_EG1,9,TE,I,13653,303.11,136.98,19.638,2771,3.78E+07,65.221,8.90E+05,83.547,1.14E+06,1282.2,1.75E+07,20.999,2.87E+05,
022619Xim_F4_EG1,10,ICM,I,6044,149.36,207.55,18.774,2823.3,1.71E+07,555.62,3.36E+06,49.999,3.02E+05,1275.5,7.71E+06,20.488,1.24E+05,
022619Xim_F4_EG1,11,TE,I,9707,100.28,210.62,19.162,2003.4,1.94E+07,120.87,1.17E+06,189.77,1.84E+06,1150.9,1.12E+07,19.378,1.88E+05,
022619Xim_F4_EG1,12,TE,I,14764,384.38,253.42,20.609,2853.2,4.21E+07,57.61,8.51E+05,67.521,9.97E+05,1309.6,1.93E+07,20.952,3.09E+05,
022619Xim_F4_EG1,13,TE,I,12446,364.67,336.89,22.17,3167.1,3.94E+07,60.435,7.52E+05,57.484,7.15E+05,1305.7,1.63E+07,20.907,2.60E+05,
022619Xim_F4_EG1,14,TE,I,7831,186.74,133.19,22.445,1935.4,1.52E+07,60.831,4.76E+05,165.48,1.30E+06,1290.5,1.01E+07,19.833,1.55E+05,
022619Xim_F4_EG1,15,ICM,I,6761,130.32,191.46,22.699,2247.7,1.52E+07,809.56,5.47E+06,26.744,1.81E+05,1310.7,8.86E+06,19.352,1.31E+05,
022619Xim_F4_EG1,16,ICM,I,8413,152.95,298.65,22.343,2413.9,2.03E+07,620.92,5.22E+06,28.779,2.42E+05,1272.6,1.07E+07,18.988,1.60E+05,
022619Xim_F4_EG1,17,TE,I,14462,206.88,384.17,23.028,2761,3.99E+07,54.334,7.86E+05,46.751,6.76E+05,1275,1.84E+07,20.262,2.93E+05,
022619Xim_F4_EG1,18,ICM,I,2749,144.81,263.51,19.525,2132.7,5.86E+06,1039.2,2.86E+06,30.989,85190,1250.2,3.44E+06,19.985,54938,
022619Xim_F4_EG1,19,ICM,I,7277,121.66,270.47,22.468,2193.4,1.60E+07,868.47,6.32E+06,32.721,2.38E+05,1256.3,9.14E+06,19.703,1.43E+05,
022619Xim_F4_EG1,20,ICM,I,5688,157.53,162.6,25.59,2080.4,1.18E+07,666.33,3.79E+06,54.952,3.13E+05,1325.4,7.54E+06,20.005,1.14E+05,
022619Xim_F4_EG1,21,ICM,I,3798,135.93,217.45,23.877,2095.7,7.96E+06,1051.3,3.99E+06,28.837,1.10E+05,1295.9,4.92E+06,19.517,74125,
022619Xim_F4_EG1,22,TE,I,9251,396.72,182.3,25.727,2999.3,2.77E+07,62.301,5.76E+05,91.416,8.46E+05,1333.6,1.23E+07,20.629,1.91E+05,
022619Xim_F4_EG1,23,TE,I,13091,299.74,389.18,26.756,2999.4,3.93E+07,48.759,6.38E+05,29.48,3.86E+05,1261.7,1.65E+07,19.889,2.60E+05,
022619Xim_F4_EG1,24,ICM,I,9249,103.09,185.9,31.085,2205.5,2.04E+07,432.75,4.00E+06,25.579,2.37E+05,1192.4,1.10E+07,18.487,1.71E+05,
022619Xim_F4_EG1,24.2,ICM,I,9249,104,186,37,2303.165,,326.5,,25.438,,1139.291,,16.153,,
022619Xim_F4_EG1,25,ICM,I,5478,96.334,268.25,27.705,2038.6,1.12E+07,511.86,2.80E+06,40.011,2.19E+05,1203.3,6.59E+06,19.967,1.09E+05,
022619Xim_F4_EG1,26,ICM,I,5922,81.353,239.41,29.625,1739.6,1.03E+07,649.12,3.84E+06,85.044,5.04E+05,1326.3,7.85E+06,18.763,1.11E+05,
022619Xim_F4_EG1,27,ICM,I,2500,107.4,234.28,28.594,2055.8,5.14E+06,963.05,2.41E+06,36.142,90356,1242,3.11E+06,18.928,47320,
022619Xim_F4_EG1,28,ICM,I,6718,76.598,302.34,31.744,2069.7,1.39E+07,677.47,4.55E+06,25.088,1.69E+05,1338.8,8.99E+06,18.468,1.24E+05,
022619Xim_F4_EG1,29,TE,M,7579,111.43,359.47,33.751,2914,2.21E+07,75.24,5.70E+05,70.666,5.36E+05,1191.2,9.03E+06,18.54,1.41E+05,
022619Xim_F4_EG1,30,ICM,I,12054,125.58,246.74,33.615,1888.2,2.28E+07,594.53,7.17E+06,105.47,1.27E+06,1231.3,1.48E+07,18.648,2.25E+05,
022619Xim_F4_EG1,32,TE,I,11057,430.88,289.04,33.986,2001.7,2.21E+07,129.23,1.43E+06,144.26,1.60E+06,1301.2,1.44E+07,18.992,2.10E+05,
022619Xim_F4_EG1,33,ICM,I,5411,131.27,156.77,33.387,1583.6,8.57E+06,865,4.68E+06,25.075,1.36E+05,1276.1,6.90E+06,18.63,1.01E+05,
022619Xim_F4_EG1,34,ICM,I,7225,108.68,325.15,32.385,2044.8,1.48E+07,743.84,5.37E+06,27.939,2.02E+05,1190.7,8.60E+06,18.284,1.32E+05,
022619Xim_F4_EG1,35,ICM,I,8212,106.59,144.49,37.772,1662.3,1.37E+07,619.39,5.09E+06,24.369,2.00E+05,1284.3,1.05E+07,18.999,1.56E+05,
022619Xim_F4_EG1,36,ICM,I,4790,115.65,290.12,33.077,1731.8,8.30E+06,514.52,2.46E+06,24.077,1.15E+05,1263.6,6.05E+06,18.867,90374,
