Embryo_ID,Cell_ID,Identity,Cell_cycle,Size,X,Y,Z,CH1.Avg,CH1.Sum,CH2.Avg,CH2.Sum,CH3.Avg,CH3.Sum,CH4.Avg,CH4.Sum,CH5.Avg, CH5-Sum, 
102918Xim_F4_CV4,1,TE,I,11180,306.48,282.1,5.0797,1701.2,1.90E+07,43.165,4.83E+05,594.58,6.65E+06,1242.8,1.39E+07,21.205,2.37E+05,
102918Xim_F4_CV4,2,TE,I,20315,294.17,210.59,5.7477,1734.8,3.52E+07,40.931,8.32E+05,387.24,7.87E+06,1259.6,2.56E+07,20.865,4.24E+05,
102918Xim_F4_CV4,3,TE,I,19252,195.55,251.38,5.5508,1885.8,3.63E+07,46.828,9.02E+05,372.36,7.17E+06,1184.6,2.28E+07,90.451,1.74E+06,
102918Xim_F4_CV4,4,TE,I,16008,120.73,277.13,8.7534,1372.6,2.20E+07,43.949,7.04E+05,363.98,5.83E+06,1257,2.01E+07,58.316,9.34E+05,
102918Xim_F4_CV4,5,ESC,I,12031,142.97,241.57,10.155,1452.6,1.75E+07,197.16,2.37E+06,51.265,6.17E+05,1213.7,1.46E+07,546.62,6.58E+06,
102918Xim_F4_CV4,6,ESC,I,9331,158.98,295.17,13.209,1659.4,1.55E+07,160.41,1.50E+06,52.825,4.93E+05,1216,1.13E+07,595.97,5.56E+06,
102918Xim_F4_CV4,8,TE,I,31887,155.03,151.86,17.703,1714.2,5.47E+07,77.494,2.47E+06,631.18,2.01E+07,1230.1,3.92E+07,21.245,6.77E+05,
102918Xim_F4_CV4,8.2,TE,I,31887,170,148,23,1873.061,,84.66,,760.543,,1208.03,,19.987,,
102918Xim_F4_CV4,9,TE,I,11994,247.94,157.31,13.423,1865.8,2.24E+07,40.94,4.91E+05,281.62,3.38E+06,1244.8,1.49E+07,22.243,2.67E+05,
102918Xim_F4_CV4,10,ESC,I,11460,210.29,232.67,13.924,2211.4,2.53E+07,62.951,7.21E+05,58.105,6.66E+05,1178.9,1.35E+07,850.28,9.74E+06,
102918Xim_F4_CV4,11,ESC,I,8645,205.26,294.59,14.463,2192.3,1.90E+07,58.695,5.07E+05,51.868,4.48E+05,1223.5,1.06E+07,725.08,6.27E+06,
102918Xim_F4_CV4,12,TE,I,11984,245.12,340.31,15.768,2160.8,2.59E+07,38.744,4.64E+05,248.97,2.98E+06,1213.9,1.45E+07,22.008,2.64E+05,
102918Xim_F4_CV4,13,ESC,I,4880,150.19,263.6,15.506,1948.9,9.51E+06,194.07,9.47E+05,58.973,2.88E+05,1170.2,5.71E+06,695.38,3.39E+06,
102918Xim_F4_CV4,14,ICM,I,11095,190.21,341.66,21.073,1973.3,2.19E+07,38.055,4.22E+05,238.62,2.65E+06,1249.7,1.39E+07,22.943,2.55E+05,
102918Xim_F4_CV4,15,ESC,I,16513,115.37,243.2,21.424,1508.9,2.49E+07,65.022,1.07E+06,46.313,7.65E+05,1253.1,2.07E+07,626.63,1.03E+07,
102918Xim_F4_CV4,16,TE,I,10772,360.07,146.58,22.503,2238.2,2.41E+07,38.318,4.13E+05,270.08,2.91E+06,1173.6,1.26E+07,21.634,2.33E+05,
102918Xim_F4_CV4,17,ESC,I,11110,177.32,292.57,21.939,1869.2,2.08E+07,71.106,7.90E+05,69.308,7.70E+05,1225.3,1.36E+07,737.53,8.19E+06,
102918Xim_F4_CV4,18,ICM,I,8459,188.41,184.7,24.755,1154.6,9.77E+06,93.213,7.88E+05,392.48,3.32E+06,1045.2,8.84E+06,21.616,1.83E+05,
102918Xim_F4_CV4,19,TE,I,9881,403.88,221.37,24.167,1712.4,1.69E+07,37.608,3.72E+05,578.47,5.72E+06,1229,1.21E+07,21.332,2.11E+05,
102918Xim_F4_CV4,20,ESC,I,5712,122.33,319.85,22.896,1128.7,6.45E+06,84.751,4.84E+05,33.606,1.92E+05,1253.3,7.16E+06,374.52,2.14E+06,
102918Xim_F4_CV4,21,ICM,I,12242,176.64,230.57,26.526,1355.1,1.66E+07,29.569,3.62E+05,174.11,2.13E+06,1027.5,1.26E+07,28.275,3.46E+05,
102918Xim_F4_CV4,22,ESC,I,8579,142.76,291.8,24.715,1501.8,1.29E+07,81.243,6.97E+05,40.172,3.45E+05,1247.2,1.07E+07,407.34,3.49E+06,
102918Xim_F4_CV4,23,TE,M,10088,284.46,104.55,30.898,2715.3,2.74E+07,23.397,2.36E+05,59.182,5.97E+05,1233.5,1.24E+07,17.827,1.80E+05,
102918Xim_F4_CV4,24,ICM,I,9083,90.751,212.07,30.306,1100.3,9.99E+06,34.686,3.15E+05,290.61,2.64E+06,1149.6,1.04E+07,34.047,3.09E+05,
102918Xim_F4_CV4,25,ESC,I,5181,103.74,281.22,26.871,1469.7,7.61E+06,62.998,3.26E+05,44.13,2.29E+05,1197.2,6.20E+06,653.79,3.39E+06,
102918Xim_F4_CV4,26,TE,I,7811,417.32,278.02,31.114,1981,1.55E+07,30.946,2.42E+05,386.03,3.02E+06,1298,1.01E+07,19.691,1.54E+05,
102918Xim_F4_CV4,27,ICM,I,15645,136.54,348.78,32.316,973.98,1.52E+07,28.967,4.53E+05,191.82,3.00E+06,1170.2,1.83E+07,27.474,4.30E+05,
102918Xim_F4_CV4,28,ESC,I,6256,134.07,254.13,29.437,1474.7,9.23E+06,109.25,6.83E+05,37.426,2.34E+05,1150.2,7.20E+06,396.17,2.48E+06,
102918Xim_F4_CV4,29,ICM,I,14774,210.09,135.77,33.552,1165.7,1.72E+07,28.977,4.28E+05,202.48,2.99E+06,1238.7,1.83E+07,19.759,2.92E+05,
102918Xim_F4_CV4,30,ICM,I,11469,173.59,279.79,32.784,1306.8,1.50E+07,31.937,3.66E+05,404.4,4.64E+06,1256.1,1.44E+07,66.51,7.63E+05,
102918Xim_F4_CV4,31,TE,I,11335,77.783,284.45,35.373,1246.6,1.41E+07,32.229,3.65E+05,183.9,2.08E+06,1305.1,1.48E+07,64.668,7.33E+05,
102918Xim_F4_CV4,32,TE,I,5769,248.29,392.72,32.131,2229.4,1.29E+07,34.435,1.99E+05,313.33,1.81E+06,1157.4,6.68E+06,20.572,1.19E+05,
102918Xim_F4_CV4,33,TE,I,21866,371.37,375.54,39.318,1507.2,3.30E+07,51.775,1.13E+06,397.45,8.69E+06,1184.2,2.59E+07,18.881,4.13E+05,
102918Xim_F4_CV4,34,ESC,I,10369,128.44,293.07,35.265,1099.9,1.14E+07,42.667,4.42E+05,33.386,3.46E+05,1159.7,1.20E+07,439.89,4.56E+06,
102918Xim_F4_CV4,36,ESC,I,9991,127.46,231.25,37.382,992.09,9.91E+06,72.685,7.26E+05,30.96,3.09E+05,1138.6,1.14E+07,259.94,2.60E+06,
102918Xim_F4_CV4,37,ICM,I,11166,171.79,165.77,40.15,680,7.59E+06,37.844,4.23E+05,206.67,2.31E+06,1049.5,1.17E+07,18.788,2.10E+05,
102918Xim_F4_CV4,38,ICM,I,11078,155.23,233.97,42.741,891.08,9.87E+06,25.877,2.87E+05,227.54,2.52E+06,1072.8,1.19E+07,29.774,3.30E+05,
102918Xim_F4_CV4,40,TE,I,11195,77.886,231.67,46.162,585.13,6.55E+06,25.981,2.91E+05,231.77,2.59E+06,1162,1.30E+07,21.766,2.44E+05,
102918Xim_F4_CV4,41,TE,I,11058,378.19,120.47,47.866,1041.8,1.15E+07,112.12,1.24E+06,293.54,3.25E+06,1208.7,1.34E+07,18.187,2.01E+05,
102918Xim_F4_CV4,42,ICM,I,13529,124.75,165.94,45.979,500.52,6.77E+06,25.486,3.45E+05,180.73,2.45E+06,1254,1.70E+07,18.675,2.53E+05,
102918Xim_F4_CV4,43,TE,I,6694,271.91,415,46.434,1560.9,1.04E+07,24.878,1.67E+05,237.1,1.59E+06,1225.8,8.21E+06,18.442,1.23E+05,
102918Xim_F4_CV4,45,ICM,I,14279,171.47,265.6,48.345,840.35,1.20E+07,22.413,3.20E+05,310.34,4.43E+06,1137.7,1.62E+07,22.049,3.15E+05,
102918Xim_F4_CV4,47,TE,I,10576,238.18,104.72,51.217,570.62,6.03E+06,28.425,3.01E+05,159.65,1.69E+06,1269,1.34E+07,17.855,1.89E+05,
102918Xim_F4_CV4,48,ESC,I,7275,126.65,313.78,47.959,675.86,4.92E+06,32.795,2.39E+05,25.303,1.84E+05,1147.2,8.35E+06,267.14,1.94E+06,
102918Xim_F4_CV4,50,ESC,I,6490,135.85,281.66,47.444,717.76,4.66E+06,55.098,3.58E+05,28.102,1.82E+05,1216.8,7.90E+06,210.57,1.37E+06,
102918Xim_F4_CV4,52,TE,I,12243,209.13,403.45,52.853,1443,1.77E+07,28.435,3.48E+05,282.37,3.46E+06,1201.2,1.47E+07,18.167,2.22E+05,
102918Xim_F4_CV4,55,TE,I,12155,319.33,95.118,52.665,836.49,1.02E+07,29.493,3.58E+05,209.7,2.55E+06,1094.6,1.33E+07,18.204,2.21E+05,
102918Xim_F4_CV4,56,TE,I,22307,187,143.03,59.294,233.56,5.21E+06,17.754,3.96E+05,59.646,1.33E+06,1136,2.53E+07,15.398,3.43E+05,
102918Xim_F4_CV4,57,TE,I,13952,96.985,291.42,56.093,689.78,9.62E+06,23.816,3.32E+05,72.983,1.02E+06,1157.2,1.61E+07,88.246,1.23E+06,
102918Xim_F4_CV4,58,TE,I,17600,146.98,367.39,55.688,482.45,8.49E+06,20.844,3.67E+05,112.65,1.98E+06,1218.5,2.14E+07,19.17,3.37E+05,
102918Xim_F4_CV4,59,TE,I,14041,136.6,190.01,59.981,308.89,4.34E+06,19.994,2.81E+05,84.118,1.18E+06,1421.9,2.00E+07,18.396,2.58E+05,
102918Xim_F4_CV4,61,TE,I,10291,425.57,283.01,64.695,785.56,8.08E+06,21.361,2.20E+05,238.07,2.45E+06,988.66,1.02E+07,17.411,1.79E+05,
102918Xim_F4_CV4,62,TE,I,19889,113.6,239.77,64.467,306.32,6.09E+06,19.122,3.80E+05,62.25,1.24E+06,1095.4,2.18E+07,41.811,8.32E+05,
102918Xim_F4_CV4,63,TE,I,26787,249.8,116.64,69.454,354.16,9.49E+06,19.143,5.13E+05,75.503,2.02E+06,1200.5,3.22E+07,16.089,4.31E+05,
102918Xim_F4_CV4,64,TE,I,12166,329.08,112.88,68.892,585.74,7.13E+06,31.822,3.87E+05,160.34,1.95E+06,1256.1,1.53E+07,16.687,2.03E+05,
102918Xim_F4_CV4,65,TE,I,18071,395.4,167.81,69.248,715.19,1.29E+07,24.607,4.45E+05,180.8,3.27E+06,1243.6,2.25E+07,16.318,2.95E+05,
102918Xim_F4_CV4,70,TE,I,20333,137.44,277.79,78.386,163.26,3.32E+06,17.162,3.49E+05,81.511,1.66E+06,1177.7,2.39E+07,16.838,3.42E+05,
102918Xim_F4_CV4,72,TE,I,12857,203.88,362.69,83.498,290.29,3.73E+06,14.962,1.92E+05,93.525,1.20E+06,1314.1,1.69E+07,15.251,1.96E+05,
102918Xim_F4_CV4,73,TE,I,14810,231.7,166.15,87.265,149.76,2.22E+06,14.495,2.15E+05,59.511,8.81E+05,1346.4,1.99E+07,14.825,2.20E+05,
102918Xim_F4_CV4,74,TE,I,14492,305.92,154.93,88.488,360.71,5.23E+06,15.594,2.26E+05,104.54,1.51E+06,1367.2,1.98E+07,15.368,2.23E+05,
102918Xim_F4_CV4,76,TE,I,15560,173.35,227.08,88.03,101,1.57E+06,16.28,2.53E+05,43.523,6.77E+05,1053.5,1.64E+07,15.633,2.43E+05,
102918Xim_F4_CV4,77,TE,I,27136,322.93,355.32,91.862,396.34,1.08E+07,22.369,6.07E+05,109.45,2.97E+06,1251,3.39E+07,15.268,4.14E+05,
102918Xim_F4_CV4,78,TE,I,14536,181.5,293.15,92.369,186.82,2.72E+06,14.02,2.04E+05,81.457,1.18E+06,1165.9,1.69E+07,15.043,2.19E+05,
102918Xim_F4_CV4,79,TE,M,15826,353.16,216.52,97.945,685.41,1.08E+07,13.967,2.21E+05,21.599,3.42E+05,1329.9,2.10E+07,14.751,2.33E+05,
