Embryo_ID,Cell_ID,Size,Identity,X,Y,Z,CH1.Avg,CH1.Sum,CH2.Avg,CH2.Sum,CH3.Avg,CH3.Sum,CH4.Avg,CH4.Sum,CH5.Avg,CH5.Sum, 
020216Xim_JK5,2,10784,TE,358.88,173.65,6.2629,2822.3,3.04E+07,31.445,3.39E+05,63.224,6.82E+05,1026.5,1.11E+07,200.36,2.16E+06,
020216Xim_JK5,3,4238,TE,188.55,238.81,5.794,3162.7,1.34E+07,45.062,1.91E+05,119.46,5.06E+05,1025.4,4.35E+06,893.02,3.78E+06,
020216Xim_JK5,4,6855,TE,322.77,241.08,5.326,2465,1.69E+07,31.992,2.19E+05,109.08,7.48E+05,1001,6.86E+06,859.34,5.89E+06,
020216Xim_JK5,5,5412,TE,315.14,292.55,4.7077,2973.7,1.61E+07,33.966,1.84E+05,86.546,4.68E+05,949.26,5.14E+06,676.09,3.66E+06,
020216Xim_JK5,6,10024,TE,310.52,172.99,6.3274,3003.7,3.01E+07,57.101,5.72E+05,143.23,1.44E+06,1030,1.03E+07,538.21,5.40E+06,
020216Xim_JK5,7,13483,TE,243.56,208.26,7.4093,2543.3,3.43E+07,43.251,5.83E+05,178.47,2.41E+06,974.97,1.31E+07,2355.9,3.18E+07,
020216Xim_JK5,8,7317,TE,221.5,268.86,6.3046,2409.5,1.76E+07,49.495,3.62E+05,195.69,1.43E+06,1015.5,7.43E+06,2315.3,1.69E+07,
020216Xim_JK5,9,6561,TE,276.57,262,8.6642,2430.6,1.59E+07,44.137,2.90E+05,160.34,1.05E+06,1029.8,6.76E+06,1760.4,1.16E+07,
020216Xim_JK5,10,9890,TE,248.77,159.44,10.614,2737.4,2.71E+07,38.813,3.84E+05,154.96,1.53E+06,1079.8,1.07E+07,1895.2,1.87E+07,
020216Xim_JK5,11,9363,TE,195.3,177.51,10.233,2756.1,2.58E+07,42.603,3.99E+05,174.83,1.64E+06,1128.8,1.06E+07,2209.8,2.07E+07,
020216Xim_JK5,12,4597,TE,179.19,209.76,13.026,3025.2,1.39E+07,39.228,1.80E+05,97.166,4.47E+05,987.84,4.54E+06,732.15,3.37E+06,
020216Xim_JK5,13,5697,TE,277.98,319.65,11.784,2765.8,1.58E+07,48.158,2.74E+05,140.77,8.02E+05,1077.7,6.14E+06,1355.9,7.72E+06,
020216Xim_JK5,14,6200,TE,325.27,329.44,12.7,2302.2,1.43E+07,37.744,2.34E+05,136.09,8.44E+05,999.08,6.19E+06,1591.6,9.87E+06,
020216Xim_JK5,15,10525,ICM,193.99,252.57,15.557,2023.3,2.13E+07,46.792,4.92E+05,195.76,2.06E+06,968.92,1.02E+07,2602.7,2.74E+07,
020216Xim_JK5,16,6305,TE,217.53,314.98,14.712,2327.1,1.47E+07,38.2,2.41E+05,150.84,9.51E+05,984.04,6.20E+06,2028,1.28E+07,
020216Xim_JK5,18,11369,TE,384.95,303.95,16.329,2512.6,2.86E+07,25.062,2.85E+05,64.077,7.29E+05,991.98,1.13E+07,622.03,7.07E+06,
020216Xim_JK5,19,9365,TE,336.84,134.45,16.41,2581.9,2.42E+07,47.613,4.46E+05,120.3,1.13E+06,1032.2,9.67E+06,241.02,2.26E+06,
