Embryo_ID,Cell_ID,Size,Identity,X,Y,Z,CH1.Avg,CH1.Sum,CH2.Avg,CH2.Sum,CH3.Avg,CH3.Sum,CH4.Avg,CH4.Sum,CH5.Avg,CH5.Sum, 
020316Xim_MN4,1,10169,TE,216.77,267.04,4.1171,2414.9,2.46E+07,3457.2,3.52E+07,203.89,2.07E+06,737.82,7.50E+06,2083.2,2.12E+07,
020316Xim_MN4,2,7286,TE,275.02,271.49,4.5069,1975.1,1.44E+07,3050,2.22E+07,240.33,1.75E+06,776.88,5.66E+06,1801.4,1.31E+07,
020316Xim_MN4,3,9236,TE,164.93,290.31,6.8945,1871.9,1.73E+07,3099.7,2.86E+07,215.38,1.99E+06,699.17,6.46E+06,2172.8,2.01E+07,
020316Xim_MN4,4,8484,TE,283.56,217.33,7.2058,1717.4,1.46E+07,3097.2,2.63E+07,200.28,1.70E+06,788.88,6.69E+06,1843.6,1.56E+07,
020316Xim_MN4,5,15630,TE,322.64,284.18,8.3838,1885.6,2.95E+07,2925.3,4.57E+07,198.21,3.10E+06,774.9,1.21E+07,1123,1.76E+07,
020316Xim_MN4,6,7991,TE,268.75,182.97,9.899,2604.1,2.08E+07,3072.8,2.46E+07,175.97,1.41E+06,722.09,5.77E+06,1560.9,1.25E+07,
020316Xim_MN4,7,10470,TE,182.32,218.69,9.6178,2312.1,2.42E+07,2897.8,3.03E+07,150.71,1.58E+06,710.11,7.43E+06,1114.2,1.17E+07,
020316Xim_MN4,8,6372,TE,268.9,340.29,8.7928,2257.4,1.44E+07,2790.9,1.78E+07,209.12,1.33E+06,790.11,5.03E+06,1520.5,9.69E+06,
020316Xim_MN4,9,4089,TE,223.22,202.13,11.372,2876.1,1.18E+07,2714.6,1.11E+07,131.21,5.37E+05,738.25,3.02E+06,1176.2,4.81E+06,
020316Xim_MN4,10,6542,TE,237.02,338.68,11.169,2178.9,1.43E+07,2686.6,1.76E+07,144.5,9.45E+05,781.01,5.11E+06,1469.2,9.61E+06,
020316Xim_MN4,11,9090,TE,132.45,271.71,12.007,1609.5,1.46E+07,2478.6,2.25E+07,320.99,2.92E+06,640.72,5.82E+06,1053.4,9.58E+06,
020316Xim_MN4,12,6196,TE,297.02,163.95,17.314,1675.8,1.04E+07,2930.9,1.82E+07,424.8,2.63E+06,793.19,4.91E+06,1119.3,6.94E+06,
