Embryo_ID,Cell_ID,Identity,Cell_cycle,Size,X,Y,Z,CH1.Avg,CH1.Sum,CH2.Avg,CH2.Sum,CH3.Avg,CH3.Sum,CH4.Avg,CH4.Sum,CH5.Avg, CH5-Sum, 
040518Xim_WT_BG4,1,TE,I,17612,294.05,252.45,5.605,2536.2,4.47E+07,61.103,1.08E+06,437.48,7.70E+06,597.59,1.05E+07,56.184,9.90E+05,
040518Xim_WT_BG4,2,TE,I,9299,254.85,312.4,6.5911,2722.1,2.53E+07,62.866,5.85E+05,254.28,2.36E+06,532.49,4.95E+06,54.693,5.09E+05,
040518Xim_WT_BG4,3,TE,I,9887,219.05,262.25,7.8074,2934.4,2.90E+07,61.954,6.13E+05,226.79,2.24E+06,545.48,5.39E+06,63.75,6.30E+05,
040518Xim_WT_BG4,4,TE,I,8950,216.11,305.51,8.7044,3152.9,2.82E+07,66.813,5.98E+05,292.07,2.61E+06,567.95,5.08E+06,59.889,5.36E+05,
040518Xim_WT_BG4,5,TE,I,14175,368.8,263.99,11.792,2159.1,3.06E+07,60.101,8.52E+05,51.865,7.35E+05,542.6,7.69E+06,53.481,7.58E+05,
040518Xim_WT_BG4,6,TE,I,13632,231.6,215.53,11.31,2395.1,3.27E+07,54.48,7.43E+05,254.5,3.47E+06,543.83,7.41E+06,56.516,7.70E+05,
040518Xim_WT_BG4,7,TE,I,16377,176.38,227.93,12.537,2897.6,4.75E+07,85.441,1.40E+06,227.72,3.73E+06,584.86,9.58E+06,52.355,8.57E+05,
040518Xim_WT_BG4,8,TE,I,8965,319.91,332.45,11.323,2412.3,2.16E+07,60.894,5.46E+05,234.9,2.11E+06,523.23,4.69E+06,51.091,4.58E+05,
040518Xim_WT_BG4,9,TE,I,6281,326.02,207.51,14.386,2873.4,1.80E+07,48.72,3.06E+05,348.47,2.19E+06,538.53,3.38E+06,49.083,3.08E+05,
040518Xim_WT_BG4,10,TE,I,15188,160.58,306.78,15.2,3062,4.65E+07,85.599,1.30E+06,201.64,3.06E+06,576.81,8.76E+06,50.733,7.71E+05,
040518Xim_WT_BG4,11,ICM,I,5072,174.27,270.8,14.443,3032.6,1.54E+07,475.77,2.41E+06,32.021,1.62E+05,538.1,2.73E+06,47.287,2.40E+05,
040518Xim_WT_BG4,12,TE,I,8211,267.1,358.19,15.234,2588.8,2.13E+07,51.454,4.22E+05,262.77,2.16E+06,576.04,4.73E+06,48.722,4.00E+05,
040518Xim_WT_BG4,13,TE,I,6281,274.19,181.08,16.299,2935.7,1.84E+07,49.273,3.09E+05,370.72,2.33E+06,514.87,3.23E+06,51.456,3.23E+05,
040518Xim_WT_BG4,14,TE,I,9532,360.21,221.96,18.935,2788,2.66E+07,58.681,5.59E+05,57.126,5.45E+05,545.1,5.20E+06,55.501,5.29E+05,
040518Xim_WT_BG4,15,ICM,I,11090,221.87,277.38,20.206,2782.6,3.09E+07,46.615,5.17E+05,582.84,6.46E+06,569.65,6.32E+06,373.1,4.14E+06,
040518Xim_WT_BG4,16,ICM,I,6289,245.34,294.08,19.641,2541.8,1.60E+07,45.113,2.84E+05,761.83,4.79E+06,520.45,3.27E+06,439.29,2.76E+06,
040518Xim_WT_BG4,17,TE,I,9941,378.95,311.1,22.608,1849.6,1.84E+07,64.477,6.41E+05,152.81,1.52E+06,523.87,5.21E+06,45.812,4.55E+05,
040518Xim_WT_BG4,18,TE,I,6058,307.37,168.83,22.981,2603.5,1.58E+07,43.562,2.64E+05,189.1,1.15E+06,612.78,3.71E+06,42.043,2.55E+05,
040518Xim_WT_BG4,19,ICM,I,6677,183.29,248.39,21.533,2551.8,1.70E+07,650.66,4.34E+06,35.926,2.40E+05,510.21,3.41E+06,45.431,3.03E+05,
040518Xim_WT_BG4,20,TE,I,8871,344.31,354.07,23.813,2086.7,1.85E+07,47.135,4.18E+05,141.76,1.26E+06,602.97,5.35E+06,50.811,4.51E+05,
040518Xim_WT_BG4,21,ICM,I,4598,189.21,305.31,20.826,2383.9,1.10E+07,610.26,2.81E+06,36.286,1.67E+05,559.88,2.57E+06,42.465,1.95E+05,
040518Xim_WT_BG4,22,TE,I,12666,206.37,357.14,25.007,2987.6,3.78E+07,41.978,5.32E+05,156.07,1.98E+06,515.51,6.53E+06,43.671,5.53E+05,
040518Xim_WT_BG4,23,ICM,I,6507,179.1,215.73,23.809,2661.4,1.73E+07,521.61,3.39E+06,40.471,2.63E+05,523.92,3.41E+06,47.935,3.12E+05,
040518Xim_WT_BG4,24,TE,I,9422,295.9,381.18,25.236,3133.5,2.95E+07,43.423,4.09E+05,129.01,1.22E+06,566.5,5.34E+06,39.596,3.73E+05,
040518Xim_WT_BG4,25,TE,I,8532,395.35,237.79,26.147,2103.3,1.79E+07,44.446,3.79E+05,35.796,3.05E+05,572.18,4.88E+06,45.394,3.87E+05,
040518Xim_WT_BG4,26,ICM,I,6729,225.97,229.13,25.063,2204.1,1.48E+07,41.49,2.79E+05,546.52,3.68E+06,569.08,3.83E+06,341.37,2.30E+06,
040518Xim_WT_BG4,27,ICM,I,6746,131.09,263,25.003,2635.3,1.78E+07,283.28,1.91E+06,26.033,1.76E+05,590.5,3.98E+06,37.859,2.55E+05,
