Embryo_ID,Cell_ID,Identity,Cell_cycle,Size,X,Y,Z,CH1.Avg,CH1.Sum,CH2.Avg,CH2.Sum,CH3.Avg,CH3.Sum,CH4.Avg,CH4.Sum,CH5.Avg,CH5.Sum, 
010919Xim_WT_DJ2,2,TE,I,18877,293.38,197.78,8.1338,2185.3,4.13E+07,42.278,7.98E+05,39.128,7.39E+05,1489.9,2.81E+07,290.55,5.48E+06,
010919Xim_WT_DJ2,3,TE,I,15505,229.87,272.62,7.4564,2227.9,3.45E+07,46.579,7.22E+05,40.806,6.33E+05,1493.6,2.32E+07,460.65,7.14E+06,
010919Xim_WT_DJ2,4,TE,I,11555,174.67,242.45,8.8911,1877.9,2.17E+07,44.631,5.16E+05,34.774,4.02E+05,1490.5,1.72E+07,443.28,5.12E+06,
010919Xim_WT_DJ2,5,TE,I,26201,369.58,253,9.2076,1439.2,3.77E+07,31.449,8.24E+05,30.623,8.02E+05,1487.9,3.90E+07,175.96,4.61E+06,
010919Xim_WT_DJ2,5.2,TE,I,26201,374,267,9,2084.149,,39.845,,38.731,,1486.903,,240.721,,
010919Xim_WT_DJ2,8,TE,I,11449,297.68,342.54,9.9404,1455.5,1.67E+07,39.189,4.49E+05,34.631,3.96E+05,1520,1.74E+07,390.15,4.47E+06,
010919Xim_WT_DJ2,9,TE,I,13788,355.15,343.05,12.83,1406.3,1.94E+07,32.642,4.50E+05,28.144,3.88E+05,1475.8,2.03E+07,143.01,1.97E+06,
010919Xim_WT_DJ2,10,TE,I,18305,219.75,363.37,15.681,1681.2,3.08E+07,30.436,5.57E+05,40.438,7.40E+05,1488.7,2.73E+07,478.34,8.76E+06,
010919Xim_WT_DJ2,11,TE,I,17986,247.62,136,18.081,1977.7,3.56E+07,34.006,6.12E+05,31.164,5.61E+05,1490.8,2.68E+07,273.33,4.92E+06,
010919Xim_WT_DJ2,12,TE,I,10801,155.79,304.5,17.767,1696.4,1.83E+07,36.144,3.90E+05,32.111,3.47E+05,1505.5,1.63E+07,461.85,4.99E+06,
010919Xim_WT_DJ2,13,TE,I,26656,161.52,161.13,19.176,1714.2,4.57E+07,41.661,1.11E+06,31.255,8.33E+05,1511.1,4.03E+07,475.75,1.27E+07,
010919Xim_WT_DJ2,13.2,TE,I,26656,163,144,22,2328.817,,46.45,,35.804,,1546.311,,644.163,,
010919Xim_WT_DJ2,14,TE,I,7654,123.18,243.3,19.778,1761.9,1.35E+07,30.752,2.35E+05,31.553,2.42E+05,1350.1,1.03E+07,438.75,3.36E+06,
010919Xim_WT_DJ2,15,TE,I,9623,399.98,345.81,23.481,1519.8,1.46E+07,31.267,3.01E+05,32.3,3.11E+05,1451.3,1.40E+07,127.81,1.23E+06,
010919Xim_WT_DJ2,16,TE,I,14138,105.21,265.63,26.98,1819.8,2.57E+07,59.047,8.35E+05,58.466,8.27E+05,1443.3,2.04E+07,337.01,4.76E+06,
010919Xim_WT_DJ2,17,TE,I,10648,369.78,147.5,27.443,1531.4,1.63E+07,41.514,4.42E+05,30.4,3.24E+05,1404.5,1.50E+07,258.39,2.75E+06,
010919Xim_WT_DJ2,19,TE,I,12121,318.24,104.52,30.597,1751.7,2.12E+07,27.258,3.30E+05,27.072,3.28E+05,1417.9,1.72E+07,197.71,2.40E+06,
010919Xim_WT_DJ2,20,TE,I,14905,215.43,426.18,33.48,1630.3,2.43E+07,28.152,4.20E+05,29.205,4.35E+05,1464.1,2.18E+07,402.32,6.00E+06,
010919Xim_WT_DJ2,21,TE,I,12602,330.06,431.83,37.343,1211.3,1.53E+07,26.675,3.36E+05,25.813,3.25E+05,1406.8,1.77E+07,192.72,2.43E+06,
010919Xim_WT_DJ2,22,TE,I,16255,133.55,366.32,39.124,1195.5,1.94E+07,36.716,5.97E+05,28.475,4.63E+05,1495,2.43E+07,437.22,7.11E+06,
010919Xim_WT_DJ2,23,TE,I,16641,439.65,211,40.674,1625,2.70E+07,25.952,4.32E+05,26.367,4.39E+05,1453,2.42E+07,261.44,4.35E+06,
010919Xim_WT_DJ2,24,ICM,I,10846,123.57,270.01,39.802,1080.6,1.17E+07,143.23,1.55E+06,37.085,4.02E+05,1417.5,1.54E+07,678.28,7.36E+06,
010919Xim_WT_DJ2,25,TE,I,8849,302.34,442.24,40.812,1088.8,9.63E+06,26.521,2.35E+05,25.641,2.27E+05,1403.1,1.24E+07,197.42,1.75E+06,
010919Xim_WT_DJ2,26,TE,I,9281,425.14,359.83,39.99,1184.7,1.10E+07,34.013,3.16E+05,40.442,3.75E+05,1439.6,1.34E+07,224.25,2.08E+06,
010919Xim_WT_DJ2,27,ICM,I,11186,86.71,253.7,38.483,1196.5,1.34E+07,338.02,3.78E+06,279.35,3.12E+06,1399.1,1.57E+07,114.22,1.28E+06,
010919Xim_WT_DJ2,27.2,ICM,I,11186,100,233,42,798.608,,137.628,,84.141,,1198.499,,247.253,,
010919Xim_WT_DJ2,28,TE,I,9879,454.11,282.61,41.978,1316.8,1.30E+07,26.379,2.61E+05,25.05,2.47E+05,1434.2,1.42E+07,166.71,1.65E+06,
010919Xim_WT_DJ2,29,TE,I,9168,408.29,385.17,42.977,1150.8,1.06E+07,33.952,3.11E+05,41.36,3.79E+05,1487.3,1.36E+07,227.2,2.08E+06,
010919Xim_WT_DJ2,31,TE,I,18964,264.56,53.055,46.634,1668.5,3.16E+07,21.808,4.14E+05,21.695,4.11E+05,1458.8,2.77E+07,134.53,2.55E+06,
010919Xim_WT_DJ2,32,TE,M,7684,55.48,299.29,47.309,1658.3,1.27E+07,22.729,1.75E+05,20.21,1.55E+05,1485.3,1.14E+07,102.39,7.87E+05,
010919Xim_WT_DJ2,33,TE,I,9042,193.45,69.371,51.395,1607.8,1.45E+07,20.676,1.87E+05,20.929,1.89E+05,1452.6,1.31E+07,158.13,1.43E+06,
010919Xim_WT_DJ2,34,TE,I,12275,133.09,113.61,51.414,1155.5,1.42E+07,20.452,2.51E+05,21.751,2.67E+05,1523.5,1.87E+07,185.65,2.28E+06,
010919Xim_WT_DJ2,36,ICM,I,8467,96.116,209.63,49.193,776.95,6.58E+06,148.08,1.25E+06,230.76,1.95E+06,1267.8,1.07E+07,102.71,8.70E+05,
010919Xim_WT_DJ2,37,ICM,I,13132,131.28,244.21,50.147,817.58,1.07E+07,104.61,1.37E+06,25.065,3.29E+05,1393.8,1.83E+07,335.49,4.41E+06,
010919Xim_WT_DJ2,38,TE,I,12764,411.68,148.34,53.457,1254.1,1.60E+07,22.499,2.87E+05,21.84,2.79E+05,1359.4,1.74E+07,110.45,1.41E+06,
010919Xim_WT_DJ2,40,TE,I,16917,394.34,403.96,54.969,858.86,1.45E+07,22.373,3.78E+05,24.37,4.12E+05,1456.8,2.46E+07,263.63,4.46E+06,
010919Xim_WT_DJ2,41,ICM,I,3650,83.759,233.88,49.296,797.88,2.91E+06,192.2,7.02E+05,237.64,8.67E+05,1320.9,4.82E+06,215.63,7.87E+05,
010919Xim_WT_DJ2,42,ICM,I,221,54.059,251.44,50.525,717.42,1.59E+05,132.39,29259,58.995,13038,1335.2,2.95E+05,368.05,81340,
010919Xim_WT_DJ2,43,TE,I,12847,153.5,403.56,57.296,659.31,8.47E+06,28.054,3.60E+05,23.071,2.96E+05,1427.6,1.83E+07,295.96,3.80E+06,
010919Xim_WT_DJ2,44,TE,I,29997,352.22,89.687,60.592,1208.4,3.62E+07,22.085,6.62E+05,19.526,5.86E+05,1399.8,4.20E+07,72.12,2.16E+06,
010919Xim_WT_DJ2,44.2,TE,I,29997,344,86,64,1558.315,,21.862,,19.766,,1320.478,,82.014,,
010919Xim_WT_DJ2,45,TE,M,10110,70.8,174.31,59.801,1144.5,1.16E+07,20.532,2.08E+05,20.088,2.03E+05,1463.7,1.48E+07,105.42,1.07E+06,
010919Xim_WT_DJ2,46,ICM,I,6251,103.14,275.45,54.764,640.99,4.01E+06,102.46,6.40E+05,155.82,9.74E+05,1405.6,8.79E+06,169.58,1.06E+06,
010919Xim_WT_DJ2,47,ICM,I,3347,52.216,248.46,56.589,708.91,2.37E+06,123.08,4.12E+05,66.853,2.24E+05,1470.7,4.92E+06,339.18,1.14E+06,
010919Xim_WT_DJ2,48,ICM,I,16811,124.16,280.3,59.127,687.55,1.16E+07,98.611,1.66E+06,43.823,7.37E+05,1319.4,2.22E+07,495.95,8.34E+06,
