Embryo_ID,Cell_ID,Identity,Cell_cycle,Size,X,Y,Z,CH1.Avg,CH1.Sum,CH2.Avg,CH2.Sum,CH3.Avg,CH3.Sum,CH4.Avg,CH4.Sum,CH5.Avg, CH5-Sum, 
010919Xim_WT_DM13,1,TE,I,10101,227.53,268.85,5.203,3101.7,3.13E+07,61.731,6.24E+05,61.343,6.20E+05,1451.2,1.47E+07,594.9,6.01E+06,
010919Xim_WT_DM13,2,TE,I,13481,248.15,200.32,7.0492,2752.2,3.71E+07,63.245,8.53E+05,70.57,9.51E+05,1499.1,2.02E+07,688.1,9.28E+06,
010919Xim_WT_DM13,3,TE,I,10552,297.22,237.4,6.2725,2232.6,2.36E+07,74.557,7.87E+05,68.24,7.20E+05,1509.6,1.59E+07,595.2,6.28E+06,
010919Xim_WT_DM13,5,TE,I,11181,256.82,314.4,7.0715,2883.2,3.22E+07,57.099,6.38E+05,55.522,6.21E+05,1471.1,1.64E+07,504.11,5.64E+06,
010919Xim_WT_DM13,6,TE,I,16080,305.48,184.2,8.4141,2190.8,3.52E+07,52.7,8.47E+05,49.974,8.04E+05,1463.4,2.35E+07,512.34,8.24E+06,
010919Xim_WT_DM13,7,TE,I,9455,320.91,293.85,7.2587,2958.5,2.80E+07,64.229,6.07E+05,63.966,6.05E+05,1550.2,1.47E+07,475.51,4.50E+06,
010919Xim_WT_DM13,8,TE,I,8287,187.79,216.65,9.4447,2945.4,2.44E+07,61.26,5.08E+05,54.764,4.54E+05,1509.8,1.25E+07,542.26,4.49E+06,
010919Xim_WT_DM13,9,TE,I,7642,347.97,251.07,8.9168,2151.3,1.64E+07,63.52,4.85E+05,61.99,4.74E+05,1429.3,1.09E+07,542.21,4.14E+06,
010919Xim_WT_DM13,10,TE,I,9039,152.47,254.69,17.258,2899.2,2.62E+07,60.47,5.47E+05,56.382,5.10E+05,1445,1.31E+07,692.62,6.26E+06,
010919Xim_WT_DM13,11,TE,I,11856,224.95,350.34,16.095,2794.3,3.31E+07,49.151,5.83E+05,48.227,5.72E+05,1524.9,1.81E+07,443.58,5.26E+06,
