Embryo_ID,Cellcount,Cell_ID,Identity,Size,X,Y,Z,CH1.Avg,CH1.Sum,CH2.Avg,CH2.Sum,CH3.Avg,CH3.Sum,CH4.Avg,CH4.Sum,CH5.Avg,CH5.Sum
011916_mzFGF4_F5,102,3,TE,6959,228.88,217.2,6.2474,1888.4,1.31E+07,1681.2,1.17E+07,295.78,2.06E+06,743.51,5.17E+06,451.97,3.15E+06
011916_mzFGF4_F5,102,4,TE,6051,267.3,219.58,5.0238,2124.1,1.29E+07,1585.4,9.59E+06,157.68,9.54E+05,767.49,4.64E+06,530.18,3.21E+06
011916_mzFGF4_F5,102,5,TE,6716,253.45,280.47,5.1346,2006.9,1.35E+07,1864.5,1.25E+07,492.88,3.31E+06,758.75,5.10E+06,493.16,3.31E+06
011916_mzFGF4_F5,102,7,EPI,20905,212,270,6,2219.183,,84.277,,3877.246,,807.824,,271.351,
011916_mzFGF4_F5,102,7.2,EPI,20905,205,278,15,1221.435,,70.225,,1964.214,,825.6,,165.139,
011916_mzFGF4_F5,102,9,TE,8961,192.4,327.58,8.5458,1717.2,1.54E+07,1948.2,1.75E+07,428.18,3.84E+06,740.94,6.64E+06,756.06,6.78E+06
011916_mzFGF4_F5,102,11,TE,7760,228.1,51.426,11.489,268.22,2.08E+06,11.949,92721,20.158,1.56E+05,780.35,6.06E+06,13.819,1.07E+05
011916_mzFGF4_F5,102,12,TE,8864,140.27,225.73,11.364,1813.7,1.61E+07,1597.2,1.42E+07,677.78,6.01E+06,762.04,6.75E+06,555.52,4.92E+06
011916_mzFGF4_F5,102,13,TE,5624,303.6,286.34,8.9772,1892.1,1.06E+07,1142.6,6.43E+06,136.78,7.69E+05,758.13,4.26E+06,468.67,2.64E+06
011916_mzFGF4_F5,102,14,TE,8175,319.71,220.76,11.203,1511.3,1.24E+07,1400.7,1.15E+07,141.79,1.16E+06,766.43,6.27E+06,487.42,3.98E+06
011916_mzFGF4_F5,102,15,EPI,10590,187.2,205.8,13.608,1880.4,1.99E+07,83.929,8.89E+05,2715.9,2.88E+07,809.49,8.57E+06,212.43,2.25E+06
011916_mzFGF4_F5,102,16,EPI,4325,220.17,336.52,12.553,2252.9,9.74E+06,119.78,5.18E+05,2847.3,1.23E+07,936.37,4.05E+06,248.73,1.08E+06
011916_mzFGF4_F5,102,19,EPI,5374,173.71,283.45,13.173,1743.3,9.37E+06,83.258,4.47E+05,3318.3,1.78E+07,749.05,4.03E+06,230.73,1.24E+06
011916_mzFGF4_F5,102,20,TE,5872,286.79,324.3,13.435,2068.9,1.21E+07,2093.2,1.23E+07,213.31,1.25E+06,785.84,4.61E+06,603.85,3.55E+06
011916_mzFGF4_F5,102,22,EPI,8587,263.83,291.94,14.267,2482.3,2.13E+07,223.3,1.92E+06,2070.1,1.78E+07,796.79,6.84E+06,204.83,1.76E+06
011916_mzFGF4_F5,102,23,EPI,3354,244.78,318.32,14.614,2852,9.57E+06,77.232,2.59E+05,3285.9,1.10E+07,620.36,2.08E+06,168.74,5.66E+05
011916_mzFGF4_F5,102,24,TE,12430,350.69,284.66,16.849,1788.4,2.22E+07,1677.8,2.09E+07,131.92,1.64E+06,783.84,9.74E+06,427.61,5.32E+06
011916_mzFGF4_F5,102,27,TE,7668,187.5,172.15,18.423,1696.3,1.30E+07,1392.8,1.07E+07,405.32,3.11E+06,795.81,6.10E+06,344.12,2.64E+06
011916_mzFGF4_F5,102,28,TE,6497,240.59,177.98,17.725,1569.1,1.02E+07,1428.1,9.28E+06,158.39,1.03E+06,779.9,5.07E+06,448.89,2.92E+06
011916_mzFGF4_F5,102,29,EPI,3895,196.27,233.4,13.32,1795.4,6.99E+06,114.7,4.47E+05,3612.3,1.41E+07,643.34,2.51E+06,221.73,8.64E+05
011916_mzFGF4_F5,102,30,EPI,8601,232.69,259.94,17.677,1910.2,1.64E+07,112.02,9.63E+05,3794.9,3.26E+07,779.7,6.71E+06,194.55,1.67E+06
011916_mzFGF4_F5,102,31,TE,12275,145,315,17,1999.056,,2068.257,,248.292,,845.048,,673.166,
011916_mzFGF4_F5,102,31.2,EPI,12275,164,324,25,1659.879,,129.469,,3384.252,,764.95,,192.235,
011916_mzFGF4_F5,102,32,EPI,4321,152.79,268.54,18.29,1677.5,7.25E+06,68.038,2.94E+05,2805.2,1.21E+07,767.89,3.32E+06,221.66,9.58E+05
011916_mzFGF4_F5,102,33,EPI,9994,135.4,231.9,21.05,1866.8,1.87E+07,133.89,1.34E+06,3082.6,3.08E+07,671.34,6.71E+06,226.06,2.26E+06
011916_mzFGF4_F5,102,34,EPI,5972,191.56,314.68,18.144,1409.9,8.42E+06,146.77,8.76E+05,3299.2,1.97E+07,731.72,4.37E+06,223.45,1.33E+06
011916_mzFGF4_F5,102,35,TE,8601,284.11,164.3,22.386,1284.5,1.10E+07,1018.7,8.76E+06,147.64,1.27E+06,685.73,5.90E+06,343.79,2.96E+06
011916_mzFGF4_F5,102,36,EPI,10510,224.94,227,23.609,1415.8,1.49E+07,93.58,9.84E+05,3022.3,3.18E+07,750.75,7.89E+06,165.72,1.74E+06
011916_mzFGF4_F5,102,37,TE,7529,248.48,356.73,24.102,1302.5,9.81E+06,1232.2,9.28E+06,152.59,1.15E+06,763.44,5.75E+06,496.72,3.74E+06
011916_mzFGF4_F5,102,38,TE,7987,358.72,200.34,23.471,2637.8,2.11E+07,401.44,3.21E+06,72.069,5.76E+05,766.03,6.12E+06,170.58,1.36E+06
011916_mzFGF4_F5,102,39,EPI,10598,201.29,183.93,26.321,1566.6,1.66E+07,122.5,1.30E+06,2718.2,2.88E+07,706.36,7.49E+06,165.75,1.76E+06
011916_mzFGF4_F5,102,42,EPI,8809,168.49,231.79,24.952,1447,1.27E+07,79.815,7.03E+05,2696.8,2.38E+07,759.68,6.69E+06,178.97,1.58E+06
011916_mzFGF4_F5,102,43,EPI,3991,195.43,212.94,24.974,1494.1,5.96E+06,83.474,3.33E+05,2480,9.90E+06,752.15,3.00E+06,158.54,6.33E+05
011916_mzFGF4_F5,102,44,TE,6084,382.06,265.28,26.734,1550.6,9.43E+06,958.95,5.83E+06,125.1,7.61E+05,790.46,4.81E+06,434.14,2.64E+06
011916_mzFGF4_F5,102,45,EPI,5257,238.25,299.81,24.867,1216.5,6.40E+06,57.718,3.03E+05,2193.2,1.15E+07,681.66,3.58E+06,138.67,7.29E+05
011916_mzFGF4_F5,102,46,EPI,4815,215.23,328.66,26.688,1596.7,7.69E+06,66.073,3.18E+05,3154.4,1.52E+07,679.02,3.27E+06,173.08,8.33E+05
011916_mzFGF4_F5,102,47,EPI,9466,207.56,260.74,27.879,1276.5,1.21E+07,143.83,1.36E+06,1381.7,1.31E+07,753.88,7.14E+06,145.74,1.38E+06
011916_mzFGF4_F5,102,48,EPI,7044,122.45,269.29,29.742,2140.3,1.51E+07,55.154,3.89E+05,1010.4,7.12E+06,783.61,5.52E+06,114.98,8.10E+05
011916_mzFGF4_F5,102,49,EPI,4162,195.16,303.51,25.543,1300.5,5.41E+06,73.299,3.05E+05,2588.6,1.08E+07,684.63,2.85E+06,158.71,6.61E+05
011916_mzFGF4_F5,102,50,EPI,9667,161.79,199.31,29.744,1469.3,1.42E+07,72.878,7.05E+05,2061.4,1.99E+07,839.02,8.11E+06,163.01,1.58E+06
011916_mzFGF4_F5,102,51,EPI,5067,224.23,191.86,30.288,1099.1,5.57E+06,84.375,4.28E+05,2413.1,1.22E+07,689.7,3.49E+06,129.96,6.58E+05
011916_mzFGF4_F5,102,52,EPI,10225,153.92,288.9,31.459,1262.6,1.29E+07,67.09,6.86E+05,2364.3,2.42E+07,718.88,7.35E+06,159.11,1.63E+06
011916_mzFGF4_F5,102,53,TE,4471,389.81,251.5,31.537,1641.3,7.34E+06,1059.4,4.74E+06,118.28,5.29E+05,795.36,3.56E+06,341.5,1.53E+06
011916_mzFGF4_F5,102,54,TE,8442,358.7,332.01,33.805,1171.6,9.89E+06,924.21,7.80E+06,109.53,9.25E+05,823.7,6.95E+06,514.21,4.34E+06
011916_mzFGF4_F5,102,55,EPI,6157,197.19,354.18,30.403,1177.9,7.25E+06,58.802,3.62E+05,1319,8.12E+06,770.78,4.75E+06,180.67,1.11E+06
011916_mzFGF4_F5,102,56,TE,6165,219.44,157.39,33.725,1126.3,6.94E+06,715.91,4.41E+06,146.48,9.03E+05,807.74,4.98E+06,224.93,1.39E+06
011916_mzFGF4_F5,102,57,TE,7126,309.49,157.02,33.517,1156.6,8.24E+06,766.53,5.46E+06,85.845,6.12E+05,926.29,6.60E+06,269.26,1.92E+06
011916_mzFGF4_F5,102,58,EPI,2778,179.51,258.91,31.836,959.47,2.67E+06,51.175,1.42E+05,2234.4,6.21E+06,846.94,2.35E+06,121.3,3.37E+05
011916_mzFGF4_F5,102,59,TE,6185,296.54,360.24,34.373,1312.9,8.12E+06,852.14,5.27E+06,131.84,8.15E+05,705.91,4.37E+06,354.54,2.19E+06
011916_mzFGF4_F5,102,60,TE,7274,259.25,146.3,36.389,956.85,6.96E+06,610.39,4.44E+06,101.78,7.40E+05,845.87,6.15E+06,271.89,1.98E+06
011916_mzFGF4_F5,102,61,TE,5852,100.59,254.16,37.769,1420.4,8.31E+06,832.67,4.87E+06,258.85,1.51E+06,799.44,4.68E+06,283.62,1.66E+06
011916_mzFGF4_F5,102,62,EPI,12073,220.16,286.85,36.481,830.32,1.00E+07,46.668,5.63E+05,2187.7,2.64E+07,787.49,9.51E+06,111.05,1.34E+06
011916_mzFGF4_F5,102,63,EPI,6467,135.32,202.97,37.963,979.75,6.34E+06,68.236,4.41E+05,2285.3,1.48E+07,660.84,4.27E+06,150.36,9.72E+05
011916_mzFGF4_F5,102,64,EPI,6344,155.81,336.16,37.108,1065.8,6.76E+06,72.983,4.63E+05,1846.1,1.17E+07,772.37,4.90E+06,169.93,1.08E+06
011916_mzFGF4_F5,102,65,EPI,4080,203.62,215.17,37.45,1109,4.52E+06,63.347,2.58E+05,1632.1,6.66E+06,637.88,2.60E+06,113.27,4.62E+05
011916_mzFGF4_F5,102,66,TE,8063,380.92,213.71,40.869,1003.6,8.09E+06,697.18,5.62E+06,114.51,9.23E+05,796.98,6.43E+06,287.43,2.32E+06
011916_mzFGF4_F5,102,67,EPI,5838,223.7,342.01,39.729,901.39,5.26E+06,57.806,3.37E+05,1628,9.50E+06,803.47,4.69E+06,125.23,7.31E+05
011916_mzFGF4_F5,102,68,TE,9989,180.7,160.16,43.87,945.32,9.44E+06,455.64,4.55E+06,290.86,2.91E+06,689.08,6.88E+06,156.44,1.56E+06
011916_mzFGF4_F5,102,69,EPI,4295,162.39,216.4,38.896,1007.7,4.33E+06,46.825,2.01E+05,2545.5,1.09E+07,849.92,3.65E+06,110.18,4.73E+05
011916_mzFGF4_F5,102,70,EPI,3360,185.4,290.3,37.732,729.57,2.45E+06,50.66,1.70E+05,1822.5,6.12E+06,709.01,2.38E+06,113.63,3.82E+05
011916_mzFGF4_F5,102,71,TE,9988,379.65,301.22,44.382,671.89,6.71E+06,471.64,4.71E+06,78.662,7.86E+05,756.69,7.56E+06,242.7,2.42E+06
