Embryo_ID,Cellcount,Cell_ID,Identity,Size,X,Y,Z,CH1.Avg,CH1.Sum,CH2.Avg,CH2.Sum,CH3.Avg,CH3.Sum,CH4.Avg,CH4.Sum,CH5.Avg,CH5.Sum,
012216_mzFGF4_G4,86,2,TE,9965,339.64,280.92,5.7612,1571.3,1.57E+07,60.765,6.06E+05,48.932,4.88E+05,730.84,7.28E+06,66.404,6.62E+05,
012216_mzFGF4_G4,86,3,TE,2250,236.79,381.24,4.0418,2002.9,4.51E+06,330.84,7.44E+05,107.06,2.41E+05,665.37,1.50E+06,85.183,1.92E+05,
012216_mzFGF4_G4,86,4,TE,15185,247.66,225.73,6.5854,2023.9,3.07E+07,372.28,5.65E+06,185.45,2.82E+06,624.67,9.49E+06,223.47,3.39E+06,
012216_mzFGF4_G4,86,5,TE,12697,301.97,238.82,5.9687,2150.2,2.73E+07,293.1,3.72E+06,117.69,1.49E+06,659.53,8.37E+06,142.92,1.81E+06,
012216_mzFGF4_G4,86,6,EPI,9309,204.39,260.02,5.7671,2246.9,2.09E+07,54.766,5.10E+05,1466,1.36E+07,682.86,6.36E+06,162.21,1.51E+06,
012216_mzFGF4_G4,86,7,TE,13911,255.11,301.64,7.0833,1446.1,2.01E+07,77.008,1.07E+06,72.51,1.01E+06,816.96,1.14E+07,99.423,1.38E+06,
012216_mzFGF4_G4,86,8,EPI,11681,199.12,322.3,6.1357,1663,1.94E+07,51.876,6.06E+05,1079,1.26E+07,744.44,8.70E+06,158.25,1.85E+06,
012216_mzFGF4_G4,86,9,EPI,7912,154.98,327.98,7.5389,2667.9,2.11E+07,42.809,3.39E+05,354.55,2.81E+06,860.54,6.81E+06,69.724,5.52E+05,
012216_mzFGF4_G4,86,11,TE,13862,295.11,190.71,9.4074,1590.5,2.20E+07,154.11,2.14E+06,71.573,9.92E+05,659.34,9.14E+06,103.18,1.43E+06,
012216_mzFGF4_G4,86,12,EPI,14767,172.93,220.27,11.167,2113.2,3.12E+07,180.17,2.66E+06,362.13,5.35E+06,731.47,1.08E+07,159.57,2.36E+06,
012216_mzFGF4_G4,86,13,EPI,842,172.6,250.79,4.4941,2019.099,,59.344,,2179.753,,684.288,,179.31,,
012216_mzFGF4_G4,86,14,EPI,8174,144.68,262.11,8.0683,1844.3,1.51E+07,51.019,4.17E+05,1036.2,8.47E+06,878.73,7.18E+06,139.01,1.14E+06,
012216_mzFGF4_G4,86,15,TE,21506,175.86,372.11,9.5852,926.27,1.99E+07,127.23,2.74E+06,60.72,1.31E+06,747.02,1.61E+07,77.374,1.66E+06,
012216_mzFGF4_G4,86,16,EPI,7390,121.89,299.57,11.068,1929.6,1.43E+07,45.266,3.35E+05,1589.9,1.17E+07,812.12,6.00E+06,112.39,8.31E+05,
012216_mzFGF4_G4,86,17,TE,11035,276.54,351.45,10.84,1274.7,1.41E+07,210.34,2.32E+06,68.232,7.53E+05,787.22,8.69E+06,118.99,1.31E+06,
012216_mzFGF4_G4,86,18,TE,10226,298.42,281.62,10.647,1147.8,1.17E+07,242.31,2.48E+06,88.216,9.02E+05,708.23,7.24E+06,114.6,1.17E+06,
012216_mzFGF4_G4,86,19,EPI,10176,227,293,10,1556.273,,54.671,,904.228,,740.427,,131.089,,
012216_mzFGF4_G4,86,19.2,EPI,10176,219,282,14,1044.148,,37.169,,815.997,,711.662,,113.914,,
012216_mzFGF4_G4,86,20,TE,14591,363.66,253.77,13.088,716.37,1.05E+07,192.33,2.81E+06,70.419,1.03E+06,706.31,1.03E+07,101.59,1.48E+06,
012216_mzFGF4_G4,86,21,EPI,8401,170.03,278.78,13.292,2102.8,1.77E+07,43.146,3.62E+05,1137.9,9.56E+06,687.44,5.78E+06,162.28,1.36E+06,
012216_mzFGF4_G4,86,22,TE,22939,115.28,345.51,19.121,1440.311,,52.906,,45.367,,788.642,,50.701,,
012216_mzFGF4_G4,86,22.2,EPI,22939,135,351,22,726.824,,28.726,,335.678,,716.809,,56.045,,
012216_mzFGF4_G4,86,23,TE,3759,358.94,343.28,10.823,387.96,1.46E+06,49.434,1.86E+05,76.925,2.89E+05,758.49,2.85E+06,117.78,4.43E+05,
012216_mzFGF4_G4,86,24,TE,13940,317.3,357.69,14.58,753.31,1.05E+07,80.92,1.13E+06,45.139,6.29E+05,813.64,1.13E+07,77.597,1.08E+06,
012216_mzFGF4_G4,86,25,EPI,2022,185.57,287.84,12.914,1657.6,3.35E+06,42.24,85410,954.57,1.93E+06,743.18,1.50E+06,146.86,2.97E+05,
012216_mzFGF4_G4,86,27,TE,11852,340.7,311.58,16.628,1036.5,1.23E+07,207.24,2.46E+06,67.357,7.98E+05,757.19,8.97E+06,111.76,1.32E+06,
