Embryo_ID,Cell_ID,TE_ICM,Cell_cycle, Size, X, Y, Z, CH1-Avg, CH1-Sum, CH2-Avg, CH2-Sum, CH3-Avg, CH3-Sum, CH4-Avg, CH4-Sum, CH5-Avg, CH5-Sum, 
102716_mzFGF4_W1,1,TE,I,35078,194.05,231.75,15.603,1287.8,4.52E+07,688.81,2.42E+07,440.13,1.54E+07,1659.4,5.82E+07,612.3,2.15E+07,
102716_mzFGF4_W1,2,TE,I,8518,264.58,192.59,5.6241,1390.3,1.18E+07,845.22,7.20E+06,119.81,1.02E+06,1774.3,1.51E+07,727.77,6.20E+06,
102716_mzFGF4_W1,3,TE,I,19963,284.52,248.68,5.5778,1222.7,2.44E+07,895.49,1.79E+07,184.19,3.68E+06,1794.3,3.58E+07,686.02,1.37E+07,
102716_mzFGF4_W1,4,TE,M,4643,241.76,271.1,6.2322,2736.1,1.27E+07,1092.3,5.07E+06,118.67,5.51E+05,1703.5,7.91E+06,695.6,3.23E+06,
102716_mzFGF4_W1,5,TE,I,8770,189.3,181.07,9.9694,1540.9,1.35E+07,849.69,7.45E+06,153.16,1.34E+06,1670.5,1.47E+07,622.57,5.46E+06,
102716_mzFGF4_W1,6,ICM,I,8561,166.42,261.99,10.018,1566,1.34E+07,36.224,3.10E+05,1675.7,1.43E+07,1790.3,1.53E+07,628.3,5.38E+06,
102716_mzFGF4_W1,7,TE,I,10104,310.89,187.14,9.7031,1071.8,1.08E+07,728.28,7.36E+06,62.594,6.32E+05,1781.4,1.80E+07,413.05,4.17E+06,
102716_mzFGF4_W1,8,TE,I,6905,340.88,227.47,12.493,1587.2,1.10E+07,981.91,6.78E+06,86.825,6.00E+05,1759.8,1.22E+07,252.23,1.74E+06,
102716_mzFGF4_W1,9,ICM,I,12791,228.65,233.17,14.3,1537.2,1.97E+07,90.032,1.15E+06,113.96,1.46E+06,1750.9,2.24E+07,2200.9,2.82E+07,
102716_mzFGF4_W1,10,ICM,I,8305,160.33,199.23,14.472,1385.2,1.15E+07,33.347,2.77E+05,1128.1,9.37E+06,1760.9,1.46E+07,297.23,2.47E+06,
102716_mzFGF4_W1,11,ICM,I,12390,126.35,258.95,17.03,1888.9,2.34E+07,28.939,3.59E+05,1042.5,1.29E+07,1731.1,2.14E+07,192.56,2.39E+06,
102716_mzFGF4_W1,12,ICM,I,11247,193.34,289.51,15.155,1418.6,1.60E+07,29.8,3.35E+05,898.65,1.01E+07,1673.3,1.88E+07,871.02,9.80E+06,
102716_mzFGF4_W1,13,TE,I,10442,161.8,322.79,16.657,1420.2,1.48E+07,728.43,7.61E+06,215.35,2.25E+06,1722.7,1.80E+07,511.54,5.34E+06,
102716_mzFGF4_W1,14,ICM,I,4322,191.87,229.32,14.441,1338.8,5.79E+06,45.062,1.95E+05,1494.9,6.46E+06,1708.5,7.38E+06,446.93,1.93E+06,
