Embryo_ID,Cell_ID,TE_ICM,Cell_cycle, Size, X, Y, Z, CH1-Avg, CH1-Sum, CH2-Avg, CH2-Sum, CH3-Avg, CH3-Sum, CH4-Avg, CH4-Sum, CH5-Avg, CH5-Sum, 
110216_mzFGF4_X7,1,TE,I,12784,264.68,226.77,4.8662,1271.6,1.63E+07,1318.7,1.69E+07,551.65,7.05E+06,1588.9,2.03E+07,543,6.94E+06,
110216_mzFGF4_X7,2,TE,I,15420,161.83,234.81,5.6188,1047.3,1.62E+07,940.78,1.45E+07,99.919,1.54E+06,1507.6,2.32E+07,832.07,1.28E+07,
110216_mzFGF4_X7,3,TE,I,14048,285.49,297.74,4.146,1654.9,2.32E+07,1406.7,1.98E+07,103.64,1.46E+06,1573.3,2.21E+07,561.16,7.88E+06,
110216_mzFGF4_X7,4,TE,I,17626,225.67,181.42,7.8231,773.05,1.36E+07,576.63,1.02E+07,61.575,1.09E+06,1582.1,2.79E+07,430.62,7.59E+06,
110216_mzFGF4_X7,5,ICM,I,11923,164.6,275.74,8.0629,1263.6,1.51E+07,57.893,6.90E+05,1850.3,2.21E+07,1477.8,1.76E+07,353.74,4.22E+06,
110216_mzFGF4_X7,6,TE,I,15143,208.58,318.41,9.003,1534.4,2.32E+07,1079.2,1.63E+07,89.477,1.36E+06,1524.1,2.31E+07,445.12,6.74E+06,
110216_mzFGF4_X7,7,TE,I,18840,149.58,326.11,10.738,1460.2,2.75E+07,1136.6,2.14E+07,188.4,3.55E+06,1594.2,3.00E+07,716.66,1.35E+07,
110216_mzFGF4_X7,8,TE,I,22249,350.43,243.13,9.7753,910.58,2.03E+07,842.93,1.88E+07,599.67,1.33E+07,1574,3.50E+07,405.11,9.01E+06,
110216_mzFGF4_X7,9,ICM,I,14208,114.71,253.25,10.518,989.58,1.41E+07,43.363,6.16E+05,1202,1.71E+07,1559.9,2.22E+07,431.14,6.13E+06,
110216_mzFGF4_X7,10,TE,I,11202,299.2,356.23,14.392,1517,1.70E+07,899.39,1.01E+07,176.47,1.98E+06,1559.6,1.75E+07,456.46,5.11E+06,
110216_mzFGF4_X7,11,TE,I,16943,314.31,182.89,15.872,1168.5,1.98E+07,758.48,1.29E+07,109.23,1.85E+06,1555,2.63E+07,452.68,7.67E+06,
110216_mzFGF4_X7,12,ICM,I,10709,169.76,242.65,15.26,1060,1.14E+07,83.222,8.91E+05,244.32,2.62E+06,1495.3,1.60E+07,1492.8,1.60E+07,
110216_mzFGF4_X7,13,ICM,I,11325,90.19,262.87,20.438,938.15,1.06E+07,27.247,3.09E+05,1225.8,1.39E+07,1557.1,1.76E+07,176.91,2.00E+06,
110216_mzFGF4_X7,14,TE,I,16504,365.03,342,21.788,1566.8,2.59E+07,850.41,1.40E+07,63.9,1.05E+06,1560.7,2.58E+07,331.17,5.47E+06,
110216_mzFGF4_X7,15,ICM,I,12122,127.1,209.63,20.983,928.51,1.13E+07,27.711,3.36E+05,1150.5,1.39E+07,1569.4,1.90E+07,145.93,1.77E+06,
110216_mzFGF4_X7,16,TE,I,10981,241.95,368.57,20.766,1371.6,1.51E+07,798.97,8.77E+06,123.72,1.36E+06,1543.3,1.69E+07,428.7,4.71E+06,
110216_mzFGF4_X7,17,ICM,I,1616,117.52,310.07,19.846,970.36,1.57E+06,36.046,58250,1221.5,1.97E+06,1462,2.36E+06,140.57,2.27E+05,
