Embryo_ID,Cell_ID,TE_ICM,Cell_cycle, Size, X, Y, Z, CH1-Avg, CH1-Sum, CH2-Avg, CH2-Sum, CH3-Avg, CH3-Sum, CH4-Avg, CH4-Sum, CH5-Avg, CH5-Sum, 
091217Pdgfra_BL1,1,TE,I,6469,258.55,248.69,3.6426,2140.7,1.38E+07,33.889,2.19E+05,281.13,1.82E+06,928.26,6.00E+06,56.989,3.69E+05,
091217Pdgfra_BL1,2,TE,I,6631,207.91,261.79,3.813,2370.6,1.57E+07,44.479,2.95E+05,280.14,1.86E+06,824.21,5.47E+06,91.723,6.08E+05,
091217Pdgfra_BL1,3,TE,I,9739,256.69,300.45,4.8904,1802.1,1.76E+07,29.682,2.89E+05,371.75,3.62E+06,929.96,9.06E+06,100.65,9.80E+05,
091217Pdgfra_BL1,4,TE,I,9816,234.65,196.85,7.3541,1612.4,1.58E+07,29.729,2.92E+05,250.28,2.46E+06,909.21,8.92E+06,40.415,3.97E+05,
091217Pdgfra_BL1,5,ICM,I,6016,222.44,287.11,7.6149,2198.9,1.32E+07,138.3,8.32E+05,285.77,1.72E+06,879.14,5.29E+06,478.89,2.88E+06,
091217Pdgfra_BL1,6,TE,I,7475,193.29,215.88,8.2669,2275.4,1.70E+07,40.77,3.05E+05,283.76,2.12E+06,875.59,6.55E+06,74.667,5.58E+05,
091217Pdgfra_BL1,7,TE,I,18151,325.38,217.81,9.6032,1441.6,2.62E+07,21.142,3.84E+05,150.57,2.73E+06,906.25,1.64E+07,58.014,1.05E+06,
091217Pdgfra_BL1,8,ICM,I,5583,218.93,246.09,9.7969,2249.5,1.26E+07,143.5,8.01E+05,302.06,1.69E+06,885.54,4.94E+06,506.15,2.83E+06,
091217Pdgfra_BL1,9,TE,I,13947,236.42,341.35,10.502,1973.9,2.75E+07,26.724,3.73E+05,280.97,3.92E+06,912.54,1.27E+07,82.286,1.15E+06,
091217Pdgfra_BL1,10,ICM,M,9162,188.64,297.67,12.395,2655.4,2.43E+07,55.69,5.10E+05,195.79,1.79E+06,880.16,8.06E+06,196.97,1.80E+06,
091217Pdgfra_BL1,11,TE,I,10278,142.3,221.53,14.763,2324.7,2.39E+07,30.129,3.10E+05,252.58,2.60E+06,872.6,8.97E+06,51.972,5.34E+05,
091217Pdgfra_BL1,12,TE,I,9784,151.38,325.86,16.403,2313.7,2.26E+07,26.594,2.60E+05,253.62,2.48E+06,848.4,8.30E+06,56.055,5.48E+05,
091217Pdgfra_BL1,13,ICM,I,10443,144.06,262.54,18.803,2121.6,2.22E+07,60.409,6.31E+05,289.35,3.02E+06,793.49,8.29E+06,523.77,5.47E+06,
091217Pdgfra_BL1,14,ICM,I,2710,183.98,259.17,14.954,2143.6,5.81E+06,134.2,3.64E+05,293.69,7.96E+05,842.26,2.28E+06,502.24,1.36E+06,
091217Pdgfra_BL1,15,ICM,I,5542,171.11,195.84,17.987,2165,1.20E+07,51.414,2.85E+05,265.02,1.47E+06,880.03,4.88E+06,617.82,3.42E+06,
091217Pdgfra_BL1,16,ICM,I,12049,192.49,342.09,19.395,2052.2,2.47E+07,72.988,8.79E+05,342.45,4.13E+06,851.05,1.03E+07,585.25,7.05E+06,
091217Pdgfra_BL1,17,TE,I,13379,364.13,302.92,19.83,1363.6,1.82E+07,24.927,3.34E+05,201.43,2.69E+06,890.89,1.19E+07,99.672,1.33E+06,
091217Pdgfra_BL1,18,ICM,I,9486,182.81,228.58,18.57,2225.9,2.11E+07,285.22,2.71E+06,427.39,4.05E+06,872.88,8.28E+06,207.23,1.97E+06,
091217Pdgfra_BL1,19,TE,I,8630,210.14,155.1,21.796,2050,1.77E+07,26.794,2.31E+05,197.07,1.70E+06,867.41,7.49E+06,75.372,6.50E+05,
091217Pdgfra_BL1,20,TE,I,6101,339.42,176.48,20.385,1750.2,1.07E+07,27.027,1.65E+05,154.23,9.41E+05,884.59,5.40E+06,34.411,2.10E+05,
091217Pdgfra_BL1,21,ICM,I,4781,199.02,190.16,20.471,1882.5,9.00E+06,100.82,4.82E+05,249.23,1.19E+06,820.29,3.92E+06,412.5,1.97E+06,
091217Pdgfra_BL1,22,TE,I,9376,303.22,377.87,25.047,1297.7,1.22E+07,22.663,2.12E+05,162.24,1.52E+06,874.88,8.20E+06,156.67,1.47E+06,
091217Pdgfra_BL1,23,TE,I,12778,303.42,138.18,28.04,1839.7,2.35E+07,22.272,2.85E+05,172.41,2.20E+06,858.67,1.10E+07,149.95,1.92E+06,
091217Pdgfra_BL1,24,ICM,M,3693,169.66,272.23,23.992,2347.1,8.67E+06,408.14,1.51E+06,420.32,1.55E+06,803.9,2.97E+06,96.001,3.55E+05,
091217Pdgfra_BL1,25,TE,I,7495,387.66,243.7,26.83,1285.1,9.63E+06,23.25,1.74E+05,158.92,1.19E+06,876.8,6.57E+06,165.16,1.24E+06,
091217Pdgfra_BL1,26,ICM,M,3070,185.04,230.63,26.841,2517,7.73E+06,485.66,1.49E+06,513.03,1.58E+06,830.77,2.55E+06,66.576,2.04E+05,
091217Pdgfra_BL1,27,ICM,M,7815,187.96,325.36,28.363,1966.7,1.54E+07,482.72,3.77E+06,548.13,4.28E+06,886.98,6.93E+06,64.529,5.04E+05,
091217Pdgfra_BL1,28,TE,I,8436,106.65,263.54,30.053,1809.8,1.53E+07,29.367,2.48E+05,207.93,1.75E+06,914.02,7.71E+06,71.715,6.05E+05,
091217Pdgfra_BL1,29,TE,I,9351,188.19,374.13,30.701,2077.5,1.94E+07,24.456,2.29E+05,196.37,1.84E+06,1000.9,9.36E+06,77.253,7.22E+05,
091217Pdgfra_BL1,30,ICM,M,7472,130.08,302.88,31.34,1928.3,1.44E+07,42.765,3.20E+05,131.21,9.80E+05,861.31,6.44E+06,139.78,1.04E+06,
091217Pdgfra_BL1,31,TE,I,6727,355.78,359.58,31.352,1639.3,1.10E+07,24.948,1.68E+05,203.73,1.37E+06,969.81,6.52E+06,262.63,1.77E+06,
091217Pdgfra_BL1,32,ICM,I,7680,186.12,166.92,31.974,1501.4,1.15E+07,37.12,2.85E+05,211.83,1.63E+06,925.05,7.10E+06,510.18,3.92E+06,
091217Pdgfra_BL1,33,TE,I,8935,140.17,179.4,34.569,1414.2,1.26E+07,25.284,2.26E+05,201.1,1.80E+06,931.17,8.32E+06,50.488,4.51E+05,
091217Pdgfra_BL1,34,TE,I,12500,378.79,185.17,37.264,866.07,1.08E+07,21.569,2.70E+05,184.75,2.31E+06,911.41,1.14E+07,112.3,1.40E+06,
091217Pdgfra_BL1,35,ICM,I,6508,151.56,343.84,33.437,1699.9,1.11E+07,64.841,4.22E+05,222.59,1.45E+06,886.47,5.77E+06,494.72,3.22E+06,
091217Pdgfra_BL1,36,ICM,I,4948,168.23,194.34,34.968,1293,6.40E+06,230.6,1.14E+06,584.92,2.89E+06,818.21,4.05E+06,110.23,5.45E+05,
091217Pdgfra_BL1,37,TE,I,8152,236.91,394.91,34.664,1248.7,1.02E+07,22.823,1.86E+05,190.37,1.55E+06,919.66,7.50E+06,129.92,1.06E+06,
091217Pdgfra_BL1,38,ICM,I,4470,141.17,212.61,35.443,1484.6,6.64E+06,66.811,2.99E+05,209.2,9.35E+05,861.33,3.85E+06,170.81,7.64E+05,
091217Pdgfra_BL1,39,ICM,I,4409,183.51,216.43,33.191,1467.2,6.47E+06,226.46,9.98E+05,626.84,2.76E+06,859.17,3.79E+06,46.926,2.07E+05,
091217Pdgfra_BL1,40,ICM,I,10798,122.96,251.74,37.862,1553.4,1.68E+07,164.23,1.77E+06,480.11,5.18E+06,868.48,9.38E+06,59.49,6.42E+05,
091217Pdgfra_BL1,41,ICM,I,1457,148.19,261.24,31.029,1395,2.03E+06,215.91,3.15E+05,559.79,8.16E+05,750.05,1.09E+06,116.13,1.69E+05,
091217Pdgfra_BL1,42,ICM,I,6473,196.86,300.86,34.888,761.41,4.93E+06,211.38,1.37E+06,786.38,5.09E+06,784.01,5.07E+06,37.949,2.46E+05,
091217Pdgfra_BL1,44,ICM,I,6039,178.78,260.33,35.592,862.06,5.21E+06,230.58,1.39E+06,821.42,4.96E+06,739.2,4.46E+06,37.944,2.29E+05,
091217Pdgfra_BL1,45,TE,I,10061,400.55,294.51,40.173,802.62,8.08E+06,21.756,2.19E+05,157.55,1.59E+06,956.93,9.63E+06,169.52,1.71E+06,
091217Pdgfra_BL1,46,TE,I,11573,240.79,122.31,45.893,1241.5,1.44E+07,21.113,2.44E+05,155.86,1.80E+06,899.81,1.04E+07,112.8,1.31E+06,
