Embryo_ID,Cell_ID,TE_ICM,Cell_cycle, Size, X, Y, Z, CH1-Avg, CH1-Sum, CH2-Avg, CH2-Sum, CH3-Avg, CH3-Sum, CH4-Avg, CH4-Sum, CH5-Avg, CH5-Sum, 
091217Pdgfra_BM4,1,TE,I,11476,248.04,220.22,4.2517,3078.2,3.53E+07,46.542,5.34E+05,246.75,2.83E+06,766.61,8.80E+06,1056.1,1.21E+07,
091217Pdgfra_BM4,2,TE,M,20458,180.17,225,10.185,2025.9,4.14E+07,89.995,1.84E+06,96.057,1.97E+06,774.83,1.59E+07,284.93,5.83E+06,
091217Pdgfra_BM4,3,TE,I,14835,305.27,286.16,7.1525,2210,3.28E+07,40.126,5.95E+05,173.89,2.58E+06,821.95,1.22E+07,800.34,1.19E+07,
091217Pdgfra_BM4,4,TE,I,14260,348.04,242.93,10.51,1798.8,2.57E+07,41.517,5.92E+05,164.28,2.34E+06,825.16,1.18E+07,538.32,7.68E+06,
091217Pdgfra_BM4,5,TE,I,9791,238.65,297.26,9.7787,2164.7,2.12E+07,61.728,6.04E+05,175.99,1.72E+06,774.86,7.59E+06,852.25,8.34E+06,
091217Pdgfra_BM4,6,TE,I,12511,351.25,184.97,15.017,2167.7,2.71E+07,46.998,5.88E+05,148.33,1.86E+06,811.24,1.01E+07,766.33,9.59E+06,
091217Pdgfra_BM4,7,ICM,I,10844,210.86,262.83,16.939,1814.5,1.97E+07,336.7,3.65E+06,249.06,2.70E+06,819.33,8.88E+06,1224.7,1.33E+07,
091217Pdgfra_BM4,8,TE,I,11585,235.55,160.02,17.559,2873.8,3.33E+07,43.377,5.03E+05,187.14,2.17E+06,786.07,9.11E+06,765.22,8.87E+06,
091217Pdgfra_BM4,9,ICM,I,7754,177.04,285.95,17.151,2214.4,1.72E+07,879.64,6.82E+06,202.03,1.57E+06,730.34,5.66E+06,777.7,6.03E+06,
091217Pdgfra_BM4,10,ICM,I,6902,220.56,216.6,17.092,1918.4,1.32E+07,895.02,6.18E+06,204.78,1.41E+06,738.69,5.10E+06,1028.5,7.10E+06,
091217Pdgfra_BM4,11,TE,I,12576,186.35,324.87,22.63,2862.9,3.60E+07,68.639,8.63E+05,165.41,2.08E+06,797.67,1.00E+07,811.98,1.02E+07,
091217Pdgfra_BM4,12,TE,I,9500,346.48,321.42,21.878,1597.2,1.52E+07,46.828,4.45E+05,178.89,1.70E+06,813.22,7.73E+06,954.76,9.07E+06,
091217Pdgfra_BM4,13,ICM,I,6676,174.74,222.34,22.639,2160.8,1.44E+07,1102.6,7.36E+06,222.22,1.48E+06,718.35,4.80E+06,785.09,5.24E+06,
091217Pdgfra_BM4,14,TE,I,10631,282.86,353.81,23.638,2459.5,2.61E+07,35.743,3.80E+05,155.88,1.66E+06,811.5,8.63E+06,688.6,7.32E+06,
091217Pdgfra_BM4,15,ICM,I,5849,214.92,310.13,22.467,1978.4,1.16E+07,742.17,4.34E+06,204.98,1.20E+06,766.45,4.48E+06,768.72,4.50E+06,
091217Pdgfra_BM4,16,TE,I,12465,264.9,135.85,28.945,2285.4,2.85E+07,86.896,1.08E+06,152.24,1.90E+06,763.53,9.52E+06,797.59,9.94E+06,
091217Pdgfra_BM4,18,ICM,I,12357,173.11,182.48,27.902,1580.6,1.95E+07,224.33,2.77E+06,198.84,2.46E+06,764.23,9.44E+06,1312.6,1.62E+07,
091217Pdgfra_BM4,20,TE,I,13022,217.93,350.71,29.389,2112.6,2.75E+07,41.452,5.40E+05,146.2,1.90E+06,802.54,1.05E+07,632.17,8.23E+06,
091217Pdgfra_BM4,21,ICM,I,4597,174.64,258.49,25.241,1425.1,6.55E+06,343.28,1.58E+06,186.35,8.57E+05,713.2,3.28E+06,900.28,4.14E+06,
091217Pdgfra_BM4,22,ICM,I,8096,139.75,242.26,29.684,1936.9,1.57E+07,417.06,3.38E+06,192.01,1.55E+06,785.39,6.36E+06,933.21,7.56E+06,
091217Pdgfra_BM4,23,TE,I,13622,394.41,286.02,32.184,1446.5,1.97E+07,30.235,4.12E+05,132.31,1.80E+06,778.6,1.06E+07,507.87,6.92E+06,
091217Pdgfra_BM4,24,ICM,I,10934,162.23,296.68,30.052,1573.3,1.72E+07,178.39,1.95E+06,196,2.14E+06,735.37,8.04E+06,1062.6,1.16E+07,
091217Pdgfra_BM4,25,ICM,I,7031,221.95,185.97,28.212,1115.8,7.85E+06,269.66,1.90E+06,149.62,1.05E+06,681.81,4.79E+06,650.14,4.57E+06,
091217Pdgfra_BM4,26,ICM,I,7419,203.07,222.75,30.809,1040.5,7.72E+06,262.1,1.94E+06,142.88,1.06E+06,817.74,6.07E+06,615.56,4.57E+06,
091217Pdgfra_BM4,27,TE,I,9673,109.24,243.75,34.783,3337.8,3.23E+07,46.465,4.49E+05,114.51,1.11E+06,796.64,7.71E+06,253.67,2.45E+06,
091217Pdgfra_BM4,28,ICM,I,10333,204.63,264.81,33.871,863.75,8.93E+06,75.124,7.76E+05,140.13,1.45E+06,779.52,8.05E+06,617.67,6.38E+06,
