Embryo_ID,Cell_ID, Size,TE_ICM, X, Y, Z, CH1-Avg, CH1-Sum, CH2-Avg, CH2-Sum, CH3-Avg, CH3-Sum, CH4-Avg, CH4-Sum, CH5-Avg, CH5-Sum, 
032017Abl_E1,1,7376,TE,249.76,269.07,4.7911,2103.8,1.55E+07,45.968,3.39E+05,160.16,1.18E+06,1018.2,7.51E+06,716.43,5.28E+06,
032017Abl_E1,3,9968,TE,205.67,203.94,6.7279,1803.4,1.80E+07,45.381,4.52E+05,114.21,1.14E+06,1024.9,1.02E+07,618.2,6.16E+06,
032017Abl_E1,4,15131,TE,172.3,259.92,7.8711,1808.4,2.74E+07,49.861,7.54E+05,84.396,1.28E+06,1053.5,1.59E+07,611.82,9.26E+06,
032017Abl_E1,5,10445,TE,258.73,199.35,8.2199,1769.9,1.85E+07,43.128,4.50E+05,36.963,3.86E+05,1080.9,1.13E+07,327.83,3.42E+06,
032017Abl_E1,6,10001,TE,286.73,277.13,7.8113,1463,1.46E+07,46.816,4.68E+05,263.51,2.64E+06,1051.8,1.05E+07,447.36,4.47E+06,
032017Abl_E1,7,10820,TE,208.83,307.53,8.8673,1927.4,2.09E+07,46.701,5.05E+05,172.23,1.86E+06,1090.4,1.18E+07,443.48,4.80E+06,
032017Abl_E1,8,8790,ICM,240.16,234.85,10.348,1484.2,1.30E+07,286.87,2.52E+06,104.98,9.23E+05,1103.6,9.70E+06,1250.1,1.10E+07,
032017Abl_E1,9,8982,TE,248.73,312.68,9.345,2017,1.81E+07,47.654,4.28E+05,255.34,2.29E+06,1015.3,9.12E+06,434.2,3.90E+06,
032017Abl_E1,10,10415,TE,327.89,261.19,11.978,1760.8,1.83E+07,38.507,4.01E+05,35.451,3.69E+05,1103.9,1.15E+07,310.04,3.23E+06,
032017Abl_E1,11,11019,TE,304.69,184.59,15.244,1689.2,1.86E+07,39.531,4.36E+05,78.539,8.65E+05,1118.4,1.23E+07,315.7,3.48E+06,
032017Abl_E1,12,10227,TE,325.22,304.32,16.449,2177.3,2.23E+07,39.586,4.05E+05,115.28,1.18E+06,1073.5,1.10E+07,488.74,5.00E+06,
032017Abl_E1,13,12683,ICM,194.07,166.46,17.391,1107.9,1.41E+07,38.415,4.87E+05,112.23,1.42E+06,1094.8,1.39E+07,308.68,3.92E+06,
032017Abl_E1,14,11439,ICM,214.54,242.2,17.312,1680.2,1.92E+07,111.84,1.28E+06,54.797,6.27E+05,1046.4,1.20E+07,475.05,5.43E+06,
032017Abl_E1,15,13036,ICM,175.25,280.73,19.286,1827.8,2.38E+07,196.41,2.56E+06,146.95,1.92E+06,1022.6,1.33E+07,958.11,1.25E+07,
032017Abl_E1,16,9723,TE,275.42,310.61,20.363,1669.4,1.62E+07,35.689,3.47E+05,129.78,1.26E+06,1130.8,1.10E+07,513.34,4.99E+06,
032017Abl_E1,17,14503,ICM,234.61,290.66,23.239,1268.7,1.84E+07,57.814,8.38E+05,420.05,6.09E+06,1054.3,1.53E+07,267.54,3.88E+06,
032017Abl_E1,18,8596,TE,258.62,336.29,21.067,2236.3,1.92E+07,41.382,3.56E+05,195.49,1.68E+06,1102.8,9.48E+06,370.44,3.18E+06,
032017Abl_E1,19,10884,ICM,218.94,189.93,23.328,1455.7,1.58E+07,63.608,6.92E+05,67.378,7.33E+05,1009.3,1.10E+07,309.52,3.37E+06,
032017Abl_E1,20,10645,ICM,174.76,212.06,22.525,1013.5,1.08E+07,57.385,6.11E+05,278.63,2.97E+06,1135.1,1.21E+07,122.04,1.30E+06,
032017Abl_E1,21,9002,TE,267.81,155.28,25.131,1115.1,1.00E+07,33.576,3.02E+05,143.84,1.29E+06,1076.4,9.69E+06,274.89,2.47E+06,
032017Abl_E1,22,9672,TE,366.28,220.17,25.491,1358,1.31E+07,34.111,3.30E+05,42.647,4.12E+05,1098.4,1.06E+07,197.97,1.91E+06,
032017Abl_E1,23,7379,TE,361.25,293.37,26.829,1360.5,1.00E+07,29.533,2.18E+05,29.229,2.16E+05,1152.7,8.51E+06,299.82,2.21E+06,
032017Abl_E1,24,11507,ICM,140.02,242.21,28.999,1013.1,1.17E+07,36.221,4.17E+05,60.57,6.97E+05,1028.7,1.18E+07,312.56,3.60E+06,
032017Abl_E1,25,13305,TE,223.44,345.48,30.905,1427.2,1.90E+07,31.549,4.20E+05,182.15,2.42E+06,1116.2,1.49E+07,305.9,4.07E+06,
032017Abl_E1,26,7627,TE,293.41,344.69,30.295,1450.8,1.11E+07,32.353,2.47E+05,31.613,2.41E+05,1087.9,8.30E+06,261.6,2.00E+06,
032017Abl_E1,27,12110,ICM,230.63,242.19,31.082,571.48,6.92E+06,105.94,1.28E+06,41.55,5.03E+05,1106.3,1.34E+07,492.88,5.97E+06,
032017Abl_E1,28,7514,ICM,197.25,268.94,32.752,777.09,5.84E+06,132.79,9.98E+05,61.322,4.61E+05,1004.3,7.55E+06,582.44,4.38E+06,
032017Abl_E1,29,12156,TE,239.91,145.92,36.267,795.7,9.67E+06,29.476,3.58E+05,54.707,6.65E+05,1157.2,1.41E+07,256.3,3.12E+06,
032017Abl_E1,30,12277,ICM,189.35,151.49,35.333,885.44,1.09E+07,29.69,3.65E+05,44.874,5.51E+05,969.41,1.19E+07,284.66,3.49E+06,
032017Abl_E1,31,9029,ICM,202.54,212.74,36.293,584.31,5.28E+06,37.839,3.42E+05,127.43,1.15E+06,911.08,8.23E+06,318.34,2.87E+06,
032017Abl_E1,32,10875,ICM,211.38,304.21,39.38,779.7,8.48E+06,29.739,3.23E+05,60.721,6.60E+05,1022.9,1.11E+07,84.711,9.21E+05,
032017Abl_E1,33,12294,ICM,155.63,302.52,39.408,730,8.97E+06,27.575,3.39E+05,56.973,7.00E+05,1036.5,1.27E+07,224.7,2.76E+06,
