Embryo_ID,Cell_ID,TE_ICM,Cell_cycle, Size, X, Y, Z, CH1-Avg, CH1-Sum, CH2-Avg, CH2-Sum, CH3-Avg, CH3-Sum, CH4-Avg, CH4-Sum, CH5-Avg, CH5-Sum, 
052617Pdgfra_AF5,1,TE,I,12322,240.36,289.13,6.1665,2831.7,3.49E+07,61.652,7.60E+05,24.461,3.01E+05,686.67,8.46E+06,119.07,1.47E+06,
052617Pdgfra_AF5,2,TE,I,10583,304.03,186.06,5.929,1558.6,1.65E+07,41.151,4.36E+05,22.461,2.38E+05,715.14,7.57E+06,109.64,1.16E+06,
052617Pdgfra_AF5,3,TE,I,7451,201.47,269.33,5.7717,2864.4,2.13E+07,73.539,5.48E+05,30.475,2.27E+05,671.4,5.00E+06,311.38,2.32E+06,
052617Pdgfra_AF5,4,TE,I,11508,249.56,182.36,7.5713,2288.2,2.63E+07,48.027,5.53E+05,23.869,2.75E+05,680.84,7.84E+06,167.43,1.93E+06,
052617Pdgfra_AF5,5,TE,I,10447,335.71,222.38,6.996,1915.1,2.00E+07,48.769,5.09E+05,27.612,2.88E+05,711.36,7.43E+06,194.71,2.03E+06,
052617Pdgfra_AF5,6,TE,I,11975,198.75,220.8,7.5495,2575.8,3.08E+07,65.136,7.80E+05,26.088,3.12E+05,660.11,7.90E+06,174.09,2.08E+06,
052617Pdgfra_AF5,7,TE,I,11835,375.6,257.01,7.8232,1701.9,2.01E+07,33.906,4.01E+05,21.167,2.51E+05,724.55,8.58E+06,100.85,1.19E+06,
052617Pdgfra_AF5,8,TE,I,10763,281.45,232.38,10.061,2580.3,2.78E+07,43.77,4.71E+05,23.677,2.55E+05,714.3,7.69E+06,131.9,1.42E+06,
052617Pdgfra_AF5,9,TE,I,14475,319.99,285.34,8.2892,2030.6,2.94E+07,38.56,5.58E+05,21.435,3.10E+05,720.16,1.04E+07,94.276,1.36E+06,
052617Pdgfra_AF5,10,TE,I,9360,276.15,303.47,9.6519,2531.6,2.37E+07,45.539,4.26E+05,24.66,2.31E+05,693.89,6.49E+06,218.57,2.05E+06,
052617Pdgfra_AF5,11,TE,I,7817,353.96,314.77,9.3294,2581.7,2.02E+07,33.998,2.66E+05,57.409,4.49E+05,700.37,5.47E+06,152.07,1.19E+06,
052617Pdgfra_AF5,12,TE,I,8256,193.13,306,10.482,2957.4,2.44E+07,59.513,4.91E+05,92.173,7.61E+05,678.73,5.60E+06,303.82,2.51E+06,
052617Pdgfra_AF5,13,TE,I,8172,378.18,203.83,10.501,2223,1.82E+07,39.442,3.22E+05,23.53,1.92E+05,719.68,5.88E+06,162.23,1.33E+06,
