Embryo_ID,Cell_ID,TE_ICM,Cell_cycle,Size,X,Y,Z,CH1-Avg,CH1-Sum,CH2-Avg,CH2-Sum,CH3-Avg,CH3-Sum,CH4-Avg,CH4-Sum,CH5-Avg,CH5-Sum, 
030918FVB_B6,1,TE,I,7910,155.57,243.38,7.3518,3226.7,2.55E+07,805.39,6.37E+06,86.1,6.81E+05,479.1,3.79E+06,519.35,4.11E+06,
030918FVB_B6,2,TE,I,16137,251.19,259.85,6.9727,3129.9,5.05E+07,924,1.49E+07,60.137,9.70E+05,532.82,8.60E+06,326.08,5.26E+06,
030918FVB_B6,3,TE,I,18247,337.33,252.11,7.576,2183.5,3.98E+07,559.06,1.02E+07,778.37,1.42E+07,567.11,1.03E+07,297.76,5.43E+06,
030918FVB_B6,4,TE,I,18648,188.35,198.31,10.82,3026.8,5.64E+07,581.3,1.08E+07,239.37,4.46E+06,553.89,1.03E+07,430.4,8.03E+06,
030918FVB_B6,6,TE,I,15141,286.84,201.66,10.894,2874.4,4.35E+07,595.93,9.02E+06,155.63,2.36E+06,570.4,8.64E+06,386.59,5.85E+06,
030918FVB_B6,7,ICM,I,16977,217.4,245.15,11.906,3014.5,5.12E+07,40.443,6.87E+05,252.94,4.29E+06,556.82,9.45E+06,585.45,9.94E+06,
030918FVB_B6,8,TE,I,7343,234.63,309.83,10.317,3190.8,2.34E+07,747.17,5.49E+06,65.044,4.78E+05,482.06,3.54E+06,452.74,3.32E+06,
030918FVB_B6,9,TE,M,8321,288.19,329,12.232,2669.1,2.22E+07,206.66,1.72E+06,44.199,3.68E+05,582.04,4.84E+06,176.14,1.47E+06,
030918FVB_B6,10,TE,M,4688,360.48,281.03,16.925,3228.2,1.51E+07,207.12,9.71E+05,88.199,4.13E+05,559.68,2.62E+06,200.27,9.39E+05,
030918FVB_B6,11,ICM,I,15227,185.26,296.91,17.829,2687.8,4.09E+07,27.237,4.15E+05,201.98,3.08E+06,607.61,9.25E+06,891.74,1.36E+07,
030918FVB_B6,12,ICM,I,7638,143.86,268.31,18.131,2992,2.29E+07,28.035,2.14E+05,1557.8,1.19E+07,512.83,3.92E+06,101.31,7.74E+05,
030918FVB_B6,13,TE,M,5119,296.01,345.44,17.487,3128.4,1.60E+07,192.83,9.87E+05,39.284,2.01E+05,561.53,2.87E+06,180.08,9.22E+05,
030918FVB_B6,14,TE,I,15020,144.15,319.76,22.083,3365.3,5.05E+07,699.61,1.05E+07,53.264,8.00E+05,540.54,8.12E+06,335.73,5.04E+06,
030918FVB_B6,15,TE,M,5173,201.86,171.7,21.036,3147.6,1.63E+07,324.19,1.68E+06,145.7,7.54E+05,594.36,3.07E+06,313.39,1.62E+06,
030918FVB_B6,16,TE,M,4911,337.22,337.06,20.738,3095.2,1.52E+07,218.33,1.07E+06,82.607,4.06E+05,513.49,2.52E+06,190.31,9.35E+05,
030918FVB_B6,17,TE,M,13964,140.96,188.1,25.625,2542.4,3.55E+07,140.78,1.97E+06,45.793,6.39E+05,560.61,7.83E+06,128.78,1.80E+06,
030918FVB_B6,18,ICM,I,8941,135.71,228.58,24.06,2638.8,2.36E+07,33.711,3.01E+05,88.369,7.90E+05,547.97,4.90E+06,482.8,4.32E+06,
030918FVB_B6,19,ICM,I,10878,185.26,214.57,22.595,2650.9,2.88E+07,44.717,4.86E+05,469.85,5.11E+06,541.87,5.89E+06,719.3,7.82E+06,
030918FVB_B6,20,TE,I,12685,103.76,252.43,24.085,3080.3,3.91E+07,531.36,6.74E+06,230.54,2.92E+06,558.98,7.09E+06,352.71,4.47E+06,
030918FVB_B6,21,ICM,I,10644,224.5,280.74,24.592,2487.3,2.65E+07,32.934,3.51E+05,353.83,3.77E+06,592.06,6.30E+06,515.83,5.49E+06,
030918FVB_B6,22,TE,M,4603,268.98,168.05,23.386,3262.3,1.50E+07,331.62,1.53E+06,124.8,5.74E+05,587.77,2.71E+06,302.51,1.39E+06,
030918FVB_B6,23,ICM,I,7323,200.96,257.05,22.81,2727.5,2.00E+07,26.245,1.92E+05,1137.4,8.33E+06,542.36,3.97E+06,155.51,1.14E+06,
030918FVB_B6,24,ICM,I,12624,222.73,221.78,26.652,1906.2,2.41E+07,28.199,3.56E+05,57.302,7.23E+05,473.17,5.97E+06,749.22,9.46E+06,
030918FVB_B6,26,TE,I,15539,193.34,355.17,30.073,2682.2,4.17E+07,527.22,8.19E+06,113.59,1.77E+06,589.55,9.16E+06,248.12,3.86E+06,
030918FVB_B6,27,TE,I,16887,323.68,156.91,31.584,2011.7,3.40E+07,405.04,6.84E+06,261.11,4.41E+06,556.11,9.39E+06,209.13,3.53E+06,
